	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-QVMR-2006620-Psilotum_nudum.p1__scaffold-QVMR-2006621-Psilotum_nudum.p1	1.0	1.0	165.0	165.0	0.0	GF_001925	0.0	0.0	2.0	23.7058	165.0	scaffold-QVMR-2006620-Psilotum_nudum.p1	scaffold-QVMR-2006621-Psilotum_nudum.p1	1.0	0.0
scaffold-QVMR-2006857-Psilotum_nudum.p1__scaffold-QVMR-2006858-Psilotum_nudum.p1	0.53955	0.91972	1062.0	327.0	0.00552	GF_000502	0.0044	0.4595	5.0	0.0095	573.0	scaffold-QVMR-2006857-Psilotum_nudum.p1	scaffold-QVMR-2006858-Psilotum_nudum.p1	1.0	1.0
scaffold-QVMR-2007104-Psilotum_nudum.p1__scaffold-QVMR-2007105-Psilotum_nudum.p1	0.66102	1.0	1062.0	327.0	0.0011	GF_000502	0.0	0.0	6.0	0.0249	702.0	scaffold-QVMR-2007105-Psilotum_nudum.p1	scaffold-QVMR-2007104-Psilotum_nudum.p1	1.0	0.0
scaffold-QVMR-2007105-Psilotum_nudum.p1__scaffold-QVMR-2017391-Psilotum_nudum.p1	0.44633	0.6519	1062.0	327.0	0.35049	GF_000502	0.1711	8.511	7.0	0.0201	474.0	scaffold-QVMR-2017391-Psilotum_nudum.p1	scaffold-QVMR-2007105-Psilotum_nudum.p1	0.5	0.0
scaffold-QVMR-2007104-Psilotum_nudum.p1__scaffold-QVMR-2017391-Psilotum_nudum.p1	0.44633	0.6519	1062.0	327.0	0.35049	GF_000502	0.1711	8.5109	7.0	0.0201	474.0	scaffold-QVMR-2017391-Psilotum_nudum.p1	scaffold-QVMR-2007104-Psilotum_nudum.p1	0.5	0.0
scaffold-QVMR-2006857-Psilotum_nudum.p1__scaffold-QVMR-2017391-Psilotum_nudum.p1	0.44633	0.5	1062.0	327.0	1.0027	GF_000502	0.5047	10.4851	8.0	0.0481	474.0	scaffold-QVMR-2006857-Psilotum_nudum.p1	scaffold-QVMR-2017391-Psilotum_nudum.p1	0.16667	0.0
scaffold-QVMR-2006857-Psilotum_nudum.p1__scaffold-QVMR-2007105-Psilotum_nudum.p1	0.56497	0.51167	1062.0	327.0	0.94821	GF_000502	0.4699	11.6609	8.0	0.0403	600.0	scaffold-QVMR-2006857-Psilotum_nudum.p1	scaffold-QVMR-2007105-Psilotum_nudum.p1	0.16667	0.0
scaffold-QVMR-2006857-Psilotum_nudum.p1__scaffold-QVMR-2007104-Psilotum_nudum.p1	0.49435	0.51429	1062.0	327.0	0.94821	GF_000502	0.4699	11.661	8.0	0.0403	525.0	scaffold-QVMR-2006857-Psilotum_nudum.p1	scaffold-QVMR-2007104-Psilotum_nudum.p1	0.16667	0.0
scaffold-QVMR-2006858-Psilotum_nudum.p1__scaffold-QVMR-2017391-Psilotum_nudum.p1	0.30791	0.51988	1062.0	327.0	0.99828	GF_000502	0.4946	9.2609	8.0	0.0534	327.0	scaffold-QVMR-2006858-Psilotum_nudum.p1	scaffold-QVMR-2017391-Psilotum_nudum.p1	0.16667	0.0
scaffold-QVMR-2006858-Psilotum_nudum.p1__scaffold-QVMR-2007105-Psilotum_nudum.p1	0.37853	0.53731	1062.0	327.0	0.94379	GF_000502	0.46	7.9302	8.0	0.058	402.0	scaffold-QVMR-2006858-Psilotum_nudum.p1	scaffold-QVMR-2007105-Psilotum_nudum.p1	0.16667	0.0
scaffold-QVMR-2006858-Psilotum_nudum.p1__scaffold-QVMR-2007104-Psilotum_nudum.p1	0.30791	0.5474	1062.0	327.0	0.94379	GF_000502	0.46	7.9302	8.0	0.058	327.0	scaffold-QVMR-2006858-Psilotum_nudum.p1	scaffold-QVMR-2007104-Psilotum_nudum.p1	0.16667	0.0
scaffold-QVMR-2011706-Psilotum_nudum.p1__scaffold-QVMR-2056106-Psilotum_nudum.p1	0.74667	0.43254	675.0	504.0	1.7005	GF_002318	0.8013	25.4342	2.0	0.0315	504.0	scaffold-QVMR-2011706-Psilotum_nudum.p1	scaffold-QVMR-2056106-Psilotum_nudum.p1	1.0	0.0
scaffold-QVMR-2013235-Psilotum_nudum.p1__scaffold-QVMR-2013236-Psilotum_nudum.p1	1.0	1.0	630.0	630.0	0.0	GF_002403	0.0	0.0	2.0	0.4062	630.0	scaffold-QVMR-2013235-Psilotum_nudum.p1	scaffold-QVMR-2013236-Psilotum_nudum.p1	1.0	0.0
scaffold-QVMR-2017349-Psilotum_nudum.p1__scaffold-QVMR-2055729-Psilotum_nudum.p1	0.77395	0.50165	783.0	606.0	1.082	GF_002556	0.5658	4.9814	2.0	0.1136	606.0	scaffold-QVMR-2017349-Psilotum_nudum.p1	scaffold-QVMR-2055729-Psilotum_nudum.p1	1.0	1.0
scaffold-QVMR-2001207-Psilotum_nudum.p1__scaffold-QVMR-2001208-Psilotum_nudum.p1	0.98921	1.0	834.0	489.0	0.0	GF_000549	0.0	0.0	4.0	0.001	825.0	scaffold-QVMR-2001208-Psilotum_nudum.p1	scaffold-QVMR-2001207-Psilotum_nudum.p1	1.0	0.0
scaffold-QVMR-2000255-Psilotum_nudum.p1__scaffold-QVMR-2001208-Psilotum_nudum.p1	0.8777	0.60519	834.0	489.0	0.7551	GF_000549	0.3248	65.9862	5.0	0.0049	732.0	scaffold-QVMR-2000255-Psilotum_nudum.p1	scaffold-QVMR-2001208-Psilotum_nudum.p1	0.5	0.0
scaffold-QVMR-2000255-Psilotum_nudum.p1__scaffold-QVMR-2001207-Psilotum_nudum.p1	0.8777	0.60519	834.0	489.0	0.7551	GF_000549	0.3248	65.9859	5.0	0.0049	732.0	scaffold-QVMR-2000255-Psilotum_nudum.p1	scaffold-QVMR-2001207-Psilotum_nudum.p1	0.5	0.0
scaffold-QVMR-2000255-Psilotum_nudum.p1__scaffold-QVMR-2017319-Psilotum_nudum.p1	0.58633	0.57464	834.0	489.0	0.86635	GF_000549	0.3962	64.3239	6.0	0.0062	489.0	scaffold-QVMR-2017319-Psilotum_nudum.p1	scaffold-QVMR-2000255-Psilotum_nudum.p1	0.33333	0.0
scaffold-QVMR-2001208-Psilotum_nudum.p1__scaffold-QVMR-2017319-Psilotum_nudum.p1	0.58633	0.51329	834.0	489.0	1.11663	GF_000549	0.5257	60.4449	6.0	0.0087	489.0	scaffold-QVMR-2017319-Psilotum_nudum.p1	scaffold-QVMR-2001208-Psilotum_nudum.p1	0.33333	0.0
scaffold-QVMR-2001207-Psilotum_nudum.p1__scaffold-QVMR-2017319-Psilotum_nudum.p1	0.58633	0.51329	834.0	489.0	1.11663	GF_000549	0.5257	60.4452	6.0	0.0087	489.0	scaffold-QVMR-2017319-Psilotum_nudum.p1	scaffold-QVMR-2001207-Psilotum_nudum.p1	0.33333	0.0
