	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Deparia_okuboana_scaffold16686.p1__Deparia_okuboana_scaffold25054.p1	0.09942	0.78824	2565.0	255.0	0.30242	GF_001925	0.0719	1.3848	3.0	0.0519	255.0	Deparia_okuboana_scaffold16686.p1	Deparia_okuboana_scaffold25054.p1	1.0	1.0
Deparia_okuboana_scaffold16686.p1__Deparia_okuboana_scaffold22636.p1	0.87953	0.69282	2565.0	255.0	0.42047	GF_001925	0.0464	1.4473	4.0	0.0321	2256.0	Deparia_okuboana_scaffold22636.p1	Deparia_okuboana_scaffold16686.p1	0.5	0.5
Deparia_okuboana_scaffold22636.p1__Deparia_okuboana_scaffold25054.p1	0.09942	0.78431	2565.0	255.0	0.34263	GF_001925	0.0826	1.3445	4.0	0.0614	255.0	Deparia_okuboana_scaffold22636.p1	Deparia_okuboana_scaffold25054.p1	0.5	0.5
Deparia_okuboana_C801132.p1__Deparia_okuboana_scaffold7092.p1	0.43702	0.43725	1167.0	498.0	1.61801	GF_000502	0.823	62.5236	7.0	0.0132	510.0	Deparia_okuboana_C801132.p1	Deparia_okuboana_scaffold7092.p1	1.0	0.0
Deparia_okuboana_C801132.p1__Deparia_okuboana_scaffold21552.p1	0.43702	0.44314	1167.0	498.0	1.86651	GF_000502	0.8056	63.4588	8.0	0.0127	510.0	Deparia_okuboana_scaffold21552.p1	Deparia_okuboana_C801132.p1	0.5	0.0
Deparia_okuboana_scaffold21552.p1__Deparia_okuboana_scaffold7092.p1	0.74807	0.44215	1167.0	498.0	1.43792	GF_000502	0.7264	58.9462	8.0	0.0123	873.0	Deparia_okuboana_scaffold21552.p1	Deparia_okuboana_scaffold7092.p1	0.5	0.0
Deparia_okuboana_scaffold685.p1__Deparia_okuboana_scaffold686.p1	0.90488	1.0	1167.0	498.0	0.0	GF_000502	0.0	0.0	9.0	0.1623	1056.0	Deparia_okuboana_scaffold686.p1	Deparia_okuboana_scaffold685.p1	1.0	0.0
Deparia_okuboana_scaffold684.p1__Deparia_okuboana_scaffold686.p1	0.90488	1.0	1167.0	498.0	0.0011	GF_000502	0.0	0.0	10.0	0.001	1056.0	Deparia_okuboana_scaffold684.p1	Deparia_okuboana_scaffold686.p1	0.5	0.0
Deparia_okuboana_scaffold684.p1__Deparia_okuboana_scaffold685.p1	0.90488	1.0	1167.0	498.0	0.0011	GF_000502	0.0	0.0	10.0	0.0946	1056.0	Deparia_okuboana_scaffold684.p1	Deparia_okuboana_scaffold685.p1	0.5	0.0
Deparia_okuboana_scaffold684.p1__Deparia_okuboana_scaffold687.p1	0.72237	1.0	1167.0	498.0	0.00161	GF_000502	0.0	0.0	11.0	0.001	843.0	Deparia_okuboana_scaffold687.p1	Deparia_okuboana_scaffold684.p1	0.33333	0.0
Deparia_okuboana_scaffold686.p1__Deparia_okuboana_scaffold687.p1	0.71979	1.0	1167.0	498.0	0.00161	GF_000502	0.0	0.0	11.0	0.001	840.0	Deparia_okuboana_scaffold687.p1	Deparia_okuboana_scaffold686.p1	0.33333	0.0
Deparia_okuboana_scaffold685.p1__Deparia_okuboana_scaffold687.p1	0.71979	1.0	1167.0	498.0	0.00161	GF_000502	0.0	0.0	11.0	0.0115	840.0	Deparia_okuboana_scaffold687.p1	Deparia_okuboana_scaffold685.p1	0.33333	0.0
Deparia_okuboana_scaffold21552.p1__Deparia_okuboana_scaffold687.p1	0.62982	0.42857	1167.0	498.0	1.88593	GF_000502	0.7968	25.5335	12.0	0.0312	735.0	Deparia_okuboana_scaffold21552.p1	Deparia_okuboana_scaffold687.p1	0.08333	0.0
Deparia_okuboana_scaffold21552.p1__Deparia_okuboana_scaffold684.p1	0.73008	0.43075	1167.0	498.0	1.88648	GF_000502	0.7968	25.5431	12.0	0.0312	852.0	Deparia_okuboana_scaffold21552.p1	Deparia_okuboana_scaffold684.p1	0.08333	0.0
Deparia_okuboana_scaffold21552.p1__Deparia_okuboana_scaffold686.p1	0.72751	0.4311	1167.0	498.0	1.88648	GF_000502	0.7968	25.5333	12.0	0.0312	849.0	Deparia_okuboana_scaffold21552.p1	Deparia_okuboana_scaffold686.p1	0.08333	0.0
Deparia_okuboana_scaffold21552.p1__Deparia_okuboana_scaffold685.p1	0.72751	0.4311	1167.0	498.0	1.88648	GF_000502	0.7968	25.5331	12.0	0.0312	849.0	Deparia_okuboana_scaffold21552.p1	Deparia_okuboana_scaffold685.p1	0.08333	0.0
Deparia_okuboana_C801132.p1__Deparia_okuboana_scaffold687.p1	0.4473	0.40996	1167.0	498.0	2.21488	GF_000502	0.87	5.9626	12.0	0.1459	522.0	Deparia_okuboana_C801132.p1	Deparia_okuboana_scaffold687.p1	0.08333	0.0
Deparia_okuboana_C801132.p1__Deparia_okuboana_scaffold684.p1	0.4473	0.40996	1167.0	498.0	2.21543	GF_000502	0.87	5.9626	12.0	0.1459	522.0	Deparia_okuboana_C801132.p1	Deparia_okuboana_scaffold684.p1	0.08333	0.0
Deparia_okuboana_C801132.p1__Deparia_okuboana_scaffold686.p1	0.44473	0.41233	1167.0	498.0	2.21543	GF_000502	0.87	5.9626	12.0	0.1459	519.0	Deparia_okuboana_C801132.p1	Deparia_okuboana_scaffold686.p1	0.08333	0.0
