	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Prosaptia_obliquata_scaffold4128.p1__Prosaptia_obliquata_scaffold4129.p1	0.55046	1.0	2616.0	1425.0	0.0	GF_001925	0.0	0.0	3.0	0.0803	1440.0	Prosaptia_obliquata_scaffold4129.p1	Prosaptia_obliquata_scaffold4128.p1	1.0	0.0
Prosaptia_obliquata_scaffold4129.p1__Prosaptia_obliquata_scaffold5532.p1	0.54472	0.44421	2616.0	1425.0	1.67862	GF_001925	0.863	66.7543	4.0	0.0129	1425.0	Prosaptia_obliquata_scaffold5532.p1	Prosaptia_obliquata_scaffold4129.p1	0.5	0.0
Prosaptia_obliquata_scaffold4128.p1__Prosaptia_obliquata_scaffold5532.p1	0.54472	0.44421	2616.0	1425.0	1.67862	GF_001925	0.863	66.7543	4.0	0.0129	1425.0	Prosaptia_obliquata_scaffold5532.p1	Prosaptia_obliquata_scaffold4128.p1	0.5	0.0
Prosaptia_obliquata_scaffold13146.p1__Prosaptia_obliquata_scaffold13147.p1	0.74267	1.0	921.0	684.0	0.00054	GF_003247	0.0	0.0	2.0	0.0918	684.0	Prosaptia_obliquata_scaffold13146.p1	Prosaptia_obliquata_scaffold13147.p1	1.0	0.0
Prosaptia_obliquata_scaffold11034.p1__Prosaptia_obliquata_scaffold11035.p1	1.0	1.0	1275.0	1275.0	0.0	GF_003125	0.0	0.0	2.0	0.453	1275.0	Prosaptia_obliquata_scaffold11034.p1	Prosaptia_obliquata_scaffold11035.p1	1.0	0.0
Prosaptia_obliquata_C468712.p1__Prosaptia_obliquata_scaffold3371.p1	0.20038	0.40961	4776.0	78.0	1.92702	GF_000011	0.0025	2.5133	40.0	0.001	957.0	Prosaptia_obliquata_C468712.p1	Prosaptia_obliquata_scaffold3371.p1	1.0	1.0
Prosaptia_obliquata_C462348.p1__Prosaptia_obliquata_C468690.p1	0.23492	0.45365	4776.0	78.0	1.44026	GF_000011	0.0406	8.2771	41.0	0.0049	1122.0	Prosaptia_obliquata_C468690.p1	Prosaptia_obliquata_C462348.p1	1.0	0.0
Prosaptia_obliquata_C437859.p1__Prosaptia_obliquata_C468690.p1	0.07538	0.43889	4776.0	78.0	1.8496	GF_000011	0.2198	54.2571	42.0	0.0041	360.0	Prosaptia_obliquata_C437859.p1	Prosaptia_obliquata_C468690.p1	0.5	0.0
Prosaptia_obliquata_C437859.p1__Prosaptia_obliquata_C462348.p1	0.0848	0.43704	4776.0	78.0	1.8977	GF_000011	0.2289	51.1937	42.0	0.0045	405.0	Prosaptia_obliquata_C437859.p1	Prosaptia_obliquata_C462348.p1	0.5	0.0
Prosaptia_obliquata_C461606.p1__Prosaptia_obliquata_scaffold15124.p1	0.19095	0.43311	4776.0	78.0	1.45562	GF_000011	0.0053	5.2836	43.0	0.001	912.0	Prosaptia_obliquata_C461606.p1	Prosaptia_obliquata_scaffold15124.p1	1.0	0.0
