	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Marsilea_quadrifolia_scaffold25399.p1__Marsilea_quadrifolia_scaffold25399.p2	0.00811	0.51515	4068.0	33.0	0.85239	GF_001925	0.4852	58.5778	3.0	0.0083	33.0	Marsilea_quadrifolia_scaffold25399.p1	Marsilea_quadrifolia_scaffold25399.p2	1.0	0.0
Marsilea_quadrifolia_scaffold20115.p1__Marsilea_quadrifolia_scaffold25399.p1	0.68953	0.53012	4068.0	33.0	1.04432	GF_001925	0.5743	70.817	4.0	0.0081	2805.0	Marsilea_quadrifolia_scaffold20115.p1	Marsilea_quadrifolia_scaffold25399.p1	0.5	0.0
Marsilea_quadrifolia_scaffold20115.p1__Marsilea_quadrifolia_scaffold25399.p2	0.19838	0.50558	4068.0	33.0	1.34599	GF_001925	0.179	1.1448	4.0	0.1564	807.0	Marsilea_quadrifolia_scaffold20115.p1	Marsilea_quadrifolia_scaffold25399.p2	0.5	1.0
Marsilea_quadrifolia_scaffold22920.p1__Marsilea_quadrifolia_scaffold22921.p2	1.0	1.0	306.0	306.0	0.0	GF_003247	0.0	0.0	2.0	0.4098	306.0	Marsilea_quadrifolia_scaffold22920.p1	Marsilea_quadrifolia_scaffold22921.p2	1.0	0.0
Marsilea_quadrifolia_scaffold19615.p1__Marsilea_quadrifolia_scaffold7981.p1	0.71279	0.54274	2298.0	1638.0	0.97886	GF_003125	0.4913	10.995	2.0	0.0447	1638.0	Marsilea_quadrifolia_scaffold19615.p1	Marsilea_quadrifolia_scaffold7981.p1	1.0	0.0
Marsilea_quadrifolia_C550145.p1__Marsilea_quadrifolia_C566593.p1	0.45098	0.38768	1224.0	552.0	1.661	GF_002318	0.9912	65.1568	2.0	0.0152	552.0	Marsilea_quadrifolia_C550145.p1	Marsilea_quadrifolia_C566593.p1	1.0	0.0
Marsilea_quadrifolia_C560507.p1__Marsilea_quadrifolia_scaffold18103.p1	0.84549	0.5533	699.0	591.0	1.00458	GF_002403	0.5477	16.9261	2.0	0.0324	591.0	Marsilea_quadrifolia_C560507.p1	Marsilea_quadrifolia_scaffold18103.p1	1.0	0.0
Marsilea_quadrifolia_scaffold18043.p1__Marsilea_quadrifolia_scaffold18044.p1	0.82567	0.96383	1239.0	1023.0	0.04588	GF_003057	0.0306	0.0599	2.0	0.5103	1023.0	Marsilea_quadrifolia_scaffold18043.p1	Marsilea_quadrifolia_scaffold18044.p1	1.0	1.0
Marsilea_quadrifolia_C572329.p1__Marsilea_quadrifolia_C573581.p1	0.97538	0.70939	1584.0	1545.0	0.4583	GF_002556	0.2425	1.2499	2.0	0.194	1545.0	Marsilea_quadrifolia_C572329.p1	Marsilea_quadrifolia_C573581.p1	1.0	1.0
Marsilea_quadrifolia_scaffold4575.p1__Marsilea_quadrifolia_scaffold4576.p1	0.16706	0.95476	2514.0	420.0	0.0847	GF_003393	0.0434	0.0577	2.0	0.752	420.0	Marsilea_quadrifolia_scaffold4575.p1	Marsilea_quadrifolia_scaffold4576.p1	1.0	1.0
