	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-MTGC-2008627-Dennstaedtia.p1__scaffold-MTGC-2046915-Dennstaedtia.p1	0.87647	0.71588	1020.0	894.0	0.4151	GF_001925	0.2164	1.3413	2.0	0.1613	894.0	scaffold-MTGC-2008627-Dennstaedtia.p1	scaffold-MTGC-2046915-Dennstaedtia.p1	1.0	1.0
scaffold-MTGC-2044492-Dennstaedtia.p1__scaffold-MTGC-2044592-Dennstaedtia.p1	0.66	0.48737	600.0	396.0	1.2188	GF_002318	0.6391	62.7294	2.0	0.0102	396.0	scaffold-MTGC-2044492-Dennstaedtia.p1	scaffold-MTGC-2044592-Dennstaedtia.p1	1.0	0.0
scaffold-MTGC-2047069-Dennstaedtia.p1__scaffold-MTGC-2047627-Dennstaedtia.p1	0.62971	0.41528	1434.0	903.0	1.68604	GF_002403	0.9205	61.9306	2.0	0.0149	903.0	scaffold-MTGC-2047069-Dennstaedtia.p1	scaffold-MTGC-2047627-Dennstaedtia.p1	1.0	0.0
scaffold-MTGC-2004035-Dennstaedtia.p1__scaffold-MTGC-2004036-Dennstaedtia.p1	0.96452	0.87402	930.0	21.0	0.19848	GF_000549	0.1061	1.49	4.0	0.0712	897.0	scaffold-MTGC-2004035-Dennstaedtia.p1	scaffold-MTGC-2004036-Dennstaedtia.p1	1.0	1.0
scaffold-MTGC-2001682-Dennstaedtia.p1__scaffold-MTGC-2004035-Dennstaedtia.p1	0.42258	0.78117	930.0	21.0	0.32284	GF_000549	0.2232	4.6192	5.0	0.0483	393.0	scaffold-MTGC-2001682-Dennstaedtia.p1	scaffold-MTGC-2004035-Dennstaedtia.p1	0.5	1.0
scaffold-MTGC-2001682-Dennstaedtia.p1__scaffold-MTGC-2004036-Dennstaedtia.p1	0.42258	0.79389	930.0	21.0	0.36326	GF_000549	4.5129	34.4122	5.0	0.1311	393.0	scaffold-MTGC-2001682-Dennstaedtia.p1	scaffold-MTGC-2004036-Dennstaedtia.p1	0.5	0.0
scaffold-MTGC-2001682-Dennstaedtia.p1__scaffold-MTGC-2039236-Dennstaedtia.p1	0.02258	0.47619	930.0	21.0	1.18585	GF_000549	20.1368	0.2034	6.0	99.0	21.0	scaffold-MTGC-2039236-Dennstaedtia.p1	scaffold-MTGC-2001682-Dennstaedtia.p1	0.33333	1.0
scaffold-MTGC-2004035-Dennstaedtia.p1__scaffold-MTGC-2039236-Dennstaedtia.p1	0.42581	0.49242	930.0	21.0	1.17743	GF_000549	3.0477	99.6368	6.0	0.0306	396.0	scaffold-MTGC-2039236-Dennstaedtia.p1	scaffold-MTGC-2004035-Dennstaedtia.p1	0.33333	0.0
scaffold-MTGC-2004036-Dennstaedtia.p1__scaffold-MTGC-2039236-Dennstaedtia.p1	0.42581	0.5	930.0	21.0	1.21785	GF_000549	1.1805	122.6323	6.0	0.0096	396.0	scaffold-MTGC-2039236-Dennstaedtia.p1	scaffold-MTGC-2004036-Dennstaedtia.p1	0.33333	0.0
scaffold-MTGC-2045387-Dennstaedtia.p1__scaffold-MTGC-2046205-Dennstaedtia.p1	0.82328	0.64747	696.0	573.0	0.45314	GF_001680	0.254	47.6814	2.0	0.0053	573.0	scaffold-MTGC-2045387-Dennstaedtia.p1	scaffold-MTGC-2046205-Dennstaedtia.p1	1.0	0.0
