	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-FCHS-2007094-Deparia_lobato-crenata.p1__scaffold-FCHS-2066378-Deparia_lobato-crenata.p1	0.94215	0.65789	726.0	684.0	0.57664	GF_001925	0.2879	62.0038	2.0	0.0046	684.0	scaffold-FCHS-2007094-Deparia_lobato-crenata.p1	scaffold-FCHS-2066378-Deparia_lobato-crenata.p1	1.0	0.0
scaffold-FCHS-2008432-Deparia_lobato-crenata.p1__scaffold-FCHS-2008433-Deparia_lobato-crenata.p1	0.89757	1.0	1113.0	15.0	0.0	GF_000502	0.0	0.0	5.0	0.001	999.0	scaffold-FCHS-2008433-Deparia_lobato-crenata.p1	scaffold-FCHS-2008432-Deparia_lobato-crenata.p1	1.0	0.0
scaffold-FCHS-2008433-Deparia_lobato-crenata.p1__scaffold-FCHS-2011790-Deparia_lobato-crenata.p1	0.48787	0.85267	1113.0	15.0	0.03314	GF_000502	0.8169	0.284	6.0	2.8768	543.0	scaffold-FCHS-2008433-Deparia_lobato-crenata.p1	scaffold-FCHS-2011790-Deparia_lobato-crenata.p1	0.5	0.5
scaffold-FCHS-2008432-Deparia_lobato-crenata.p1__scaffold-FCHS-2011790-Deparia_lobato-crenata.p1	0.48787	0.85267	1113.0	15.0	0.03314	GF_000502	0.8169	0.284	6.0	2.8768	543.0	scaffold-FCHS-2008432-Deparia_lobato-crenata.p1	scaffold-FCHS-2011790-Deparia_lobato-crenata.p1	0.5	0.5
scaffold-FCHS-2007563-Deparia_lobato-crenata.p3__scaffold-FCHS-2008433-Deparia_lobato-crenata.p1	0.12399	0.85507	1113.0	15.0	0.0214	GF_000502	0.0029	2.9361	7.0	0.001	138.0	scaffold-FCHS-2007563-Deparia_lobato-crenata.p3	scaffold-FCHS-2008433-Deparia_lobato-crenata.p1	0.33333	0.33333
scaffold-FCHS-2007563-Deparia_lobato-crenata.p3__scaffold-FCHS-2008432-Deparia_lobato-crenata.p1	0.12399	0.85507	1113.0	15.0	0.0214	GF_000502	0.0029	2.9361	7.0	0.001	138.0	scaffold-FCHS-2007563-Deparia_lobato-crenata.p3	scaffold-FCHS-2008432-Deparia_lobato-crenata.p1	0.33333	0.33333
scaffold-FCHS-2007563-Deparia_lobato-crenata.p3__scaffold-FCHS-2011790-Deparia_lobato-crenata.p1	0.01348	0.53333	1113.0	15.0	0.05344	GF_000502	0.8041	0.8738	7.0	0.9202	15.0	scaffold-FCHS-2007563-Deparia_lobato-crenata.p3	scaffold-FCHS-2011790-Deparia_lobato-crenata.p1	0.33333	0.33333
scaffold-FCHS-2007563-Deparia_lobato-crenata.p3__scaffold-FCHS-2013636-Deparia_lobato-crenata.p1	0.12399	0.44928	1113.0	15.0	1.66526	GF_000502	0.7168	1.9523	8.0	0.3672	138.0	scaffold-FCHS-2013636-Deparia_lobato-crenata.p1	scaffold-FCHS-2007563-Deparia_lobato-crenata.p3	0.25	0.25
scaffold-FCHS-2008433-Deparia_lobato-crenata.p1__scaffold-FCHS-2013636-Deparia_lobato-crenata.p1	0.82749	0.42345	1113.0	15.0	1.64606	GF_000502	0.7753	1.8661	8.0	0.4155	921.0	scaffold-FCHS-2013636-Deparia_lobato-crenata.p1	scaffold-FCHS-2008433-Deparia_lobato-crenata.p1	0.25	0.25
scaffold-FCHS-2008432-Deparia_lobato-crenata.p1__scaffold-FCHS-2013636-Deparia_lobato-crenata.p1	0.82749	0.42345	1113.0	15.0	1.64606	GF_000502	0.7753	1.8661	8.0	0.4155	921.0	scaffold-FCHS-2013636-Deparia_lobato-crenata.p1	scaffold-FCHS-2008432-Deparia_lobato-crenata.p1	0.25	0.25
