	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Angiopteris_fokiensis_scaffold3355.p1__Angiopteris_fokiensis_scaffold3356.p1	0.75117	1.0	639.0	474.0	0.00109	GF_001925	0.0	0.0	3.0	0.3631	480.0	Angiopteris_fokiensis_scaffold3355.p1	Angiopteris_fokiensis_scaffold3356.p1	1.0	0.0
Angiopteris_fokiensis_scaffold3355.p1__Angiopteris_fokiensis_scaffold9711.p1	0.74178	0.70253	639.0	474.0	0.38995	GF_001925	0.1804	2.5122	4.0	0.0718	474.0	Angiopteris_fokiensis_scaffold9711.p1	Angiopteris_fokiensis_scaffold3355.p1	0.5	0.5
Angiopteris_fokiensis_scaffold3356.p1__Angiopteris_fokiensis_scaffold9711.p1	0.76526	0.69325	639.0	474.0	0.38994	GF_001925	0.1804	2.5122	4.0	0.0718	489.0	Angiopteris_fokiensis_scaffold9711.p1	Angiopteris_fokiensis_scaffold3356.p1	0.5	0.5
Angiopteris_fokiensis_scaffold9208.p1__Angiopteris_fokiensis_scaffold9209.p1	0.13702	0.8141	2277.0	21.0	0.25611	GF_000502	0.1705	1.7846	6.0	0.0956	312.0	Angiopteris_fokiensis_scaffold9208.p1	Angiopteris_fokiensis_scaffold9209.p1	1.0	1.0
Angiopteris_fokiensis_C219744.p1__Angiopteris_fokiensis_scaffold9208.p1	0.21739	0.72525	2277.0	21.0	0.43806	GF_000502	0.3596	2.5345	7.0	0.1419	495.0	Angiopteris_fokiensis_C219744.p1	Angiopteris_fokiensis_scaffold9208.p1	0.5	1.0
Angiopteris_fokiensis_C219744.p1__Angiopteris_fokiensis_scaffold9209.p1	0.00922	0.66667	2277.0	21.0	0.62011	GF_000502	0.2974	67.9662	7.0	0.0044	21.0	Angiopteris_fokiensis_C219744.p1	Angiopteris_fokiensis_scaffold9209.p1	0.5	0.0
Angiopteris_fokiensis_scaffold5174.p1__Angiopteris_fokiensis_scaffold5175.p1	0.38603	1.0	2277.0	21.0	0.0011	GF_000502	0.0	0.0	8.0	99.0	879.0	Angiopteris_fokiensis_scaffold5174.p1	Angiopteris_fokiensis_scaffold5175.p1	1.0	0.0
Angiopteris_fokiensis_scaffold5174.p1__Angiopteris_fokiensis_scaffold5401.p1	0.31489	0.79637	2277.0	21.0	0.28966	GF_000502	0.0606	0.8107	9.0	0.0748	717.0	Angiopteris_fokiensis_scaffold5401.p1	Angiopteris_fokiensis_scaffold5174.p1	0.5	0.5
Angiopteris_fokiensis_scaffold5175.p1__Angiopteris_fokiensis_scaffold5401.p1	0.31489	0.79637	2277.0	21.0	0.28966	GF_000502	0.0606	0.8107	9.0	0.0748	717.0	Angiopteris_fokiensis_scaffold5401.p1	Angiopteris_fokiensis_scaffold5175.p1	0.5	0.5
Angiopteris_fokiensis_C219744.p1__Angiopteris_fokiensis_scaffold5401.p1	0.16996	0.50904	2277.0	21.0	1.40177	GF_000502	0.5428	61.4947	10.0	0.0088	387.0	Angiopteris_fokiensis_C219744.p1	Angiopteris_fokiensis_scaffold5401.p1	0.11111	0.0
