	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Ophioglossum_thermale_scaffold23657.p1__Ophioglossum_thermale_scaffold23658.p1	0.2833	1.0	1599.0	450.0	0.0	GF_001925	0.0	0.0	3.0	0.001	453.0	Ophioglossum_thermale_scaffold23657.p1	Ophioglossum_thermale_scaffold23658.p1	1.0	0.0
Ophioglossum_thermale_scaffold23657.p1__Ophioglossum_thermale_scaffold25252.p1	0.28143	0.67333	1599.0	450.0	0.66142	GF_001925	0.3883	0.7664	4.0	0.5066	450.0	Ophioglossum_thermale_scaffold23657.p1	Ophioglossum_thermale_scaffold25252.p1	0.5	0.5
Ophioglossum_thermale_scaffold23658.p1__Ophioglossum_thermale_scaffold25252.p1	0.28143	0.67333	1599.0	450.0	0.66142	GF_001925	0.3883	0.7664	4.0	0.5066	450.0	Ophioglossum_thermale_scaffold23658.p1	Ophioglossum_thermale_scaffold25252.p1	0.5	0.5
Ophioglossum_thermale_C652675.p1__Ophioglossum_thermale_scaffold15174.p1	0.08075	0.60256	1932.0	102.0	0.66736	GF_000502	0.4088	1.4686	6.0	0.2783	156.0	Ophioglossum_thermale_C652675.p1	Ophioglossum_thermale_scaffold15174.p1	1.0	1.0
Ophioglossum_thermale_C649629.p1__Ophioglossum_thermale_C652675.p1	0.1087	0.5	1932.0	102.0	1.16728	GF_000502	1.2309	4.3909	7.0	0.2803	210.0	Ophioglossum_thermale_C649629.p1	Ophioglossum_thermale_C652675.p1	0.5	0.5
Ophioglossum_thermale_C649629.p1__Ophioglossum_thermale_scaffold15174.p1	0.22671	0.56849	1932.0	102.0	0.77372	GF_000502	0.5545	3.2779	7.0	0.1692	438.0	Ophioglossum_thermale_C649629.p1	Ophioglossum_thermale_scaffold15174.p1	0.5	0.5
Ophioglossum_thermale_scaffold20531.p1__Ophioglossum_thermale_scaffold20532.p1	0.71273	0.99927	1932.0	102.0	0.0	GF_000502	0.0	0.0	8.0	0.001	1377.0	Ophioglossum_thermale_scaffold20532.p1	Ophioglossum_thermale_scaffold20531.p1	1.0	0.0
Ophioglossum_thermale_scaffold20532.p1__Ophioglossum_thermale_scaffold25268.p1	0.69255	0.64275	1932.0	102.0	0.49758	GF_000502	0.3468	3.8624	9.0	0.0898	1338.0	Ophioglossum_thermale_scaffold20532.p1	Ophioglossum_thermale_scaffold25268.p1	0.5	0.5
Ophioglossum_thermale_scaffold20531.p1__Ophioglossum_thermale_scaffold25268.p1	0.69255	0.64275	1932.0	102.0	0.49758	GF_000502	0.3468	3.8624	9.0	0.0898	1338.0	Ophioglossum_thermale_scaffold20531.p1	Ophioglossum_thermale_scaffold25268.p1	0.5	0.5
Ophioglossum_thermale_C649629.p1__Ophioglossum_thermale_scaffold20532.p1	0.27795	0.48231	1932.0	102.0	1.33355	GF_000502	0.6208	65.3763	10.0	0.0095	537.0	Ophioglossum_thermale_C649629.p1	Ophioglossum_thermale_scaffold20532.p1	0.11111	0.0
Ophioglossum_thermale_C649629.p1__Ophioglossum_thermale_scaffold20531.p1	0.27795	0.48231	1932.0	102.0	1.33355	GF_000502	0.6208	65.3765	10.0	0.0095	537.0	Ophioglossum_thermale_C649629.p1	Ophioglossum_thermale_scaffold20531.p1	0.11111	0.0
Ophioglossum_thermale_C649629.p1__Ophioglossum_thermale_scaffold25268.p1	0.27329	0.50947	1932.0	102.0	1.29855	GF_000502	0.5925	67.1471	10.0	0.0088	528.0	Ophioglossum_thermale_C649629.p1	Ophioglossum_thermale_scaffold25268.p1	0.11111	0.0
Ophioglossum_thermale_C652675.p1__Ophioglossum_thermale_scaffold20532.p1	0.27019	0.49042	1932.0	102.0	1.48831	GF_000502	0.8514	2.9251	10.0	0.291	522.0	Ophioglossum_thermale_C652675.p1	Ophioglossum_thermale_scaffold20532.p1	0.11111	0.33333
Ophioglossum_thermale_C652675.p1__Ophioglossum_thermale_scaffold20531.p1	0.27019	0.49042	1932.0	102.0	1.48831	GF_000502	0.8514	2.9251	10.0	0.291	522.0	Ophioglossum_thermale_C652675.p1	Ophioglossum_thermale_scaffold20531.p1	0.11111	0.33333
Ophioglossum_thermale_C652675.p1__Ophioglossum_thermale_scaffold25268.p1	0.26553	0.51267	1932.0	102.0	1.45331	GF_000502	1.0154	1.7295	10.0	0.5871	513.0	Ophioglossum_thermale_C652675.p1	Ophioglossum_thermale_scaffold25268.p1	0.11111	0.33333
Ophioglossum_thermale_scaffold15174.p1__Ophioglossum_thermale_scaffold20532.p1	0.28571	0.52717	1932.0	102.0	1.09475	GF_000502	0.8103	12.4345	10.0	0.0652	552.0	Ophioglossum_thermale_scaffold15174.p1	Ophioglossum_thermale_scaffold20532.p1	0.11111	0.0
Ophioglossum_thermale_scaffold15174.p1__Ophioglossum_thermale_scaffold20531.p1	0.28571	0.52717	1932.0	102.0	1.09475	GF_000502	0.8103	12.4343	10.0	0.0652	552.0	Ophioglossum_thermale_scaffold15174.p1	Ophioglossum_thermale_scaffold20531.p1	0.11111	0.0
Ophioglossum_thermale_scaffold15174.p1__Ophioglossum_thermale_scaffold25268.p1	0.28106	0.55064	1932.0	102.0	1.05975	GF_000502	0.7514	74.6807	10.0	0.0101	543.0	Ophioglossum_thermale_scaffold15174.p1	Ophioglossum_thermale_scaffold25268.p1	0.11111	0.0
Ophioglossum_thermale_scaffold18596.p1__Ophioglossum_thermale_scaffold18597.p1	1.0	1.0	315.0	315.0	0.0	GF_003247	0.0	0.0	2.0	0.4579	315.0	Ophioglossum_thermale_scaffold18596.p1	Ophioglossum_thermale_scaffold18597.p1	1.0	0.0
Ophioglossum_thermale_scaffold16709.p1__Ophioglossum_thermale_scaffold16710.p1	0.32338	0.86667	603.0	195.0	0.12372	GF_003125	0.0581	1.0474	2.0	0.0555	195.0	Ophioglossum_thermale_scaffold16709.p1	Ophioglossum_thermale_scaffold16710.p1	1.0	1.0
Ophioglossum_thermale_C647259.p1__Ophioglossum_thermale_scaffold6365.p1	0.81452	0.88449	372.0	303.0	0.22066	GF_002318	0.1078	0.2221	2.0	0.4853	303.0	Ophioglossum_thermale_C647259.p1	Ophioglossum_thermale_scaffold6365.p1	1.0	1.0
Ophioglossum_thermale_C657901.p1__Ophioglossum_thermale_scaffold15472.p2	0.09756	0.97222	738.0	72.0	0.00054	GF_002403	0.0001	0.1319	2.0	0.001	72.0	Ophioglossum_thermale_C657901.p1	Ophioglossum_thermale_scaffold15472.p2	1.0	1.0
Ophioglossum_thermale_scaffold15652.p1__Ophioglossum_thermale_scaffold15653.p1	1.0	1.0	1833.0	1833.0	0.0	GF_003057	0.0	0.0	2.0	0.4349	1833.0	Ophioglossum_thermale_scaffold15652.p1	Ophioglossum_thermale_scaffold15653.p1	1.0	0.0
