	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Coniogramme_japonica_scaffold16836.p1__Coniogramme_japonica_scaffold16836.p2	0.00681	0.53333	2202.0	15.0	0.89681	GF_001925	3.1578	28.2924	3.0	0.1116	15.0	Coniogramme_japonica_scaffold16836.p2	Coniogramme_japonica_scaffold16836.p1	1.0	0.0
Coniogramme_japonica_scaffold16836.p2__Coniogramme_japonica_scaffold4177.p1	0.24659	0.46593	2202.0	15.0	1.26733	GF_001925	0.6701	33.3072	4.0	0.0201	543.0	Coniogramme_japonica_scaffold4177.p1	Coniogramme_japonica_scaffold16836.p2	0.5	0.0
Coniogramme_japonica_scaffold16836.p1__Coniogramme_japonica_scaffold4177.p1	0.41144	0.41391	2202.0	15.0	1.7868	GF_001925	3.1597	33.7894	4.0	0.0935	906.0	Coniogramme_japonica_scaffold4177.p1	Coniogramme_japonica_scaffold16836.p1	0.5	0.0
Coniogramme_japonica_scaffold3304.p1__Coniogramme_japonica_scaffold3305.p1	1.0	1.0	573.0	573.0	0.0	GF_003247	0.0	0.0	2.0	0.4383	573.0	Coniogramme_japonica_scaffold3304.p1	Coniogramme_japonica_scaffold3305.p1	1.0	0.0
Coniogramme_japonica_scaffold15943.p1__Coniogramme_japonica_scaffold8887.p1	0.70761	0.83537	1734.0	1227.0	0.1787	GF_003125	0.0836	0.6834	2.0	0.1223	1227.0	Coniogramme_japonica_scaffold15943.p1	Coniogramme_japonica_scaffold8887.p1	1.0	1.0
Coniogramme_japonica_C335633.p1__Coniogramme_japonica_C356355.p1	0.55088	0.6518	855.0	471.0	0.57904	GF_002318	0.2985	2.3887	2.0	0.125	471.0	Coniogramme_japonica_C335633.p1	Coniogramme_japonica_C356355.p1	1.0	1.0
Coniogramme_japonica_C342917.p1__Coniogramme_japonica_scaffold437.p1	0.57005	0.69209	621.0	354.0	0.42448	GF_002403	0.2609	1.336	2.0	0.1953	354.0	Coniogramme_japonica_C342917.p1	Coniogramme_japonica_scaffold437.p1	1.0	1.0
Coniogramme_japonica_scaffold14371.p1__Coniogramme_japonica_scaffold14372.p1	1.0	1.0	1572.0	1572.0	0.0	GF_003057	0.0	0.0	2.0	0.001	1572.0	Coniogramme_japonica_scaffold14371.p1	Coniogramme_japonica_scaffold14372.p1	1.0	0.0
Coniogramme_japonica_C350735.p1__Coniogramme_japonica_scaffold15388.p1	0.80374	0.44186	642.0	516.0	1.72802	GF_002556	0.9877	3.8298	2.0	0.2579	516.0	Coniogramme_japonica_C350735.p1	Coniogramme_japonica_scaffold15388.p1	1.0	1.0
Coniogramme_japonica_scaffold12106.p1__Coniogramme_japonica_scaffold14376.p1	0.32642	0.59463	2169.0	360.0	0.71994	GF_000549	0.2086	2.6549	6.0	0.0786	708.0	Coniogramme_japonica_scaffold14376.p1	Coniogramme_japonica_scaffold12106.p1	1.0	1.0
