	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Woodsia_polystichoides_C214871.p2__Woodsia_polystichoides_scaffold5106.p1	0.89326	0.48847	534.0	477.0	1.28194	GF_001925	0.6315	5.9901	2.0	0.1054	477.0	Woodsia_polystichoides_C214871.p2	Woodsia_polystichoides_scaffold5106.p1	1.0	0.0
Woodsia_polystichoides_C221541.p1__Woodsia_polystichoides_C248399.p1	0.20019	0.64019	3207.0	3.0	0.65291	GF_000502	6.2606		6.0	0.445	642.0	Woodsia_polystichoides_C221541.p1	Woodsia_polystichoides_C248399.p1	inf	0.0
Woodsia_polystichoides_C244823.p1__Woodsia_polystichoides_scaffold3901.p1	0.4696	0.39708	3207.0	3.0	1.7418	GF_000502	5.2358		7.0		1506.0	Woodsia_polystichoides_C244823.p1	Woodsia_polystichoides_scaffold3901.p1	inf	0.0
Woodsia_polystichoides_C221541.p1__Woodsia_polystichoides_C244823.p1	0.00094	0.66667	3207.0	3.0	0.97789	GF_000502	5.2358		8.0		3.0	Woodsia_polystichoides_C221541.p1	Woodsia_polystichoides_C244823.p1	inf	0.0
Woodsia_polystichoides_C221541.p1__Woodsia_polystichoides_scaffold3901.p1	0.16745	0.43017	3207.0	3.0	1.88903	GF_000502	5.2358		8.0		537.0	Woodsia_polystichoides_C221541.p1	Woodsia_polystichoides_scaffold3901.p1	inf	0.0
Woodsia_polystichoides_C244823.p1__Woodsia_polystichoides_C248399.p1	0.26006	0.55635	3207.0	3.0	0.96662	GF_000502	5.2358		8.0		834.0	Woodsia_polystichoides_C248399.p1	Woodsia_polystichoides_C244823.p1	inf	0.0
Woodsia_polystichoides_C248399.p1__Woodsia_polystichoides_scaffold3901.p1	0.49673	0.41745	3207.0	3.0	1.87776	GF_000502	5.2358		8.0		1593.0	Woodsia_polystichoides_C248399.p1	Woodsia_polystichoides_scaffold3901.p1	inf	0.0
Woodsia_polystichoides_C221541.p1__Woodsia_polystichoides_C241999.p1	0.17493	0.45455	3207.0	3.0	1.40078	GF_000502	5.2358		9.0	0.3719	561.0	Woodsia_polystichoides_C241999.p1	Woodsia_polystichoides_C221541.p1	inf	0.0
Woodsia_polystichoides_C241999.p1__Woodsia_polystichoides_C248399.p1	0.41908	0.46503	3207.0	3.0	1.38951	GF_000502	5.2358		9.0		1344.0	Woodsia_polystichoides_C241999.p1	Woodsia_polystichoides_C248399.p1	inf	0.0
Woodsia_polystichoides_C241999.p1__Woodsia_polystichoides_C244823.p1	0.16558	0.48588	3207.0	3.0	1.50101	GF_000502	5.2358		9.0		531.0	Woodsia_polystichoides_C241999.p1	Woodsia_polystichoides_C244823.p1	inf	0.0
Woodsia_polystichoides_C241999.p1__Woodsia_polystichoides_scaffold3901.p1	0.39008	0.41407	3207.0	3.0	2.41215	GF_000502	5.2358		9.0		1251.0	Woodsia_polystichoides_C241999.p1	Woodsia_polystichoides_scaffold3901.p1	inf	0.0
Woodsia_polystichoides_C241999.p1__Woodsia_polystichoides_scaffold7513.p2	0.23761	0.36614	3207.0	3.0	2.52941	GF_000502	5.2358		10.0		762.0	Woodsia_polystichoides_scaffold7513.p2	Woodsia_polystichoides_C241999.p1	inf	0.0
Woodsia_polystichoides_C221541.p1__Woodsia_polystichoides_scaffold7513.p2	0.09355	0.32	3207.0	3.0	2.73993	GF_000502	5.2358		10.0		300.0	Woodsia_polystichoides_scaffold7513.p2	Woodsia_polystichoides_C221541.p1	inf	0.0
Woodsia_polystichoides_C248399.p1__Woodsia_polystichoides_scaffold7513.p2	0.25164	0.37794	3207.0	3.0	2.72866	GF_000502	5.2358		10.0		807.0	Woodsia_polystichoides_scaffold7513.p2	Woodsia_polystichoides_C248399.p1	inf	0.0
Woodsia_polystichoides_C244823.p1__Woodsia_polystichoides_scaffold7513.p2	0.14406	0.3355	3207.0	3.0	2.84016	GF_000502	5.2358		10.0		462.0	Woodsia_polystichoides_scaffold7513.p2	Woodsia_polystichoides_C244823.p1	inf	0.0
Woodsia_polystichoides_scaffold3901.p1__Woodsia_polystichoides_scaffold7513.p2	0.2217	0.35302	3207.0	3.0	3.7513	GF_000502	5.2358		10.0		711.0	Woodsia_polystichoides_scaffold7513.p2	Woodsia_polystichoides_scaffold3901.p1	inf	0.0
Woodsia_polystichoides_C233405.p1__Woodsia_polystichoides_C245143.p1	0.57547	0.67122	1908.0	1098.0	0.60182	GF_002318	0.3564	1.0965	2.0	0.325	1098.0	Woodsia_polystichoides_C233405.p1	Woodsia_polystichoides_C245143.p1	1.0	1.0
Woodsia_polystichoides_C236149.p1__Woodsia_polystichoides_scaffold6852.p1	0.46012	0.58889	978.0	450.0	0.73662	GF_002403	0.4289	3.1425	2.0	0.1365	450.0	Woodsia_polystichoides_C236149.p1	Woodsia_polystichoides_scaffold6852.p1	1.0	1.0
Woodsia_polystichoides_C240467.p1__Woodsia_polystichoides_scaffold1956.p1	0.59958	0.4324	1431.0	858.0	1.41224	GF_002556	0.8059	63.6774	2.0	0.0127	858.0	Woodsia_polystichoides_C240467.p1	Woodsia_polystichoides_scaffold1956.p1	1.0	0.0
Woodsia_polystichoides_scaffold183.p1__Woodsia_polystichoides_scaffold185.p1	0.72578	0.96757	1827.0	1293.0	0.03713	GF_000549	0.0172	0.0863	6.0	0.1994	1326.0	Woodsia_polystichoides_scaffold185.p1	Woodsia_polystichoides_scaffold183.p1	1.0	1.0
Woodsia_polystichoides_scaffold182.p1__Woodsia_polystichoides_scaffold185.p1	0.86864	1.0	1827.0	1293.0	0.00165	GF_000549	0.0	0.0	7.0	0.3161	1587.0	Woodsia_polystichoides_scaffold182.p1	Woodsia_polystichoides_scaffold185.p1	0.5	0.0
Woodsia_polystichoides_scaffold182.p1__Woodsia_polystichoides_scaffold183.p1	0.72578	0.96757	1827.0	1293.0	0.03768	GF_000549	0.0172	0.0863	7.0	0.1994	1326.0	Woodsia_polystichoides_scaffold182.p1	Woodsia_polystichoides_scaffold183.p1	0.5	1.0
Woodsia_polystichoides_scaffold182.p1__Woodsia_polystichoides_scaffold184.p1	0.93596	0.96784	1827.0	1293.0	0.04537	GF_000549	0.0279	0.0797	8.0	0.3502	1710.0	Woodsia_polystichoides_scaffold184.p1	Woodsia_polystichoides_scaffold182.p1	0.33333	0.33333
Woodsia_polystichoides_scaffold184.p1__Woodsia_polystichoides_scaffold185.p1	0.86864	0.96534	1827.0	1293.0	0.04592	GF_000549	0.0279	0.0797	8.0	0.3502	1587.0	Woodsia_polystichoides_scaffold184.p1	Woodsia_polystichoides_scaffold185.p1	0.33333	0.33333
Woodsia_polystichoides_scaffold183.p1__Woodsia_polystichoides_scaffold184.p1	0.72578	0.92609	1827.0	1293.0	0.08195	GF_000549	0.0456	0.1782	8.0	0.2558	1326.0	Woodsia_polystichoides_scaffold184.p1	Woodsia_polystichoides_scaffold183.p1	0.33333	0.33333
Woodsia_polystichoides_C246389.p1__Woodsia_polystichoides_scaffold184.p1	0.92611	0.70981	1827.0	1293.0	0.3366	GF_000549	0.1544	2.619	9.0	0.059	1692.0	Woodsia_polystichoides_C246389.p1	Woodsia_polystichoides_scaffold184.p1	0.25	0.25
Woodsia_polystichoides_C246389.p1__Woodsia_polystichoides_scaffold182.p1	0.92611	0.70863	1827.0	1293.0	0.34337	GF_000549	0.1623	2.4062	9.0	0.0675	1692.0	Woodsia_polystichoides_C246389.p1	Woodsia_polystichoides_scaffold182.p1	0.25	0.25
Woodsia_polystichoides_C246389.p1__Woodsia_polystichoides_scaffold185.p1	0.86864	0.71141	1827.0	1293.0	0.34392	GF_000549	0.1623	2.4062	9.0	0.0675	1587.0	Woodsia_polystichoides_C246389.p1	Woodsia_polystichoides_scaffold185.p1	0.25	0.25
Woodsia_polystichoides_C246389.p1__Woodsia_polystichoides_scaffold183.p1	0.72578	0.70588	1827.0	1293.0	0.37995	GF_000549	0.1685	2.3241	9.0	0.0725	1326.0	Woodsia_polystichoides_C246389.p1	Woodsia_polystichoides_scaffold183.p1	0.25	0.25
Woodsia_polystichoides_C246389.p1__Woodsia_polystichoides_C249019.p1	0.93268	0.66256	1827.0	1293.0	0.44869	GF_000549	0.2241	3.2228	10.0	0.0695	1704.0	Woodsia_polystichoides_C249019.p1	Woodsia_polystichoides_C246389.p1	0.2	0.2
Woodsia_polystichoides_C249019.p1__Woodsia_polystichoides_scaffold184.p1	0.91461	0.66607	1827.0	1293.0	0.41877	GF_000549	0.2121	4.3249	10.0	0.049	1671.0	Woodsia_polystichoides_C249019.p1	Woodsia_polystichoides_scaffold184.p1	0.2	0.2
Woodsia_polystichoides_C249019.p1__Woodsia_polystichoides_scaffold182.p1	0.91461	0.66547	1827.0	1293.0	0.42554	GF_000549	0.2149	4.3736	10.0	0.0491	1671.0	Woodsia_polystichoides_C249019.p1	Woodsia_polystichoides_scaffold182.p1	0.2	0.2
Woodsia_polystichoides_C249019.p1__Woodsia_polystichoides_scaffold185.p1	0.85057	0.66924	1827.0	1293.0	0.42609	GF_000549	0.2149	4.3736	10.0	0.0491	1554.0	Woodsia_polystichoides_C249019.p1	Woodsia_polystichoides_scaffold185.p1	0.2	0.2
Woodsia_polystichoides_C249019.p1__Woodsia_polystichoides_scaffold183.p1	0.70772	0.65739	1827.0	1293.0	0.46212	GF_000549	0.2223	4.9068	10.0	0.0453	1293.0	Woodsia_polystichoides_C249019.p1	Woodsia_polystichoides_scaffold183.p1	0.2	0.2
Woodsia_polystichoides_scaffold485.p1__Woodsia_polystichoides_scaffold5839.p1	0.10216	0.61502	2085.0	213.0	0.57368	GF_001680	0.3617	2.8154	3.0	0.1285	213.0	Woodsia_polystichoides_scaffold5839.p1	Woodsia_polystichoides_scaffold485.p1	1.0	1.0
Woodsia_polystichoides_C250426.p1__Woodsia_polystichoides_scaffold5839.p1	0.31942	0.57658	2085.0	213.0	0.68485	GF_001680	0.469	2.1356	4.0	0.2196	666.0	Woodsia_polystichoides_C250426.p1	Woodsia_polystichoides_scaffold5839.p1	0.5	1.0
Woodsia_polystichoides_C250426.p1__Woodsia_polystichoides_scaffold485.p1	0.10216	0.5446	2085.0	213.0	0.77393	GF_001680	0.4516	68.2723	4.0	0.0066	213.0	Woodsia_polystichoides_C250426.p1	Woodsia_polystichoides_scaffold485.p1	0.5	0.0
Woodsia_polystichoides_C229031.p1__Woodsia_polystichoides_scaffold1726.p2	0.52113	0.53829	852.0	411.0	0.94457	GF_000971	0.4139	86.0318	4.0	0.0048	444.0	Woodsia_polystichoides_C229031.p1	Woodsia_polystichoides_scaffold1726.p2	1.0	0.0
Woodsia_polystichoides_C229031.p1__Woodsia_polystichoides_C229143.p1	0.59859	0.56275	852.0	411.0	0.81787	GF_000971	0.3506	80.197	5.0	0.0044	510.0	Woodsia_polystichoides_C229143.p1	Woodsia_polystichoides_C229031.p1	0.5	0.0
Woodsia_polystichoides_C229143.p1__Woodsia_polystichoides_scaffold1726.p2	0.52113	0.52027	852.0	411.0	1.0071	GF_000971	0.5224	66.985	5.0	0.0078	444.0	Woodsia_polystichoides_C229143.p1	Woodsia_polystichoides_scaffold1726.p2	0.5	0.0
Woodsia_polystichoides_C227775.p1__Woodsia_polystichoides_C229143.p1	0.52817	0.49333	852.0	411.0	1.30819	GF_000971	0.6986	72.7993	6.0	0.0096	450.0	Woodsia_polystichoides_C227775.p1	Woodsia_polystichoides_C229143.p1	0.33333	0.0
Woodsia_polystichoides_C227775.p1__Woodsia_polystichoides_C229031.p1	0.5493	0.44872	852.0	411.0	1.83368	GF_000971	0.8727	73.5069	6.0	0.0119	468.0	Woodsia_polystichoides_C227775.p1	Woodsia_polystichoides_C229031.p1	0.33333	0.0
Woodsia_polystichoides_C227775.p1__Woodsia_polystichoides_scaffold1726.p2	0.48239	0.38443	852.0	411.0	2.02291	GF_000971	0.9735	71.1612	6.0	0.0137	411.0	Woodsia_polystichoides_C227775.p1	Woodsia_polystichoides_scaffold1726.p2	0.33333	0.0
Woodsia_polystichoides_C241993.p1__Woodsia_polystichoides_C247093.p1	0.79235	0.58084	1647.0	1305.0	0.93212	GF_002601	0.4826	1.5961	2.0	0.3024	1305.0	Woodsia_polystichoides_C241993.p1	Woodsia_polystichoides_C247093.p1	1.0	1.0
Woodsia_polystichoides_C234009.p1__Woodsia_polystichoides_scaffold3998.p1	0.63347	0.63312	753.0	345.0	0.51249	GF_001253	0.2977	2.8176	3.0	0.1057	477.0	Woodsia_polystichoides_C234009.p1	Woodsia_polystichoides_scaffold3998.p1	1.0	1.0
Woodsia_polystichoides_C213801.p1__Woodsia_polystichoides_C234009.p1	0.68127	0.49903	753.0	345.0	1.36374	GF_001253	0.6412	2.2913	4.0	0.2798	513.0	Woodsia_polystichoides_C213801.p1	Woodsia_polystichoides_C234009.p1	0.5	1.0
Woodsia_polystichoides_C213801.p1__Woodsia_polystichoides_scaffold3998.p1	0.45817	0.50145	753.0	345.0	1.20343	GF_001253	0.6017	5.0178	4.0	0.1199	345.0	Woodsia_polystichoides_C213801.p1	Woodsia_polystichoides_scaffold3998.p1	0.5	0.0
Woodsia_polystichoides_scaffold6479.p2__Woodsia_polystichoides_scaffold6851.p1	0.8547	0.83	351.0	270.0	0.2033	GF_001727	0.0994	1.4242	3.0	0.0698	300.0	Woodsia_polystichoides_scaffold6851.p1	Woodsia_polystichoides_scaffold6479.p2	1.0	1.0
Woodsia_polystichoides_scaffold6314.p2__Woodsia_polystichoides_scaffold6851.p1	0.76923	0.66667	351.0	270.0	0.61281	GF_001727	0.4084	1.6193	4.0	0.2522	270.0	Woodsia_polystichoides_scaffold6314.p2	Woodsia_polystichoides_scaffold6851.p1	0.5	1.0
Woodsia_polystichoides_scaffold6314.p2__Woodsia_polystichoides_scaffold6479.p2	0.76923	0.65926	351.0	270.0	0.58545	GF_001727	0.3383	77.1717	4.0	0.0044	270.0	Woodsia_polystichoides_scaffold6314.p2	Woodsia_polystichoides_scaffold6479.p2	0.5	0.0
Woodsia_polystichoides_C216577.p1__Woodsia_polystichoides_C222059.p1	0.33746	0.70642	969.0	327.0	0.3194	GF_001947	0.1733	2.8495	2.0	0.0608	327.0	Woodsia_polystichoides_C216577.p1	Woodsia_polystichoides_C222059.p1	1.0	1.0
