	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Asplenium_polyodon_C332372.p1__Asplenium_polyodon_C334740.p1	0.1869	0.52921	1557.0	72.0	1.03362	GF_000502	0.7489	68.9381	6.0	0.0109	291.0	Asplenium_polyodon_C332372.p1	Asplenium_polyodon_C334740.p1	1.0	0.0
Asplenium_polyodon_C365501.p1__Asplenium_polyodon_scaffold12377.p1	0.3526	0.57195	1557.0	72.0	0.79101	GF_000502	0.3642	3.4414	7.0	0.1058	549.0	Asplenium_polyodon_scaffold12377.p1	Asplenium_polyodon_C365501.p1	1.0	1.0
Asplenium_polyodon_C318130.p1__Asplenium_polyodon_scaffold12377.p1	0.22736	0.61299	1557.0	72.0	0.78747	GF_000502	0.5399	3.0891	8.0	0.1748	354.0	Asplenium_polyodon_C318130.p1	Asplenium_polyodon_scaffold12377.p1	0.5	1.0
Asplenium_polyodon_C318130.p1__Asplenium_polyodon_C365501.p1	0.22736	0.60734	1557.0	72.0	0.82464	GF_000502	0.5371	6.0682	8.0	0.0885	354.0	Asplenium_polyodon_C318130.p1	Asplenium_polyodon_C365501.p1	0.5	0.0
Asplenium_polyodon_C318130.p1__Asplenium_polyodon_scaffold15345.p1	0.22736	0.68362	1557.0	72.0	0.43307	GF_000502	0.3666	1.0441	9.0	0.3511	354.0	Asplenium_polyodon_scaffold15345.p1	Asplenium_polyodon_C318130.p1	0.33333	0.5
Asplenium_polyodon_scaffold12377.p1__Asplenium_polyodon_scaffold15345.p1	0.31792	0.55152	1557.0	72.0	0.93986	GF_000502	0.5903	2.5072	9.0	0.2355	495.0	Asplenium_polyodon_scaffold15345.p1	Asplenium_polyodon_scaffold12377.p1	0.33333	0.5
Asplenium_polyodon_C365501.p1__Asplenium_polyodon_scaffold15345.p1	0.30443	0.55907	1557.0	72.0	0.97703	GF_000502	0.4771	7.7139	9.0	0.0618	474.0	Asplenium_polyodon_scaffold15345.p1	Asplenium_polyodon_C365501.p1	0.33333	0.0
Asplenium_polyodon_C332372.p1__Asplenium_polyodon_scaffold15345.p1	0.19268	0.44667	1557.0	72.0	1.8668	GF_000502	1.3764	92.2679	10.0	0.0149	300.0	Asplenium_polyodon_C332372.p1	Asplenium_polyodon_scaffold15345.p1	0.125	0.0
Asplenium_polyodon_C318130.p1__Asplenium_polyodon_C332372.p1	0.11946	0.39247	1557.0	72.0	2.16193	GF_000502	1.6842	93.5705	10.0	0.018	186.0	Asplenium_polyodon_C332372.p1	Asplenium_polyodon_C318130.p1	0.125	0.0
Asplenium_polyodon_C332372.p1__Asplenium_polyodon_scaffold12377.p1	0.11946	0.37097	1557.0	72.0	2.66872	GF_000502	6.998	35.7015	10.0	0.196	186.0	Asplenium_polyodon_C332372.p1	Asplenium_polyodon_scaffold12377.p1	0.125	0.0
