	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Angiopteris_fokiensis_C490320.p1__Angiopteris_fokiensis_scaffold11443.p1	0.93681	0.82796	1092.0	1011.0	0.16311	GF_001925	0.0825	0.7119	3.0	0.1159	1023.0	Angiopteris_fokiensis_C490320.p1	Angiopteris_fokiensis_scaffold11443.p1	1.0	1.0
Angiopteris_fokiensis_C490320.p1__Angiopteris_fokiensis_scaffold18167.p1	0.92582	0.67557	1092.0	1011.0	0.40471	GF_001925	0.22	2.7792	4.0	0.0791	1011.0	Angiopteris_fokiensis_scaffold18167.p1	Angiopteris_fokiensis_C490320.p1	0.5	0.5
Angiopteris_fokiensis_scaffold11443.p1__Angiopteris_fokiensis_scaffold18167.p1	0.92582	0.67062	1092.0	1011.0	0.43312	GF_001925	0.2209	2.8192	4.0	0.0784	1011.0	Angiopteris_fokiensis_scaffold18167.p1	Angiopteris_fokiensis_scaffold11443.p1	0.5	0.5
Angiopteris_fokiensis_scaffold13077.p1__Angiopteris_fokiensis_scaffold13078.p1	0.99352	1.0	1389.0	1380.0	0.00054	GF_003247	0.0	0.0	2.0	0.4782	1380.0	Angiopteris_fokiensis_scaffold13077.p1	Angiopteris_fokiensis_scaffold13078.p1	1.0	0.0
Angiopteris_fokiensis_scaffold18698.p1__Angiopteris_fokiensis_scaffold18699.p1	1.0	1.0	1728.0	1728.0	0.0	GF_003125	0.0	0.0	2.0	0.4067	1728.0	Angiopteris_fokiensis_scaffold18699.p1	Angiopteris_fokiensis_scaffold18698.p1	1.0	0.0
Angiopteris_fokiensis_scaffold6707.p1__Angiopteris_fokiensis_scaffold6708.p1	0.45788	1.0	819.0	375.0	0.0011	GF_002318	0.0	0.0	3.0	0.001	375.0	Angiopteris_fokiensis_scaffold6708.p1	Angiopteris_fokiensis_scaffold6707.p1	1.0	0.0
Angiopteris_fokiensis_scaffold6706.p1__Angiopteris_fokiensis_scaffold6708.p1	0.6337	1.0	819.0	375.0	0.0011	GF_002318	0.0	0.0	4.0	0.4564	519.0	Angiopteris_fokiensis_scaffold6706.p1	Angiopteris_fokiensis_scaffold6708.p1	0.5	0.0
Angiopteris_fokiensis_scaffold6706.p1__Angiopteris_fokiensis_scaffold6707.p1	0.45788	1.0	819.0	375.0	0.0011	GF_002318	0.0	0.0	4.0	0.4764	375.0	Angiopteris_fokiensis_scaffold6706.p1	Angiopteris_fokiensis_scaffold6707.p1	0.5	0.0
Angiopteris_fokiensis_C416852.p1__Angiopteris_fokiensis_scaffold3987.p1	0.27703	0.71003	1332.0	369.0	0.59684	GF_002403	0.3209	0.7386	2.0	0.4344	369.0	Angiopteris_fokiensis_C416852.p1	Angiopteris_fokiensis_scaffold3987.p1	1.0	1.0
Angiopteris_fokiensis_scaffold10650.p1__Angiopteris_fokiensis_scaffold10651.p1	0.85217	0.91156	345.0	294.0	0.13394	GF_003057	0.0925	0.1042	2.0	0.8874	294.0	Angiopteris_fokiensis_scaffold10650.p1	Angiopteris_fokiensis_scaffold10651.p1	1.0	1.0
