	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-ORJE-2092572-Cibotium_glaucum.p1__scaffold-ORJE-2093652-Cibotium_glaucum.p1	0.04391	0.95455	1503.0	66.0	0.02401	GF_001925	0.0222	0.1133	3.0	0.1959	66.0	scaffold-ORJE-2093652-Cibotium_glaucum.p1	scaffold-ORJE-2092572-Cibotium_glaucum.p1	1.0	1.0
scaffold-ORJE-2019586-Cibotium_glaucum.p1__scaffold-ORJE-2093652-Cibotium_glaucum.p1	0.31337	0.64968	1503.0	66.0	0.53485	GF_001925	0.424	7.1971	4.0	0.0589	471.0	scaffold-ORJE-2019586-Cibotium_glaucum.p1	scaffold-ORJE-2093652-Cibotium_glaucum.p1	0.5	0.0
scaffold-ORJE-2019586-Cibotium_glaucum.p1__scaffold-ORJE-2092572-Cibotium_glaucum.p1	0.35529	0.59925	1503.0	66.0	0.51194	GF_001925	0.3844	9.4272	4.0	0.0408	534.0	scaffold-ORJE-2019586-Cibotium_glaucum.p1	scaffold-ORJE-2092572-Cibotium_glaucum.p1	0.5	0.0
scaffold-ORJE-2004256-Cibotium_glaucum.p1__scaffold-ORJE-2004258-Cibotium_glaucum.p1	0.68235	1.0	1020.0	132.0	0.00865	GF_000502	0.0	0.0	6.0	0.446	696.0	scaffold-ORJE-2004258-Cibotium_glaucum.p1	scaffold-ORJE-2004256-Cibotium_glaucum.p1	1.0	0.0
scaffold-ORJE-2004257-Cibotium_glaucum.p1__scaffold-ORJE-2004258-Cibotium_glaucum.p1	0.68235	1.0	1020.0	132.0	0.00991	GF_000502	0.0	0.0	7.0	0.001	696.0	scaffold-ORJE-2004257-Cibotium_glaucum.p1	scaffold-ORJE-2004258-Cibotium_glaucum.p1	0.5	0.0
scaffold-ORJE-2004256-Cibotium_glaucum.p1__scaffold-ORJE-2004257-Cibotium_glaucum.p1	0.88235	0.98333	1020.0	132.0	0.01746	GF_000502	0.0	0.0	7.0	0.4382	900.0	scaffold-ORJE-2004257-Cibotium_glaucum.p1	scaffold-ORJE-2004256-Cibotium_glaucum.p1	0.5	0.0
scaffold-ORJE-2004257-Cibotium_glaucum.p1__scaffold-ORJE-2004259-Cibotium_glaucum.p1	0.52059	0.93032	1020.0	132.0	0.09434	GF_000502	0.3031	0.4732	8.0	0.6406	531.0	scaffold-ORJE-2004259-Cibotium_glaucum.p1	scaffold-ORJE-2004257-Cibotium_glaucum.p1	0.33333	0.33333
scaffold-ORJE-2004258-Cibotium_glaucum.p1__scaffold-ORJE-2004259-Cibotium_glaucum.p1	0.51765	0.93371	1020.0	132.0	0.08661	GF_000502	0.3031	0.4732	8.0	0.6406	528.0	scaffold-ORJE-2004259-Cibotium_glaucum.p1	scaffold-ORJE-2004258-Cibotium_glaucum.p1	0.33333	0.33333
scaffold-ORJE-2004256-Cibotium_glaucum.p1__scaffold-ORJE-2004259-Cibotium_glaucum.p1	0.52059	0.93032	1020.0	132.0	0.09416	GF_000502	0.3031	0.4732	8.0	0.6406	531.0	scaffold-ORJE-2004259-Cibotium_glaucum.p1	scaffold-ORJE-2004256-Cibotium_glaucum.p1	0.33333	0.33333
scaffold-ORJE-2004259-Cibotium_glaucum.p1__scaffold-ORJE-2014306-Cibotium_glaucum.p1	0.31765	0.69136	1020.0	132.0	0.57755	GF_000502	0.3935	1.2402	9.0	0.3173	324.0	scaffold-ORJE-2014306-Cibotium_glaucum.p1	scaffold-ORJE-2004259-Cibotium_glaucum.p1	0.25	0.25
