	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-UJWU-2008430-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2008431-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.84358	0.95585	537.0	453.0	0.07874	GF_001925	0.0364	0.0756	2.0	0.4808	453.0	scaffold-UJWU-2008430-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008431-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2064742-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2065102-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.85321	0.56989	327.0	279.0	1.1776	GF_002318	0.7829	1.9525	2.0	0.401	279.0	scaffold-UJWU-2064742-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2065102-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2069291-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2072501-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.44689	0.61475	819.0	366.0	0.58556	GF_002403	0.3505	2.9899	2.0	0.1172	366.0	scaffold-UJWU-2069291-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2072501-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2008872-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2069769-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2998	0.54605	1521.0	45.0	0.83061	GF_000549	0.6094	5.6209	4.0	0.1084	456.0	scaffold-UJWU-2008872-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2069769-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	0.0
scaffold-UJWU-2000952-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2008872-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.22485	0.47368	1521.0	45.0	1.31798	GF_000549	1.1594	9.9813	5.0	0.1162	342.0	scaffold-UJWU-2000952-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008872-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2000952-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2069769-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.02959	0.4	1521.0	45.0	1.46355	GF_000549	0.9722	81.78	5.0	0.0119	45.0	scaffold-UJWU-2000952-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2069769-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2000952-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2004922-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.13609	0.41546	1521.0	45.0	1.71542	GF_000549	0.7534	60.8054	6.0	0.0124	207.0	scaffold-UJWU-2004922-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2000952-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.33333	0.0
scaffold-UJWU-2004922-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2008872-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.35108	0.4176	1521.0	45.0	2.12714	GF_000549	1.2335	9.5243	6.0	0.1295	534.0	scaffold-UJWU-2004922-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008872-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.33333	0.0
scaffold-UJWU-2004922-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2069769-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.18738	0.36491	1521.0	45.0	2.27271	GF_000549	9.9669	0.2345	6.0	42.4964	285.0	scaffold-UJWU-2004922-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2069769-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.33333	1.0
scaffold-UJWU-2005087-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2073836-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.73944	0.44127	852.0	630.0	1.39018	GF_001680	0.7633	11.1033	2.0	0.0687	630.0	scaffold-UJWU-2005087-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2073836-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	0.0
scaffold-UJWU-2004558-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2069498-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.86992	0.67601	369.0	315.0	0.32072	GF_000971	0.1635	4.0759	3.0	0.0401	321.0	scaffold-UJWU-2004558-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2069498-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2004558-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2067194-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.85366	0.53016	369.0	315.0	0.87119	GF_000971	0.4539	5.316	4.0	0.0854	315.0	scaffold-UJWU-2067194-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2004558-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2067194-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2069498-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.85366	0.51746	369.0	315.0	0.83047	GF_000971	0.4434	69.1594	4.0	0.0064	315.0	scaffold-UJWU-2067194-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2069498-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2005669-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2009861-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.28283	0.8631	594.0	168.0	0.00054	GF_001727	0.0011	1.094	2.0	0.001	168.0	scaffold-UJWU-2005669-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2009861-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2008768-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2011119-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.86978	0.50282	1221.0	1062.0	1.06326	GF_001947	0.5576	9.1534	2.0	0.0609	1062.0	scaffold-UJWU-2008768-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2011119-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	0.0
scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.39467	0.78119	1239.0	96.0	0.14229	GF_000349	0.0628	6.1838	6.0	0.0102	489.0	scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	0.0
scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.37046	0.73203	1239.0	96.0	0.31927	GF_000349	0.1792	1.2695	7.0	0.1412	459.0	scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	1.0
scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.45763	0.72663	1239.0	96.0	0.27896	GF_000349	0.2082	6.5413	7.0	0.0318	567.0	scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.07748	0.8125	1239.0	96.0	0.11957	GF_000349	0.083	2.5697	8.0	0.0323	96.0	scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.30993	0.71094	1239.0	96.0	0.31052	GF_000349	0.1944	4.0014	9.0	0.0486	384.0	scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.16667	0.2
scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2276	0.69858	1239.0	96.0	0.29259	GF_000349	0.2625	2.2608	9.0	0.1161	282.0	scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.16667	0.2
scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.30751	0.74803	1239.0	96.0	0.28109	GF_000349	0.0743	1.4512	9.0	0.0512	381.0	scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.16667	0.2
scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.14044	0.76437	1239.0	96.0	0.26316	GF_000349	0.1101	1.3	9.0	0.0847	174.0	scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.16667	0.2
scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.30751	0.75066	1239.0	96.0	0.24078	GF_000349	0.1414	81.2061	9.0	0.0017	381.0	scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.16667	0.0
scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.24697	0.77451	1239.0	96.0	0.22285	GF_000349	0.043	3.5824	9.0	0.012	306.0	scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.16667	0.2
scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.45763	0.47972	1239.0	96.0	1.55335	GF_000349	0.5083	32.8748	10.0	0.0155	567.0	scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2071139-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2	0.0
scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.37772	0.47863	1239.0	96.0	1.52392	GF_000349	0.5726	6.9463	10.0	0.0824	468.0	scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2011608-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2	0.0
scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.76513	0.46519	1239.0	96.0	1.48361	GF_000349	0.6533	5.7785	10.0	0.1131	948.0	scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2011078-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2	0.0
scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.30751	0.46982	1239.0	96.0	1.41291	GF_000349	0.5672	9.0509	10.0	0.0627	381.0	scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2008064-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2	0.0
scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.24697	0.46405	1239.0	96.0	1.39498	GF_000349	0.5729	11.4405	10.0	0.0501	306.0	scaffold-UJWU-2074213-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2065159-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.2	0.0
scaffold-UJWU-2005126-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2005127-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.3105	0.94363	1314.0	99.0	0.03903	GF_000305	0.0828	5.0036	6.0	0.0165	408.0	scaffold-UJWU-2005126-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2005127-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	0.0
scaffold-UJWU-2005126-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.09361	0.65041	1314.0	99.0	0.74871	GF_000305	0.2149	9.7709	7.0	0.022	123.0	scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2005126-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2005127-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.19863	0.57854	1314.0	99.0	0.72796	GF_000305	0.1933	12.0056	7.0	0.0161	261.0	scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2005127-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2002343-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2002344-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.39498	0.92293	1314.0	99.0	0.12119	GF_000305	0.0888	0.2754	8.0	0.3223	519.0	scaffold-UJWU-2002343-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2002344-Pleopeltis_polypodioides-dehydrating_fronds.p1	1.0	1.0
scaffold-UJWU-2002343-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2013379-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.47032	0.62783	1314.0	99.0	0.45961	GF_000305	0.0723	70.5695	9.0	0.001	618.0	scaffold-UJWU-2013379-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2002343-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2002344-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2013379-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.36301	0.60377	1314.0	99.0	0.52678	GF_000305	0.0966	86.2079	9.0	0.0011	477.0	scaffold-UJWU-2013379-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2002344-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.5	0.0
scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2013379-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.20548	0.47407	1314.0	99.0	1.18604	GF_000305	0.3056	4.1287	10.0	0.074	270.0	scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2013379-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.11111	1.0
scaffold-UJWU-2002343-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.20776	0.46886	1314.0	99.0	1.17395	GF_000305	0.3577	73.9951	10.0	0.0048	273.0	scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2002343-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.11111	0.0
scaffold-UJWU-2002344-Pleopeltis_polypodioides-dehydrating_fronds.p1__scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.20776	0.4359	1314.0	99.0	1.24112	GF_000305	0.3962	74.0932	10.0	0.0053	273.0	scaffold-UJWU-2009823-Pleopeltis_polypodioides-dehydrating_fronds.p1	scaffold-UJWU-2002344-Pleopeltis_polypodioides-dehydrating_fronds.p1	0.11111	0.0
