	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-LHLE-2070041-Cystopteris_fragilis.p1__scaffold-LHLE-2071026-Cystopteris_fragilis.p1	0.69032	0.5514	930.0	630.0	0.86123	GF_001925	0.4417	64.4301	3.0	0.0069	642.0	scaffold-LHLE-2070041-Cystopteris_fragilis.p1	scaffold-LHLE-2071026-Cystopteris_fragilis.p1	1.0	0.0
scaffold-LHLE-2070041-Cystopteris_fragilis.p1__scaffold-LHLE-2070724-Cystopteris_fragilis.p1	0.67742	0.44921	930.0	630.0	1.60191	GF_001925	0.7172	64.6568	4.0	0.0111	630.0	scaffold-LHLE-2070724-Cystopteris_fragilis.p1	scaffold-LHLE-2070041-Cystopteris_fragilis.p1	0.5	0.0
scaffold-LHLE-2070724-Cystopteris_fragilis.p1__scaffold-LHLE-2071026-Cystopteris_fragilis.p1	0.7129	0.43741	930.0	630.0	1.666	GF_001925	0.7359	66.701	4.0	0.011	663.0	scaffold-LHLE-2070724-Cystopteris_fragilis.p1	scaffold-LHLE-2071026-Cystopteris_fragilis.p1	0.5	0.0
scaffold-LHLE-2071036-Cystopteris_fragilis.p1__scaffold-LHLE-2071569-Cystopteris_fragilis.p1	0.87234	0.43089	846.0	738.0	1.6621	GF_003247	0.8482	58.175	2.0	0.0146	738.0	scaffold-LHLE-2071036-Cystopteris_fragilis.p1	scaffold-LHLE-2071569-Cystopteris_fragilis.p1	1.0	0.0
scaffold-LHLE-2018034-Cystopteris_fragilis.p1__scaffold-LHLE-2072754-Cystopteris_fragilis.p1	0.48039	0.5068	1224.0	588.0	1.1449	GF_003125	0.6009	10.5867	2.0	0.0568	588.0	scaffold-LHLE-2018034-Cystopteris_fragilis.p1	scaffold-LHLE-2072754-Cystopteris_fragilis.p1	1.0	0.0
scaffold-LHLE-2017936-Cystopteris_fragilis.p1__scaffold-LHLE-2071837-Cystopteris_fragilis.p1	0.66083	0.47461	1371.0	906.0	1.2971	GF_002318	0.725	17.0787	2.0	0.0425	906.0	scaffold-LHLE-2071837-Cystopteris_fragilis.p1	scaffold-LHLE-2017936-Cystopteris_fragilis.p1	1.0	0.0
scaffold-LHLE-2005581-Cystopteris_fragilis.p1__scaffold-LHLE-2068783-Cystopteris_fragilis.p1	0.55132	0.61348	1023.0	564.0	0.74648	GF_002403	0.3927	3.3559	2.0	0.117	564.0	scaffold-LHLE-2005581-Cystopteris_fragilis.p1	scaffold-LHLE-2068783-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2016761-Cystopteris_fragilis.p1__scaffold-LHLE-2071607-Cystopteris_fragilis.p1	0.79457	0.65854	774.0	615.0	0.4676	GF_003057	0.2598	1.7864	2.0	0.1454	615.0	scaffold-LHLE-2016761-Cystopteris_fragilis.p1	scaffold-LHLE-2071607-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2007932-Cystopteris_fragilis.p1__scaffold-LHLE-2008216-Cystopteris_fragilis.p1	0.75587	0.53002	639.0	483.0	1.04352	GF_002556	0.5906	68.8043	2.0	0.0086	483.0	scaffold-LHLE-2007932-Cystopteris_fragilis.p1	scaffold-LHLE-2008216-Cystopteris_fragilis.p1	1.0	0.0
scaffold-LHLE-2014031-Cystopteris_fragilis.p1__scaffold-LHLE-2016788-Cystopteris_fragilis.p1	0.85619	0.63049	1356.0	969.0	0.58174	GF_001680	0.254	2.2948	3.0	0.1107	1161.0	scaffold-LHLE-2016788-Cystopteris_fragilis.p1	scaffold-LHLE-2014031-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2016788-Cystopteris_fragilis.p1__scaffold-LHLE-2017016-Cystopteris_fragilis.p1	0.77434	0.46476	1356.0	969.0	1.47265	GF_001680	0.7423	5.799	4.0	0.128	1050.0	scaffold-LHLE-2017016-Cystopteris_fragilis.p1	scaffold-LHLE-2016788-Cystopteris_fragilis.p1	0.5	0.0
scaffold-LHLE-2014031-Cystopteris_fragilis.p1__scaffold-LHLE-2017016-Cystopteris_fragilis.p1	0.72345	0.49032	1356.0	969.0	1.29677	GF_001680	0.6638	11.314	4.0	0.0587	981.0	scaffold-LHLE-2017016-Cystopteris_fragilis.p1	scaffold-LHLE-2014031-Cystopteris_fragilis.p1	0.5	0.0
scaffold-LHLE-2008594-Cystopteris_fragilis.p1__scaffold-LHLE-2015130-Cystopteris_fragilis.p1	0.59688	0.61194	1347.0	804.0	0.761	GF_002601	0.3721	2.9192	2.0	0.1275	804.0	scaffold-LHLE-2008594-Cystopteris_fragilis.p1	scaffold-LHLE-2015130-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2072118-Cystopteris_fragilis.p1__scaffold-LHLE-2072294-Cystopteris_fragilis.p1	0.95802	0.84278	1215.0	1164.0	0.06892	GF_003263	0.0341	1.1577	2.0	0.0294	1164.0	scaffold-LHLE-2072118-Cystopteris_fragilis.p1	scaffold-LHLE-2072294-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2061492-Cystopteris_fragilis.p1__scaffold-LHLE-2071829-Cystopteris_fragilis.p1	0.23179	0.51111	1359.0	9.0	1.00772	GF_001253	0.8875	3.521	4.0	0.252	315.0	scaffold-LHLE-2071829-Cystopteris_fragilis.p1	scaffold-LHLE-2061492-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2068912-Cystopteris_fragilis.p1__scaffold-LHLE-2071829-Cystopteris_fragilis.p1	0.27815	0.61111	1359.0	9.0	0.72233	GF_001253	23.1929	3.3274	5.0	6.9702	378.0	scaffold-LHLE-2068912-Cystopteris_fragilis.p1	scaffold-LHLE-2071829-Cystopteris_fragilis.p1	0.5	0.5
scaffold-LHLE-2061492-Cystopteris_fragilis.p1__scaffold-LHLE-2068912-Cystopteris_fragilis.p1	0.00662	0.44444	1359.0	9.0	1.13697	GF_001253	17.6917	1.46	5.0	12.1174	9.0	scaffold-LHLE-2068912-Cystopteris_fragilis.p1	scaffold-LHLE-2061492-Cystopteris_fragilis.p1	0.5	0.5
scaffold-LHLE-2068912-Cystopteris_fragilis.p1__scaffold-LHLE-2072200-Cystopteris_fragilis.p1	0.27815	0.40476	1359.0	9.0	2.23438	GF_001253	4.6277	0.0467	6.0	99.0	378.0	scaffold-LHLE-2072200-Cystopteris_fragilis.p1	scaffold-LHLE-2068912-Cystopteris_fragilis.p1	0.33333	0.33333
scaffold-LHLE-2071829-Cystopteris_fragilis.p1__scaffold-LHLE-2072200-Cystopteris_fragilis.p1	0.47903	0.38402	1359.0	9.0	2.10623	GF_001253	4.9937	0.0504	6.0	99.0	651.0	scaffold-LHLE-2072200-Cystopteris_fragilis.p1	scaffold-LHLE-2071829-Cystopteris_fragilis.p1	0.33333	0.33333
scaffold-LHLE-2061492-Cystopteris_fragilis.p1__scaffold-LHLE-2072200-Cystopteris_fragilis.p1	0.15673	0.38967	1359.0	9.0	2.52087	GF_001253	5.3213	0.0538	6.0	99.0	213.0	scaffold-LHLE-2072200-Cystopteris_fragilis.p1	scaffold-LHLE-2061492-Cystopteris_fragilis.p1	0.33333	0.33333
scaffold-LHLE-2010777-Cystopteris_fragilis.p1__scaffold-LHLE-2010778-Cystopteris_fragilis.p2	0.18617	1.0	564.0	105.0	0.00109	GF_001727	0.0	0.0	3.0	0.001	105.0	scaffold-LHLE-2010777-Cystopteris_fragilis.p1	scaffold-LHLE-2010778-Cystopteris_fragilis.p2	1.0	0.0
scaffold-LHLE-2010396-Cystopteris_fragilis.p1__scaffold-LHLE-2010777-Cystopteris_fragilis.p1	0.73936	0.58034	564.0	105.0	0.891	GF_001727	0.8948	55.1626	4.0	0.0162	417.0	scaffold-LHLE-2010396-Cystopteris_fragilis.p1	scaffold-LHLE-2010777-Cystopteris_fragilis.p1	0.5	0.0
scaffold-LHLE-2010396-Cystopteris_fragilis.p1__scaffold-LHLE-2010778-Cystopteris_fragilis.p2	0.20213	0.47368	564.0	105.0	0.89099	GF_001727	0.8947	55.1626	4.0	0.0162	114.0	scaffold-LHLE-2010396-Cystopteris_fragilis.p1	scaffold-LHLE-2010778-Cystopteris_fragilis.p2	0.5	0.0
scaffold-LHLE-2000062-Cystopteris_fragilis.p1__scaffold-LHLE-2072306-Cystopteris_fragilis.p1	0.98084	0.65885	783.0	768.0	0.34008	GF_001947	0.1741	59.0398	2.0	0.0029	768.0	scaffold-LHLE-2000062-Cystopteris_fragilis.p1	scaffold-LHLE-2072306-Cystopteris_fragilis.p1	1.0	0.0
scaffold-LHLE-2011442-Cystopteris_fragilis.p1__scaffold-LHLE-2073334-Cystopteris_fragilis.p1	0.18994	0.48383	4233.0	210.0	1.28836	GF_000349	0.9006	4.9502	8.0	0.1819	804.0	scaffold-LHLE-2011442-Cystopteris_fragilis.p1	scaffold-LHLE-2073334-Cystopteris_fragilis.p1	1.0	1.0
scaffold-LHLE-2002675-Cystopteris_fragilis.p1__scaffold-LHLE-2011442-Cystopteris_fragilis.p1	0.19064	0.43371	4233.0	210.0	2.03692	GF_000349	0.9906	15.6928	9.0	0.0631	807.0	scaffold-LHLE-2002675-Cystopteris_fragilis.p1	scaffold-LHLE-2011442-Cystopteris_fragilis.p1	0.5	0.0
scaffold-LHLE-2002675-Cystopteris_fragilis.p1__scaffold-LHLE-2073334-Cystopteris_fragilis.p1	0.33806	0.4116	4233.0	210.0	2.11432	GF_000349	0.9843	3.9585	9.0	0.2487	1431.0	scaffold-LHLE-2002675-Cystopteris_fragilis.p1	scaffold-LHLE-2073334-Cystopteris_fragilis.p1	0.5	1.0
scaffold-LHLE-2002686-Cystopteris_fragilis.p1__scaffold-LHLE-2002687-Cystopteris_fragilis.p1	0.2686	1.0	4233.0	210.0	0.0011	GF_000349	0.0	0.0	10.0	0.001	1137.0	scaffold-LHLE-2002687-Cystopteris_fragilis.p1	scaffold-LHLE-2002686-Cystopteris_fragilis.p1	1.0	0.0
