	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-MROH-2008441-Thelypteris_acuminata.p2__scaffold-MROH-2047085-Thelypteris_acuminata.p1	0.87143	0.49454	420.0	366.0	1.21048	GF_001925	0.6109	60.3154	2.0	0.0101	366.0	scaffold-MROH-2008441-Thelypteris_acuminata.p2	scaffold-MROH-2047085-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2005859-Thelypteris_acuminata.p1__scaffold-MROH-2010634-Thelypteris_acuminata.p1	0.89642	0.79482	1593.0	633.0	0.09982	GF_000502	0.0316	1.8624	4.0	0.0169	1428.0	scaffold-MROH-2005859-Thelypteris_acuminata.p1	scaffold-MROH-2010634-Thelypteris_acuminata.p1	1.0	1.0
scaffold-MROH-2005859-Thelypteris_acuminata.p1__scaffold-MROH-2010391-Thelypteris_acuminata.p1	0.51036	0.6187	1593.0	633.0	0.54123	GF_000502	0.2739	66.8543	5.0	0.0041	813.0	scaffold-MROH-2010391-Thelypteris_acuminata.p1	scaffold-MROH-2005859-Thelypteris_acuminata.p1	0.5	0.0
scaffold-MROH-2010391-Thelypteris_acuminata.p1__scaffold-MROH-2010634-Thelypteris_acuminata.p1	0.51036	0.60394	1593.0	633.0	0.61561	GF_000502	0.2913	62.649	5.0	0.0046	813.0	scaffold-MROH-2010391-Thelypteris_acuminata.p1	scaffold-MROH-2010634-Thelypteris_acuminata.p1	0.5	0.0
scaffold-MROH-2001806-Thelypteris_acuminata.p1__scaffold-MROH-2010391-Thelypteris_acuminata.p1	0.39736	0.39652	1593.0	633.0	1.93614	GF_000502	1.1089	60.0763	6.0	0.0185	633.0	scaffold-MROH-2001806-Thelypteris_acuminata.p1	scaffold-MROH-2010391-Thelypteris_acuminata.p1	0.33333	0.0
scaffold-MROH-2001806-Thelypteris_acuminata.p1__scaffold-MROH-2005859-Thelypteris_acuminata.p1	0.67797	0.42407	1593.0	633.0	1.74295	GF_000502	1.0517	45.4897	6.0	0.0231	1080.0	scaffold-MROH-2001806-Thelypteris_acuminata.p1	scaffold-MROH-2005859-Thelypteris_acuminata.p1	0.33333	0.0
scaffold-MROH-2001806-Thelypteris_acuminata.p1__scaffold-MROH-2010634-Thelypteris_acuminata.p1	0.67985	0.43306	1593.0	633.0	1.81733	GF_000502	1.0983	59.4755	6.0	0.0185	1083.0	scaffold-MROH-2001806-Thelypteris_acuminata.p1	scaffold-MROH-2010634-Thelypteris_acuminata.p1	0.33333	0.0
scaffold-MROH-2044962-Thelypteris_acuminata.p2__scaffold-MROH-2045356-Thelypteris_acuminata.p1	0.98507	0.5303	402.0	396.0	0.75422	GF_002318	0.5094	48.9908	2.0	0.0104	396.0	scaffold-MROH-2044962-Thelypteris_acuminata.p2	scaffold-MROH-2045356-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2046713-Thelypteris_acuminata.p1__scaffold-MROH-2048285-Thelypteris_acuminata.p1	0.66993	0.41484	1227.0	822.0	1.8524	GF_002403	0.9361	12.673	2.0	0.0739	822.0	scaffold-MROH-2046713-Thelypteris_acuminata.p1	scaffold-MROH-2048285-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2005694-Thelypteris_acuminata.p1__scaffold-MROH-2040977-Thelypteris_acuminata.p1	0.53361	0.54856	714.0	345.0	0.87665	GF_000549	0.4568	2.4853	4.0	0.1838	381.0	scaffold-MROH-2005694-Thelypteris_acuminata.p1	scaffold-MROH-2040977-Thelypteris_acuminata.p1	1.0	1.0
scaffold-MROH-2006012-Thelypteris_acuminata.p1__scaffold-MROH-2040469-Thelypteris_acuminata.p1	0.60084	0.61305	714.0	345.0	0.75975	GF_000549	0.3699	1.6584	5.0	0.223	429.0	scaffold-MROH-2006012-Thelypteris_acuminata.p1	scaffold-MROH-2040469-Thelypteris_acuminata.p1	1.0	1.0
scaffold-MROH-2005694-Thelypteris_acuminata.p1__scaffold-MROH-2006012-Thelypteris_acuminata.p1	0.69328	0.49697	714.0	345.0	1.23459	GF_000549	0.4611	3.5559	6.0	0.1297	495.0	scaffold-MROH-2005694-Thelypteris_acuminata.p1	scaffold-MROH-2006012-Thelypteris_acuminata.p1	0.25	0.25
scaffold-MROH-2005694-Thelypteris_acuminata.p1__scaffold-MROH-2040469-Thelypteris_acuminata.p1	0.61345	0.49315	714.0	345.0	1.32662	GF_000549	0.5595	3.7519	6.0	0.1491	438.0	scaffold-MROH-2005694-Thelypteris_acuminata.p1	scaffold-MROH-2040469-Thelypteris_acuminata.p1	0.25	0.25
scaffold-MROH-2006012-Thelypteris_acuminata.p1__scaffold-MROH-2040977-Thelypteris_acuminata.p1	0.48319	0.53333	714.0	345.0	1.10784	GF_000549	0.545	3.8141	6.0	0.1429	345.0	scaffold-MROH-2040977-Thelypteris_acuminata.p1	scaffold-MROH-2006012-Thelypteris_acuminata.p1	0.25	0.25
scaffold-MROH-2040469-Thelypteris_acuminata.p1__scaffold-MROH-2040977-Thelypteris_acuminata.p1	0.5042	0.53611	714.0	345.0	1.19987	GF_000549	0.5603	4.3059	6.0	0.1301	360.0	scaffold-MROH-2040977-Thelypteris_acuminata.p1	scaffold-MROH-2040469-Thelypteris_acuminata.p1	0.25	0.25
scaffold-MROH-2005577-Thelypteris_acuminata.p2__scaffold-MROH-2005578-Thelypteris_acuminata.p2	1.0	1.0	210.0	210.0	0.0	GF_001680	0.0	0.0	2.0	0.5101	210.0	scaffold-MROH-2005577-Thelypteris_acuminata.p2	scaffold-MROH-2005578-Thelypteris_acuminata.p2	1.0	0.0
scaffold-MROH-2005330-Thelypteris_acuminata.p1__scaffold-MROH-2005331-Thelypteris_acuminata.p1	1.0	1.0	432.0	387.0	0.0	GF_000971	0.0	0.0	3.0	0.3669	432.0	scaffold-MROH-2005330-Thelypteris_acuminata.p1	scaffold-MROH-2005331-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2005330-Thelypteris_acuminata.p1__scaffold-MROH-2005332-Thelypteris_acuminata.p1	0.89583	0.97674	432.0	387.0	0.02394	GF_000971	0.0171	0.0483	4.0	0.3539	387.0	scaffold-MROH-2005330-Thelypteris_acuminata.p1	scaffold-MROH-2005332-Thelypteris_acuminata.p1	0.5	0.5
scaffold-MROH-2005331-Thelypteris_acuminata.p1__scaffold-MROH-2005332-Thelypteris_acuminata.p1	0.89583	0.97674	432.0	387.0	0.02394	GF_000971	0.0171	0.0483	4.0	0.3539	387.0	scaffold-MROH-2005331-Thelypteris_acuminata.p1	scaffold-MROH-2005332-Thelypteris_acuminata.p1	0.5	0.5
scaffold-MROH-2000314-Thelypteris_acuminata.p1__scaffold-MROH-2000315-Thelypteris_acuminata.p1	1.0	1.0	1107.0	1107.0	0.0	GF_001253	0.0	0.0	2.0	0.4001	1107.0	scaffold-MROH-2000314-Thelypteris_acuminata.p1	scaffold-MROH-2000315-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2006140-Thelypteris_acuminata.p1__scaffold-MROH-2008756-Thelypteris_acuminata.p1	0.53759	0.52214	798.0	429.0	1.0493	GF_001727	0.5661	5.49	2.0	0.1031	429.0	scaffold-MROH-2006140-Thelypteris_acuminata.p1	scaffold-MROH-2008756-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2008714-Thelypteris_acuminata.p1__scaffold-MROH-2040448-Thelypteris_acuminata.p1	0.69091	0.46491	495.0	342.0	1.30966	GF_001947	0.7236	58.3676	2.0	0.0124	342.0	scaffold-MROH-2008714-Thelypteris_acuminata.p1	scaffold-MROH-2040448-Thelypteris_acuminata.p1	1.0	0.0
scaffold-MROH-2010322-Thelypteris_acuminata.p1__scaffold-MROH-2010451-Thelypteris_acuminata.p1	0.42991	0.79348	642.0	90.0	0.1295	GF_000349	0.0037	3.6892	5.0	0.001	276.0	scaffold-MROH-2010451-Thelypteris_acuminata.p1	scaffold-MROH-2010322-Thelypteris_acuminata.p1	1.0	1.0
scaffold-MROH-2007184-Thelypteris_acuminata.p1__scaffold-MROH-2010451-Thelypteris_acuminata.p1	0.8271	0.78343	642.0	90.0	0.13301	GF_000349	0.0204	20.4415	6.0	0.001	531.0	scaffold-MROH-2007184-Thelypteris_acuminata.p1	scaffold-MROH-2010451-Thelypteris_acuminata.p1	0.5	0.0
scaffold-MROH-2007184-Thelypteris_acuminata.p1__scaffold-MROH-2010322-Thelypteris_acuminata.p1	0.42991	0.77536	642.0	90.0	0.11507	GF_000349	0.0185	18.5489	6.0	0.001	276.0	scaffold-MROH-2007184-Thelypteris_acuminata.p1	scaffold-MROH-2010322-Thelypteris_acuminata.p1	0.5	0.0
scaffold-MROH-2001650-Thelypteris_acuminata.p1__scaffold-MROH-2007184-Thelypteris_acuminata.p1	0.18224	0.62393	642.0	90.0	0.51745	GF_000349	0.2399	70.9337	7.0	0.0034	117.0	scaffold-MROH-2001650-Thelypteris_acuminata.p1	scaffold-MROH-2007184-Thelypteris_acuminata.p1	0.33333	0.0
scaffold-MROH-2001650-Thelypteris_acuminata.p1__scaffold-MROH-2010451-Thelypteris_acuminata.p1	0.18224	0.63248	642.0	90.0	0.53306	GF_000349	0.2066	79.0467	7.0	0.0026	117.0	scaffold-MROH-2001650-Thelypteris_acuminata.p1	scaffold-MROH-2010451-Thelypteris_acuminata.p1	0.33333	0.0
scaffold-MROH-2001650-Thelypteris_acuminata.p1__scaffold-MROH-2010322-Thelypteris_acuminata.p1	0.14019	0.66667	642.0	90.0	0.51512	GF_000349	0.213	74.4262	7.0	0.0029	90.0	scaffold-MROH-2001650-Thelypteris_acuminata.p1	scaffold-MROH-2010322-Thelypteris_acuminata.p1	0.33333	0.0
scaffold-MROH-2001650-Thelypteris_acuminata.p1__scaffold-MROH-2042535-Thelypteris_acuminata.p1	0.18224	0.47009	642.0	90.0	1.47506	GF_000349	0.7507	4.5758	8.0	0.1641	117.0	scaffold-MROH-2042535-Thelypteris_acuminata.p1	scaffold-MROH-2001650-Thelypteris_acuminata.p1	0.25	0.5
scaffold-MROH-2007184-Thelypteris_acuminata.p1__scaffold-MROH-2042535-Thelypteris_acuminata.p1	0.71963	0.45455	642.0	90.0	1.57587	GF_000349	0.7045	5.2092	8.0	0.1352	462.0	scaffold-MROH-2042535-Thelypteris_acuminata.p1	scaffold-MROH-2007184-Thelypteris_acuminata.p1	0.25	0.0
scaffold-MROH-2010451-Thelypteris_acuminata.p1__scaffold-MROH-2042535-Thelypteris_acuminata.p1	0.65421	0.47857	642.0	90.0	1.59148	GF_000349	0.7337	2.5463	8.0	0.2882	420.0	scaffold-MROH-2042535-Thelypteris_acuminata.p1	scaffold-MROH-2010451-Thelypteris_acuminata.p1	0.25	0.5
