	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Plagiogyria_sp._XQ-2018_scaffold9389.p1__Plagiogyria_sp._XQ-2018_scaffold9390.p1	0.81073	1.0	951.0	321.0	0.0011	GF_001925	0.0	0.0	3.0	0.648	771.0	Plagiogyria_sp._XQ-2018_scaffold9389.p1	Plagiogyria_sp._XQ-2018_scaffold9390.p1	1.0	0.0
Plagiogyria_sp._XQ-2018_scaffold4987.p1__Plagiogyria_sp._XQ-2018_scaffold9389.p1	0.33754	0.90343	951.0	321.0	0.1756	GF_001925	0.0983	0.1289	4.0	0.7629	321.0	Plagiogyria_sp._XQ-2018_scaffold4987.p1	Plagiogyria_sp._XQ-2018_scaffold9389.p1	0.5	0.5
Plagiogyria_sp._XQ-2018_scaffold4987.p1__Plagiogyria_sp._XQ-2018_scaffold9390.p1	0.33754	0.90343	951.0	321.0	0.1756	GF_001925	0.0983	0.1289	4.0	0.7629	321.0	Plagiogyria_sp._XQ-2018_scaffold4987.p1	Plagiogyria_sp._XQ-2018_scaffold9390.p1	0.5	0.5
Plagiogyria_sp._XQ-2018_C481892.p1__Plagiogyria_sp._XQ-2018_C515166.p1	0.54338	0.46218	657.0	354.0	0.95707	GF_000502	0.5353	70.0948	6.0	0.0076	357.0	Plagiogyria_sp._XQ-2018_C481892.p1	Plagiogyria_sp._XQ-2018_C515166.p1	1.0	0.0
Plagiogyria_sp._XQ-2018_scaffold6655.p1__Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.94064	0.99838	657.0	354.0	0.0	GF_000502	0.0	0.0	7.0	0.0198	618.0	Plagiogyria_sp._XQ-2018_scaffold6656.p1	Plagiogyria_sp._XQ-2018_scaffold6655.p1	1.0	0.0
Plagiogyria_sp._XQ-2018_scaffold13185.p1__Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.94064	0.90129	657.0	354.0	0.03895	GF_000502	0.0277	0.466	8.0	0.0595	618.0	Plagiogyria_sp._XQ-2018_scaffold13185.p1	Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.5	0.5
Plagiogyria_sp._XQ-2018_scaffold13185.p1__Plagiogyria_sp._XQ-2018_scaffold6655.p1	0.94064	0.89968	657.0	354.0	0.03895	GF_000502	0.0277	0.466	8.0	0.0595	618.0	Plagiogyria_sp._XQ-2018_scaffold13185.p1	Plagiogyria_sp._XQ-2018_scaffold6655.p1	0.5	0.5
Plagiogyria_sp._XQ-2018_C518162.p1__Plagiogyria_sp._XQ-2018_scaffold13185.p1	0.93607	0.49919	657.0	354.0	0.96906	GF_000502	0.4774	70.5649	9.0	0.0068	615.0	Plagiogyria_sp._XQ-2018_scaffold13185.p1	Plagiogyria_sp._XQ-2018_C518162.p1	0.33333	0.0
Plagiogyria_sp._XQ-2018_C518162.p1__Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.93607	0.5122	657.0	354.0	0.95099	GF_000502	0.4478	70.0512	9.0	0.0064	615.0	Plagiogyria_sp._XQ-2018_scaffold6656.p1	Plagiogyria_sp._XQ-2018_C518162.p1	0.33333	0.0
Plagiogyria_sp._XQ-2018_C518162.p1__Plagiogyria_sp._XQ-2018_scaffold6655.p1	0.93607	0.5122	657.0	354.0	0.95099	GF_000502	0.4478	70.0508	9.0	0.0064	615.0	Plagiogyria_sp._XQ-2018_scaffold6655.p1	Plagiogyria_sp._XQ-2018_C518162.p1	0.33333	0.0
Plagiogyria_sp._XQ-2018_C481892.p1__Plagiogyria_sp._XQ-2018_scaffold13185.p1	0.53881	0.49153	657.0	354.0	1.06613	GF_000502	0.5577	61.4893	10.0	0.0091	354.0	Plagiogyria_sp._XQ-2018_C481892.p1	Plagiogyria_sp._XQ-2018_scaffold13185.p1	0.125	0.0
Plagiogyria_sp._XQ-2018_C481892.p1__Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.53881	0.4887	657.0	354.0	1.04806	GF_000502	0.5664	61.2958	10.0	0.0092	354.0	Plagiogyria_sp._XQ-2018_C481892.p1	Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.125	0.0
Plagiogyria_sp._XQ-2018_C481892.p1__Plagiogyria_sp._XQ-2018_scaffold6655.p1	0.53881	0.4887	657.0	354.0	1.04806	GF_000502	0.5664	61.2958	10.0	0.0092	354.0	Plagiogyria_sp._XQ-2018_C481892.p1	Plagiogyria_sp._XQ-2018_scaffold6655.p1	0.125	0.0
Plagiogyria_sp._XQ-2018_C481892.p1__Plagiogyria_sp._XQ-2018_C518162.p1	0.55251	0.45455	657.0	354.0	1.18685	GF_000502	0.6135	73.6204	10.0	0.0083	363.0	Plagiogyria_sp._XQ-2018_C481892.p1	Plagiogyria_sp._XQ-2018_C518162.p1	0.125	0.0
Plagiogyria_sp._XQ-2018_C515166.p1__Plagiogyria_sp._XQ-2018_scaffold13185.p1	0.94064	0.51133	657.0	354.0	0.98178	GF_000502	0.5609	66.7912	10.0	0.0084	618.0	Plagiogyria_sp._XQ-2018_C515166.p1	Plagiogyria_sp._XQ-2018_scaffold13185.p1	0.125	0.0
Plagiogyria_sp._XQ-2018_C515166.p1__Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.94064	0.5178	657.0	354.0	0.96371	GF_000502	0.5359	67.6325	10.0	0.0079	618.0	Plagiogyria_sp._XQ-2018_C515166.p1	Plagiogyria_sp._XQ-2018_scaffold6656.p1	0.125	0.0
