	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Athyrium_iseanum_C603303.p1__Athyrium_iseanum_scaffold20653.p1	0.19516	0.49036	1860.0	360.0	1.22431	GF_001925	0.5494	70.7761	3.0	0.0078	363.0	Athyrium_iseanum_C603303.p1	Athyrium_iseanum_scaffold20653.p1	1.0	0.0
Athyrium_iseanum_C603303.p1__Athyrium_iseanum_scaffold22710.p1	0.59839	0.39892	1860.0	360.0	2.25767	GF_001925	0.9222	71.044	4.0	0.013	1113.0	Athyrium_iseanum_scaffold22710.p1	Athyrium_iseanum_C603303.p1	0.5	0.0
Athyrium_iseanum_scaffold20653.p1__Athyrium_iseanum_scaffold22710.p1	0.39839	0.39001	1860.0	360.0	2.21686	GF_001925	1.2162	64.2779	4.0	0.0189	741.0	Athyrium_iseanum_scaffold22710.p1	Athyrium_iseanum_scaffold20653.p1	0.5	0.0
Athyrium_iseanum_scaffold12514.p1__Athyrium_iseanum_scaffold17819.p1	0.15489	0.56634	1995.0	309.0	0.82078	GF_003247	0.4453	2.8305	2.0	0.1573	309.0	Athyrium_iseanum_scaffold12514.p1	Athyrium_iseanum_scaffold17819.p1	1.0	1.0
Athyrium_iseanum_scaffold10523.p6__Athyrium_iseanum_scaffold10524.p1	1.0	1.0	348.0	348.0	0.0	GF_003125	0.0	0.0	2.0	0.001	348.0	Athyrium_iseanum_scaffold10523.p6	Athyrium_iseanum_scaffold10524.p1	1.0	0.0
Athyrium_iseanum_scaffold11691.p1__Athyrium_iseanum_scaffold11692.p1	0.75487	1.0	1077.0	813.0	0.00054	GF_002318	0.0	0.0	2.0	0.4956	813.0	Athyrium_iseanum_scaffold11691.p1	Athyrium_iseanum_scaffold11692.p1	1.0	0.0
Athyrium_iseanum_C533356.p1__Athyrium_iseanum_scaffold11020.p1	0.60947	0.61812	507.0	309.0	0.40654	GF_002403	0.2513	73.1519	2.0	0.0034	309.0	Athyrium_iseanum_C533356.p1	Athyrium_iseanum_scaffold11020.p1	1.0	0.0
Athyrium_iseanum_C609497.p1__Athyrium_iseanum_C609715.p1	0.91903	0.69457	1482.0	1362.0	0.48338	GF_003057	0.2385	1.4814	2.0	0.161	1362.0	Athyrium_iseanum_C609497.p1	Athyrium_iseanum_C609715.p1	1.0	1.0
Athyrium_iseanum_C564194.p1__Athyrium_iseanum_C588823.p1	0.84524	0.53052	504.0	426.0	0.99338	GF_002556	0.5185	11.1714	2.0	0.0464	426.0	Athyrium_iseanum_C564194.p1	Athyrium_iseanum_C588823.p1	1.0	0.0
Athyrium_iseanum_scaffold20794.p1__Athyrium_iseanum_scaffold20795.p1	0.36517	1.0	1068.0	342.0	0.0	GF_000549	0.0	0.0	7.0	0.0025	390.0	Athyrium_iseanum_scaffold20795.p1	Athyrium_iseanum_scaffold20794.p1	1.0	0.0
Athyrium_iseanum_scaffold7590.p1__Athyrium_iseanum_scaffold7591.p1	0.95787	0.98827	1068.0	342.0	0.01822	GF_000549	0.0	0.0	8.0	0.0898	1023.0	Athyrium_iseanum_scaffold7590.p1	Athyrium_iseanum_scaffold7591.p1	1.0	0.0
Athyrium_iseanum_scaffold11792.p1__Athyrium_iseanum_scaffold24117.p1	0.76124	0.6925	1068.0	342.0	0.4955	GF_000549	0.2012	1.2792	9.0	0.1573	813.0	Athyrium_iseanum_scaffold24117.p1	Athyrium_iseanum_scaffold11792.p1	1.0	1.0
Athyrium_iseanum_scaffold24117.p1__Athyrium_iseanum_scaffold7590.p1	0.75843	0.57531	1068.0	342.0	0.87945	GF_000549	0.3477	62.2054	10.0	0.0056	810.0	Athyrium_iseanum_scaffold7590.p1	Athyrium_iseanum_scaffold24117.p1	0.25	0.0
Athyrium_iseanum_scaffold11792.p1__Athyrium_iseanum_scaffold7590.p1	0.93539	0.56757	1068.0	342.0	0.87711	GF_000549	0.3061	64.7126	10.0	0.0047	999.0	Athyrium_iseanum_scaffold7590.p1	Athyrium_iseanum_scaffold11792.p1	0.25	0.0
Athyrium_iseanum_scaffold24117.p1__Athyrium_iseanum_scaffold7591.p1	0.75843	0.57531	1068.0	342.0	0.88937	GF_000549	0.3477	62.2048	10.0	0.0056	810.0	Athyrium_iseanum_scaffold7591.p1	Athyrium_iseanum_scaffold24117.p1	0.25	0.0
