	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Aglaomorpha_bonii_C507361.p1__Aglaomorpha_bonii_C517139.p1	0.32937	0.62249	756.0	249.0	0.5188	GF_001925	0.3388	2.1539	2.0	0.1573	249.0	Aglaomorpha_bonii_C507361.p1	Aglaomorpha_bonii_C517139.p1	1.0	1.0
Aglaomorpha_bonii_C521354.p1__Aglaomorpha_bonii_scaffold7024.p1	0.18697	0.60859	2118.0	9.0	0.67351	GF_000502	0.9697	1.6744	6.0	0.5791	396.0	Aglaomorpha_bonii_scaffold7024.p1	Aglaomorpha_bonii_C521354.p1	1.0	1.0
Aglaomorpha_bonii_C548449.p1__Aglaomorpha_bonii_scaffold7024.p1	0.9136	0.74057	2118.0	9.0	0.27404	GF_000502	0.0008	0.7791	7.0	0.001	1935.0	Aglaomorpha_bonii_C548449.p1	Aglaomorpha_bonii_scaffold7024.p1	0.5	0.5
Aglaomorpha_bonii_C521354.p1__Aglaomorpha_bonii_C548449.p1	0.18839	0.599	2118.0	9.0	0.65903	GF_000502	0.944	2.4072	7.0	0.3921	399.0	Aglaomorpha_bonii_C548449.p1	Aglaomorpha_bonii_C521354.p1	0.5	0.5
Aglaomorpha_bonii_C548449.p1__Aglaomorpha_bonii_scaffold9091.p1	0.51133	0.63343	2118.0	9.0	0.67936	GF_000502	18.8078	11.6535	8.0	1.6139	1083.0	Aglaomorpha_bonii_scaffold9091.p1	Aglaomorpha_bonii_C548449.p1	0.33333	0.0
Aglaomorpha_bonii_scaffold7024.p1__Aglaomorpha_bonii_scaffold9091.p1	0.51133	0.63158	2118.0	9.0	0.7429	GF_000502	7.8185	31.4068	8.0	0.2489	1083.0	Aglaomorpha_bonii_scaffold9091.p1	Aglaomorpha_bonii_scaffold7024.p1	0.33333	0.0
Aglaomorpha_bonii_C521354.p1__Aglaomorpha_bonii_scaffold9091.p1	0.00425	0.33333	2118.0	9.0	1.12789	GF_000502	4.4001	13.5174	8.0	0.3255	9.0	Aglaomorpha_bonii_scaffold9091.p1	Aglaomorpha_bonii_C521354.p1	0.33333	0.0
Aglaomorpha_bonii_scaffold7523.p1__Aglaomorpha_bonii_scaffold9091.p1	0.51133	0.59095	2118.0	9.0	0.81558	GF_000502	18.8078	11.6535	9.0	1.6139	1083.0	Aglaomorpha_bonii_scaffold7523.p1	Aglaomorpha_bonii_scaffold9091.p1	0.25	0.0
Aglaomorpha_bonii_C548449.p1__Aglaomorpha_bonii_scaffold7523.p1	0.85977	0.64525	2118.0	9.0	0.52292	GF_000502	0.0	0.0	9.0	0.001	1821.0	Aglaomorpha_bonii_scaffold7523.p1	Aglaomorpha_bonii_C548449.p1	0.25	0.0
Aglaomorpha_bonii_scaffold7024.p1__Aglaomorpha_bonii_scaffold7523.p1	0.85269	0.62514	2118.0	9.0	0.58646	GF_000502	0.0008	0.7791	9.0	0.001	1806.0	Aglaomorpha_bonii_scaffold7523.p1	Aglaomorpha_bonii_scaffold7024.p1	0.25	0.5
Aglaomorpha_bonii_C521354.p1__Aglaomorpha_bonii_scaffold7523.p1	0.14873	0.49841	2118.0	9.0	0.97145	GF_000502	0.944	2.4072	9.0	0.3921	315.0	Aglaomorpha_bonii_scaffold7523.p1	Aglaomorpha_bonii_C521354.p1	0.25	0.5
Aglaomorpha_bonii_scaffold7523.p1__Aglaomorpha_bonii_scaffold9221.p1	0.58215	0.41038	2118.0	9.0	1.72318	GF_000502	15.0727	26.0545	10.0	0.5785	1233.0	Aglaomorpha_bonii_scaffold9221.p1	Aglaomorpha_bonii_scaffold7523.p1	0.2	0.0
Aglaomorpha_bonii_scaffold9091.p1__Aglaomorpha_bonii_scaffold9221.p1	0.34136	0.40111	2118.0	9.0	2.17128	GF_000502	11.7907	23.7685	10.0	0.4961	723.0	Aglaomorpha_bonii_scaffold9221.p1	Aglaomorpha_bonii_scaffold9091.p1	0.2	0.0
Aglaomorpha_bonii_C548449.p1__Aglaomorpha_bonii_scaffold9221.p1	0.57507	0.4179	2118.0	9.0	1.87862	GF_000502	15.0726	26.0545	10.0	0.5785	1218.0	Aglaomorpha_bonii_scaffold9221.p1	Aglaomorpha_bonii_C548449.p1	0.2	0.0
Aglaomorpha_bonii_scaffold7024.p1__Aglaomorpha_bonii_scaffold9221.p1	0.55949	0.42616	2118.0	9.0	1.94216	GF_000502	4.6837	0.0473	10.0	99.0	1185.0	Aglaomorpha_bonii_scaffold9221.p1	Aglaomorpha_bonii_scaffold7024.p1	0.2	1.0
