	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Antrophyum_callifolium_C429708.p1__Antrophyum_callifolium_scaffold5389.p2	0.944	0.85311	375.0	354.0	0.09516	GF_001925	0.0455	0.8724	2.0	0.0521	354.0	Antrophyum_callifolium_C429708.p1	Antrophyum_callifolium_scaffold5389.p2	1.0	1.0
Antrophyum_callifolium_C437748.p1__Antrophyum_callifolium_scaffold8042.p1	0.09322	0.73485	1416.0	6.0	0.33417	GF_000502	0.0		5.0	0.1176	132.0	Antrophyum_callifolium_C437748.p1	Antrophyum_callifolium_scaffold8042.p1	inf	0.0
Antrophyum_callifolium_C393607.p1__Antrophyum_callifolium_C437748.p1	0.20551	0.70447	1416.0	6.0	0.40558	GF_000502	0.2466		6.0	0.4685	291.0	Antrophyum_callifolium_C437748.p1	Antrophyum_callifolium_C393607.p1	inf	0.0
Antrophyum_callifolium_C393607.p1__Antrophyum_callifolium_scaffold8042.p1	0.00424	0.83333	1416.0	6.0	0.38917	GF_000502	0.2466		6.0	0.0981	6.0	Antrophyum_callifolium_scaffold8042.p1	Antrophyum_callifolium_C393607.p1	inf	0.0
Antrophyum_callifolium_C437748.p1__Antrophyum_callifolium_scaffold86.p1	0.5	0.5452	1416.0	6.0	0.97996	GF_000502	0.0015	1.4998	7.0	0.001	708.0	Antrophyum_callifolium_scaffold86.p1	Antrophyum_callifolium_C437748.p1	0.33333	0.5
Antrophyum_callifolium_scaffold8042.p1__Antrophyum_callifolium_scaffold86.p1	0.09322	0.59091	1416.0	6.0	0.96355	GF_000502	0.0015	1.4998	7.0	0.001	132.0	Antrophyum_callifolium_scaffold86.p1	Antrophyum_callifolium_scaffold8042.p1	0.33333	0.5
Antrophyum_callifolium_C393607.p1__Antrophyum_callifolium_scaffold86.p1	0.19492	0.51449	1416.0	6.0	1.0292	GF_000502	0.3945	43.7869	7.0	0.009	276.0	Antrophyum_callifolium_scaffold86.p1	Antrophyum_callifolium_C393607.p1	0.33333	0.0
Antrophyum_callifolium_C438814.p1__Antrophyum_callifolium_scaffold86.p1	0.41737	0.42978	1416.0	6.0	1.63823	GF_000502	0.003	2.9568	8.0	0.001	591.0	Antrophyum_callifolium_C438814.p1	Antrophyum_callifolium_scaffold86.p1	0.25	0.25
Antrophyum_callifolium_C437748.p1__Antrophyum_callifolium_C438814.p1	0.20127	0.52632	1416.0	6.0	1.71401	GF_000502	0.0021	2.0957	8.0	0.001	285.0	Antrophyum_callifolium_C438814.p1	Antrophyum_callifolium_C437748.p1	0.25	0.25
Antrophyum_callifolium_C438814.p1__Antrophyum_callifolium_scaffold8042.p1	0.08686	0.43902	1416.0	6.0	1.6976	GF_000502	0.0021	2.0957	8.0	0.001	123.0	Antrophyum_callifolium_C438814.p1	Antrophyum_callifolium_scaffold8042.p1	0.25	0.25
