	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Psilotum_nudum_C379733.p1__Psilotum_nudum_scaffold18497.p1	0.15932	0.84397	885.0	141.0	0.39382	GF_001925	0.1801	0.2155	2.0	0.8361	141.0	Psilotum_nudum_C379733.p1	Psilotum_nudum_scaffold18497.p1	1.0	1.0
Psilotum_nudum_C402202.p1__Psilotum_nudum_scaffold14062.p1	0.0195	0.57143	1077.0	9.0	0.65911	GF_000502	0.6731	3.1141	6.0	0.2161	21.0	Psilotum_nudum_C402202.p1	Psilotum_nudum_scaffold14062.p1	1.0	1.0
Psilotum_nudum_scaffold1564.p1__Psilotum_nudum_scaffold1565.p1	0.35655	1.0	1077.0	9.0	0.00109	GF_000502	0.0	0.0	7.0	1.9988	384.0	Psilotum_nudum_scaffold1565.p1	Psilotum_nudum_scaffold1564.p1	1.0	0.0
Psilotum_nudum_scaffold1565.p1__Psilotum_nudum_scaffold6755.p1	0.35655	0.58594	1077.0	9.0	1.19749	GF_000502	58.6417	2.2036	8.0	26.6114	384.0	Psilotum_nudum_scaffold6755.p1	Psilotum_nudum_scaffold1565.p1	0.5	0.5
Psilotum_nudum_scaffold1564.p1__Psilotum_nudum_scaffold6755.p1	0.8663	0.51554	1077.0	9.0	1.19748	GF_000502	58.6417	2.2036	8.0	26.6114	933.0	Psilotum_nudum_scaffold6755.p1	Psilotum_nudum_scaffold1564.p1	0.5	0.5
Psilotum_nudum_C402202.p1__Psilotum_nudum_scaffold6755.p1	0.38162	0.64234	1077.0	9.0	0.77555	GF_000502	0.7276	1.2383	9.0	0.5876	411.0	Psilotum_nudum_C402202.p1	Psilotum_nudum_scaffold6755.p1	0.16667	0.5
Psilotum_nudum_C402202.p1__Psilotum_nudum_scaffold1565.p1	0.35655	0.57031	1077.0	9.0	1.32296	GF_000502	0.6343	25.3595	9.0	0.025	384.0	Psilotum_nudum_C402202.p1	Psilotum_nudum_scaffold1565.p1	0.16667	0.0
Psilotum_nudum_C402202.p1__Psilotum_nudum_scaffold1564.p1	0.37883	0.54657	1077.0	9.0	1.32295	GF_000502	0.6343	25.3595	9.0	0.025	408.0	Psilotum_nudum_C402202.p1	Psilotum_nudum_scaffold1564.p1	0.16667	0.0
Psilotum_nudum_scaffold14062.p1__Psilotum_nudum_scaffold6755.p1	0.26741	0.53819	1077.0	9.0	0.99752	GF_000502	0.9109	3.8408	9.0	0.2372	288.0	Psilotum_nudum_scaffold14062.p1	Psilotum_nudum_scaffold6755.p1	0.16667	0.5
Psilotum_nudum_scaffold14062.p1__Psilotum_nudum_scaffold1565.p1	0.00836	0.55556	1077.0	9.0	1.54493	GF_000502	1.704	7.5785	9.0	0.2249	9.0	Psilotum_nudum_scaffold14062.p1	Psilotum_nudum_scaffold1565.p1	0.16667	0.0
Psilotum_nudum_scaffold14062.p1__Psilotum_nudum_scaffold1564.p1	0.26184	0.47163	1077.0	9.0	1.54492	GF_000502	1.704	7.5785	9.0	0.2248	282.0	Psilotum_nudum_scaffold14062.p1	Psilotum_nudum_scaffold1564.p1	0.16667	0.0
Psilotum_nudum_C402202.p1__Psilotum_nudum_scaffold14188.p1	0.40669	0.41781	1077.0	9.0	2.10628	GF_000502	0.5301	48.9397	10.0	0.0108	438.0	Psilotum_nudum_scaffold14188.p1	Psilotum_nudum_C402202.p1	0.2	0.0
Psilotum_nudum_scaffold14062.p1__Psilotum_nudum_scaffold14188.p1	0.21448	0.39827	1077.0	9.0	2.32825	GF_000502	6.6095	28.0371	10.0	0.2357	231.0	Psilotum_nudum_scaffold14188.p1	Psilotum_nudum_scaffold14062.p1	0.2	0.0
Psilotum_nudum_scaffold14188.p1__Psilotum_nudum_scaffold6755.p1	0.70474	0.43215	1077.0	9.0	2.12973	GF_000502	2.4328	0.5843	10.0	4.1635	759.0	Psilotum_nudum_scaffold14188.p1	Psilotum_nudum_scaffold6755.p1	0.2	0.33333
Psilotum_nudum_scaffold14188.p1__Psilotum_nudum_scaffold1565.p1	0.33983	0.4153	1077.0	9.0	2.67714	GF_000502	2.4872	0.468	10.0	5.3147	366.0	Psilotum_nudum_scaffold14188.p1	Psilotum_nudum_scaffold1565.p1	0.2	0.33333
Psilotum_nudum_scaffold14188.p1__Psilotum_nudum_scaffold1564.p1	0.69916	0.39708	1077.0	9.0	2.67713	GF_000502	2.4872	0.468	10.0	5.3147	753.0	Psilotum_nudum_scaffold14188.p1	Psilotum_nudum_scaffold1564.p1	0.2	0.33333
Psilotum_nudum_scaffold584.p1__Psilotum_nudum_scaffold585.p1	1.0	1.0	348.0	348.0	0.0	GF_003125	0.0	0.0	2.0	0.001	348.0	Psilotum_nudum_scaffold584.p1	Psilotum_nudum_scaffold585.p1	1.0	0.0
Psilotum_nudum_C435986.p1__Psilotum_nudum_scaffold21291.p1	0.06931	0.94286	1515.0	105.0	0.14306	GF_002318	0.0684	0.0382	2.0	1.793	105.0	Psilotum_nudum_C435986.p1	Psilotum_nudum_scaffold21291.p1	1.0	1.0
Psilotum_nudum_scaffold10280.p1__Psilotum_nudum_scaffold21113.p1	0.59649	0.54412	684.0	408.0	1.14282	GF_002403	0.5769	17.5991	2.0	0.0328	408.0	Psilotum_nudum_scaffold10280.p1	Psilotum_nudum_scaffold21113.p1	1.0	0.0
Psilotum_nudum_scaffold3551.p1__Psilotum_nudum_scaffold5240.p1	0.3612	0.54475	1794.0	648.0	0.9061	GF_003057	0.4721	69.1945	2.0	0.0068	648.0	Psilotum_nudum_scaffold3551.p1	Psilotum_nudum_scaffold5240.p1	1.0	0.0
Psilotum_nudum_scaffold8160.p1__Psilotum_nudum_scaffold8162.p1	1.0	1.0	735.0	735.0	0.0	GF_002556	0.0	0.0	2.0	0.3944	735.0	Psilotum_nudum_scaffold8162.p1	Psilotum_nudum_scaffold8160.p1	1.0	0.0
Psilotum_nudum_scaffold1362.p1__Psilotum_nudum_scaffold1363.p1	0.8565	1.0	2007.0	1719.0	0.0011	GF_001680	0.0	0.0	3.0	0.001	1719.0	Psilotum_nudum_scaffold1363.p1	Psilotum_nudum_scaffold1362.p1	1.0	0.0
Psilotum_nudum_scaffold1361.p1__Psilotum_nudum_scaffold1363.p1	0.8565	0.83013	2007.0	1719.0	0.1805	GF_001680	0.0932	0.6706	4.0	0.139	1719.0	Psilotum_nudum_scaffold1361.p1	Psilotum_nudum_scaffold1363.p1	0.5	0.5
Psilotum_nudum_scaffold1361.p1__Psilotum_nudum_scaffold1362.p1	0.8565	0.83013	2007.0	1719.0	0.1805	GF_001680	0.0932	0.6706	4.0	0.139	1719.0	Psilotum_nudum_scaffold1361.p1	Psilotum_nudum_scaffold1362.p1	0.5	0.5
Psilotum_nudum_scaffold20234.p1__Psilotum_nudum_scaffold20235.p1	0.97409	0.86348	579.0	414.0	0.26628	GF_000971	0.0937	0.152	4.0	0.6163	564.0	Psilotum_nudum_scaffold20235.p1	Psilotum_nudum_scaffold20234.p1	1.0	1.0
Psilotum_nudum_scaffold20235.p1__Psilotum_nudum_scaffold8751.p1	0.79275	0.6732	579.0	414.0	0.74487	GF_000971	0.3093	1.164	5.0	0.2657	459.0	Psilotum_nudum_scaffold8751.p1	Psilotum_nudum_scaffold20235.p1	0.5	0.5
Psilotum_nudum_scaffold20234.p1__Psilotum_nudum_scaffold8751.p1	0.79793	0.68831	579.0	414.0	0.59727	GF_000971	0.2575	1.1763	5.0	0.2189	462.0	Psilotum_nudum_scaffold8751.p1	Psilotum_nudum_scaffold20234.p1	0.5	0.5
Psilotum_nudum_C411620.p1__Psilotum_nudum_scaffold8751.p1	0.72021	0.4964	579.0	414.0	1.53293	GF_000971	0.7024	8.6772	6.0	0.081	417.0	Psilotum_nudum_C411620.p1	Psilotum_nudum_scaffold8751.p1	0.33333	0.0
Psilotum_nudum_C411620.p1__Psilotum_nudum_scaffold20235.p1	0.79275	0.50545	579.0	414.0	1.3238	GF_000971	0.5884	7.1418	6.0	0.0824	459.0	Psilotum_nudum_C411620.p1	Psilotum_nudum_scaffold20235.p1	0.33333	0.0
Psilotum_nudum_C411620.p1__Psilotum_nudum_scaffold20234.p1	0.79793	0.51082	579.0	414.0	1.1762	GF_000971	0.5914	6.3608	6.0	0.093	462.0	Psilotum_nudum_C411620.p1	Psilotum_nudum_scaffold20234.p1	0.33333	0.0
