	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Alsophila_podophylla_C376078.p1__Alsophila_podophylla_scaffold11140.p1	0.01449	1.0	1449.0	21.0	0.07236	GF_001925	0.0	0.0	3.0	2.0004	21.0	Alsophila_podophylla_C376078.p1	Alsophila_podophylla_scaffold11140.p1	1.0	0.0
Alsophila_podophylla_C376078.p1__Alsophila_podophylla_scaffold11139.p1	0.10145	0.87755	1449.0	21.0	0.2491	GF_001925	0.0	0.0	4.0	99.0	147.0	Alsophila_podophylla_scaffold11139.p1	Alsophila_podophylla_C376078.p1	0.5	0.0
Alsophila_podophylla_scaffold11139.p1__Alsophila_podophylla_scaffold11140.p1	0.77226	0.87668	1449.0	21.0	0.17784	GF_001925	0.0	0.0	4.0	99.0	1119.0	Alsophila_podophylla_scaffold11139.p1	Alsophila_podophylla_scaffold11140.p1	0.5	0.0
Alsophila_podophylla_C431082.p1__Alsophila_podophylla_scaffold21693.p1	0.80564	0.80804	957.0	771.0	0.46626	GF_003247	0.2214	0.2855	2.0	0.7755	771.0	Alsophila_podophylla_C431082.p1	Alsophila_podophylla_scaffold21693.p1	1.0	1.0
Alsophila_podophylla_C419708.p1__Alsophila_podophylla_scaffold21651.p1	0.80976	0.85341	615.0	498.0	0.22174	GF_003125	0.1132	0.353	2.0	0.3208	498.0	Alsophila_podophylla_C419708.p1	Alsophila_podophylla_scaffold21651.p1	1.0	1.0
Alsophila_podophylla_scaffold9744.p1__Alsophila_podophylla_scaffold9745.p1	0.47214	1.0	1023.0	483.0	0.00054	GF_004515	0.0	0.0	2.0	0.3965	483.0	Alsophila_podophylla_scaffold9744.p1	Alsophila_podophylla_scaffold9745.p1	1.0	0.0
Alsophila_podophylla_scaffold3514.p1__Alsophila_podophylla_scaffold3515.p1	0.75704	0.94729	852.0	645.0	0.03881	GF_002318	0.0177	0.1645	3.0	0.1077	645.0	Alsophila_podophylla_scaffold3514.p1	Alsophila_podophylla_scaffold3515.p1	1.0	1.0
Alsophila_podophylla_C446430.p1__Alsophila_podophylla_scaffold3514.p1	0.75704	0.71318	852.0	645.0	0.3001	GF_002318	0.1454	2.5448	4.0	0.0572	645.0	Alsophila_podophylla_C446430.p1	Alsophila_podophylla_scaffold3514.p1	0.5	0.5
Alsophila_podophylla_C446430.p1__Alsophila_podophylla_scaffold3515.p1	0.75704	0.70543	852.0	645.0	0.30039	GF_002318	0.1442	3.0578	4.0	0.0472	645.0	Alsophila_podophylla_C446430.p1	Alsophila_podophylla_scaffold3515.p1	0.5	0.5
Alsophila_podophylla_scaffold17426.p1__Alsophila_podophylla_scaffold6391.p1	0.95968	0.87115	1488.0	1299.0	0.17136	GF_002403	0.0721	0.314	3.0	0.2296	1428.0	Alsophila_podophylla_scaffold6391.p1	Alsophila_podophylla_scaffold17426.p1	1.0	1.0
