	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Leptochilus_ellipticus_C244313.p1__Leptochilus_ellipticus_C245375.p1	0.69565	0.75595	483.0	336.0	0.4554	GF_001925	0.257	0.6303	2.0	0.4077	336.0	Leptochilus_ellipticus_C244313.p1	Leptochilus_ellipticus_C245375.p1	1.0	1.0
Leptochilus_ellipticus_C253462.p1__Leptochilus_ellipticus_C263442.p1	0.23346	0.425	1542.0	21.0	1.68604	GF_000502	0.3998	0.8096	6.0	0.4938	360.0	Leptochilus_ellipticus_C263442.p1	Leptochilus_ellipticus_C253462.p1	1.0	1.0
Leptochilus_ellipticus_C271838.p1__Leptochilus_ellipticus_scaffold3178.p1	0.74514	0.49608	1542.0	21.0	1.16417	GF_000502	0.1438	3.5975	7.0	0.04	1149.0	Leptochilus_ellipticus_C271838.p1	Leptochilus_ellipticus_scaffold3178.p1	1.0	1.0
Leptochilus_ellipticus_C263442.p1__Leptochilus_ellipticus_C271838.p1	0.59533	0.44771	1542.0	21.0	1.89131	GF_000502	0.351	65.3328	8.0	0.0054	918.0	Leptochilus_ellipticus_C263442.p1	Leptochilus_ellipticus_C271838.p1	0.25	0.0
Leptochilus_ellipticus_C263442.p1__Leptochilus_ellipticus_scaffold3178.p1	0.58949	0.40374	1542.0	21.0	2.16832	GF_000502	0.2229	84.9896	8.0	0.0026	909.0	Leptochilus_ellipticus_C263442.p1	Leptochilus_ellipticus_scaffold3178.p1	0.25	0.0
Leptochilus_ellipticus_C253462.p1__Leptochilus_ellipticus_C271838.p1	0.23541	0.49036	1542.0	21.0	1.66581	GF_000502	0.445	30.7142	8.0	0.0145	363.0	Leptochilus_ellipticus_C253462.p1	Leptochilus_ellipticus_C271838.p1	0.25	0.0
Leptochilus_ellipticus_C253462.p1__Leptochilus_ellipticus_scaffold3178.p1	0.23152	0.43697	1542.0	21.0	1.94282	GF_000502	0.1458	60.9802	8.0	0.0024	357.0	Leptochilus_ellipticus_C253462.p1	Leptochilus_ellipticus_scaffold3178.p1	0.25	0.0
Leptochilus_ellipticus_C263442.p1__Leptochilus_ellipticus_C270842.p1	0.59144	0.44627	1542.0	21.0	1.98585	GF_000502	0.3335	1.5506	9.0	0.2151	912.0	Leptochilus_ellipticus_C270842.p1	Leptochilus_ellipticus_C263442.p1	0.25	0.5
Leptochilus_ellipticus_C253462.p1__Leptochilus_ellipticus_C270842.p1	0.2179	0.44643	1542.0	21.0	1.76035	GF_000502	0.4452	2.135	9.0	0.2085	336.0	Leptochilus_ellipticus_C270842.p1	Leptochilus_ellipticus_C253462.p1	0.25	0.5
Leptochilus_ellipticus_C270842.p1__Leptochilus_ellipticus_C271838.p1	0.66342	0.44086	1542.0	21.0	1.58384	GF_000502	8.2721	31.2734	9.0	0.2645	1023.0	Leptochilus_ellipticus_C270842.p1	Leptochilus_ellipticus_C271838.p1	0.25	0.0
Leptochilus_ellipticus_C270842.p1__Leptochilus_ellipticus_scaffold3178.p1	0.66926	0.43314	1542.0	21.0	1.86085	GF_000502	0.4206	101.8487	9.0	0.0041	1032.0	Leptochilus_ellipticus_C270842.p1	Leptochilus_ellipticus_scaffold3178.p1	0.25	0.0
Leptochilus_ellipticus_C270842.p1__Leptochilus_ellipticus_scaffold13281.p1	0.3249	0.42515	1542.0	21.0	2.01845	GF_000502	1.4248	0.3978	10.0	3.582	501.0	Leptochilus_ellipticus_scaffold13281.p1	Leptochilus_ellipticus_C270842.p1	0.2	0.33333
Leptochilus_ellipticus_C263442.p1__Leptochilus_ellipticus_scaffold13281.p1	0.29961	0.38528	1542.0	21.0	2.9047	GF_000502	1.1819	8.1271	10.0	0.1454	462.0	Leptochilus_ellipticus_scaffold13281.p1	Leptochilus_ellipticus_C263442.p1	0.2	0.0
