	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Heminoitis_arifolia_C422274.p1__Heminoitis_arifolia_C432918.p1	0.87805	0.67593	492.0	432.0	0.4616	GF_001925	0.2322	2.0122	2.0	0.1154	432.0	Heminoitis_arifolia_C422274.p1	Heminoitis_arifolia_C432918.p1	1.0	1.0
Heminoitis_arifolia_C437974.p1__Heminoitis_arifolia_scaffold14409.p1	0.4906	0.55045	1596.0	690.0	0.87028	GF_000502	0.3964	67.1966	6.0	0.0059	783.0	Heminoitis_arifolia_C437974.p1	Heminoitis_arifolia_scaffold14409.p1	1.0	0.0
Heminoitis_arifolia_C437974.p1__Heminoitis_arifolia_scaffold18244.p1	0.48496	0.48062	1596.0	690.0	1.43593	GF_000502	0.6198	52.6858	7.0	0.0118	774.0	Heminoitis_arifolia_scaffold18244.p1	Heminoitis_arifolia_C437974.p1	0.5	0.0
Heminoitis_arifolia_scaffold14409.p1__Heminoitis_arifolia_scaffold18244.p1	0.61278	0.48364	1596.0	690.0	1.51371	GF_000502	0.6276	4.3597	7.0	0.144	978.0	Heminoitis_arifolia_scaffold18244.p1	Heminoitis_arifolia_scaffold14409.p1	0.5	1.0
Heminoitis_arifolia_scaffold9553.p1__Heminoitis_arifolia_scaffold9554.p1	0.72932	1.0	1596.0	690.0	0.0	GF_000502	0.0	0.0	8.0	0.001	1164.0	Heminoitis_arifolia_scaffold9554.p1	Heminoitis_arifolia_scaffold9553.p1	1.0	0.0
Heminoitis_arifolia_scaffold7699.p1__Heminoitis_arifolia_scaffold9554.p1	0.70301	0.60339	1596.0	690.0	0.69642	GF_000502	0.237	2.7461	9.0	0.0863	1122.0	Heminoitis_arifolia_scaffold7699.p1	Heminoitis_arifolia_scaffold9554.p1	0.5	0.5
Heminoitis_arifolia_scaffold7699.p1__Heminoitis_arifolia_scaffold9553.p1	0.70301	0.60339	1596.0	690.0	0.69642	GF_000502	0.237	2.7461	9.0	0.0863	1122.0	Heminoitis_arifolia_scaffold7699.p1	Heminoitis_arifolia_scaffold9553.p1	0.5	0.5
Heminoitis_arifolia_scaffold18244.p1__Heminoitis_arifolia_scaffold7699.p1	0.58835	0.44089	1596.0	690.0	1.67855	GF_000502	0.6978	42.1438	10.0	0.0166	939.0	Heminoitis_arifolia_scaffold18244.p1	Heminoitis_arifolia_scaffold7699.p1	0.11111	0.0
Heminoitis_arifolia_scaffold18244.p1__Heminoitis_arifolia_scaffold9554.p1	0.60338	0.46417	1596.0	690.0	1.65279	GF_000502	0.6236	65.2214	10.0	0.0096	963.0	Heminoitis_arifolia_scaffold18244.p1	Heminoitis_arifolia_scaffold9554.p1	0.11111	0.0
Heminoitis_arifolia_scaffold18244.p1__Heminoitis_arifolia_scaffold9553.p1	0.60338	0.46417	1596.0	690.0	1.65279	GF_000502	0.6236	65.2213	10.0	0.0096	963.0	Heminoitis_arifolia_scaffold18244.p1	Heminoitis_arifolia_scaffold9553.p1	0.11111	0.0
Heminoitis_arifolia_C437974.p1__Heminoitis_arifolia_scaffold7699.p1	0.46617	0.43683	1596.0	690.0	1.93178	GF_000502	0.7534	62.876	10.0	0.012	744.0	Heminoitis_arifolia_C437974.p1	Heminoitis_arifolia_scaffold7699.p1	0.11111	0.0
Heminoitis_arifolia_C437974.p1__Heminoitis_arifolia_scaffold9554.p1	0.45865	0.40847	1596.0	690.0	1.90602	GF_000502	0.8511	9.6789	10.0	0.0879	732.0	Heminoitis_arifolia_C437974.p1	Heminoitis_arifolia_scaffold9554.p1	0.11111	0.0
Heminoitis_arifolia_C437974.p1__Heminoitis_arifolia_scaffold9553.p1	0.45865	0.40847	1596.0	690.0	1.90602	GF_000502	0.8511	9.6789	10.0	0.0879	732.0	Heminoitis_arifolia_C437974.p1	Heminoitis_arifolia_scaffold9553.p1	0.11111	0.0
