	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-HTFH-2006015-Onoclea_sensibilis.p3__scaffold-HTFH-2007054-Onoclea_sensibilis.p1	0.24921	0.51477	951.0	12.0	0.90058	GF_000502	0.9038	1.973	4.0	0.4581	237.0	scaffold-HTFH-2007054-Onoclea_sensibilis.p1	scaffold-HTFH-2006015-Onoclea_sensibilis.p3	1.0	1.0
scaffold-HTFH-2006015-Onoclea_sensibilis.p2__scaffold-HTFH-2034287-Onoclea_sensibilis.p1	0.15142	0.69444	951.0	12.0	0.47248	GF_000502	0.0005	0.4549	5.0	0.001	144.0	scaffold-HTFH-2006015-Onoclea_sensibilis.p2	scaffold-HTFH-2034287-Onoclea_sensibilis.p1	1.0	1.0
scaffold-HTFH-2006015-Onoclea_sensibilis.p2__scaffold-HTFH-2007054-Onoclea_sensibilis.p1	0.40694	0.49354	951.0	12.0	1.04737	GF_000502	0.2203	39.8119	6.0	0.0055	387.0	scaffold-HTFH-2007054-Onoclea_sensibilis.p1	scaffold-HTFH-2006015-Onoclea_sensibilis.p2	0.25	0.0
scaffold-HTFH-2007054-Onoclea_sensibilis.p1__scaffold-HTFH-2034287-Onoclea_sensibilis.p1	0.22713	0.57407	951.0	12.0	0.74787	GF_000502	0.2339	9.9527	6.0	0.0235	216.0	scaffold-HTFH-2007054-Onoclea_sensibilis.p1	scaffold-HTFH-2034287-Onoclea_sensibilis.p1	0.25	0.0
scaffold-HTFH-2006015-Onoclea_sensibilis.p2__scaffold-HTFH-2006015-Onoclea_sensibilis.p3	0.01262	0.5	951.0	12.0	1.31241	GF_000502	31.1626	1.4254	6.0	21.8627	12.0	scaffold-HTFH-2006015-Onoclea_sensibilis.p3	scaffold-HTFH-2006015-Onoclea_sensibilis.p2	0.25	1.0
scaffold-HTFH-2006015-Onoclea_sensibilis.p3__scaffold-HTFH-2034287-Onoclea_sensibilis.p1	0.01262	0.5	951.0	12.0	1.01291	GF_000502	1.5353	6.1721	6.0	0.2487	12.0	scaffold-HTFH-2006015-Onoclea_sensibilis.p3	scaffold-HTFH-2034287-Onoclea_sensibilis.p1	0.25	0.0
scaffold-HTFH-2036819-Onoclea_sensibilis.p1__scaffold-HTFH-2038892-Onoclea_sensibilis.p1	0.40945	0.48077	762.0	294.0	1.10125	GF_000549	0.5805	56.5042	4.0	0.0103	312.0	scaffold-HTFH-2038892-Onoclea_sensibilis.p1	scaffold-HTFH-2036819-Onoclea_sensibilis.p1	1.0	0.0
scaffold-HTFH-2037930-Onoclea_sensibilis.p2__scaffold-HTFH-2039276-Onoclea_sensibilis.p1	0.42126	0.54206	762.0	294.0	1.05577	GF_000549	0.519	80.0812	5.0	0.0065	321.0	scaffold-HTFH-2037930-Onoclea_sensibilis.p2	scaffold-HTFH-2039276-Onoclea_sensibilis.p1	1.0	0.0
scaffold-HTFH-2037930-Onoclea_sensibilis.p2__scaffold-HTFH-2038892-Onoclea_sensibilis.p1	0.41732	0.55031	762.0	294.0	0.83998	GF_000549	0.3965	63.0571	6.0	0.0063	318.0	scaffold-HTFH-2038892-Onoclea_sensibilis.p1	scaffold-HTFH-2037930-Onoclea_sensibilis.p2	0.25	0.0
scaffold-HTFH-2038892-Onoclea_sensibilis.p1__scaffold-HTFH-2039276-Onoclea_sensibilis.p1	0.87008	0.48416	762.0	294.0	1.23397	GF_000549	0.6304	39.7205	6.0	0.0159	663.0	scaffold-HTFH-2038892-Onoclea_sensibilis.p1	scaffold-HTFH-2039276-Onoclea_sensibilis.p1	0.25	0.0
scaffold-HTFH-2036819-Onoclea_sensibilis.p1__scaffold-HTFH-2037930-Onoclea_sensibilis.p2	0.40157	0.48366	762.0	294.0	1.32821	GF_000549	0.6128	15.8811	6.0	0.0386	306.0	scaffold-HTFH-2036819-Onoclea_sensibilis.p1	scaffold-HTFH-2037930-Onoclea_sensibilis.p2	0.25	0.0
scaffold-HTFH-2036819-Onoclea_sensibilis.p1__scaffold-HTFH-2039276-Onoclea_sensibilis.p1	0.40945	0.47756	762.0	294.0	1.7222	GF_000549	0.6969	5.5307	6.0	0.126	312.0	scaffold-HTFH-2036819-Onoclea_sensibilis.p1	scaffold-HTFH-2039276-Onoclea_sensibilis.p1	0.25	0.0
scaffold-HTFH-2009343-Onoclea_sensibilis.p1__scaffold-HTFH-2034913-Onoclea_sensibilis.p1	0.24494	0.61774	1335.0	327.0	0.63572	GF_001680	0.3636	3.363	2.0	0.1081	327.0	scaffold-HTFH-2009343-Onoclea_sensibilis.p1	scaffold-HTFH-2034913-Onoclea_sensibilis.p1	1.0	1.0
scaffold-HTFH-2039699-Onoclea_sensibilis.p1__scaffold-HTFH-2040072-Onoclea_sensibilis.p1	0.85047	0.6044	642.0	474.0	0.744	GF_000971	0.3366	1.9901	3.0	0.1691	546.0	scaffold-HTFH-2039699-Onoclea_sensibilis.p1	scaffold-HTFH-2040072-Onoclea_sensibilis.p1	1.0	1.0
scaffold-HTFH-2039699-Onoclea_sensibilis.p1__scaffold-HTFH-2039922-Onoclea_sensibilis.p1	0.79907	0.55945	642.0	474.0	1.03361	GF_000971	0.4303	9.6895	4.0	0.0444	513.0	scaffold-HTFH-2039922-Onoclea_sensibilis.p1	scaffold-HTFH-2039699-Onoclea_sensibilis.p1	0.5	0.0
scaffold-HTFH-2039922-Onoclea_sensibilis.p1__scaffold-HTFH-2040072-Onoclea_sensibilis.p1	0.78505	0.54167	642.0	474.0	1.01607	GF_000971	0.4661	35.2223	4.0	0.0132	504.0	scaffold-HTFH-2039922-Onoclea_sensibilis.p1	scaffold-HTFH-2040072-Onoclea_sensibilis.p1	0.5	0.0
scaffold-HTFH-2003566-Onoclea_sensibilis.p1__scaffold-HTFH-2003567-Onoclea_sensibilis.p1	1.0	0.9883	684.0	684.0	0.02198	GF_001253	0.0102	0.0171	2.0	0.5946	684.0	scaffold-HTFH-2003566-Onoclea_sensibilis.p1	scaffold-HTFH-2003567-Onoclea_sensibilis.p1	1.0	1.0
scaffold-HTFH-2035907-Onoclea_sensibilis.p1__scaffold-HTFH-2040503-Onoclea_sensibilis.p1	0.37793	0.55752	897.0	339.0	0.7179	GF_001727	0.3949	69.927	2.0	0.0056	339.0	scaffold-HTFH-2035907-Onoclea_sensibilis.p1	scaffold-HTFH-2040503-Onoclea_sensibilis.p1	1.0	0.0
