	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Nephrolepis_cordifolia_C300587.p1__Nephrolepis_cordifolia_C312071.p1	0.66337	0.45025	606.0	402.0	1.43094	GF_001925	0.76	14.2012	2.0	0.0535	402.0	Nephrolepis_cordifolia_C300587.p1	Nephrolepis_cordifolia_C312071.p1	1.0	0.0
Nephrolepis_cordifolia_C317117.p1__Nephrolepis_cordifolia_scaffold7808.p1	0.53286	0.40969	1278.0	648.0	2.18635	GF_000502	0.9114	6.4413	6.0	0.1415	681.0	Nephrolepis_cordifolia_scaffold7808.p1	Nephrolepis_cordifolia_C317117.p1	1.0	0.0
Nephrolepis_cordifolia_C304341.p1__Nephrolepis_cordifolia_C317013.p1	0.62207	0.43396	1278.0	648.0	1.84676	GF_000502	0.7738	65.3933	7.0	0.0118	795.0	Nephrolepis_cordifolia_C304341.p1	Nephrolepis_cordifolia_C317013.p1	1.0	0.0
Nephrolepis_cordifolia_C310711.p1__Nephrolepis_cordifolia_scaffold9758.p1	0.5493	0.46154	1278.0	648.0	1.65843	GF_000502	0.7404	63.1744	8.0	0.0117	702.0	Nephrolepis_cordifolia_scaffold9758.p1	Nephrolepis_cordifolia_C310711.p1	1.0	0.0
Nephrolepis_cordifolia_C304341.p1__Nephrolepis_cordifolia_scaffold9758.p1	0.63146	0.41636	1278.0	648.0	2.36493	GF_000502	0.8319	53.0006	9.0	0.0157	807.0	Nephrolepis_cordifolia_C304341.p1	Nephrolepis_cordifolia_scaffold9758.p1	0.25	0.0
Nephrolepis_cordifolia_C304341.p1__Nephrolepis_cordifolia_C310711.p1	0.55399	0.40113	1278.0	648.0	2.11284	GF_000502	0.996	63.4488	9.0	0.0157	708.0	Nephrolepis_cordifolia_C304341.p1	Nephrolepis_cordifolia_C310711.p1	0.25	0.0
Nephrolepis_cordifolia_C317013.p1__Nephrolepis_cordifolia_scaffold9758.p1	0.61972	0.4053	1278.0	648.0	2.56087	GF_000502	0.8148	59.4753	9.0	0.0137	792.0	Nephrolepis_cordifolia_C317013.p1	Nephrolepis_cordifolia_scaffold9758.p1	0.25	0.0
Nephrolepis_cordifolia_C310711.p1__Nephrolepis_cordifolia_C317013.p1	0.65023	0.41998	1278.0	648.0	2.30878	GF_000502	0.8922	67.0191	9.0	0.0133	831.0	Nephrolepis_cordifolia_C317013.p1	Nephrolepis_cordifolia_C310711.p1	0.25	0.0
Nephrolepis_cordifolia_C304341.p1__Nephrolepis_cordifolia_scaffold7808.p1	0.57512	0.44082	1278.0	648.0	1.99897	GF_000502	0.7076	9.0037	10.0	0.0786	735.0	Nephrolepis_cordifolia_scaffold7808.p1	Nephrolepis_cordifolia_C304341.p1	0.125	0.0
Nephrolepis_cordifolia_C317013.p1__Nephrolepis_cordifolia_scaffold7808.p1	0.56103	0.39609	1278.0	648.0	2.19491	GF_000502	0.9174	65.3286	10.0	0.014	717.0	Nephrolepis_cordifolia_scaffold7808.p1	Nephrolepis_cordifolia_C317013.p1	0.125	0.0
Nephrolepis_cordifolia_scaffold7808.p1__Nephrolepis_cordifolia_scaffold9758.p1	0.55164	0.42553	1278.0	648.0	2.13082	GF_000502	0.8253	59.991	10.0	0.0138	705.0	Nephrolepis_cordifolia_scaffold7808.p1	Nephrolepis_cordifolia_scaffold9758.p1	0.125	0.0
Nephrolepis_cordifolia_C310711.p1__Nephrolepis_cordifolia_scaffold7808.p1	0.58216	0.44086	1278.0	648.0	1.87873	GF_000502	0.8485	3.5955	10.0	0.236	744.0	Nephrolepis_cordifolia_scaffold7808.p1	Nephrolepis_cordifolia_C310711.p1	0.125	0.25
Nephrolepis_cordifolia_C304341.p1__Nephrolepis_cordifolia_C317117.p1	0.61502	0.43003	1278.0	648.0	2.58418	GF_000502	0.9011	2.376	10.0	0.3792	786.0	Nephrolepis_cordifolia_C317117.p1	Nephrolepis_cordifolia_C304341.p1	0.125	0.25
Nephrolepis_cordifolia_C317013.p1__Nephrolepis_cordifolia_C317117.p1	0.57746	0.38618	1278.0	648.0	2.78012	GF_000502	1.0064	3.9235	10.0	0.2565	738.0	Nephrolepis_cordifolia_C317117.p1	Nephrolepis_cordifolia_C317013.p1	0.125	0.25
Nephrolepis_cordifolia_C317117.p1__Nephrolepis_cordifolia_scaffold9758.p1	0.62676	0.39076	1278.0	648.0	2.71603	GF_000502	1.0173	5.5277	10.0	0.184	801.0	Nephrolepis_cordifolia_C317117.p1	Nephrolepis_cordifolia_scaffold9758.p1	0.125	0.0
Nephrolepis_cordifolia_C310711.p1__Nephrolepis_cordifolia_C317117.p1	0.53052	0.42773	1278.0	648.0	2.46394	GF_000502	0.9688	3.1157	10.0	0.3109	678.0	Nephrolepis_cordifolia_C317117.p1	Nephrolepis_cordifolia_C310711.p1	0.125	0.25
Nephrolepis_cordifolia_C321077.p2__Nephrolepis_cordifolia_C322543.p1	0.13213	0.62241	5472.0	207.0	0.66409	GF_000011	0.2007	59.637	40.0	0.0034	723.0	Nephrolepis_cordifolia_C322543.p1	Nephrolepis_cordifolia_C321077.p2	1.0	0.0
Nephrolepis_cordifolia_scaffold10196.p1__Nephrolepis_cordifolia_scaffold2922.p1	0.07785	0.69718	5472.0	207.0	0.2344	GF_000011	0.1422	72.5868	41.0	0.002	426.0	Nephrolepis_cordifolia_scaffold2922.p1	Nephrolepis_cordifolia_scaffold10196.p1	1.0	0.0
Nephrolepis_cordifolia_C322543.p1__Nephrolepis_cordifolia_scaffold2922.p1	0.08772	0.55625	5472.0	207.0	0.99529	GF_000011	0.2975	74.3143	42.0	0.004	480.0	Nephrolepis_cordifolia_C322543.p1	Nephrolepis_cordifolia_scaffold2922.p1	0.25	0.0
Nephrolepis_cordifolia_C322543.p1__Nephrolepis_cordifolia_scaffold10196.p1	0.07566	0.55072	5472.0	207.0	0.97913	GF_000011	0.272	80.8036	42.0	0.0034	414.0	Nephrolepis_cordifolia_C322543.p1	Nephrolepis_cordifolia_scaffold10196.p1	0.25	0.0
Nephrolepis_cordifolia_C321077.p2__Nephrolepis_cordifolia_scaffold2922.p1	0.08991	0.52033	5472.0	207.0	1.11852	GF_000011	0.3572	68.9354	42.0	0.0052	492.0	Nephrolepis_cordifolia_C321077.p2	Nephrolepis_cordifolia_scaffold2922.p1	0.25	0.0
Nephrolepis_cordifolia_C321077.p2__Nephrolepis_cordifolia_scaffold10196.p1	0.0773	0.56265	5472.0	207.0	1.10236	GF_000011	0.3241	71.4029	42.0	0.0045	423.0	Nephrolepis_cordifolia_C321077.p2	Nephrolepis_cordifolia_scaffold10196.p1	0.25	0.0
Nephrolepis_cordifolia_C318237.p1__Nephrolepis_cordifolia_scaffold4703.p1	0.19298	0.57292	5472.0	207.0	0.78927	GF_000011	0.252	2.7938	43.0	0.0902	1056.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_scaffold4703.p1	1.0	1.0
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_scaffold963.p1	0.14583	0.49624	5472.0	207.0	1.13285	GF_000011	0.3304	7.3361	44.0	0.045	798.0	Nephrolepis_cordifolia_C314587.p1	Nephrolepis_cordifolia_scaffold963.p1	1.0	0.0
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_C318237.p1	0.15406	0.48754	5472.0	207.0	1.14307	GF_000011	0.2989	63.0574	45.0	0.0047	843.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_C314587.p1	0.25	0.0
Nephrolepis_cordifolia_C318237.p1__Nephrolepis_cordifolia_scaffold963.p1	0.15241	0.48201	5472.0	207.0	1.4247	GF_000011	0.3984	3.31	45.0	0.1204	834.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_scaffold963.p1	0.25	0.5
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_scaffold4703.p1	0.14857	0.50923	5472.0	207.0	1.0486	GF_000011	0.3416	13.2821	45.0	0.0257	813.0	Nephrolepis_cordifolia_scaffold4703.p1	Nephrolepis_cordifolia_C314587.p1	0.25	0.0
Nephrolepis_cordifolia_scaffold4703.p1__Nephrolepis_cordifolia_scaffold963.p1	0.14638	0.49189	5472.0	207.0	1.33023	GF_000011	0.3686	1.7101	45.0	0.2156	801.0	Nephrolepis_cordifolia_scaffold4703.p1	Nephrolepis_cordifolia_scaffold963.p1	0.25	0.5
Nephrolepis_cordifolia_C316223.p1__Nephrolepis_cordifolia_C317957.p1	0.15077	0.57212	5472.0	207.0	0.71568	GF_000011	0.233	7.0556	46.0	0.033	825.0	Nephrolepis_cordifolia_C316223.p1	Nephrolepis_cordifolia_C317957.p1	1.0	0.0
Nephrolepis_cordifolia_C316223.p1__Nephrolepis_cordifolia_C318237.p1	0.14145	0.4522	5472.0	207.0	1.59784	GF_000011	0.3062	69.993	47.0	0.0044	774.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_C316223.p1	0.125	0.0
Nephrolepis_cordifolia_C317957.p1__Nephrolepis_cordifolia_C318237.p1	0.14364	0.41985	5472.0	207.0	1.75338	GF_000011	0.4193	64.8003	47.0	0.0065	786.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_C317957.p1	0.125	0.0
Nephrolepis_cordifolia_C316223.p1__Nephrolepis_cordifolia_scaffold4703.p1	0.13487	0.47832	5472.0	207.0	1.50337	GF_000011	0.3221	74.4167	47.0	0.0043	738.0	Nephrolepis_cordifolia_scaffold4703.p1	Nephrolepis_cordifolia_C316223.p1	0.125	0.0
Nephrolepis_cordifolia_C317957.p1__Nephrolepis_cordifolia_scaffold4703.p1	0.13761	0.44622	5472.0	207.0	1.65891	GF_000011	0.3459	70.4668	47.0	0.0049	753.0	Nephrolepis_cordifolia_scaffold4703.p1	Nephrolepis_cordifolia_C317957.p1	0.125	0.0
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_C316223.p1	0.13487	0.45257	5472.0	207.0	1.53979	GF_000011	0.3077	33.806	47.0	0.0091	738.0	Nephrolepis_cordifolia_C314587.p1	Nephrolepis_cordifolia_C316223.p1	0.125	0.0
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_C317957.p1	0.13871	0.4361	5472.0	207.0	1.69533	GF_000011	0.3137	26.4357	47.0	0.0119	759.0	Nephrolepis_cordifolia_C314587.p1	Nephrolepis_cordifolia_C317957.p1	0.125	0.0
Nephrolepis_cordifolia_C316223.p1__Nephrolepis_cordifolia_scaffold963.p1	0.13268	0.43802	5472.0	207.0	1.82142	GF_000011	0.4589	38.3279	47.0	0.012	726.0	Nephrolepis_cordifolia_scaffold963.p1	Nephrolepis_cordifolia_C316223.p1	0.125	0.0
Nephrolepis_cordifolia_C317957.p1__Nephrolepis_cordifolia_scaffold963.p1	0.13761	0.44489	5472.0	207.0	1.97696	GF_000011	0.4171	12.2406	47.0	0.0341	753.0	Nephrolepis_cordifolia_scaffold963.p1	Nephrolepis_cordifolia_C317957.p1	0.125	0.0
Nephrolepis_cordifolia_C320357.p1__Nephrolepis_cordifolia_scaffold10388.p1	0.10033	0.32787	5472.0	207.0	2.95999	GF_000011	1.665	61.0736	48.0	0.0273	549.0	Nephrolepis_cordifolia_scaffold10388.p1	Nephrolepis_cordifolia_C320357.p1	1.0	0.0
Nephrolepis_cordifolia_C318237.p1__Nephrolepis_cordifolia_scaffold10388.p1	0.11732	0.33333	5472.0	207.0	3.06428	GF_000011	1.4884	55.4554	49.0	0.0268	642.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_scaffold10388.p1	0.08333	0.0
Nephrolepis_cordifolia_C318237.p1__Nephrolepis_cordifolia_C320357.p1	0.11897	0.40246	5472.0	207.0	2.46057	GF_000011	0.8205	75.4982	49.0	0.0109	651.0	Nephrolepis_cordifolia_C318237.p1	Nephrolepis_cordifolia_C320357.p1	0.08333	0.0
Nephrolepis_cordifolia_scaffold10388.p1__Nephrolepis_cordifolia_scaffold4703.p1	0.12664	0.37229	5472.0	207.0	2.96981	GF_000011	1.3349	61.161	49.0	0.0218	693.0	Nephrolepis_cordifolia_scaffold4703.p1	Nephrolepis_cordifolia_scaffold10388.p1	0.08333	0.0
Nephrolepis_cordifolia_C320357.p1__Nephrolepis_cordifolia_scaffold4703.p1	0.22643	0.38095	5472.0	207.0	2.3661	GF_000011	0.9138	80.5585	49.0	0.0113	1239.0	Nephrolepis_cordifolia_scaffold4703.p1	Nephrolepis_cordifolia_C320357.p1	0.08333	0.0
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_scaffold10388.p1	0.12116	0.37406	5472.0	207.0	3.00623	GF_000011	1.4255	52.7051	49.0	0.027	663.0	Nephrolepis_cordifolia_C314587.p1	Nephrolepis_cordifolia_scaffold10388.p1	0.08333	0.0
Nephrolepis_cordifolia_C314587.p1__Nephrolepis_cordifolia_C320357.p1	0.10307	0.41312	5472.0	207.0	2.40252	GF_000011	0.8555	39.8246	49.0	0.0215	564.0	Nephrolepis_cordifolia_C314587.p1	Nephrolepis_cordifolia_C320357.p1	0.08333	0.0
Nephrolepis_cordifolia_scaffold10388.p1__Nephrolepis_cordifolia_scaffold963.p1	0.11075	0.35479	5472.0	207.0	3.28786	GF_000011	1.8214	52.7047	49.0	0.0346	606.0	Nephrolepis_cordifolia_scaffold963.p1	Nephrolepis_cordifolia_scaffold10388.p1	0.08333	0.0
Nephrolepis_cordifolia_C320357.p1__Nephrolepis_cordifolia_scaffold963.p1	0.10471	0.36824	5472.0	207.0	2.68415	GF_000011	1.3856	69.1606	49.0	0.02	573.0	Nephrolepis_cordifolia_scaffold963.p1	Nephrolepis_cordifolia_C320357.p1	0.08333	0.0
Nephrolepis_cordifolia_C316223.p1__Nephrolepis_cordifolia_scaffold10388.p1	0.10088	0.34964	5472.0	207.0	2.70732	GF_000011	1.5617	3.7435	49.0	0.4172	552.0	Nephrolepis_cordifolia_C316223.p1	Nephrolepis_cordifolia_scaffold10388.p1	0.08333	0.5
Nephrolepis_cordifolia_C316223.p1__Nephrolepis_cordifolia_C320357.p1	0.09814	0.45438	5472.0	207.0	2.10361	GF_000011	0.6932	24.9471	49.0	0.0278	537.0	Nephrolepis_cordifolia_C316223.p1	Nephrolepis_cordifolia_C320357.p1	0.08333	0.0
Nephrolepis_cordifolia_C317957.p1__Nephrolepis_cordifolia_scaffold10388.p1	0.10691	0.34701	5472.0	207.0	2.86286	GF_000011	1.6009	3.7408	49.0	0.428	585.0	Nephrolepis_cordifolia_C317957.p1	Nephrolepis_cordifolia_scaffold10388.p1	0.08333	0.5
Nephrolepis_cordifolia_C317957.p1__Nephrolepis_cordifolia_C320357.p1	0.10362	0.45503	5472.0	207.0	2.25915	GF_000011	0.8887	10.6766	49.0	0.0832	567.0	Nephrolepis_cordifolia_C317957.p1	Nephrolepis_cordifolia_C320357.p1	0.08333	0.0
Nephrolepis_cordifolia_C321769.p1__Nephrolepis_cordifolia_scaffold484.p1	0.13816	0.57011	5472.0	207.0	0.85195	GF_000011	0.328	63.4461	50.0	0.0052	756.0	Nephrolepis_cordifolia_scaffold484.p1	Nephrolepis_cordifolia_C321769.p1	1.0	0.0
Nephrolepis_cordifolia_scaffold484.p1__Nephrolepis_cordifolia_scaffold8717.p1	0.14583	0.56015	5472.0	207.0	0.98968	GF_000011	0.2882	62.2312	51.0	0.0046	798.0	Nephrolepis_cordifolia_scaffold8717.p1	Nephrolepis_cordifolia_scaffold484.p1	0.5	0.0
Nephrolepis_cordifolia_C321769.p1__Nephrolepis_cordifolia_scaffold8717.p1	0.24232	0.51885	5472.0	207.0	1.06585	GF_000011	0.3261	65.1831	51.0	0.005	1326.0	Nephrolepis_cordifolia_scaffold8717.p1	Nephrolepis_cordifolia_C321769.p1	0.5	0.0
Nephrolepis_cordifolia_scaffold8913.p1__Nephrolepis_cordifolia_scaffold9360.p1	0.12993	0.64698	5472.0	207.0	0.56734	GF_000011	0.2109	61.3498	52.0	0.0034	711.0	Nephrolepis_cordifolia_scaffold8913.p1	Nephrolepis_cordifolia_scaffold9360.p1	1.0	0.0
Nephrolepis_cordifolia_C301997.p1__Nephrolepis_cordifolia_scaffold8913.p1	0.07895	0.65509	5472.0	207.0	0.76377	GF_000011	0.2481	1.5327	53.0	0.1618	432.0	Nephrolepis_cordifolia_C301997.p1	Nephrolepis_cordifolia_scaffold8913.p1	0.5	0.5
Nephrolepis_cordifolia_C301997.p1__Nephrolepis_cordifolia_scaffold9360.p1	0.10526	0.64062	5472.0	207.0	0.60839	GF_000011	0.2906	2.3546	53.0	0.1234	576.0	Nephrolepis_cordifolia_C301997.p1	Nephrolepis_cordifolia_scaffold9360.p1	0.5	0.5
Nephrolepis_cordifolia_C301997.p1__Nephrolepis_cordifolia_C319713.p1	0.10581	0.66321	5472.0	207.0	0.55462	GF_000011	0.2441	6.9781	54.0	0.035	579.0	Nephrolepis_cordifolia_C319713.p1	Nephrolepis_cordifolia_C301997.p1	0.33333	0.0
Nephrolepis_cordifolia_C319713.p1__Nephrolepis_cordifolia_scaffold8913.p1	0.12719	0.56466	5472.0	207.0	0.95925	GF_000011	0.2627	2.8209	54.0	0.0931	696.0	Nephrolepis_cordifolia_C319713.p1	Nephrolepis_cordifolia_scaffold8913.p1	0.33333	1.0
Nephrolepis_cordifolia_C319713.p1__Nephrolepis_cordifolia_scaffold9360.p1	0.19298	0.5786	5472.0	207.0	0.80387	GF_000011	0.2492	16.0168	54.0	0.0156	1056.0	Nephrolepis_cordifolia_C319713.p1	Nephrolepis_cordifolia_scaffold9360.p1	0.33333	0.0
Nephrolepis_cordifolia_scaffold7397.p1__Nephrolepis_cordifolia_scaffold9102.p1	0.18202	0.71084	5472.0	207.0	0.33842	GF_000011	0.0681	1.5636	55.0	0.0435	996.0	Nephrolepis_cordifolia_scaffold7397.p1	Nephrolepis_cordifolia_scaffold9102.p1	1.0	1.0
Nephrolepis_cordifolia_C323139.p1__Nephrolepis_cordifolia_scaffold7397.p1	0.2182	0.63568	5472.0	207.0	0.62936	GF_000011	0.1172	1.632	56.0	0.0718	1194.0	Nephrolepis_cordifolia_C323139.p1	Nephrolepis_cordifolia_scaffold7397.p1	0.5	0.5
