	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Cyclopeltis_crenata_C683220.p1__Cyclopeltis_crenata_scaffold2930.p1	0.66968	0.47297	663.0	444.0	1.0923	GF_001925	0.6202	5.9206	2.0	0.1048	444.0	Cyclopeltis_crenata_C683220.p1	Cyclopeltis_crenata_scaffold2930.p1	1.0	0.0
Cyclopeltis_crenata_scaffold2770.p1__Cyclopeltis_crenata_scaffold2771.p1	0.92353	0.96709	1020.0	777.0	0.04709	GF_000502	0.027	0.0803	5.0	0.3362	942.0	Cyclopeltis_crenata_scaffold2770.p1	Cyclopeltis_crenata_scaffold2771.p1	1.0	1.0
Cyclopeltis_crenata_scaffold2770.p1__Cyclopeltis_crenata_scaffold7960.p1	0.92059	0.78807	1020.0	777.0	0.37887	GF_000502	0.151	0.6201	6.0	0.2435	939.0	Cyclopeltis_crenata_scaffold7960.p1	Cyclopeltis_crenata_scaffold2770.p1	0.5	0.5
Cyclopeltis_crenata_scaffold2771.p1__Cyclopeltis_crenata_scaffold7960.p1	0.92059	0.79659	1020.0	777.0	0.3379	GF_000502	0.1348	0.6167	6.0	0.2186	939.0	Cyclopeltis_crenata_scaffold7960.p1	Cyclopeltis_crenata_scaffold2771.p1	0.5	0.5
Cyclopeltis_crenata_C703875.p1__Cyclopeltis_crenata_scaffold7960.p1	0.78235	0.63784	1020.0	777.0	0.68019	GF_000502	0.3026	2.3895	7.0	0.1266	798.0	Cyclopeltis_crenata_C703875.p1	Cyclopeltis_crenata_scaffold7960.p1	0.33333	0.5
Cyclopeltis_crenata_C703875.p1__Cyclopeltis_crenata_scaffold2770.p1	0.78529	0.66916	1020.0	777.0	0.60772	GF_000502	0.2385	2.4907	7.0	0.0958	801.0	Cyclopeltis_crenata_C703875.p1	Cyclopeltis_crenata_scaffold2770.p1	0.33333	0.5
Cyclopeltis_crenata_C703875.p1__Cyclopeltis_crenata_scaffold2771.p1	0.78529	0.67291	1020.0	777.0	0.56675	GF_000502	0.2248	64.0761	7.0	0.0035	801.0	Cyclopeltis_crenata_C703875.p1	Cyclopeltis_crenata_scaffold2771.p1	0.33333	0.0
Cyclopeltis_crenata_C703875.p1__Cyclopeltis_crenata_scaffold10759.p1	0.76471	0.52564	1020.0	777.0	1.27976	GF_000502	0.5335	4.5863	8.0	0.1163	780.0	Cyclopeltis_crenata_scaffold10759.p1	Cyclopeltis_crenata_C703875.p1	0.25	0.5
Cyclopeltis_crenata_scaffold10759.p1__Cyclopeltis_crenata_scaffold7960.p1	0.86471	0.53401	1020.0	777.0	1.30521	GF_000502	0.5073	3.2861	8.0	0.1544	882.0	Cyclopeltis_crenata_scaffold10759.p1	Cyclopeltis_crenata_scaffold7960.p1	0.25	0.5
Cyclopeltis_crenata_scaffold10759.p1__Cyclopeltis_crenata_scaffold2770.p1	0.86471	0.52948	1020.0	777.0	1.23274	GF_000502	0.4779	64.5257	8.0	0.0074	882.0	Cyclopeltis_crenata_scaffold10759.p1	Cyclopeltis_crenata_scaffold2770.p1	0.25	0.0
Cyclopeltis_crenata_scaffold10759.p1__Cyclopeltis_crenata_scaffold2771.p1	0.86471	0.53061	1020.0	777.0	1.19177	GF_000502	0.4773	64.8283	8.0	0.0074	882.0	Cyclopeltis_crenata_scaffold10759.p1	Cyclopeltis_crenata_scaffold2771.p1	0.25	0.0
Cyclopeltis_crenata_C673646.p1__Cyclopeltis_crenata_scaffold12081.p2	0.12638	0.44337	2445.0	3.0	2.06644	GF_000011		6.2063	37.0		309.0	Cyclopeltis_crenata_C673646.p1	Cyclopeltis_crenata_scaffold12081.p2	1.0	0.0
Cyclopeltis_crenata_C649504.p1__Cyclopeltis_crenata_C673646.p1	0.11411	0.43728	2445.0	3.0	2.03264	GF_000011		6.2063	38.0		279.0	Cyclopeltis_crenata_C673646.p1	Cyclopeltis_crenata_C649504.p1	0.5	0.0
Cyclopeltis_crenata_C649504.p1__Cyclopeltis_crenata_scaffold12081.p2	0.10061	0.47154	2445.0	3.0	1.34862	GF_000011		6.2063	38.0		246.0	Cyclopeltis_crenata_scaffold12081.p2	Cyclopeltis_crenata_C649504.p1	0.5	0.0
Cyclopeltis_crenata_C698649.p1__Cyclopeltis_crenata_C714759.p1	0.22331	0.47985	2445.0	3.0	1.11547	GF_000011		6.2063	39.0		546.0	Cyclopeltis_crenata_C698649.p1	Cyclopeltis_crenata_C714759.p1	1.0	0.0
Cyclopeltis_crenata_scaffold11343.p1__Cyclopeltis_crenata_scaffold1720.p1	0.13865	0.81711	2445.0	3.0	0.31981	GF_000011		6.2063	40.0		339.0	Cyclopeltis_crenata_scaffold11343.p1	Cyclopeltis_crenata_scaffold1720.p1	1.0	0.0
Cyclopeltis_crenata_C717605.p1__Cyclopeltis_crenata_scaffold11343.p1	0.13865	0.58997	2445.0	3.0	0.73285	GF_000011		6.2063	41.0		339.0	Cyclopeltis_crenata_scaffold11343.p1	Cyclopeltis_crenata_C717605.p1	0.5	0.0
Cyclopeltis_crenata_C717605.p1__Cyclopeltis_crenata_scaffold1720.p1	0.34356	0.62976	2445.0	3.0	0.66756	GF_000011		5.0025	41.0	0.4182	840.0	Cyclopeltis_crenata_scaffold1720.p1	Cyclopeltis_crenata_C717605.p1	0.5	0.0
Cyclopeltis_crenata_C651739.p1__Cyclopeltis_crenata_C684602.p1	0.12638	0.65372	2445.0	3.0	0.6191	GF_000011		6.2063	42.0		309.0	Cyclopeltis_crenata_C651739.p1	Cyclopeltis_crenata_C684602.p1	1.0	0.0
Cyclopeltis_crenata_C651739.p1__Cyclopeltis_crenata_scaffold12081.p1	0.12761	0.58974	2445.0	3.0	0.8179	GF_000011		6.2063	43.0		312.0	Cyclopeltis_crenata_scaffold12081.p1	Cyclopeltis_crenata_C651739.p1	0.5	0.0
Cyclopeltis_crenata_C684602.p1__Cyclopeltis_crenata_scaffold12081.p1	0.15828	0.6615	2445.0	3.0	0.67772	GF_000011		6.2063	43.0		387.0	Cyclopeltis_crenata_scaffold12081.p1	Cyclopeltis_crenata_C684602.p1	0.5	0.0
Cyclopeltis_crenata_C707685.p1__Cyclopeltis_crenata_scaffold12081.p1	0.23436	0.58813	2445.0	3.0	0.7584	GF_000011		6.2063	44.0		573.0	Cyclopeltis_crenata_C707685.p1	Cyclopeltis_crenata_scaffold12081.p1	0.33333	0.0
Cyclopeltis_crenata_C651739.p1__Cyclopeltis_crenata_C707685.p1	0.12025	0.59524	2445.0	3.0	0.86498	GF_000011		6.2063	44.0		294.0	Cyclopeltis_crenata_C707685.p1	Cyclopeltis_crenata_C651739.p1	0.33333	0.0
Cyclopeltis_crenata_C684602.p1__Cyclopeltis_crenata_C707685.p1	0.15215	0.63172	2445.0	3.0	0.7248	GF_000011		6.2063	44.0		372.0	Cyclopeltis_crenata_C707685.p1	Cyclopeltis_crenata_C684602.p1	0.33333	0.0
Cyclopeltis_crenata_C707685.p1__Cyclopeltis_crenata_scaffold11343.p1	0.12393	0.50165	2445.0	3.0	1.0815	GF_000011		6.2063	45.0		303.0	Cyclopeltis_crenata_scaffold11343.p1	Cyclopeltis_crenata_C707685.p1	0.08333	0.0
Cyclopeltis_crenata_scaffold11343.p1__Cyclopeltis_crenata_scaffold12081.p1	0.09939	0.51852	2445.0	3.0	1.11276	GF_000011		6.2063	45.0		243.0	Cyclopeltis_crenata_scaffold11343.p1	Cyclopeltis_crenata_scaffold12081.p1	0.08333	0.0
Cyclopeltis_crenata_C651739.p1__Cyclopeltis_crenata_scaffold11343.p1	0.00123	0.66667	2445.0	3.0	1.21934	GF_000011		6.2063	45.0		3.0	Cyclopeltis_crenata_scaffold11343.p1	Cyclopeltis_crenata_C651739.p1	0.08333	0.0
Cyclopeltis_crenata_C684602.p1__Cyclopeltis_crenata_scaffold11343.p1	0.01963	0.54167	2445.0	3.0	1.07916	GF_000011		6.2063	45.0		48.0	Cyclopeltis_crenata_scaffold11343.p1	Cyclopeltis_crenata_C684602.p1	0.08333	0.0
Cyclopeltis_crenata_C707685.p1__Cyclopeltis_crenata_scaffold1720.p1	0.33006	0.52169	2445.0	3.0	1.01621	GF_000011		6.2063	45.0		807.0	Cyclopeltis_crenata_scaffold1720.p1	Cyclopeltis_crenata_C707685.p1	0.08333	0.0
Cyclopeltis_crenata_scaffold12081.p1__Cyclopeltis_crenata_scaffold1720.p1	0.23313	0.51053	2445.0	3.0	1.04747	GF_000011		6.2063	45.0		570.0	Cyclopeltis_crenata_scaffold1720.p1	Cyclopeltis_crenata_scaffold12081.p1	0.08333	0.0
Cyclopeltis_crenata_C651739.p1__Cyclopeltis_crenata_scaffold1720.p1	0.12638	0.50809	2445.0	3.0	1.15405	GF_000011		6.2063	45.0		309.0	Cyclopeltis_crenata_scaffold1720.p1	Cyclopeltis_crenata_C651739.p1	0.08333	0.0
