	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Sticherus_truncatus_C298996.p2__Sticherus_truncatus_C303324.p1	0.82143	0.52536	336.0	276.0	1.20332	GF_001925	0.5691	4.5347	2.0	0.1255	276.0	Sticherus_truncatus_C298996.p2	Sticherus_truncatus_C303324.p1	1.0	1.0
Sticherus_truncatus_C328006.p1__Sticherus_truncatus_scaffold10768.p1	0.76986	0.65125	1095.0	639.0	0.46092	GF_000502	0.2107	61.0279	6.0	0.0035	843.0	Sticherus_truncatus_scaffold10768.p1	Sticherus_truncatus_C328006.p1	1.0	0.0
Sticherus_truncatus_C320334.p1__Sticherus_truncatus_C333986.p1	0.59452	0.7788	1095.0	639.0	0.28781	GF_000502	0.13	0.8451	7.0	0.1538	651.0	Sticherus_truncatus_C320334.p1	Sticherus_truncatus_C333986.p1	1.0	1.0
Sticherus_truncatus_C330248.p1__Sticherus_truncatus_scaffold8296.p1	0.86027	0.53822	1095.0	639.0	0.8305	GF_000502	0.3814	61.894	8.0	0.0062	942.0	Sticherus_truncatus_C330248.p1	Sticherus_truncatus_scaffold8296.p1	1.0	0.0
Sticherus_truncatus_C320334.p1__Sticherus_truncatus_C330248.p1	0.59452	0.58833	1095.0	639.0	0.85648	GF_000502	0.3556	60.2698	9.0	0.0059	651.0	Sticherus_truncatus_C320334.p1	Sticherus_truncatus_C330248.p1	0.25	0.0
Sticherus_truncatus_C320334.p1__Sticherus_truncatus_scaffold8296.p1	0.59452	0.56221	1095.0	639.0	0.95198	GF_000502	0.419	3.9564	9.0	0.1059	651.0	Sticherus_truncatus_C320334.p1	Sticherus_truncatus_scaffold8296.p1	0.25	0.5
Sticherus_truncatus_C330248.p1__Sticherus_truncatus_C333986.p1	0.84384	0.55628	1095.0	639.0	0.97495	GF_000502	0.409	62.6958	9.0	0.0065	924.0	Sticherus_truncatus_C333986.p1	Sticherus_truncatus_C330248.p1	0.25	0.0
Sticherus_truncatus_C333986.p1__Sticherus_truncatus_scaffold8296.p1	0.84932	0.53333	1095.0	639.0	1.07045	GF_000502	0.4722	3.6264	9.0	0.1302	930.0	Sticherus_truncatus_C333986.p1	Sticherus_truncatus_scaffold8296.p1	0.25	0.5
Sticherus_truncatus_C320334.p1__Sticherus_truncatus_scaffold10768.p1	0.58356	0.518	1095.0	639.0	1.27935	GF_000502	0.6018	2.3174	10.0	0.2597	639.0	Sticherus_truncatus_scaffold10768.p1	Sticherus_truncatus_C320334.p1	0.125	0.25
Sticherus_truncatus_C333986.p1__Sticherus_truncatus_scaffold10768.p1	0.74795	0.49328	1095.0	639.0	1.39782	GF_000502	0.5793	4.1734	10.0	0.1388	819.0	Sticherus_truncatus_scaffold10768.p1	Sticherus_truncatus_C333986.p1	0.125	0.25
Sticherus_truncatus_C330248.p1__Sticherus_truncatus_scaffold10768.p1	0.75068	0.48662	1095.0	639.0	1.40247	GF_000502	0.6149	59.7586	10.0	0.0103	822.0	Sticherus_truncatus_scaffold10768.p1	Sticherus_truncatus_C330248.p1	0.125	0.0
Sticherus_truncatus_scaffold10768.p1__Sticherus_truncatus_scaffold8296.p1	0.75068	0.45864	1095.0	639.0	1.49797	GF_000502	0.6731	59.6559	10.0	0.0113	822.0	Sticherus_truncatus_scaffold10768.p1	Sticherus_truncatus_scaffold8296.p1	0.125	0.0
Sticherus_truncatus_C320334.p1__Sticherus_truncatus_C328006.p1	0.5863	0.51402	1095.0	639.0	1.17903	GF_000502	0.5671	59.0376	10.0	0.0096	642.0	Sticherus_truncatus_C328006.p1	Sticherus_truncatus_C320334.p1	0.125	0.0
Sticherus_truncatus_C328006.p1__Sticherus_truncatus_C333986.p1	0.83014	0.53025	1095.0	639.0	1.2975	GF_000502	0.5594	2.8334	10.0	0.1974	909.0	Sticherus_truncatus_C328006.p1	Sticherus_truncatus_C333986.p1	0.125	0.25
Sticherus_truncatus_C328006.p1__Sticherus_truncatus_C330248.p1	0.8411	0.53094	1095.0	639.0	1.30215	GF_000502	0.6243	2.5515	10.0	0.2447	921.0	Sticherus_truncatus_C328006.p1	Sticherus_truncatus_C330248.p1	0.125	0.25
Sticherus_truncatus_C328006.p1__Sticherus_truncatus_scaffold8296.p1	0.86027	0.49151	1095.0	639.0	1.39765	GF_000502	0.6134	64.2598	10.0	0.0095	942.0	Sticherus_truncatus_C328006.p1	Sticherus_truncatus_scaffold8296.p1	0.125	0.0
Sticherus_truncatus_scaffold7691.p1__Sticherus_truncatus_scaffold7692.p1	1.0	1.0	489.0	489.0	0.0	GF_003125	0.0	0.0	2.0	0.3776	489.0	Sticherus_truncatus_scaffold7691.p1	Sticherus_truncatus_scaffold7692.p1	1.0	0.0
Sticherus_truncatus_scaffold7525.p1__Sticherus_truncatus_scaffold7526.p1	0.94342	0.78111	2121.0	2001.0	0.32848	GF_002318	0.1635	0.7089	2.0	0.2307	2001.0	Sticherus_truncatus_scaffold7526.p1	Sticherus_truncatus_scaffold7525.p1	1.0	1.0
Sticherus_truncatus_C332616.p1__Sticherus_truncatus_C333596.p1	0.88384	0.70286	1188.0	1050.0	0.54348	GF_002403	0.2685	0.9054	2.0	0.2965	1050.0	Sticherus_truncatus_C332616.p1	Sticherus_truncatus_C333596.p1	1.0	1.0
Sticherus_truncatus_scaffold6206.p1__Sticherus_truncatus_scaffold6207.p2	1.0	1.0	315.0	315.0	0.0	GF_003057	0.0	0.0	2.0	0.001	315.0	Sticherus_truncatus_scaffold6206.p1	Sticherus_truncatus_scaffold6207.p2	1.0	0.0
Sticherus_truncatus_scaffold8404.p1__Sticherus_truncatus_scaffold8405.p2	1.0	1.0	408.0	408.0	0.0	GF_002556	0.0	0.0	2.0	99.0	408.0	Sticherus_truncatus_scaffold8405.p2	Sticherus_truncatus_scaffold8404.p1	1.0	0.0
Sticherus_truncatus_C267878.p1__Sticherus_truncatus_scaffold12037.p1	0.16	0.57143	1050.0	168.0	0.64896	GF_000549	0.3775	3.9314	5.0	0.096	168.0	Sticherus_truncatus_C267878.p1	Sticherus_truncatus_scaffold12037.p1	1.0	1.0
Sticherus_truncatus_C267878.p1__Sticherus_truncatus_C337038.p1	0.28286	0.62626	1050.0	168.0	0.5974	GF_000549	0.4124	23.0729	6.0	0.0179	297.0	Sticherus_truncatus_C337038.p1	Sticherus_truncatus_C267878.p1	0.5	0.0
Sticherus_truncatus_C337038.p1__Sticherus_truncatus_scaffold12037.p1	0.18286	0.61979	1050.0	168.0	0.50664	GF_000549	0.2812	3.475	6.0	0.0809	192.0	Sticherus_truncatus_C337038.p1	Sticherus_truncatus_scaffold12037.p1	0.5	1.0
Sticherus_truncatus_C289182.p1__Sticherus_truncatus_C319104.p1	0.40571	0.64554	1050.0	168.0	0.65013	GF_000549	0.3585	3.1964	7.0	0.1122	426.0	Sticherus_truncatus_C289182.p1	Sticherus_truncatus_C319104.p1	1.0	1.0
Sticherus_truncatus_C289182.p1__Sticherus_truncatus_C337038.p1	0.33429	0.68091	1050.0	168.0	0.4453	GF_000549	0.2536	2.7306	8.0	0.0929	351.0	Sticherus_truncatus_C337038.p1	Sticherus_truncatus_C289182.p1	0.16667	0.16667
Sticherus_truncatus_C319104.p1__Sticherus_truncatus_C337038.p1	0.35714	0.632	1050.0	168.0	0.61823	GF_000549	0.2986	1.646	8.0	0.1814	375.0	Sticherus_truncatus_C337038.p1	Sticherus_truncatus_C319104.p1	0.16667	0.16667
Sticherus_truncatus_C267878.p1__Sticherus_truncatus_C289182.p1	0.28286	0.60606	1050.0	168.0	0.7265	GF_000549	0.5714	2.505	8.0	0.2281	297.0	Sticherus_truncatus_C267878.p1	Sticherus_truncatus_C289182.p1	0.16667	0.16667
Sticherus_truncatus_C267878.p1__Sticherus_truncatus_C319104.p1	0.28286	0.6229	1050.0	168.0	0.89943	GF_000549	0.4278	2.9979	8.0	0.1427	297.0	Sticherus_truncatus_C267878.p1	Sticherus_truncatus_C319104.p1	0.16667	0.16667
Sticherus_truncatus_C289182.p1__Sticherus_truncatus_scaffold12037.p1	0.25429	0.61423	1050.0	168.0	0.63574	GF_000549	0.3538	2.4676	8.0	0.1434	267.0	Sticherus_truncatus_scaffold12037.p1	Sticherus_truncatus_C289182.p1	0.16667	0.16667
Sticherus_truncatus_C319104.p1__Sticherus_truncatus_scaffold12037.p1	0.52857	0.59459	1050.0	168.0	0.80867	GF_000549	0.4507	3.6197	8.0	0.1245	555.0	Sticherus_truncatus_scaffold12037.p1	Sticherus_truncatus_C319104.p1	0.16667	0.16667
Sticherus_truncatus_scaffold1743.p1__Sticherus_truncatus_scaffold1744.p1	0.75373	1.0	2010.0	1515.0	0.0	GF_001680	0.0	0.0	3.0	0.3405	1515.0	Sticherus_truncatus_scaffold1743.p1	Sticherus_truncatus_scaffold1744.p1	1.0	0.0
Sticherus_truncatus_scaffold1743.p1__Sticherus_truncatus_scaffold5024.p1	0.75373	0.84884	2010.0	1515.0	0.08748	GF_001680	0.0452	0.8023	4.0	0.0563	1515.0	Sticherus_truncatus_scaffold1743.p1	Sticherus_truncatus_scaffold5024.p1	0.5	0.5
Sticherus_truncatus_scaffold1744.p1__Sticherus_truncatus_scaffold5024.p1	0.75373	0.84884	2010.0	1515.0	0.08748	GF_001680	0.0452	0.8023	4.0	0.0563	1515.0	Sticherus_truncatus_scaffold1744.p1	Sticherus_truncatus_scaffold5024.p1	0.5	0.5
Sticherus_truncatus_C341424.p1__Sticherus_truncatus_scaffold10956.p1	0.9117	0.79581	2616.0	2385.0	0.22228	GF_002601	0.1144	0.8948	2.0	0.1278	2385.0	Sticherus_truncatus_C341424.p1	Sticherus_truncatus_scaffold10956.p1	1.0	1.0
Sticherus_truncatus_scaffold56.p1__Sticherus_truncatus_scaffold57.p1	0.98175	1.0	822.0	528.0	0.0	GF_001253	0.0	0.0	3.0	0.001	807.0	Sticherus_truncatus_scaffold57.p1	Sticherus_truncatus_scaffold56.p1	1.0	0.0
Sticherus_truncatus_C300436.p1__Sticherus_truncatus_scaffold57.p1	0.64234	0.4678	822.0	528.0	1.53484	GF_001253	0.7516	3.2299	4.0	0.2327	528.0	Sticherus_truncatus_C300436.p1	Sticherus_truncatus_scaffold57.p1	0.5	0.5
Sticherus_truncatus_C300436.p1__Sticherus_truncatus_scaffold56.p1	0.64234	0.4678	822.0	528.0	1.53484	GF_001253	0.7516	3.2299	4.0	0.2327	528.0	Sticherus_truncatus_C300436.p1	Sticherus_truncatus_scaffold56.p1	0.5	0.5
Sticherus_truncatus_scaffold5626.p2__Sticherus_truncatus_scaffold5627.p2	1.0	1.0	312.0	312.0	0.0	GF_001727	0.0	0.0	3.0	0.1342	312.0	Sticherus_truncatus_scaffold5627.p2	Sticherus_truncatus_scaffold5626.p2	1.0	0.0
Sticherus_truncatus_scaffold5625.p2__Sticherus_truncatus_scaffold5627.p2	1.0	1.0	312.0	312.0	0.0	GF_001727	0.0	0.0	4.0	0.001	312.0	Sticherus_truncatus_scaffold5625.p2	Sticherus_truncatus_scaffold5627.p2	0.5	0.0
Sticherus_truncatus_scaffold5625.p2__Sticherus_truncatus_scaffold5626.p2	1.0	1.0	312.0	312.0	0.0	GF_001727	0.0	0.0	4.0	0.0216	312.0	Sticherus_truncatus_scaffold5625.p2	Sticherus_truncatus_scaffold5626.p2	0.5	0.0
Sticherus_truncatus_C301788.p1__Sticherus_truncatus_C337862.p1	0.4532	0.47101	1218.0	552.0	1.15058	GF_001947	0.6215	62.2644	2.0	0.01	552.0	Sticherus_truncatus_C301788.p1	Sticherus_truncatus_C337862.p1	1.0	0.0
Sticherus_truncatus_C330728.p1__Sticherus_truncatus_C332044.p1	0.28556	0.50434	2826.0	381.0	1.14696	GF_000349	0.6566	8.1997	7.0	0.0801	807.0	Sticherus_truncatus_C330728.p1	Sticherus_truncatus_C332044.p1	1.0	0.0
