	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Pronephrium_simplex_C808116.p1__Pronephrium_simplex_C845456.p1	0.39326	0.63333	534.0	210.0	0.57624	GF_001925	0.3842	1.3548	2.0	0.2836	210.0	Pronephrium_simplex_C808116.p1	Pronephrium_simplex_C845456.p1	1.0	1.0
Pronephrium_simplex_scaffold2501.p1__Pronephrium_simplex_scaffold2502.p2	1.0	1.0	717.0	717.0	0.0	GF_003247	0.0	0.0	2.0	0.4259	717.0	Pronephrium_simplex_scaffold2501.p1	Pronephrium_simplex_scaffold2502.p2	1.0	0.0
Pronephrium_simplex_scaffold16098.p3__Pronephrium_simplex_scaffold16099.p5	1.0	1.0	405.0	405.0	0.0	GF_003125	0.0	0.0	2.0	0.4107	405.0	Pronephrium_simplex_scaffold16098.p3	Pronephrium_simplex_scaffold16099.p5	1.0	0.0
Pronephrium_simplex_C850199.p1__Pronephrium_simplex_C863823.p1	0.875	0.75149	768.0	672.0	0.2204	GF_002318	0.1079	1.8806	2.0	0.0574	672.0	Pronephrium_simplex_C850199.p1	Pronephrium_simplex_C863823.p1	1.0	1.0
Pronephrium_simplex_C855051.p1__Pronephrium_simplex_C866739.p1	0.71656	0.43704	942.0	675.0	1.54882	GF_002403	0.7663	60.7142	2.0	0.0126	675.0	Pronephrium_simplex_C855051.p1	Pronephrium_simplex_C866739.p1	1.0	0.0
Pronephrium_simplex_scaffold14444.p1__Pronephrium_simplex_scaffold14445.p1	1.0	1.0	315.0	315.0	0.0	GF_003057	0.0	0.0	2.0	0.5089	315.0	Pronephrium_simplex_scaffold14444.p1	Pronephrium_simplex_scaffold14445.p1	1.0	0.0
Pronephrium_simplex_C861537.p1__Pronephrium_simplex_scaffold6124.p1	0.79257	0.58724	969.0	768.0	0.59568	GF_002556	0.3471	63.2437	2.0	0.0055	768.0	Pronephrium_simplex_C861537.p1	Pronephrium_simplex_scaffold6124.p1	1.0	0.0
Pronephrium_simplex_C794541.p1__Pronephrium_simplex_scaffold649.p3	0.0951	0.92929	1041.0	93.0	0.00109	GF_000549	0.0003	0.3255	5.0	0.001	99.0	Pronephrium_simplex_C794541.p1	Pronephrium_simplex_scaffold649.p3	1.0	1.0
Pronephrium_simplex_C794541.p1__Pronephrium_simplex_C855233.p1	0.26225	0.56044	1041.0	93.0	0.71594	GF_000549	0.401	71.0066	6.0	0.0056	273.0	Pronephrium_simplex_C855233.p1	Pronephrium_simplex_C794541.p1	0.5	0.0
Pronephrium_simplex_C855233.p1__Pronephrium_simplex_scaffold649.p3	0.317	0.59091	1041.0	93.0	0.71595	GF_000549	0.3982	72.5514	6.0	0.0055	330.0	Pronephrium_simplex_C855233.p1	Pronephrium_simplex_scaffold649.p3	0.5	0.0
Pronephrium_simplex_C860185.p1__Pronephrium_simplex_scaffold14230.p1	0.73775	0.47005	1041.0	93.0	1.13725	GF_000549	0.616	7.7354	7.0	0.0796	768.0	Pronephrium_simplex_scaffold14230.p1	Pronephrium_simplex_C860185.p1	1.0	0.0
Pronephrium_simplex_C855233.p1__Pronephrium_simplex_scaffold14230.p1	0.75793	0.46895	1041.0	93.0	1.39399	GF_000549	0.4912	7.0019	8.0	0.0702	789.0	Pronephrium_simplex_C855233.p1	Pronephrium_simplex_scaffold14230.p1	0.16667	0.0
Pronephrium_simplex_C855233.p1__Pronephrium_simplex_C860185.p1	0.72334	0.46348	1041.0	93.0	1.46792	GF_000549	0.7239	74.202	8.0	0.0098	753.0	Pronephrium_simplex_C855233.p1	Pronephrium_simplex_C860185.p1	0.16667	0.0
Pronephrium_simplex_C794541.p1__Pronephrium_simplex_scaffold14230.p1	0.29395	0.40196	1041.0	93.0	1.76787	GF_000549	0.6536	13.9764	8.0	0.0468	306.0	Pronephrium_simplex_C794541.p1	Pronephrium_simplex_scaffold14230.p1	0.16667	0.0
Pronephrium_simplex_C794541.p1__Pronephrium_simplex_C860185.p1	0.29395	0.4183	1041.0	93.0	1.8418	GF_000549	0.7961	3.7916	8.0	0.21	306.0	Pronephrium_simplex_C794541.p1	Pronephrium_simplex_C860185.p1	0.16667	0.5
Pronephrium_simplex_scaffold14230.p1__Pronephrium_simplex_scaffold649.p3	0.317	0.48788	1041.0	93.0	1.76788	GF_000549	0.6586	13.0099	8.0	0.0506	330.0	Pronephrium_simplex_scaffold649.p3	Pronephrium_simplex_scaffold14230.p1	0.16667	0.0
