	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Hypolepis_punctata_scaffold18040.p1__Hypolepis_punctata_scaffold8489.p1	0.7044	0.48214	2385.0	1524.0	1.24244	GF_001925	0.6104	71.2121	3.0	0.0086	1680.0	Hypolepis_punctata_scaffold18040.p1	Hypolepis_punctata_scaffold8489.p1	1.0	0.0
Hypolepis_punctata_scaffold18040.p1__Hypolepis_punctata_scaffold24777.p1	0.67296	0.36822	2385.0	1524.0	2.50532	GF_001925	1.1222	65.9218	4.0	0.017	1605.0	Hypolepis_punctata_scaffold24777.p1	Hypolepis_punctata_scaffold18040.p1	0.5	0.0
Hypolepis_punctata_scaffold24777.p1__Hypolepis_punctata_scaffold8489.p1	0.70566	0.41236	2385.0	1524.0	1.74282	GF_001925	0.8587	62.9756	4.0	0.0136	1683.0	Hypolepis_punctata_scaffold24777.p1	Hypolepis_punctata_scaffold8489.p1	0.5	0.0
Hypolepis_punctata_scaffold22349.p1__Hypolepis_punctata_scaffold5188.p1	0.44737	0.41533	1254.0	561.0	1.85136	GF_003247	0.9244	72.2735	2.0	0.0128	561.0	Hypolepis_punctata_scaffold22349.p1	Hypolepis_punctata_scaffold5188.p1	1.0	0.0
Hypolepis_punctata_scaffold2994.p1__Hypolepis_punctata_scaffold2995.p1	0.68137	0.9964	1224.0	834.0	0.00366	GF_003125	0.0047	0.0003	2.0	14.3152	834.0	Hypolepis_punctata_scaffold2994.p1	Hypolepis_punctata_scaffold2995.p1	1.0	0.0
Hypolepis_punctata_C560083.p1__Hypolepis_punctata_scaffold18047.p1	0.10309	0.96667	873.0	90.0	0.0638	GF_002318	0.0311	0.0504	2.0	0.6173	90.0	Hypolepis_punctata_C560083.p1	Hypolepis_punctata_scaffold18047.p1	1.0	1.0
Hypolepis_punctata_C571830.p1__Hypolepis_punctata_scaffold25401.p1	0.54603	0.47674	945.0	516.0	1.51438	GF_002403	0.7402	3.7764	2.0	0.196	516.0	Hypolepis_punctata_C571830.p1	Hypolepis_punctata_scaffold25401.p1	1.0	1.0
Hypolepis_punctata_scaffold2012.p1__Hypolepis_punctata_scaffold2013.p1	1.0	0.98024	759.0	759.0	0.02794	GF_003057	0.0122	0.0488	2.0	0.2501	759.0	Hypolepis_punctata_scaffold2012.p1	Hypolepis_punctata_scaffold2013.p1	1.0	1.0
Hypolepis_punctata_C583689.p1__Hypolepis_punctata_scaffold16035.p1	0.37359	0.5273	1863.0	696.0	1.21922	GF_002556	0.7692	6.7373	2.0	0.1142	696.0	Hypolepis_punctata_C583689.p1	Hypolepis_punctata_scaffold16035.p1	1.0	0.0
Hypolepis_punctata_scaffold8733.p1__Hypolepis_punctata_scaffold8734.p1	0.34732	0.98993	2574.0	234.0	0.01293	GF_000549	0.0384	0.0436	6.0	0.8807	894.0	Hypolepis_punctata_scaffold8733.p1	Hypolepis_punctata_scaffold8734.p1	1.0	1.0
Hypolepis_punctata_scaffold8733.p1__Hypolepis_punctata_scaffold8735.p1	0.41725	0.99441	2574.0	234.0	0.01061	GF_000549	0.0	0.0	7.0	0.001	1074.0	Hypolepis_punctata_scaffold8735.p1	Hypolepis_punctata_scaffold8733.p1	0.5	0.0
Hypolepis_punctata_scaffold8734.p1__Hypolepis_punctata_scaffold8735.p1	0.34732	0.98993	2574.0	234.0	0.01666	GF_000549	0.0384	0.0436	7.0	0.8807	894.0	Hypolepis_punctata_scaffold8735.p1	Hypolepis_punctata_scaffold8734.p1	0.5	1.0
Hypolepis_punctata_scaffold14158.p1__Hypolepis_punctata_scaffold8735.p1	0.38811	0.55055	2574.0	234.0	0.99237	GF_000549	0.3283	1.3181	8.0	0.249	999.0	Hypolepis_punctata_scaffold14158.p1	Hypolepis_punctata_scaffold8735.p1	0.33333	0.33333
Hypolepis_punctata_scaffold14158.p1__Hypolepis_punctata_scaffold8733.p1	0.33916	0.55785	2574.0	234.0	0.99426	GF_000549	0.3283	1.3181	8.0	0.249	873.0	Hypolepis_punctata_scaffold14158.p1	Hypolepis_punctata_scaffold8733.p1	0.33333	0.33333
Hypolepis_punctata_scaffold14158.p1__Hypolepis_punctata_scaffold8734.p1	0.25874	0.58258	2574.0	234.0	1.00031	GF_000549	0.3738	1.5436	8.0	0.2421	666.0	Hypolepis_punctata_scaffold14158.p1	Hypolepis_punctata_scaffold8734.p1	0.33333	0.33333
Hypolepis_punctata_C536565.p1__Hypolepis_punctata_scaffold14158.p1	0.17599	0.52759	2574.0	234.0	1.36192	GF_000549	0.6262	1.3292	9.0	0.4711	453.0	Hypolepis_punctata_C536565.p1	Hypolepis_punctata_scaffold14158.p1	0.25	0.5
Hypolepis_punctata_C536565.p1__Hypolepis_punctata_scaffold8735.p1	0.17716	0.53509	2574.0	234.0	1.14473	GF_000549	0.4648	62.8789	9.0	0.0074	456.0	Hypolepis_punctata_C536565.p1	Hypolepis_punctata_scaffold8735.p1	0.25	0.0
Hypolepis_punctata_C536565.p1__Hypolepis_punctata_scaffold8733.p1	0.15268	0.56997	2574.0	234.0	1.14662	GF_000549	0.4648	62.8791	9.0	0.0074	393.0	Hypolepis_punctata_C536565.p1	Hypolepis_punctata_scaffold8733.p1	0.25	0.0
Hypolepis_punctata_C536565.p1__Hypolepis_punctata_scaffold8734.p1	0.09674	0.55422	2574.0	234.0	1.15267	GF_000549	0.5441	2.2206	9.0	0.245	249.0	Hypolepis_punctata_C536565.p1	Hypolepis_punctata_scaffold8734.p1	0.25	0.5
Hypolepis_punctata_C536565.p1__Hypolepis_punctata_scaffold11010.p1	0.15734	0.45926	2574.0	234.0	1.45791	GF_000549	0.8402	3.7381	10.0	0.2248	405.0	Hypolepis_punctata_scaffold11010.p1	Hypolepis_punctata_C536565.p1	0.2	0.5
Hypolepis_punctata_scaffold11010.p1__Hypolepis_punctata_scaffold14158.p1	0.41026	0.38826	2574.0	234.0	2.17027	GF_000549	0.7863	2.7764	10.0	0.2832	1056.0	Hypolepis_punctata_scaffold11010.p1	Hypolepis_punctata_scaffold14158.p1	0.2	0.5
Hypolepis_punctata_scaffold11010.p1__Hypolepis_punctata_scaffold8735.p1	0.37063	0.40252	2574.0	234.0	1.95308	GF_000549	0.7227	59.4351	10.0	0.0122	954.0	Hypolepis_punctata_scaffold11010.p1	Hypolepis_punctata_scaffold8735.p1	0.2	0.0
Hypolepis_punctata_scaffold11010.p1__Hypolepis_punctata_scaffold8733.p1	0.3648	0.40149	2574.0	234.0	1.95497	GF_000549	0.7227	59.435	10.0	0.0122	939.0	Hypolepis_punctata_scaffold11010.p1	Hypolepis_punctata_scaffold8733.p1	0.2	0.0
Hypolepis_punctata_scaffold11010.p1__Hypolepis_punctata_scaffold8734.p1	0.30769	0.38636	2574.0	234.0	1.96102	GF_000549	0.7502	60.8568	10.0	0.0123	792.0	Hypolepis_punctata_scaffold11010.p1	Hypolepis_punctata_scaffold8734.p1	0.2	0.0
Hypolepis_punctata_scaffold3599.p1__Hypolepis_punctata_scaffold3601.p1	1.0	1.0	774.0	774.0	0.0	GF_003393	0.0	0.0	2.0	0.4719	774.0	Hypolepis_punctata_scaffold3599.p1	Hypolepis_punctata_scaffold3601.p1	1.0	0.0
Hypolepis_punctata_scaffold18595.p1__Hypolepis_punctata_scaffold25191.p1	0.12727	0.54167	1320.0	165.0	0.58483	GF_001680	0.3393	64.7206	3.0	0.0052	168.0	Hypolepis_punctata_scaffold25191.p1	Hypolepis_punctata_scaffold18595.p1	1.0	0.0
Hypolepis_punctata_C581703.p1__Hypolepis_punctata_scaffold25191.p1	0.66136	0.42841	1320.0	165.0	1.53429	GF_001680	0.649	82.5651	4.0	0.0079	873.0	Hypolepis_punctata_C581703.p1	Hypolepis_punctata_scaffold25191.p1	0.5	0.0
Hypolepis_punctata_C581703.p1__Hypolepis_punctata_scaffold18595.p1	0.125	0.49091	1320.0	165.0	1.28312	GF_001680	0.5508	72.9517	4.0	0.0076	165.0	Hypolepis_punctata_C581703.p1	Hypolepis_punctata_scaffold18595.p1	0.5	0.0
Hypolepis_punctata_scaffold8281.p1__Hypolepis_punctata_scaffold8282.p1	0.73849	0.99204	3063.0	378.0	0.00948	GF_000971	0.0	0.0	4.0	0.0719	2262.0	Hypolepis_punctata_scaffold8282.p1	Hypolepis_punctata_scaffold8281.p1	1.0	0.0
Hypolepis_punctata_C541447.p1__Hypolepis_punctata_scaffold8282.p1	0.15769	0.44306	3063.0	378.0	1.47589	GF_000971	0.9074	9.3337	5.0	0.0972	483.0	Hypolepis_punctata_C541447.p1	Hypolepis_punctata_scaffold8282.p1	0.5	0.0
Hypolepis_punctata_C541447.p1__Hypolepis_punctata_scaffold8281.p1	0.15769	0.44306	3063.0	378.0	1.47589	GF_000971	0.9074	9.3337	5.0	0.0972	483.0	Hypolepis_punctata_C541447.p1	Hypolepis_punctata_scaffold8281.p1	0.5	0.0
Hypolepis_punctata_C531445.p1__Hypolepis_punctata_C541447.p1	0.12341	0.4127	3063.0	378.0	1.65667	GF_000971	1.0207	26.3406	6.0	0.0387	378.0	Hypolepis_punctata_C531445.p1	Hypolepis_punctata_C541447.p1	0.33333	0.0
Hypolepis_punctata_C531445.p1__Hypolepis_punctata_scaffold8282.p1	0.14104	0.44213	3063.0	378.0	1.5037	GF_000971	0.839	68.6437	6.0	0.0122	432.0	Hypolepis_punctata_C531445.p1	Hypolepis_punctata_scaffold8282.p1	0.33333	0.0
