	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-GANB-2003333-Cyathea_spinulosa.p2__scaffold-GANB-2070191-Cyathea_spinulosa.p1	0.46058	0.45345	1446.0	666.0	1.3351	GF_001925	0.6981	73.8194	2.0	0.0095	666.0	scaffold-GANB-2003333-Cyathea_spinulosa.p2	scaffold-GANB-2070191-Cyathea_spinulosa.p1	1.0	0.0
scaffold-GANB-2065326-Cyathea_spinulosa.p1__scaffold-GANB-2065947-Cyathea_spinulosa.p1	0.45304	0.73171	543.0	246.0	0.40326	GF_003125	0.2955	0.5065	2.0	0.5833	246.0	scaffold-GANB-2065326-Cyathea_spinulosa.p1	scaffold-GANB-2065947-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2008567-Cyathea_spinulosa.p1__scaffold-GANB-2011826-Cyathea_spinulosa.p1	0.59218	0.84277	537.0	318.0	0.20118	GF_002318	0.099	0.6155	2.0	0.1609	318.0	scaffold-GANB-2008567-Cyathea_spinulosa.p1	scaffold-GANB-2011826-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2009751-Cyathea_spinulosa.p1__scaffold-GANB-2009752-Cyathea_spinulosa.p1	0.89328	0.941	759.0	678.0	0.08074	GF_002403	0.0423	0.1282	2.0	0.3302	678.0	scaffold-GANB-2009751-Cyathea_spinulosa.p1	scaffold-GANB-2009752-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2061575-Cyathea_spinulosa.p1__scaffold-GANB-2066912-Cyathea_spinulosa.p1	0.53409	0.52837	528.0	282.0	0.93608	GF_003057	0.5315	5.1077	2.0	0.1041	282.0	scaffold-GANB-2061575-Cyathea_spinulosa.p1	scaffold-GANB-2066912-Cyathea_spinulosa.p1	1.0	0.0
scaffold-GANB-2011891-Cyathea_spinulosa.p1__scaffold-GANB-2011892-Cyathea_spinulosa.p1	0.53846	0.91369	624.0	336.0	0.19914	GF_002556	0.1202	0.0424	2.0	2.8328	336.0	scaffold-GANB-2011891-Cyathea_spinulosa.p1	scaffold-GANB-2011892-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2004269-Cyathea_spinulosa.p2__scaffold-GANB-2010249-Cyathea_spinulosa.p2	0.24545	0.84877	1320.0	180.0	0.01758	GF_000549	0.0148	1.5705	5.0	0.0094	324.0	scaffold-GANB-2004269-Cyathea_spinulosa.p2	scaffold-GANB-2010249-Cyathea_spinulosa.p2	1.0	1.0
scaffold-GANB-2004269-Cyathea_spinulosa.p2__scaffold-GANB-2014043-Cyathea_spinulosa.p1	0.24091	0.93082	1320.0	180.0	0.02682	GF_000549	0.0158	0.3109	6.0	0.0509	318.0	scaffold-GANB-2014043-Cyathea_spinulosa.p1	scaffold-GANB-2004269-Cyathea_spinulosa.p2	0.5	0.5
scaffold-GANB-2010249-Cyathea_spinulosa.p2__scaffold-GANB-2014043-Cyathea_spinulosa.p1	0.18636	0.81707	1320.0	180.0	0.0433	GF_000549	0.0317	1.5115	6.0	0.0209	246.0	scaffold-GANB-2014043-Cyathea_spinulosa.p1	scaffold-GANB-2010249-Cyathea_spinulosa.p2	0.5	0.5
scaffold-GANB-2000859-Cyathea_spinulosa.p1__scaffold-GANB-2014043-Cyathea_spinulosa.p1	0.17273	0.42982	1320.0	180.0	1.22365	GF_000549	0.9585	18.7042	7.0	0.0512	228.0	scaffold-GANB-2000859-Cyathea_spinulosa.p1	scaffold-GANB-2014043-Cyathea_spinulosa.p1	0.33333	0.0
scaffold-GANB-2000859-Cyathea_spinulosa.p1__scaffold-GANB-2004269-Cyathea_spinulosa.p2	0.3	0.45707	1320.0	180.0	1.24937	GF_000549	0.9546	18.6514	7.0	0.0512	396.0	scaffold-GANB-2000859-Cyathea_spinulosa.p1	scaffold-GANB-2004269-Cyathea_spinulosa.p2	0.33333	0.0
scaffold-GANB-2000859-Cyathea_spinulosa.p1__scaffold-GANB-2010249-Cyathea_spinulosa.p2	0.23182	0.44118	1320.0	180.0	1.26585	GF_000549	0.97	66.3328	7.0	0.0146	306.0	scaffold-GANB-2000859-Cyathea_spinulosa.p1	scaffold-GANB-2010249-Cyathea_spinulosa.p2	0.33333	0.0
scaffold-GANB-2000859-Cyathea_spinulosa.p1__scaffold-GANB-2065320-Cyathea_spinulosa.p1	0.30909	0.44118	1320.0	180.0	1.27653	GF_000549	0.829	9.6767	8.0	0.0857	408.0	scaffold-GANB-2065320-Cyathea_spinulosa.p1	scaffold-GANB-2000859-Cyathea_spinulosa.p1	0.25	0.0
scaffold-GANB-2014043-Cyathea_spinulosa.p1__scaffold-GANB-2065320-Cyathea_spinulosa.p1	0.13636	0.42778	1320.0	180.0	1.61838	GF_000549	0.8887	74.6173	8.0	0.0119	180.0	scaffold-GANB-2065320-Cyathea_spinulosa.p1	scaffold-GANB-2014043-Cyathea_spinulosa.p1	0.25	0.0
scaffold-GANB-2004269-Cyathea_spinulosa.p2__scaffold-GANB-2065320-Cyathea_spinulosa.p1	0.25	0.38788	1320.0	180.0	1.6441	GF_000549	0.8616	74.1606	8.0	0.0116	330.0	scaffold-GANB-2065320-Cyathea_spinulosa.p1	scaffold-GANB-2004269-Cyathea_spinulosa.p2	0.25	0.0
scaffold-GANB-2010249-Cyathea_spinulosa.p2__scaffold-GANB-2065320-Cyathea_spinulosa.p1	0.19545	0.4186	1320.0	180.0	1.66058	GF_000549	0.8586	27.6157	8.0	0.0311	258.0	scaffold-GANB-2065320-Cyathea_spinulosa.p1	scaffold-GANB-2010249-Cyathea_spinulosa.p2	0.25	0.0
scaffold-GANB-2065097-Cyathea_spinulosa.p1__scaffold-GANB-2066297-Cyathea_spinulosa.p1	0.464	0.86782	750.0	345.0	0.11868	GF_001680	0.0697	0.4217	3.0	0.1653	348.0	scaffold-GANB-2065097-Cyathea_spinulosa.p1	scaffold-GANB-2066297-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2018562-Cyathea_spinulosa.p1__scaffold-GANB-2065097-Cyathea_spinulosa.p1	0.46	0.70145	750.0	345.0	0.38088	GF_001680	0.2024	1.7402	4.0	0.1163	345.0	scaffold-GANB-2018562-Cyathea_spinulosa.p1	scaffold-GANB-2065097-Cyathea_spinulosa.p1	0.5	0.5
scaffold-GANB-2018562-Cyathea_spinulosa.p1__scaffold-GANB-2066297-Cyathea_spinulosa.p1	0.464	0.7069	750.0	345.0	0.38346	GF_001680	0.2028	1.7995	4.0	0.1127	348.0	scaffold-GANB-2018562-Cyathea_spinulosa.p1	scaffold-GANB-2066297-Cyathea_spinulosa.p1	0.5	0.5
scaffold-GANB-2010152-Cyathea_spinulosa.p1__scaffold-GANB-2018969-Cyathea_spinulosa.p1	0.33333	0.90572	891.0	135.0	0.10289	GF_000971	0.0858	0.2023	4.0	0.4244	297.0	scaffold-GANB-2010152-Cyathea_spinulosa.p1	scaffold-GANB-2018969-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2014712-Cyathea_spinulosa.p1__scaffold-GANB-2015387-Cyathea_spinulosa.p1	0.47475	0.62411	891.0	135.0	0.52445	GF_000971	0.3446	79.4885	5.0	0.0043	423.0	scaffold-GANB-2014712-Cyathea_spinulosa.p1	scaffold-GANB-2015387-Cyathea_spinulosa.p1	1.0	0.0
scaffold-GANB-2010152-Cyathea_spinulosa.p1__scaffold-GANB-2014712-Cyathea_spinulosa.p1	0.32323	0.48264	891.0	135.0	0.96949	GF_000971	0.895	3.7167	6.0	0.2408	288.0	scaffold-GANB-2010152-Cyathea_spinulosa.p1	scaffold-GANB-2014712-Cyathea_spinulosa.p1	0.25	0.25
scaffold-GANB-2010152-Cyathea_spinulosa.p1__scaffold-GANB-2015387-Cyathea_spinulosa.p1	0.15152	0.48889	891.0	135.0	1.0495	GF_000971	0.8138	1.9084	6.0	0.4264	135.0	scaffold-GANB-2010152-Cyathea_spinulosa.p1	scaffold-GANB-2015387-Cyathea_spinulosa.p1	0.25	0.25
scaffold-GANB-2014712-Cyathea_spinulosa.p1__scaffold-GANB-2018969-Cyathea_spinulosa.p1	0.84175	0.54667	891.0	135.0	1.0269	GF_000971	0.8505	4.4481	6.0	0.1912	750.0	scaffold-GANB-2018969-Cyathea_spinulosa.p1	scaffold-GANB-2014712-Cyathea_spinulosa.p1	0.25	0.25
scaffold-GANB-2015387-Cyathea_spinulosa.p1__scaffold-GANB-2018969-Cyathea_spinulosa.p1	0.39731	0.50565	891.0	135.0	1.10691	GF_000971	0.8294	2.1662	6.0	0.3829	354.0	scaffold-GANB-2018969-Cyathea_spinulosa.p1	scaffold-GANB-2015387-Cyathea_spinulosa.p1	0.25	0.25
scaffold-GANB-2012389-Cyathea_spinulosa.p1__scaffold-GANB-2012390-Cyathea_spinulosa.p1	1.0	0.92424	396.0	396.0	0.03072	GF_002601	0.0194	0.243	2.0	0.0797	396.0	scaffold-GANB-2012389-Cyathea_spinulosa.p1	scaffold-GANB-2012390-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2003984-Cyathea_spinulosa.p1__scaffold-GANB-2003985-Cyathea_spinulosa.p1	0.92032	0.94517	753.0	678.0	0.10367	GF_001253	0.0588	0.0599	3.0	0.9816	693.0	scaffold-GANB-2003984-Cyathea_spinulosa.p1	scaffold-GANB-2003985-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2003984-Cyathea_spinulosa.p1__scaffold-GANB-2003986-Cyathea_spinulosa.p1	0.9004	0.85841	753.0	678.0	0.25655	GF_001253	0.1303	0.2736	4.0	0.4761	678.0	scaffold-GANB-2003986-Cyathea_spinulosa.p1	scaffold-GANB-2003984-Cyathea_spinulosa.p1	0.5	0.5
scaffold-GANB-2003985-Cyathea_spinulosa.p1__scaffold-GANB-2003986-Cyathea_spinulosa.p1	0.9004	0.84661	753.0	678.0	0.30096	GF_001253	0.1554	0.2526	4.0	0.6153	678.0	scaffold-GANB-2003986-Cyathea_spinulosa.p1	scaffold-GANB-2003985-Cyathea_spinulosa.p1	0.5	0.5
scaffold-GANB-2012630-Cyathea_spinulosa.p1__scaffold-GANB-2065275-Cyathea_spinulosa.p1	0.69849	0.55875	597.0	417.0	0.73758	GF_001727	0.384	67.7752	2.0	0.0057	417.0	scaffold-GANB-2012630-Cyathea_spinulosa.p1	scaffold-GANB-2065275-Cyathea_spinulosa.p1	1.0	0.0
scaffold-GANB-2003248-Cyathea_spinulosa.p5__scaffold-GANB-2063511-Cyathea_spinulosa.p1	0.68504	0.83142	381.0	261.0	0.30682	GF_001947	0.1754	0.2698	2.0	0.6499	261.0	scaffold-GANB-2003248-Cyathea_spinulosa.p5	scaffold-GANB-2063511-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2003727-Cyathea_spinulosa.p1__scaffold-GANB-2003728-Cyathea_spinulosa.p1	0.13403	0.61719	2865.0	87.0	0.66684	GF_000349	0.8089	71.5566	7.0	0.0113	384.0	scaffold-GANB-2003727-Cyathea_spinulosa.p1	scaffold-GANB-2003728-Cyathea_spinulosa.p1	1.0	0.0
scaffold-GANB-2003725-Cyathea_spinulosa.p1__scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.12461	0.58263	2865.0	87.0	0.85353	GF_000349	0.3877	1.3667	8.0	0.2836	357.0	scaffold-GANB-2009662-Cyathea_spinulosa.p1	scaffold-GANB-2003725-Cyathea_spinulosa.p1	1.0	1.0
scaffold-GANB-2003727-Cyathea_spinulosa.p1__scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.1288	0.62331	2865.0	87.0	0.72813	GF_000349	0.2716	1.3178	9.0	0.2061	369.0	scaffold-GANB-2003727-Cyathea_spinulosa.p1	scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.25	0.5
scaffold-GANB-2003725-Cyathea_spinulosa.p1__scaffold-GANB-2003727-Cyathea_spinulosa.p1	0.34136	0.84867	2865.0	87.0	0.26754	GF_000349	0.1317	0.2162	9.0	0.6093	978.0	scaffold-GANB-2003727-Cyathea_spinulosa.p1	scaffold-GANB-2003725-Cyathea_spinulosa.p1	0.25	0.5
scaffold-GANB-2003728-Cyathea_spinulosa.p1__scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.0356	0.40196	2865.0	87.0	1.39387	GF_000349	1.3132	5.6119	9.0	0.234	102.0	scaffold-GANB-2003728-Cyathea_spinulosa.p1	scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.25	0.0
scaffold-GANB-2003725-Cyathea_spinulosa.p1__scaffold-GANB-2003728-Cyathea_spinulosa.p1	0.07958	0.45175	2865.0	87.0	0.93328	GF_000349	0.644	44.2613	9.0	0.0146	228.0	scaffold-GANB-2003728-Cyathea_spinulosa.p1	scaffold-GANB-2003725-Cyathea_spinulosa.p1	0.25	0.0
scaffold-GANB-2003724-Cyathea_spinulosa.p1__scaffold-GANB-2003727-Cyathea_spinulosa.p1	0.59581	0.96778	2865.0	87.0	0.06231	GF_000349	0.0	0.0	10.0	0.001	1707.0	scaffold-GANB-2003727-Cyathea_spinulosa.p1	scaffold-GANB-2003724-Cyathea_spinulosa.p1	0.25	0.0
scaffold-GANB-2003724-Cyathea_spinulosa.p1__scaffold-GANB-2003728-Cyathea_spinulosa.p1	0.07958	0.44737	2865.0	87.0	0.72805	GF_000349	0.8064	71.5654	10.0	0.0113	228.0	scaffold-GANB-2003728-Cyathea_spinulosa.p1	scaffold-GANB-2003724-Cyathea_spinulosa.p1	0.25	0.0
scaffold-GANB-2003724-Cyathea_spinulosa.p1__scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.1288	0.62331	2865.0	87.0	0.75516	GF_000349	0.2716	1.3178	10.0	0.2061	369.0	scaffold-GANB-2009662-Cyathea_spinulosa.p1	scaffold-GANB-2003724-Cyathea_spinulosa.p1	0.25	0.5
scaffold-GANB-2003724-Cyathea_spinulosa.p1__scaffold-GANB-2003725-Cyathea_spinulosa.p1	0.34136	0.84867	2865.0	87.0	0.29457	GF_000349	0.1317	0.2162	10.0	0.6093	978.0	scaffold-GANB-2003725-Cyathea_spinulosa.p1	scaffold-GANB-2003724-Cyathea_spinulosa.p1	0.25	0.5
scaffold-GANB-2003726-Cyathea_spinulosa.p1__scaffold-GANB-2003727-Cyathea_spinulosa.p1	0.58743	0.92335	2865.0	87.0	0.1218	GF_000349	0.0	0.0	11.0	0.001	1683.0	scaffold-GANB-2003726-Cyathea_spinulosa.p1	scaffold-GANB-2003727-Cyathea_spinulosa.p1	0.2	0.0
scaffold-GANB-2003726-Cyathea_spinulosa.p1__scaffold-GANB-2003728-Cyathea_spinulosa.p1	0.07958	0.44737	2865.0	87.0	0.78754	GF_000349	0.8089	71.5566	11.0	0.0113	228.0	scaffold-GANB-2003726-Cyathea_spinulosa.p1	scaffold-GANB-2003728-Cyathea_spinulosa.p1	0.2	0.0
scaffold-GANB-2003726-Cyathea_spinulosa.p1__scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.1288	0.62331	2865.0	87.0	0.81465	GF_000349	0.2716	1.3178	11.0	0.2061	369.0	scaffold-GANB-2003726-Cyathea_spinulosa.p1	scaffold-GANB-2009662-Cyathea_spinulosa.p1	0.2	0.5
scaffold-GANB-2003725-Cyathea_spinulosa.p1__scaffold-GANB-2003726-Cyathea_spinulosa.p1	0.34136	0.84867	2865.0	87.0	0.35406	GF_000349	0.1317	0.2162	11.0	0.6093	978.0	scaffold-GANB-2003726-Cyathea_spinulosa.p1	scaffold-GANB-2003725-Cyathea_spinulosa.p1	0.2	0.5
