	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Ophioderma_pendula_C321047.p1__Ophioderma_pendula_scaffold7676.p1	0.78983	0.50072	885.0	699.0	1.15826	GF_001925	0.6402	14.7515	2.0	0.0434	699.0	Ophioderma_pendula_C321047.p1	Ophioderma_pendula_scaffold7676.p1	1.0	0.0
Ophioderma_pendula_scaffold9466.p1__Ophioderma_pendula_scaffold9467.p1	0.61053	0.98132	1140.0	27.0	0.02672	GF_000502	0.6511	55.0357	5.0	0.0118	696.0	Ophioderma_pendula_scaffold9467.p1	Ophioderma_pendula_scaffold9466.p1	1.0	0.0
Ophioderma_pendula_scaffold9467.p1__Ophioderma_pendula_scaffold9467.p2	0.03684	0.54762	1140.0	27.0	0.04	GF_000502	0.6511	55.0361	6.0	0.0118	42.0	Ophioderma_pendula_scaffold9467.p2	Ophioderma_pendula_scaffold9467.p1	0.5	0.0
Ophioderma_pendula_scaffold9466.p1__Ophioderma_pendula_scaffold9467.p2	0.36053	0.9854	1140.0	27.0	0.01438	GF_000502	0.0	0.0	6.0	0.001	411.0	Ophioderma_pendula_scaffold9467.p2	Ophioderma_pendula_scaffold9466.p1	0.5	0.0
Ophioderma_pendula_C318873.p1__Ophioderma_pendula_scaffold9467.p2	0.35	0.78697	1140.0	27.0	0.25249	GF_000502	0.0971	0.9457	7.0	0.1026	399.0	Ophioderma_pendula_C318873.p1	Ophioderma_pendula_scaffold9467.p2	0.33333	0.33333
Ophioderma_pendula_C318873.p1__Ophioderma_pendula_scaffold9467.p1	0.15526	0.80226	1140.0	27.0	0.26591	GF_000502	0.6935	1.3624	7.0	0.509	177.0	Ophioderma_pendula_C318873.p1	Ophioderma_pendula_scaffold9467.p1	0.33333	0.33333
Ophioderma_pendula_C318873.p1__Ophioderma_pendula_scaffold9466.p1	0.47895	0.80586	1140.0	27.0	0.24029	GF_000502	0.0971	0.9457	7.0	0.1026	546.0	Ophioderma_pendula_C318873.p1	Ophioderma_pendula_scaffold9466.p1	0.33333	0.33333
Ophioderma_pendula_C291130.p1__Ophioderma_pendula_C318873.p1	0.28947	0.36061	1140.0	27.0	1.88917	GF_000502	16.7613	16.2776	8.0	1.0297	330.0	Ophioderma_pendula_C291130.p1	Ophioderma_pendula_C318873.p1	0.25	0.0
Ophioderma_pendula_C291130.p1__Ophioderma_pendula_scaffold9467.p2	0.20526	0.39316	1140.0	27.0	2.08758	GF_000502	20.4779	0.2068	8.0	99.0	234.0	Ophioderma_pendula_C291130.p1	Ophioderma_pendula_scaffold9467.p2	0.25	0.5
Ophioderma_pendula_C291130.p1__Ophioderma_pendula_scaffold9467.p1	0.10789	0.31707	1140.0	27.0	2.101	GF_000502	16.2274	17.5623	8.0	0.924	123.0	Ophioderma_pendula_C291130.p1	Ophioderma_pendula_scaffold9467.p1	0.25	0.0
