	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Hypodematium_crenatum_C360686.p1__Hypodematium_crenatum_C405034.p1	0.375	0.73485	1056.0	396.0	0.28938	GF_001925	0.149	1.5524	2.0	0.0959	396.0	Hypodematium_crenatum_C360686.p1	Hypodematium_crenatum_C405034.p1	1.0	1.0
Hypodematium_crenatum_scaffold983.p1__Hypodematium_crenatum_scaffold984.p1	0.91346	0.91228	312.0	285.0	0.07554	GF_003125	0.0494	0.2568	2.0	0.1925	285.0	Hypodematium_crenatum_scaffold983.p1	Hypodematium_crenatum_scaffold984.p1	1.0	1.0
Hypodematium_crenatum_C404278.p1__Hypodematium_crenatum_scaffold12562.p1	0.9434	0.69667	636.0	600.0	0.4515	GF_002318	0.2217	1.4988	2.0	0.1479	600.0	Hypodematium_crenatum_C404278.p1	Hypodematium_crenatum_scaffold12562.p1	1.0	1.0
Hypodematium_crenatum_C409258.p1__Hypodematium_crenatum_scaffold12647.p1	0.85323	0.46942	1533.0	1308.0	1.47748	GF_002403	0.7552	60.5787	2.0	0.0125	1308.0	Hypodematium_crenatum_C409258.p1	Hypodematium_crenatum_scaffold12647.p1	1.0	0.0
Hypodematium_crenatum_scaffold6608.p1__Hypodematium_crenatum_scaffold6609.p1	0.1938	1.0	774.0	150.0	0.00054	GF_003057	0.0	0.0	2.0	0.3819	150.0	Hypodematium_crenatum_scaffold6608.p1	Hypodematium_crenatum_scaffold6609.p1	1.0	0.0
Hypodematium_crenatum_scaffold11091.p1__Hypodematium_crenatum_scaffold11092.p1	0.39286	1.0	756.0	297.0	0.00054	GF_002556	0.0	0.0	2.0	0.3876	297.0	Hypodematium_crenatum_scaffold11091.p1	Hypodematium_crenatum_scaffold11092.p1	1.0	0.0
Hypodematium_crenatum_C392058.p1__Hypodematium_crenatum_scaffold16374.p1	0.2035	0.44371	2226.0	390.0	1.89473	GF_000549	0.7203	10.2837	6.0	0.07	453.0	Hypodematium_crenatum_C392058.p1	Hypodematium_crenatum_scaffold16374.p1	1.0	0.0
Hypodematium_crenatum_scaffold5640.p1__Hypodematium_crenatum_scaffold9847.p1	0.36927	0.59611	2226.0	390.0	0.78128	GF_000549	0.2376	3.1476	7.0	0.0755	822.0	Hypodematium_crenatum_scaffold5640.p1	Hypodematium_crenatum_scaffold9847.p1	1.0	1.0
Hypodematium_crenatum_scaffold14582.p1__Hypodematium_crenatum_scaffold5640.p1	0.34367	0.55686	2226.0	390.0	1.12592	GF_000549	0.3209	2.9708	8.0	0.108	765.0	Hypodematium_crenatum_scaffold14582.p1	Hypodematium_crenatum_scaffold5640.p1	0.5	1.0
Hypodematium_crenatum_scaffold14582.p1__Hypodematium_crenatum_scaffold9847.p1	0.46765	0.51681	2226.0	390.0	1.08226	GF_000549	0.2903	67.2195	8.0	0.0043	1041.0	Hypodematium_crenatum_scaffold14582.p1	Hypodematium_crenatum_scaffold9847.p1	0.5	0.0
Hypodematium_crenatum_scaffold14582.p1__Hypodematium_crenatum_scaffold8451.p1	0.33154	0.53252	2226.0	390.0	1.24638	GF_000549	0.4202	63.6607	9.0	0.0066	738.0	Hypodematium_crenatum_scaffold8451.p1	Hypodematium_crenatum_scaffold14582.p1	0.33333	0.0
Hypodematium_crenatum_scaffold5640.p1__Hypodematium_crenatum_scaffold8451.p1	0.33019	0.48571	2226.0	390.0	1.42658	GF_000549	0.4431	19.6171	9.0	0.0226	735.0	Hypodematium_crenatum_scaffold8451.p1	Hypodematium_crenatum_scaffold5640.p1	0.33333	0.0
Hypodematium_crenatum_scaffold8451.p1__Hypodematium_crenatum_scaffold9847.p1	0.33019	0.52381	2226.0	390.0	1.38292	GF_000549	0.4108	58.2407	9.0	0.0071	735.0	Hypodematium_crenatum_scaffold8451.p1	Hypodematium_crenatum_scaffold9847.p1	0.33333	0.0
Hypodematium_crenatum_C392058.p1__Hypodematium_crenatum_scaffold8451.p1	0.2062	0.45969	2226.0	390.0	1.993	GF_000549	0.6887	27.6311	10.0	0.0249	459.0	Hypodematium_crenatum_C392058.p1	Hypodematium_crenatum_scaffold8451.p1	0.125	0.0
Hypodematium_crenatum_C392058.p1__Hypodematium_crenatum_scaffold14582.p1	0.31671	0.42837	2226.0	390.0	1.87776	GF_000549	0.6501	8.3974	10.0	0.0774	705.0	Hypodematium_crenatum_C392058.p1	Hypodematium_crenatum_scaffold14582.p1	0.125	0.0
Hypodematium_crenatum_C392058.p1__Hypodematium_crenatum_scaffold5640.p1	0.22642	0.4623	2226.0	390.0	2.05796	GF_000549	0.6371	67.9029	10.0	0.0094	504.0	Hypodematium_crenatum_C392058.p1	Hypodematium_crenatum_scaffold5640.p1	0.125	0.0
Hypodematium_crenatum_C392058.p1__Hypodematium_crenatum_scaffold9847.p1	0.32345	0.40694	2226.0	390.0	2.0143	GF_000549	0.6138	71.3221	10.0	0.0086	720.0	Hypodematium_crenatum_C392058.p1	Hypodematium_crenatum_scaffold9847.p1	0.125	0.0
Hypodematium_crenatum_scaffold16374.p1__Hypodematium_crenatum_scaffold8451.p1	0.28976	0.38915	2226.0	390.0	2.44725	GF_000549	0.9848	3.2303	10.0	0.3049	645.0	Hypodematium_crenatum_scaffold16374.p1	Hypodematium_crenatum_scaffold8451.p1	0.125	1.0
Hypodematium_crenatum_scaffold14582.p1__Hypodematium_crenatum_scaffold16374.p1	0.3248	0.40526	2226.0	390.0	2.33201	GF_000549	0.9013	64.1369	10.0	0.0141	723.0	Hypodematium_crenatum_scaffold16374.p1	Hypodematium_crenatum_scaffold14582.p1	0.125	0.0
Hypodematium_crenatum_scaffold16374.p1__Hypodematium_crenatum_scaffold5640.p1	0.29919	0.39339	2226.0	390.0	2.51221	GF_000549	0.8796	25.5734	10.0	0.0344	666.0	Hypodematium_crenatum_scaffold16374.p1	Hypodematium_crenatum_scaffold5640.p1	0.125	0.0
Hypodematium_crenatum_scaffold16374.p1__Hypodematium_crenatum_scaffold9847.p1	0.29515	0.39269	2226.0	390.0	2.46855	GF_000549	0.8596	10.8498	10.0	0.0792	657.0	Hypodematium_crenatum_scaffold16374.p1	Hypodematium_crenatum_scaffold9847.p1	0.125	0.0
Hypodematium_crenatum_scaffold3115.p1__Hypodematium_crenatum_scaffold5246.p1	0.91099	0.71839	1146.0	1032.0	0.32448	GF_001680	0.1549	1.7513	3.0	0.0884	1044.0	Hypodematium_crenatum_scaffold5246.p1	Hypodematium_crenatum_scaffold3115.p1	1.0	1.0
Hypodematium_crenatum_scaffold5246.p1__Hypodematium_crenatum_scaffold9122.p1	0.90052	0.62597	1146.0	1032.0	0.69919	GF_001680	0.3292	2.2917	4.0	0.1437	1032.0	Hypodematium_crenatum_scaffold9122.p1	Hypodematium_crenatum_scaffold5246.p1	0.5	1.0
Hypodematium_crenatum_scaffold3115.p1__Hypodematium_crenatum_scaffold9122.p1	0.91885	0.60019	1146.0	1032.0	0.75309	GF_001680	0.3403	5.0941	4.0	0.0668	1053.0	Hypodematium_crenatum_scaffold9122.p1	Hypodematium_crenatum_scaffold3115.p1	0.5	0.0
Hypodematium_crenatum_scaffold11824.p1__Hypodematium_crenatum_scaffold5997.p1	0.55242	0.54745	1488.0	822.0	0.72996	GF_002601	0.4105	61.9676	2.0	0.0066	822.0	Hypodematium_crenatum_scaffold11824.p1	Hypodematium_crenatum_scaffold5997.p1	1.0	0.0
