	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-PBUU-2007192-Lygodium_japonicum.p1__scaffold-PBUU-2007193-Lygodium_japonicum.p1	0.67808	1.0	438.0	297.0	0.00054	GF_001925	0.0	0.0	2.0	0.001	297.0	scaffold-PBUU-2007192-Lygodium_japonicum.p1	scaffold-PBUU-2007193-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2013638-Lygodium_japonicum.p1__scaffold-PBUU-2015669-Lygodium_japonicum.p1	0.46699	0.4904	1227.0	573.0	0.90778	GF_002318	0.6118	8.8124	2.0	0.0694	573.0	scaffold-PBUU-2013638-Lygodium_japonicum.p1	scaffold-PBUU-2015669-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2015353-Lygodium_japonicum.p1__scaffold-PBUU-2016000-Lygodium_japonicum.p1	0.78392	0.69017	597.0	468.0	0.39562	GF_002403	0.2086	1.9469	2.0	0.1072	468.0	scaffold-PBUU-2015353-Lygodium_japonicum.p1	scaffold-PBUU-2016000-Lygodium_japonicum.p1	1.0	1.0
scaffold-PBUU-2072186-Lygodium_japonicum.p1__scaffold-PBUU-2078504-Lygodium_japonicum.p1	0.69399	0.61417	549.0	381.0	0.47342	GF_002556	0.2484	7.4532	2.0	0.0333	381.0	scaffold-PBUU-2072186-Lygodium_japonicum.p1	scaffold-PBUU-2078504-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2003936-Lygodium_japonicum.p1__scaffold-PBUU-2011645-Lygodium_japonicum.p1	0.71733	0.49318	1125.0	807.0	1.08536	GF_001680	0.6038	58.8888	2.0	0.0103	807.0	scaffold-PBUU-2003936-Lygodium_japonicum.p1	scaffold-PBUU-2011645-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2077362-Lygodium_japonicum.p1__scaffold-PBUU-2078280-Lygodium_japonicum.p1	0.65205	0.56303	1095.0	438.0	0.88752	GF_000971	0.4467	59.6082	3.0	0.0075	714.0	scaffold-PBUU-2078280-Lygodium_japonicum.p1	scaffold-PBUU-2077362-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2002514-Lygodium_japonicum.p2__scaffold-PBUU-2078280-Lygodium_japonicum.p1	0.53425	0.48718	1095.0	438.0	1.21518	GF_000971	0.6948	8.9918	4.0	0.0773	585.0	scaffold-PBUU-2002514-Lygodium_japonicum.p2	scaffold-PBUU-2078280-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2002514-Lygodium_japonicum.p2__scaffold-PBUU-2077362-Lygodium_japonicum.p1	0.4	0.48174	1095.0	438.0	1.37844	GF_000971	0.7545	8.9318	4.0	0.0845	438.0	scaffold-PBUU-2002514-Lygodium_japonicum.p2	scaffold-PBUU-2077362-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2075576-Lygodium_japonicum.p1__scaffold-PBUU-2078569-Lygodium_japonicum.p1	0.58159	0.64269	717.0	417.0	0.52224	GF_002601	0.2944	2.1969	2.0	0.134	417.0	scaffold-PBUU-2075576-Lygodium_japonicum.p1	scaffold-PBUU-2078569-Lygodium_japonicum.p1	1.0	1.0
scaffold-PBUU-2015715-Lygodium_japonicum.p1__scaffold-PBUU-2079069-Lygodium_japonicum.p1	0.45522	0.62659	1206.0	246.0	0.57089	GF_001253	0.3165	2.1519	3.0	0.1471	549.0	scaffold-PBUU-2079069-Lygodium_japonicum.p1	scaffold-PBUU-2015715-Lygodium_japonicum.p1	1.0	1.0
scaffold-PBUU-2011371-Lygodium_japonicum.p1__scaffold-PBUU-2079069-Lygodium_japonicum.p1	0.27363	0.55455	1206.0	246.0	0.85346	GF_001253	0.4315	2.471	4.0	0.1746	330.0	scaffold-PBUU-2011371-Lygodium_japonicum.p1	scaffold-PBUU-2079069-Lygodium_japonicum.p1	0.5	1.0
scaffold-PBUU-2011371-Lygodium_japonicum.p1__scaffold-PBUU-2015715-Lygodium_japonicum.p1	0.20896	0.55556	1206.0	246.0	0.75701	GF_001253	0.4569	7.2195	4.0	0.0633	252.0	scaffold-PBUU-2011371-Lygodium_japonicum.p1	scaffold-PBUU-2015715-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2004659-Lygodium_japonicum.p3__scaffold-PBUU-2004660-Lygodium_japonicum.p2	0.45255	0.99731	822.0	372.0	0.00054	GF_001727	0.0	0.0088	2.0	0.001	372.0	scaffold-PBUU-2004659-Lygodium_japonicum.p3	scaffold-PBUU-2004660-Lygodium_japonicum.p2	1.0	1.0
scaffold-PBUU-2007534-Lygodium_japonicum.p1__scaffold-PBUU-2076951-Lygodium_japonicum.p1	0.67114	0.66333	447.0	300.0	0.45184	GF_001947	0.2135	10.2457	2.0	0.0208	300.0	scaffold-PBUU-2007534-Lygodium_japonicum.p1	scaffold-PBUU-2076951-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2004537-Lygodium_japonicum.p1__scaffold-PBUU-2004538-Lygodium_japonicum.p1	0.36513	0.96096	912.0	123.0	0.07437	GF_000577	0.0	0.0	4.0	0.1191	333.0	scaffold-PBUU-2004537-Lygodium_japonicum.p1	scaffold-PBUU-2004538-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2004536-Lygodium_japonicum.p1__scaffold-PBUU-2004537-Lygodium_japonicum.p1	0.62171	0.88007	912.0	123.0	0.14275	GF_000577	0.0116	0.1621	5.0	0.0718	567.0	scaffold-PBUU-2004536-Lygodium_japonicum.p1	scaffold-PBUU-2004537-Lygodium_japonicum.p1	0.5	0.5
scaffold-PBUU-2004536-Lygodium_japonicum.p1__scaffold-PBUU-2004538-Lygodium_japonicum.p1	0.35197	0.90654	912.0	123.0	0.14914	GF_000577	0.0116	0.1621	5.0	0.0718	321.0	scaffold-PBUU-2004536-Lygodium_japonicum.p1	scaffold-PBUU-2004538-Lygodium_japonicum.p1	0.5	0.5
scaffold-PBUU-2004536-Lygodium_japonicum.p1__scaffold-PBUU-2067955-Lygodium_japonicum.p1	0.32566	0.6229	912.0	123.0	0.69552	GF_000577	0.2878	27.5233	6.0	0.0105	297.0	scaffold-PBUU-2067955-Lygodium_japonicum.p1	scaffold-PBUU-2004536-Lygodium_japonicum.p1	0.33333	0.0
scaffold-PBUU-2004537-Lygodium_japonicum.p1__scaffold-PBUU-2067955-Lygodium_japonicum.p1	0.13487	0.60976	912.0	123.0	0.72143	GF_000577	0.3094	16.932	6.0	0.0183	123.0	scaffold-PBUU-2067955-Lygodium_japonicum.p1	scaffold-PBUU-2004537-Lygodium_japonicum.p1	0.33333	0.0
scaffold-PBUU-2004538-Lygodium_japonicum.p1__scaffold-PBUU-2067955-Lygodium_japonicum.p1	0.13487	0.60976	912.0	123.0	0.72782	GF_000577	0.3093	16.932	6.0	0.0183	123.0	scaffold-PBUU-2067955-Lygodium_japonicum.p1	scaffold-PBUU-2004538-Lygodium_japonicum.p1	0.33333	0.0
scaffold-PBUU-2000042-Lygodium_japonicum.p1__scaffold-PBUU-2015473-Lygodium_japonicum.p1	0.43249	0.40813	1422.0	615.0	1.56264	GF_001381	0.8183	64.3823	2.0	0.0127	615.0	scaffold-PBUU-2000042-Lygodium_japonicum.p1	scaffold-PBUU-2015473-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2015333-Lygodium_japonicum.p1__scaffold-PBUU-2074688-Lygodium_japonicum.p1	0.55621	0.63121	507.0	282.0	0.43652	GF_002401	0.2387	59.8851	2.0	0.004	282.0	scaffold-PBUU-2015333-Lygodium_japonicum.p1	scaffold-PBUU-2074688-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2000377-Lygodium_japonicum.p1__scaffold-PBUU-2016114-Lygodium_japonicum.p1	0.86066	0.75397	732.0	630.0	0.22434	GF_001414	0.1167	1.8533	2.0	0.063	630.0	scaffold-PBUU-2000377-Lygodium_japonicum.p1	scaffold-PBUU-2016114-Lygodium_japonicum.p1	1.0	1.0
scaffold-PBUU-2002175-Lygodium_japonicum.p1__scaffold-PBUU-2078749-Lygodium_japonicum.p1	0.34961	0.54946	3441.0	975.0	0.79712	GF_000870	0.5423	73.2913	3.0	0.0074	1203.0	scaffold-PBUU-2002175-Lygodium_japonicum.p1	scaffold-PBUU-2078749-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2002175-Lygodium_japonicum.p1__scaffold-PBUU-2014513-Lygodium_japonicum.p1	0.50915	0.40297	3441.0	975.0	1.84761	GF_000870	1.4224	23.6771	4.0	0.0601	1752.0	scaffold-PBUU-2014513-Lygodium_japonicum.p1	scaffold-PBUU-2002175-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2014513-Lygodium_japonicum.p1__scaffold-PBUU-2078749-Lygodium_japonicum.p1	0.28335	0.36103	3441.0	975.0	2.45337	GF_000870	1.5286	63.3539	4.0	0.0241	975.0	scaffold-PBUU-2014513-Lygodium_japonicum.p1	scaffold-PBUU-2078749-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2078400-Lygodium_japonicum.p1__scaffold-PBUU-2078652-Lygodium_japonicum.p1	0.31699	0.43814	1836.0	219.0	2.34563	GF_000083	0.532	18.5604	14.0	0.0287	582.0	scaffold-PBUU-2078652-Lygodium_japonicum.p1	scaffold-PBUU-2078400-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2002971-Lygodium_japonicum.p3__scaffold-PBUU-2078652-Lygodium_japonicum.p1	0.17484	0.4704	1836.0	219.0	2.14333	GF_000083	0.491	107.718	15.0	0.0046	321.0	scaffold-PBUU-2002971-Lygodium_japonicum.p3	scaffold-PBUU-2078652-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2002971-Lygodium_japonicum.p3__scaffold-PBUU-2078400-Lygodium_japonicum.p1	0.13725	0.48016	1836.0	219.0	1.89452	GF_000083	0.5579	76.3753	15.0	0.0073	252.0	scaffold-PBUU-2002971-Lygodium_japonicum.p3	scaffold-PBUU-2078400-Lygodium_japonicum.p1	0.5	0.0
scaffold-PBUU-2017059-Lygodium_japonicum.p1__scaffold-PBUU-2079040-Lygodium_japonicum.p1	0.34641	0.38522	1836.0	219.0	2.74405	GF_000083	0.5767	72.0895	16.0	0.008	636.0	scaffold-PBUU-2079040-Lygodium_japonicum.p1	scaffold-PBUU-2017059-Lygodium_japonicum.p1	1.0	0.0
scaffold-PBUU-2002971-Lygodium_japonicum.p3__scaffold-PBUU-2079040-Lygodium_japonicum.p1	0.12582	0.49351	1836.0	219.0	2.61144	GF_000083	0.6575	10.2206	17.0	0.0643	231.0	scaffold-PBUU-2002971-Lygodium_japonicum.p3	scaffold-PBUU-2079040-Lygodium_japonicum.p1	0.16667	0.0
