	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Lomariopsis_boninensis_scaffold3658.p1__Lomariopsis_boninensis_scaffold3659.p1	1.0	1.0	108.0	108.0	0.0	GF_001925	0.0	0.0	3.0	0.3671	108.0	Lomariopsis_boninensis_scaffold3659.p1	Lomariopsis_boninensis_scaffold3658.p1	1.0	0.0
Lomariopsis_boninensis_scaffold3656.p1__Lomariopsis_boninensis_scaffold3659.p1	1.0	1.0	108.0	108.0	0.0	GF_001925	0.0	0.0	4.0	0.4788	108.0	Lomariopsis_boninensis_scaffold3656.p1	Lomariopsis_boninensis_scaffold3659.p1	0.5	0.0
Lomariopsis_boninensis_scaffold3656.p1__Lomariopsis_boninensis_scaffold3658.p1	1.0	1.0	108.0	108.0	0.0	GF_001925	0.0	0.0	4.0	0.381	108.0	Lomariopsis_boninensis_scaffold3656.p1	Lomariopsis_boninensis_scaffold3658.p1	0.5	0.0
Lomariopsis_boninensis_scaffold182.p1__Lomariopsis_boninensis_scaffold183.p1	0.60935	1.0	1605.0	3.0	0.0011	GF_000502	0.0	0.0	6.0		978.0	Lomariopsis_boninensis_scaffold182.p1	Lomariopsis_boninensis_scaffold183.p1	1.0	0.0
Lomariopsis_boninensis_C936776.p1__Lomariopsis_boninensis_scaffold18017.p1	0.18879	0.90099	1605.0	3.0	0.20871	GF_000502	0.0	0.0	7.0		303.0	Lomariopsis_boninensis_C936776.p1	Lomariopsis_boninensis_scaffold18017.p1	1.0	0.0
Lomariopsis_boninensis_C936776.p1__Lomariopsis_boninensis_scaffold182.p1	0.02991	0.625	1605.0	3.0	1.15755	GF_000502	0.0	0.0	8.0		48.0	Lomariopsis_boninensis_scaffold182.p1	Lomariopsis_boninensis_C936776.p1	0.25	0.0
Lomariopsis_boninensis_scaffold18017.p1__Lomariopsis_boninensis_scaffold182.p1	0.45981	0.59756	1605.0	3.0	0.94994	GF_000502	0.0	0.0	8.0		738.0	Lomariopsis_boninensis_scaffold182.p1	Lomariopsis_boninensis_scaffold18017.p1	0.25	0.0
Lomariopsis_boninensis_C936776.p1__Lomariopsis_boninensis_scaffold183.p1	0.13645	0.40639	1605.0	3.0	1.15755	GF_000502	0.0	0.0	8.0		219.0	Lomariopsis_boninensis_scaffold183.p1	Lomariopsis_boninensis_C936776.p1	0.25	0.0
Lomariopsis_boninensis_scaffold18017.p1__Lomariopsis_boninensis_scaffold183.p1	0.63738	0.53666	1605.0	3.0	0.94994	GF_000502	0.0	0.0	8.0		1023.0	Lomariopsis_boninensis_scaffold183.p1	Lomariopsis_boninensis_scaffold18017.p1	0.25	0.0
Lomariopsis_boninensis_scaffold182.p1__Lomariopsis_boninensis_scaffold34249.p1	0.5514	0.5435	1605.0	3.0	1.07671	GF_000502	0.0	0.0	9.0		885.0	Lomariopsis_boninensis_scaffold34249.p1	Lomariopsis_boninensis_scaffold182.p1	0.25	0.0
Lomariopsis_boninensis_scaffold183.p1__Lomariopsis_boninensis_scaffold34249.p1	0.5514	0.5435	1605.0	3.0	1.07671	GF_000502	0.0	0.0	9.0		885.0	Lomariopsis_boninensis_scaffold34249.p1	Lomariopsis_boninensis_scaffold183.p1	0.25	0.0
Lomariopsis_boninensis_C936776.p1__Lomariopsis_boninensis_scaffold34249.p1	0.00187	1.0	1605.0	3.0	1.38992	GF_000502	0.0	0.0	9.0		3.0	Lomariopsis_boninensis_scaffold34249.p1	Lomariopsis_boninensis_C936776.p1	0.25	0.0
