	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Adiantum_caudatum_C524541.p1__Adiantum_caudatum_scaffold22279.p1	0.05961	0.95833	2013.0	120.0	0.05804	GF_001925	0.0268	0.076	2.0	0.3526	120.0	Adiantum_caudatum_C524541.p1	Adiantum_caudatum_scaffold22279.p1	1.0	1.0
Adiantum_caudatum_scaffold6745.p1__Adiantum_caudatum_scaffold6747.p1	0.65323	1.0	1488.0	933.0	0.0	GF_000502	0.0	0.0	6.0	0.001	972.0	Adiantum_caudatum_scaffold6747.p1	Adiantum_caudatum_scaffold6745.p1	1.0	0.0
Adiantum_caudatum_scaffold2952.p1__Adiantum_caudatum_scaffold6747.p1	0.65323	0.80658	1488.0	933.0	0.06911	GF_000502	0.0342	1.6884	7.0	0.0203	972.0	Adiantum_caudatum_scaffold2952.p1	Adiantum_caudatum_scaffold6747.p1	0.5	0.5
Adiantum_caudatum_scaffold2952.p1__Adiantum_caudatum_scaffold6745.p1	0.65323	0.80658	1488.0	933.0	0.06911	GF_000502	0.0342	1.6884	7.0	0.0203	972.0	Adiantum_caudatum_scaffold2952.p1	Adiantum_caudatum_scaffold6745.p1	0.5	0.5
Adiantum_caudatum_scaffold2952.p1__Adiantum_caudatum_scaffold6385.p1	0.64919	0.70393	1488.0	933.0	0.2228	GF_000502	0.1023	10.2068	8.0	0.01	966.0	Adiantum_caudatum_scaffold2952.p1	Adiantum_caudatum_scaffold6385.p1	0.33333	0.0
Adiantum_caudatum_scaffold6385.p1__Adiantum_caudatum_scaffold6747.p1	0.64919	0.70497	1488.0	933.0	0.23587	GF_000502	0.1035	15.323	8.0	0.0068	966.0	Adiantum_caudatum_scaffold6747.p1	Adiantum_caudatum_scaffold6385.p1	0.33333	0.0
Adiantum_caudatum_scaffold6385.p1__Adiantum_caudatum_scaffold6745.p1	0.64919	0.70497	1488.0	933.0	0.23587	GF_000502	0.1035	15.3211	8.0	0.0068	966.0	Adiantum_caudatum_scaffold6745.p1	Adiantum_caudatum_scaffold6385.p1	0.33333	0.0
Adiantum_caudatum_scaffold2687.p1__Adiantum_caudatum_scaffold2952.p1	0.65323	0.72737	1488.0	933.0	0.16499	GF_000502	0.0782	5.7918	9.0	0.0135	972.0	Adiantum_caudatum_scaffold2687.p1	Adiantum_caudatum_scaffold2952.p1	0.25	0.0
Adiantum_caudatum_scaffold2687.p1__Adiantum_caudatum_scaffold6747.p1	0.65323	0.74383	1488.0	933.0	0.17806	GF_000502	0.084	6.3082	9.0	0.0133	972.0	Adiantum_caudatum_scaffold2687.p1	Adiantum_caudatum_scaffold6747.p1	0.25	0.0
Adiantum_caudatum_scaffold2687.p1__Adiantum_caudatum_scaffold6745.p1	0.65323	0.74383	1488.0	933.0	0.17806	GF_000502	0.084	6.3083	9.0	0.0133	972.0	Adiantum_caudatum_scaffold2687.p1	Adiantum_caudatum_scaffold6745.p1	0.25	0.0
Adiantum_caudatum_scaffold2687.p1__Adiantum_caudatum_scaffold6385.p1	0.64919	0.72153	1488.0	933.0	0.20135	GF_000502	0.1071	4.0453	9.0	0.0265	966.0	Adiantum_caudatum_scaffold2687.p1	Adiantum_caudatum_scaffold6385.p1	0.25	1.0
Adiantum_caudatum_scaffold20661.p1__Adiantum_caudatum_scaffold2687.p1	0.62702	0.50054	1488.0	933.0	1.26299	GF_000502	0.6099	67.3931	10.0	0.0091	933.0	Adiantum_caudatum_scaffold20661.p1	Adiantum_caudatum_scaffold2687.p1	0.2	0.0
Adiantum_caudatum_scaffold20661.p1__Adiantum_caudatum_scaffold2952.p1	0.62702	0.50697	1488.0	933.0	1.37644	GF_000502	0.6027	69.8673	10.0	0.0086	933.0	Adiantum_caudatum_scaffold20661.p1	Adiantum_caudatum_scaffold2952.p1	0.2	0.0
Adiantum_caudatum_scaffold20661.p1__Adiantum_caudatum_scaffold6747.p1	0.62702	0.49732	1488.0	933.0	1.38951	GF_000502	0.628	50.7981	10.0	0.0124	933.0	Adiantum_caudatum_scaffold20661.p1	Adiantum_caudatum_scaffold6747.p1	0.2	0.0
Adiantum_caudatum_scaffold20661.p1__Adiantum_caudatum_scaffold6745.p1	0.62702	0.49732	1488.0	933.0	1.38951	GF_000502	0.628	50.7274	10.0	0.0124	933.0	Adiantum_caudatum_scaffold20661.p1	Adiantum_caudatum_scaffold6745.p1	0.2	0.0
Adiantum_caudatum_scaffold20661.p1__Adiantum_caudatum_scaffold6385.p1	0.62702	0.4716	1488.0	933.0	1.4128	GF_000502	0.6629	68.7262	10.0	0.0096	933.0	Adiantum_caudatum_scaffold20661.p1	Adiantum_caudatum_scaffold6385.p1	0.2	0.0
Adiantum_caudatum_scaffold11489.p1__Adiantum_caudatum_scaffold18624.p1	0.73515	0.578	1212.0	891.0	0.78508	GF_002318	0.4152	3.5773	2.0	0.1161	891.0	Adiantum_caudatum_scaffold11489.p1	Adiantum_caudatum_scaffold18624.p1	1.0	1.0
