	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Oleandra_musifolia_C233461.p1__Oleandra_musifolia_scaffold10797.p1	0.29436	0.58865	1437.0	423.0	0.87378	GF_001925	0.416	70.9117	2.0	0.0059	423.0	Oleandra_musifolia_C233461.p1	Oleandra_musifolia_scaffold10797.p1	1.0	0.0
Oleandra_musifolia_C264883.p1__Oleandra_musifolia_C276430.p1	0.38591	0.67826	1788.0	12.0	0.46667	GF_000502	2.2154	29.8226	6.0	0.0743	690.0	Oleandra_musifolia_C276430.p1	Oleandra_musifolia_C264883.p1	1.0	0.0
Oleandra_musifolia_C278858.p1__Oleandra_musifolia_C282056.p1	0.82383	0.57502	1788.0	12.0	0.88129	GF_000502	0.2311	2.9546	7.0	0.0782	1473.0	Oleandra_musifolia_C278858.p1	Oleandra_musifolia_C282056.p1	1.0	1.0
Oleandra_musifolia_C251819.p1__Oleandra_musifolia_C278858.p1	0.37584	0.60714	1788.0	12.0	0.83607	GF_000502	15.8916	28.0234	8.0	0.5671	672.0	Oleandra_musifolia_C278858.p1	Oleandra_musifolia_C251819.p1	0.5	0.0
Oleandra_musifolia_C251819.p1__Oleandra_musifolia_C282056.p1	0.39262	0.55983	1788.0	12.0	1.0149	GF_000502	11.2668	98.243	8.0	0.1147	702.0	Oleandra_musifolia_C282056.p1	Oleandra_musifolia_C251819.p1	0.5	0.0
Oleandra_musifolia_C276430.p1__Oleandra_musifolia_C278858.p1	0.82886	0.59244	1788.0	12.0	0.7869	GF_000502	0.1861	35.8277	9.0	0.0052	1482.0	Oleandra_musifolia_C276430.p1	Oleandra_musifolia_C278858.p1	0.16667	0.0
Oleandra_musifolia_C276430.p1__Oleandra_musifolia_C282056.p1	0.88591	0.56187	1788.0	12.0	0.96573	GF_000502	0.0055	5.4582	9.0	0.001	1584.0	Oleandra_musifolia_C276430.p1	Oleandra_musifolia_C282056.p1	0.16667	0.0
Oleandra_musifolia_C251819.p1__Oleandra_musifolia_C276430.p1	0.38087	0.61821	1788.0	12.0	0.66813	GF_000502	14.0529	43.8133	9.0	0.3207	681.0	Oleandra_musifolia_C276430.p1	Oleandra_musifolia_C251819.p1	0.16667	0.0
Oleandra_musifolia_C264883.p1__Oleandra_musifolia_C278858.p1	0.37584	0.66071	1788.0	12.0	0.71559	GF_000502	5.9303	20.0654	9.0	0.2956	672.0	Oleandra_musifolia_C264883.p1	Oleandra_musifolia_C278858.p1	0.16667	0.0
Oleandra_musifolia_C264883.p1__Oleandra_musifolia_C282056.p1	0.37919	0.59735	1788.0	12.0	0.89442	GF_000502	5.872	25.7065	9.0	0.2284	678.0	Oleandra_musifolia_C264883.p1	Oleandra_musifolia_C282056.p1	0.16667	0.0
Oleandra_musifolia_C251819.p1__Oleandra_musifolia_C264883.p1	0.02013	0.5	1788.0	12.0	0.59682	GF_000502	6.2794	50.0094	9.0	0.1256	36.0	Oleandra_musifolia_C264883.p1	Oleandra_musifolia_C251819.p1	0.16667	0.0
Oleandra_musifolia_C244413.p1__Oleandra_musifolia_C276430.p1	0.22483	0.45274	1788.0	12.0	1.23149	GF_000502	0.0938	2.9651	10.0	0.0316	402.0	Oleandra_musifolia_C244413.p1	Oleandra_musifolia_C276430.p1	0.2	0.5
Oleandra_musifolia_C244413.p1__Oleandra_musifolia_C264883.p1	0.0302	0.5	1788.0	12.0	1.16018	GF_000502	5.3537	28.1657	10.0	0.1901	54.0	Oleandra_musifolia_C244413.p1	Oleandra_musifolia_C264883.p1	0.2	0.0
Oleandra_musifolia_C244413.p1__Oleandra_musifolia_C278858.p1	0.19128	0.31579	1788.0	12.0	1.42683	GF_000502	0.3048	59.8719	10.0	0.0051	342.0	Oleandra_musifolia_C244413.p1	Oleandra_musifolia_C278858.p1	0.2	0.0
Oleandra_musifolia_C244413.p1__Oleandra_musifolia_C282056.p1	0.25	0.43177	1788.0	12.0	1.60566	GF_000502	0.1064	8.6402	10.0	0.0123	447.0	Oleandra_musifolia_C244413.p1	Oleandra_musifolia_C282056.p1	0.2	0.0
Oleandra_musifolia_C244413.p1__Oleandra_musifolia_C251819.p1	0.08893	0.42138	1788.0	12.0	1.30806	GF_000502	4.0968	0.0414	10.0	99.0	159.0	Oleandra_musifolia_C244413.p1	Oleandra_musifolia_C251819.p1	0.2	0.5
Oleandra_musifolia_scaffold9712.p3__Oleandra_musifolia_scaffold9713.p1	1.0	1.0	219.0	219.0	0.0	GF_003125	0.0	0.0	2.0	0.4311	219.0	Oleandra_musifolia_scaffold9712.p3	Oleandra_musifolia_scaffold9713.p1	1.0	0.0
Oleandra_musifolia_scaffold13741.p1__Oleandra_musifolia_scaffold8272.p1	0.44416	0.42193	4701.0	198.0	1.78214	GF_000011	0.4607	28.3315	41.0	0.0163	2088.0	Oleandra_musifolia_scaffold8272.p1	Oleandra_musifolia_scaffold13741.p1	1.0	0.0
Oleandra_musifolia_C243585.p1__Oleandra_musifolia_C270786.p1	0.09892	0.38925	4701.0	198.0	2.00151	GF_000011	0.6893	10.7201	42.0	0.0643	465.0	Oleandra_musifolia_C243585.p1	Oleandra_musifolia_C270786.p1	1.0	0.0
Oleandra_musifolia_C260589.p1__Oleandra_musifolia_C262311.p1	0.10211	0.79583	4701.0	198.0	0.0797	GF_000011	0.0192	2.1722	43.0	0.0088	480.0	Oleandra_musifolia_C260589.p1	Oleandra_musifolia_C262311.p1	1.0	1.0
Oleandra_musifolia_C260589.p1__Oleandra_musifolia_scaffold8542.p1	0.10211	0.725	4701.0	198.0	0.32279	GF_000011	0.126	2.4576	44.0	0.0513	480.0	Oleandra_musifolia_scaffold8542.p1	Oleandra_musifolia_C260589.p1	0.5	0.5
Oleandra_musifolia_C262311.p1__Oleandra_musifolia_scaffold8542.p1	0.10211	0.70833	4701.0	198.0	0.34425	GF_000011	0.1427	1.3927	44.0	0.1025	480.0	Oleandra_musifolia_scaffold8542.p1	Oleandra_musifolia_C262311.p1	0.5	0.5
Oleandra_musifolia_C260253.p1__Oleandra_musifolia_scaffold1053.p1	0.10083	0.66667	4701.0	198.0	0.37041	GF_000011	0.2716	6.0432	45.0	0.0449	474.0	Oleandra_musifolia_C260253.p1	Oleandra_musifolia_scaffold1053.p1	1.0	0.0
Oleandra_musifolia_C260253.p1__Oleandra_musifolia_scaffold2861.p1	0.10083	0.65823	4701.0	198.0	0.43138	GF_000011	0.3716	2.7488	46.0	0.1352	474.0	Oleandra_musifolia_scaffold2861.p1	Oleandra_musifolia_C260253.p1	0.5	1.0
Oleandra_musifolia_scaffold1053.p1__Oleandra_musifolia_scaffold2861.p1	0.10402	0.59918	4701.0	198.0	0.62195	GF_000011	0.4715	7.4292	46.0	0.0635	489.0	Oleandra_musifolia_scaffold2861.p1	Oleandra_musifolia_scaffold1053.p1	0.5	0.0
Oleandra_musifolia_scaffold2861.p1__Oleandra_musifolia_scaffold8542.p1	0.09509	0.39597	4701.0	198.0	1.86674	GF_000011	0.798	75.8948	47.0	0.0105	447.0	Oleandra_musifolia_scaffold8542.p1	Oleandra_musifolia_scaffold2861.p1	0.11111	0.0
Oleandra_musifolia_C260253.p1__Oleandra_musifolia_scaffold8542.p1	0.09509	0.40716	4701.0	198.0	1.84342	GF_000011	0.8137	10.3055	47.0	0.079	447.0	Oleandra_musifolia_scaffold8542.p1	Oleandra_musifolia_C260253.p1	0.11111	0.0
Oleandra_musifolia_scaffold1053.p1__Oleandra_musifolia_scaffold8542.p1	0.09509	0.40716	4701.0	198.0	2.03399	GF_000011	0.8132	2.2401	47.0	0.363	447.0	Oleandra_musifolia_scaffold8542.p1	Oleandra_musifolia_scaffold1053.p1	0.11111	0.5
Oleandra_musifolia_C260589.p1__Oleandra_musifolia_scaffold2861.p1	0.09509	0.3736	4701.0	198.0	1.71725	GF_000011	0.8108	69.7292	47.0	0.0116	447.0	Oleandra_musifolia_C260589.p1	Oleandra_musifolia_scaffold2861.p1	0.11111	0.0
Oleandra_musifolia_C260253.p1__Oleandra_musifolia_C260589.p1	0.09509	0.41163	4701.0	198.0	1.69393	GF_000011	0.7736	25.1643	47.0	0.0307	447.0	Oleandra_musifolia_C260589.p1	Oleandra_musifolia_C260253.p1	0.11111	0.0
Oleandra_musifolia_C260589.p1__Oleandra_musifolia_scaffold1053.p1	0.09509	0.4094	4701.0	198.0	1.8845	GF_000011	0.7226	83.3394	47.0	0.0087	447.0	Oleandra_musifolia_C260589.p1	Oleandra_musifolia_scaffold1053.p1	0.11111	0.0
Oleandra_musifolia_C262311.p1__Oleandra_musifolia_scaffold2861.p1	0.09509	0.41387	4701.0	198.0	1.73871	GF_000011	0.8493	70.1554	47.0	0.0121	447.0	Oleandra_musifolia_C262311.p1	Oleandra_musifolia_scaffold2861.p1	0.11111	0.0
Oleandra_musifolia_C260253.p1__Oleandra_musifolia_C262311.p1	0.09509	0.41163	4701.0	198.0	1.71539	GF_000011	0.8293	6.6174	47.0	0.1253	447.0	Oleandra_musifolia_C262311.p1	Oleandra_musifolia_C260253.p1	0.11111	0.0
Oleandra_musifolia_C262311.p1__Oleandra_musifolia_scaffold1053.p1	0.09509	0.40492	4701.0	198.0	1.90596	GF_000011	0.8289	2.184	47.0	0.3795	447.0	Oleandra_musifolia_C262311.p1	Oleandra_musifolia_scaffold1053.p1	0.11111	0.5
