	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Elaphoglossum_mccluri_scaffold2139.p1__Elaphoglossum_mccluri_scaffold2140.p1	0.08566	1.0	3222.0	135.0	0.00109	GF_001925	0.0	0.0	3.0	0.3804	276.0	Elaphoglossum_mccluri_scaffold2139.p1	Elaphoglossum_mccluri_scaffold2140.p1	1.0	0.0
Elaphoglossum_mccluri_scaffold2139.p1__Elaphoglossum_mccluri_scaffold2850.p1	0.0419	0.36296	3222.0	135.0	1.4966	GF_001925	1.6735	14.1276	4.0	0.1185	135.0	Elaphoglossum_mccluri_scaffold2850.p1	Elaphoglossum_mccluri_scaffold2139.p1	0.5	0.0
Elaphoglossum_mccluri_scaffold2140.p1__Elaphoglossum_mccluri_scaffold2850.p1	0.24115	0.43501	3222.0	135.0	1.49661	GF_001925	1.6735	14.1276	4.0	0.1185	777.0	Elaphoglossum_mccluri_scaffold2850.p1	Elaphoglossum_mccluri_scaffold2140.p1	0.5	0.0
Elaphoglossum_mccluri_scaffold11036.p1__Elaphoglossum_mccluri_scaffold15633.p1	0.4	0.57222	2250.0	288.0	0.80138	GF_000502	0.3372	54.6318	6.0	0.0062	900.0	Elaphoglossum_mccluri_scaffold11036.p1	Elaphoglossum_mccluri_scaffold15633.p1	1.0	0.0
Elaphoglossum_mccluri_C507408.p1__Elaphoglossum_mccluri_scaffold14417.p1	0.14133	0.93711	2250.0	288.0	0.08185	GF_000502	0.0307	0.184	7.0	0.167	318.0	Elaphoglossum_mccluri_C507408.p1	Elaphoglossum_mccluri_scaffold14417.p1	1.0	1.0
Elaphoglossum_mccluri_C574600.p1__Elaphoglossum_mccluri_scaffold4312.p1	0.636	0.55416	2250.0	288.0	0.87672	GF_000502	0.2769	3.6737	8.0	0.0754	1431.0	Elaphoglossum_mccluri_C574600.p1	Elaphoglossum_mccluri_scaffold4312.p1	1.0	1.0
Elaphoglossum_mccluri_C507408.p1__Elaphoglossum_mccluri_C574600.p1	0.136	0.63072	2250.0	288.0	0.9013	GF_000502	0.2946	68.1506	9.0	0.0043	306.0	Elaphoglossum_mccluri_C507408.p1	Elaphoglossum_mccluri_C574600.p1	0.25	0.0
Elaphoglossum_mccluri_C507408.p1__Elaphoglossum_mccluri_scaffold4312.p1	0.136	0.5915	2250.0	288.0	1.28706	GF_000502	0.408	60.1322	9.0	0.0068	306.0	Elaphoglossum_mccluri_C507408.p1	Elaphoglossum_mccluri_scaffold4312.p1	0.25	0.0
Elaphoglossum_mccluri_C574600.p1__Elaphoglossum_mccluri_scaffold14417.p1	0.77733	0.53802	2250.0	288.0	0.96931	GF_000502	0.3137	3.3322	9.0	0.0941	1749.0	Elaphoglossum_mccluri_scaffold14417.p1	Elaphoglossum_mccluri_C574600.p1	0.25	1.0
Elaphoglossum_mccluri_scaffold14417.p1__Elaphoglossum_mccluri_scaffold4312.p1	0.61333	0.49203	2250.0	288.0	1.35507	GF_000502	0.4034	52.2196	9.0	0.0077	1380.0	Elaphoglossum_mccluri_scaffold14417.p1	Elaphoglossum_mccluri_scaffold4312.p1	0.25	0.0
