	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-OCZL-2004102-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2004103-Homalosorus_pycnocarpos.p1	1.0	0.98649	666.0	666.0	0.02296	GF_001925	0.0136	0.0146	2.0	0.9348	666.0	scaffold-OCZL-2004102-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2004103-Homalosorus_pycnocarpos.p1	1.0	1.0
scaffold-OCZL-2009919-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2046983-Homalosorus_pycnocarpos.p1	0.31176	0.64151	510.0	159.0	0.55552	GF_002318	0.3644	62.0645	2.0	0.0059	159.0	scaffold-OCZL-2009919-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2046983-Homalosorus_pycnocarpos.p1	1.0	0.0
scaffold-OCZL-2011121-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2050895-Homalosorus_pycnocarpos.p1	0.32117	0.5202	1233.0	396.0	0.9983	GF_002403	0.528	28.7755	2.0	0.0183	396.0	scaffold-OCZL-2011121-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2050895-Homalosorus_pycnocarpos.p1	1.0	0.0
scaffold-OCZL-2047031-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2055651-Homalosorus_pycnocarpos.p1	0.66225	0.54667	453.0	300.0	0.9308	GF_002556	0.4992	2.5069	2.0	0.1991	300.0	scaffold-OCZL-2047031-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2055651-Homalosorus_pycnocarpos.p1	1.0	1.0
scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.98122	0.76555	1278.0	399.0	0.13317	GF_000549	0.0531	3.8854	5.0	0.0137	1254.0	scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	1.0	1.0
scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	0.98122	0.77193	1278.0	399.0	0.13872	GF_000549	0.0268	2.3815	6.0	0.0112	1254.0	scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	0.5	1.0
scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.98122	0.79266	1278.0	399.0	0.11099	GF_000549	0.0324	5.3217	6.0	0.0061	1254.0	scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.5	0.0
scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1	0.98122	0.71611	1278.0	399.0	0.26725	GF_000549	0.1112	8.5353	7.0	0.013	1254.0	scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1	0.33333	0.0
scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	0.98357	0.70406	1278.0	399.0	0.32063	GF_000549	0.1247	6.6394	7.0	0.0188	1257.0	scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	0.33333	0.0
scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.98357	0.72395	1278.0	399.0	0.2929	GF_000549	0.1314	9.4835	7.0	0.0139	1257.0	scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.33333	0.0
scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1	0.3169	0.74321	1278.0	399.0	0.32989	GF_000549	0.1468	3.5943	8.0	0.0408	405.0	scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2008444-Homalosorus_pycnocarpos.p1	0.25	0.33333
scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1	0.31221	0.75689	1278.0	399.0	0.311	GF_000549	0.1193	2.504	8.0	0.0476	399.0	scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2007859-Homalosorus_pycnocarpos.p1	0.25	0.33333
scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	0.31221	0.73684	1278.0	399.0	0.36438	GF_000549	0.1582	1.9153	8.0	0.0826	399.0	scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058520-Homalosorus_pycnocarpos.p1	0.25	0.33333
scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.31221	0.7218	1278.0	399.0	0.33665	GF_000549	0.1393	7.9713	8.0	0.0175	399.0	scaffold-OCZL-2050094-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2058563-Homalosorus_pycnocarpos.p1	0.25	0.0
scaffold-OCZL-2000691-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2000692-Homalosorus_pycnocarpos.p1	1.0	1.0	1194.0	1194.0	0.0	GF_001680	0.0	0.0	2.0	0.1894	1194.0	scaffold-OCZL-2000691-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2000692-Homalosorus_pycnocarpos.p1	1.0	0.0
scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p2__scaffold-OCZL-2057863-Homalosorus_pycnocarpos.p1	0.25324	0.49432	2085.0	51.0	1.16544	GF_000971	0.7942	2.83	4.0	0.2806	528.0	scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p2	scaffold-OCZL-2057863-Homalosorus_pycnocarpos.p1	1.0	1.0
scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p2	0.02446	0.37255	2085.0	51.0	1.32375	GF_000971	0.8714	64.6197	5.0	0.0135	51.0	scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p2	0.5	0.0
scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p1__scaffold-OCZL-2057863-Homalosorus_pycnocarpos.p1	0.12806	0.42322	2085.0	51.0	1.71643	GF_000971	0.9694	60.6683	5.0	0.016	267.0	scaffold-OCZL-2012360-Homalosorus_pycnocarpos.p1	scaffold-OCZL-2057863-Homalosorus_pycnocarpos.p1	0.5	0.0
