	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
C266793.p1__scaffold10175.p1	0.54296	0.68565	873.0	474.0	0.36166	GF_001925	0.1856	2.6134	2.0	0.071	474.0	C266793.p1	scaffold10175.p1	1.0	1.0
C261793.p1__scaffold9633.p1	0.33824	0.60145	816.0	36.0	0.68667	GF_000011	0.1102	0.5651	31.0	0.195	276.0	C261793.p1	scaffold9633.p1	1.0	1.0
C261793.p1__scaffold4614.p1	0.53309	0.42529	816.0	36.0	1.96368	GF_000011	0.2466	2.3307	32.0	0.1058	435.0	scaffold4614.p1	C261793.p1	0.5	1.0
scaffold4614.p1__scaffold9633.p1	0.29779	0.50617	816.0	36.0	1.66041	GF_000011	0.3236	5.7939	32.0	0.0558	243.0	scaffold4614.p1	scaffold9633.p1	0.5	0.0
C242416.p1__scaffold10121.p1	0.36397	0.68013	816.0	36.0	0.32818	GF_000011	0.0427	10.66	33.0	0.004	297.0	scaffold10121.p1	C242416.p1	1.0	0.0
scaffold171.p1__scaffold172.p1	0.59191	1.0	816.0	36.0	0.0011	GF_000011	0.0	0.0	34.0	0.001	483.0	scaffold171.p1	scaffold172.p1	1.0	0.0
scaffold171.p1__scaffold8188.p1	0.59191	0.84058	816.0	36.0	0.08806	GF_000011	0.0533	0.6304	35.0	0.0846	483.0	scaffold8188.p1	scaffold171.p1	0.5	0.5
scaffold172.p1__scaffold8188.p1	0.59926	0.84049	816.0	36.0	0.08806	GF_000011	0.0533	0.6304	35.0	0.0846	489.0	scaffold8188.p1	scaffold172.p1	0.5	0.5
scaffold5401.p1__scaffold8188.p1	0.40074	0.74924	816.0	36.0	0.11911	GF_000011	0.0435	1.1896	36.0	0.0366	327.0	scaffold5401.p1	scaffold8188.p1	0.33333	1.0
scaffold171.p1__scaffold5401.p1	0.37868	0.78317	816.0	36.0	0.07825	GF_000011	0.1078	6.7521	36.0	0.016	309.0	scaffold5401.p1	scaffold171.p1	0.33333	0.0
scaffold172.p1__scaffold5401.p1	0.38603	0.78413	816.0	36.0	0.07825	GF_000011	0.1078	6.7522	36.0	0.016	315.0	scaffold5401.p1	scaffold172.p1	0.33333	0.0
scaffold7856.p1__scaffold9028.p1	0.29412	0.81667	816.0	36.0	0.13367	GF_000011	0.0428	0.8421	37.0	0.0508	240.0	scaffold7856.p1	scaffold9028.p1	1.0	1.0
scaffold939.p1__scaffold941.p1	0.4375	1.0	816.0	36.0	0.0	GF_000011	0.0	0.0	38.0	99.0	357.0	scaffold941.p1	scaffold939.p1	1.0	0.0
scaffold9290.p1__scaffold941.p1	0.26103	0.52582	816.0	36.0	1.34123	GF_000011	0.2008	11.1156	39.0	0.0181	213.0	scaffold941.p1	scaffold9290.p1	0.5	0.0
scaffold9290.p1__scaffold939.p1	0.26103	0.52582	816.0	36.0	1.34123	GF_000011	0.2008	11.1152	39.0	0.0181	213.0	scaffold939.p1	scaffold9290.p1	0.5	0.0
scaffold7856.p1__scaffold941.p1	0.43382	0.55932	816.0	36.0	0.69961	GF_000011	0.3434	37.4452	40.0	0.0092	354.0	scaffold7856.p1	scaffold941.p1	0.16667	0.0
scaffold7856.p1__scaffold939.p1	0.43382	0.55932	816.0	36.0	0.69961	GF_000011	0.3434	37.4742	40.0	0.0092	354.0	scaffold7856.p1	scaffold939.p1	0.16667	0.0
scaffold7856.p1__scaffold9290.p1	0.32353	0.50758	816.0	36.0	1.48434	GF_000011	0.3513	71.8158	40.0	0.0049	264.0	scaffold7856.p1	scaffold9290.p1	0.16667	0.0
scaffold9028.p1__scaffold941.p1	0.23162	0.59788	816.0	36.0	0.80626	GF_000011	0.3337	88.4725	40.0	0.0038	189.0	scaffold9028.p1	scaffold941.p1	0.16667	0.0
scaffold9028.p1__scaffold939.p1	0.23162	0.59788	816.0	36.0	0.80626	GF_000011	0.3337	88.4725	40.0	0.0038	189.0	scaffold9028.p1	scaffold939.p1	0.16667	0.0
scaffold9028.p1__scaffold9290.p1	0.35662	0.49485	816.0	36.0	1.59099	GF_000011	0.3363	73.8395	40.0	0.0046	291.0	scaffold9028.p1	scaffold9290.p1	0.16667	0.0
scaffold5401.p1__scaffold7856.p1	0.34926	0.5193	816.0	36.0	1.13658	GF_000011	0.5984	0.669	41.0	0.8945	285.0	scaffold5401.p1	scaffold7856.p1	0.05	0.0625
scaffold5401.p1__scaffold9028.p1	0.14706	0.6	816.0	36.0	1.24323	GF_000011	0.5248	0.5866	41.0	0.8946	120.0	scaffold5401.p1	scaffold9028.p1	0.05	0.0625
scaffold5401.p1__scaffold941.p1	0.35294	0.52083	816.0	36.0	1.17833	GF_000011	0.4681	1.6695	41.0	0.2804	288.0	scaffold5401.p1	scaffold941.p1	0.05	0.0625
scaffold5401.p1__scaffold939.p1	0.35294	0.52083	816.0	36.0	1.17833	GF_000011	0.4681	1.6695	41.0	0.2804	288.0	scaffold5401.p1	scaffold939.p1	0.05	0.0625
scaffold5401.p1__scaffold9290.p1	0.18382	0.52	816.0	36.0	1.96306	GF_000011	0.6108	3.5647	41.0	0.1713	150.0	scaffold5401.p1	scaffold9290.p1	0.05	0.0625
scaffold7856.p1__scaffold8188.p1	0.49632	0.51852	816.0	36.0	1.22211	GF_000011	0.6864	2.2738	41.0	0.3019	405.0	scaffold8188.p1	scaffold7856.p1	0.05	0.0625
