	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Monachosorum_flagellare_C770774.p1__Monachosorum_flagellare_scaffold14190.p1	0.11749	0.75969	1098.0	129.0	0.16216	GF_001925	0.0743	27.7862	2.0	0.0027	129.0	Monachosorum_flagellare_C770774.p1	Monachosorum_flagellare_scaffold14190.p1	1.0	0.0
Monachosorum_flagellare_scaffold5706.p1__Monachosorum_flagellare_scaffold5708.p1	0.47397	0.98459	1095.0	174.0	0.02311	GF_000502	0.0092	0.0001	6.0	99.0	519.0	Monachosorum_flagellare_scaffold5706.p1	Monachosorum_flagellare_scaffold5708.p1	1.0	0.0
Monachosorum_flagellare_C824187.p1__Monachosorum_flagellare_scaffold21045.p1	0.16712	0.64481	1095.0	174.0	0.89582	GF_000502	0.3345	1.2173	7.0	0.2748	183.0	Monachosorum_flagellare_C824187.p1	Monachosorum_flagellare_scaffold21045.p1	1.0	1.0
Monachosorum_flagellare_C824187.p1__Monachosorum_flagellare_scaffold2415.p1	0.2411	0.5947	1095.0	174.0	0.81378	GF_000502	0.3261	3.011	8.0	0.1083	264.0	Monachosorum_flagellare_scaffold2415.p1	Monachosorum_flagellare_C824187.p1	0.5	0.5
Monachosorum_flagellare_scaffold21045.p1__Monachosorum_flagellare_scaffold2415.p1	0.35342	0.63566	1095.0	174.0	0.73294	GF_000502	0.3142	2.9977	8.0	0.1048	387.0	Monachosorum_flagellare_scaffold2415.p1	Monachosorum_flagellare_scaffold21045.p1	0.5	0.5
Monachosorum_flagellare_scaffold2415.p1__Monachosorum_flagellare_scaffold5706.p1	0.39452	0.51852	1095.0	174.0	1.07834	GF_000502	0.5995	67.9623	9.0	0.0088	432.0	Monachosorum_flagellare_scaffold5706.p1	Monachosorum_flagellare_scaffold2415.p1	0.16667	0.0
Monachosorum_flagellare_C824187.p1__Monachosorum_flagellare_scaffold5706.p1	0.19726	0.47222	1095.0	174.0	1.58512	GF_000502	0.652	14.8191	9.0	0.044	216.0	Monachosorum_flagellare_scaffold5706.p1	Monachosorum_flagellare_C824187.p1	0.16667	0.0
Monachosorum_flagellare_scaffold21045.p1__Monachosorum_flagellare_scaffold5706.p1	0.42192	0.47619	1095.0	174.0	1.50428	GF_000502	0.6944	15.9529	9.0	0.0435	462.0	Monachosorum_flagellare_scaffold5706.p1	Monachosorum_flagellare_scaffold21045.p1	0.16667	0.0
Monachosorum_flagellare_scaffold2415.p1__Monachosorum_flagellare_scaffold5708.p1	0.40822	0.50783	1095.0	174.0	1.10035	GF_000502	0.5999	67.6733	9.0	0.0089	447.0	Monachosorum_flagellare_scaffold5708.p1	Monachosorum_flagellare_scaffold2415.p1	0.16667	0.0
Monachosorum_flagellare_C824187.p1__Monachosorum_flagellare_scaffold5708.p1	0.22466	0.45122	1095.0	174.0	1.60713	GF_000502	0.6519	14.7727	9.0	0.0441	246.0	Monachosorum_flagellare_scaffold5708.p1	Monachosorum_flagellare_C824187.p1	0.16667	0.0
Monachosorum_flagellare_scaffold21045.p1__Monachosorum_flagellare_scaffold5708.p1	0.42192	0.47619	1095.0	174.0	1.52629	GF_000502	0.694	14.1367	9.0	0.0491	462.0	Monachosorum_flagellare_scaffold5708.p1	Monachosorum_flagellare_scaffold21045.p1	0.16667	0.0
Monachosorum_flagellare_scaffold2253.p1__Monachosorum_flagellare_scaffold5706.p1	0.45479	0.41968	1095.0	174.0	1.66765	GF_000502	0.6948	20.8294	10.0	0.0334	498.0	Monachosorum_flagellare_scaffold2253.p1	Monachosorum_flagellare_scaffold5706.p1	0.2	0.0
