	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-CAPN-2035554-Equisetum_diffusum.p1__scaffold-CAPN-2037699-Equisetum_diffusum.p1	0.87023	0.64327	393.0	342.0	0.6082	GF_001925	0.2917	28.8446	2.0	0.0101	342.0	scaffold-CAPN-2035554-Equisetum_diffusum.p1	scaffold-CAPN-2037699-Equisetum_diffusum.p1	1.0	0.0
scaffold-CAPN-2007508-Equisetum_diffusum.p1__scaffold-CAPN-2040014-Equisetum_diffusum.p1	0.57471	0.58222	1566.0	717.0	0.87535	GF_000549	0.4436	1.8727	4.0	0.2369	900.0	scaffold-CAPN-2007508-Equisetum_diffusum.p1	scaffold-CAPN-2040014-Equisetum_diffusum.p1	1.0	1.0
scaffold-CAPN-2007508-Equisetum_diffusum.p1__scaffold-CAPN-2010757-Equisetum_diffusum.p1	0.71073	0.57951	1566.0	717.0	0.93039	GF_000549	0.4094	2.7489	5.0	0.1489	1113.0	scaffold-CAPN-2010757-Equisetum_diffusum.p1	scaffold-CAPN-2007508-Equisetum_diffusum.p1	0.5	0.5
scaffold-CAPN-2010757-Equisetum_diffusum.p1__scaffold-CAPN-2040014-Equisetum_diffusum.p1	0.56705	0.52928	1566.0	717.0	1.02678	GF_000549	0.4717	4.1589	5.0	0.1134	888.0	scaffold-CAPN-2010757-Equisetum_diffusum.p1	scaffold-CAPN-2040014-Equisetum_diffusum.p1	0.5	0.5
scaffold-CAPN-2001015-Equisetum_diffusum.p1__scaffold-CAPN-2010757-Equisetum_diffusum.p1	0.55364	0.42561	1566.0	717.0	1.6706	GF_000549	0.8114	7.7456	6.0	0.1048	867.0	scaffold-CAPN-2001015-Equisetum_diffusum.p1	scaffold-CAPN-2010757-Equisetum_diffusum.p1	0.33333	0.0
scaffold-CAPN-2001015-Equisetum_diffusum.p1__scaffold-CAPN-2007508-Equisetum_diffusum.p1	0.53065	0.43923	1566.0	717.0	1.73725	GF_000549	0.8923	3.0143	6.0	0.296	831.0	scaffold-CAPN-2001015-Equisetum_diffusum.p1	scaffold-CAPN-2007508-Equisetum_diffusum.p1	0.33333	1.0
scaffold-CAPN-2001015-Equisetum_diffusum.p1__scaffold-CAPN-2040014-Equisetum_diffusum.p1	0.50575	0.42172	1566.0	717.0	1.83364	GF_000549	0.8923	9.506	6.0	0.0939	792.0	scaffold-CAPN-2001015-Equisetum_diffusum.p1	scaffold-CAPN-2040014-Equisetum_diffusum.p1	0.33333	0.0
scaffold-CAPN-2007919-Equisetum_diffusum.p1__scaffold-CAPN-2010311-Equisetum_diffusum.p1	0.52123	0.50377	1272.0	663.0	1.16342	GF_001680	0.579	17.1607	2.0	0.0337	663.0	scaffold-CAPN-2007919-Equisetum_diffusum.p1	scaffold-CAPN-2010311-Equisetum_diffusum.p1	1.0	0.0
scaffold-CAPN-2009449-Equisetum_diffusum.p1__scaffold-CAPN-2009783-Equisetum_diffusum.p1	0.8535	0.79602	942.0	786.0	0.20899	GF_000971	0.0915	0.875	3.0	0.1046	804.0	scaffold-CAPN-2009783-Equisetum_diffusum.p1	scaffold-CAPN-2009449-Equisetum_diffusum.p1	1.0	1.0
scaffold-CAPN-2009783-Equisetum_diffusum.p1__scaffold-CAPN-2038837-Equisetum_diffusum.p1	0.83439	0.60814	942.0	786.0	0.70563	GF_000971	0.3573	54.5946	4.0	0.0065	786.0	scaffold-CAPN-2038837-Equisetum_diffusum.p1	scaffold-CAPN-2009783-Equisetum_diffusum.p1	0.5	0.0
