	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-YJJY-2001473-Woodsia_scopulina.p1__scaffold-YJJY-2073472-Woodsia_scopulina.p1	1.0	0.83244	561.0	561.0	0.04876	GF_001925	0.022	1.1661	2.0	0.0188	561.0	scaffold-YJJY-2001473-Woodsia_scopulina.p1	scaffold-YJJY-2073472-Woodsia_scopulina.p1	1.0	1.0
scaffold-YJJY-2074986-Woodsia_scopulina.p1__scaffold-YJJY-2076206-Woodsia_scopulina.p1	0.79078	0.57399	846.0	669.0	0.80884	GF_003125	0.4268	5.3997	2.0	0.079	669.0	scaffold-YJJY-2074986-Woodsia_scopulina.p1	scaffold-YJJY-2076206-Woodsia_scopulina.p1	1.0	0.0
scaffold-YJJY-2007280-Woodsia_scopulina.p3__scaffold-YJJY-2007281-Woodsia_scopulina.p3	0.49107	1.0	336.0	165.0	0.00054	GF_002318	0.0	0.0	2.0	4.9154	165.0	scaffold-YJJY-2007280-Woodsia_scopulina.p3	scaffold-YJJY-2007281-Woodsia_scopulina.p3	1.0	0.0
scaffold-YJJY-2008320-Woodsia_scopulina.p1__scaffold-YJJY-2016564-Woodsia_scopulina.p1	0.16336	0.84685	1359.0	222.0	0.10666	GF_002403	0.0554	1.1135	2.0	0.0497	222.0	scaffold-YJJY-2008320-Woodsia_scopulina.p1	scaffold-YJJY-2016564-Woodsia_scopulina.p1	1.0	1.0
scaffold-YJJY-2072314-Woodsia_scopulina.p1__scaffold-YJJY-2073825-Woodsia_scopulina.p1	0.96571	0.75148	525.0	507.0	0.23222	GF_003057	0.1171	3.035	2.0	0.0386	507.0	scaffold-YJJY-2072314-Woodsia_scopulina.p1	scaffold-YJJY-2073825-Woodsia_scopulina.p1	1.0	1.0
scaffold-YJJY-2010561-Woodsia_scopulina.p1__scaffold-YJJY-2013328-Woodsia_scopulina.p1	0.8662	0.45257	426.0	369.0	1.53972	GF_002556	0.7399	5.6795	2.0	0.1303	369.0	scaffold-YJJY-2010561-Woodsia_scopulina.p1	scaffold-YJJY-2013328-Woodsia_scopulina.p1	1.0	0.0
scaffold-YJJY-2013631-Woodsia_scopulina.p1__scaffold-YJJY-2073803-Woodsia_scopulina.p1	0.41003	0.56259	1734.0	108.0	0.7036	GF_001680	0.6277	4.8705	3.0	0.1289	711.0	scaffold-YJJY-2013631-Woodsia_scopulina.p1	scaffold-YJJY-2073803-Woodsia_scopulina.p1	1.0	1.0
scaffold-YJJY-2013631-Woodsia_scopulina.p1__scaffold-YJJY-2065296-Woodsia_scopulina.p1	0.20761	0.46667	1734.0	108.0	1.21764	GF_001680	0.6403	8.7136	4.0	0.0735	360.0	scaffold-YJJY-2065296-Woodsia_scopulina.p1	scaffold-YJJY-2013631-Woodsia_scopulina.p1	0.5	0.0
scaffold-YJJY-2065296-Woodsia_scopulina.p1__scaffold-YJJY-2073803-Woodsia_scopulina.p1	0.06228	0.48148	1734.0	108.0	1.28982	GF_001680	0.6989	79.4574	4.0	0.0088	108.0	scaffold-YJJY-2065296-Woodsia_scopulina.p1	scaffold-YJJY-2073803-Woodsia_scopulina.p1	0.5	0.0
scaffold-YJJY-2071676-Woodsia_scopulina.p1__scaffold-YJJY-2074652-Woodsia_scopulina.p1	0.24873	0.63946	591.0	78.0	0.58197	GF_000971	0.4254	14.7918	4.0	0.0288	147.0	scaffold-YJJY-2074652-Woodsia_scopulina.p1	scaffold-YJJY-2071676-Woodsia_scopulina.p1	1.0	0.0
