	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Actinostachys_digitata_scaffold11671.p1__Actinostachys_digitata_scaffold11672.p1	1.0	1.0	405.0	381.0	0.0	GF_001925	0.0	0.0	3.0	0.4105	405.0	Actinostachys_digitata_scaffold11671.p1	Actinostachys_digitata_scaffold11672.p1	1.0	0.0
Actinostachys_digitata_scaffold11671.p1__Actinostachys_digitata_scaffold11673.p1	0.94074	1.0	405.0	381.0	0.00054	GF_001925	0.0	0.0	4.0	0.3971	381.0	Actinostachys_digitata_scaffold11671.p1	Actinostachys_digitata_scaffold11673.p1	0.5	0.0
Actinostachys_digitata_scaffold11672.p1__Actinostachys_digitata_scaffold11673.p1	0.94074	1.0	405.0	381.0	0.00054	GF_001925	0.0	0.0	4.0	0.3782	381.0	Actinostachys_digitata_scaffold11672.p1	Actinostachys_digitata_scaffold11673.p1	0.5	0.0
Actinostachys_digitata_scaffold16102.p1__Actinostachys_digitata_scaffold16103.p1	1.0	1.0	1023.0	1023.0	0.0	GF_003247	0.0	0.0	2.0	0.3829	1023.0	Actinostachys_digitata_scaffold16102.p1	Actinostachys_digitata_scaffold16103.p1	1.0	0.0
Actinostachys_digitata_scaffold14041.p1__Actinostachys_digitata_scaffold14042.p1	0.81643	1.0	621.0	507.0	0.00054	GF_003125	0.0	0.0	2.0	0.001	507.0	Actinostachys_digitata_scaffold14041.p1	Actinostachys_digitata_scaffold14042.p1	1.0	0.0
Actinostachys_digitata_scaffold5742.p1__Actinostachys_digitata_scaffold5743.p1	0.60345	1.0	348.0	81.0	0.00109	GF_002318	0.0	0.0	3.0	0.3301	210.0	Actinostachys_digitata_scaffold5742.p1	Actinostachys_digitata_scaffold5743.p1	1.0	0.0
Actinostachys_digitata_scaffold5742.p1__Actinostachys_digitata_scaffold5745.p1	0.5431	0.86243	348.0	81.0	0.06375	GF_002318	0.0333	1.3852	4.0	0.024	189.0	Actinostachys_digitata_scaffold5745.p1	Actinostachys_digitata_scaffold5742.p1	0.5	0.5
Actinostachys_digitata_scaffold5743.p1__Actinostachys_digitata_scaffold5745.p1	0.23276	0.83951	348.0	81.0	0.06376	GF_002318	0.0333	1.3852	4.0	0.024	81.0	Actinostachys_digitata_scaffold5745.p1	Actinostachys_digitata_scaffold5743.p1	0.5	0.5
Actinostachys_digitata_C1011061.p1__Actinostachys_digitata_scaffold9686.p1	0.32037	0.57381	1311.0	420.0	0.72784	GF_002403	0.395	42.2981	2.0	0.0093	420.0	Actinostachys_digitata_C1011061.p1	Actinostachys_digitata_scaffold9686.p1	1.0	0.0
Actinostachys_digitata_scaffold5391.p1__Actinostachys_digitata_scaffold5393.p1	0.87831	0.99197	567.0	498.0	0.02374	GF_003057	0.0108	0.0001	2.0	99.0	498.0	Actinostachys_digitata_scaffold5393.p1	Actinostachys_digitata_scaffold5391.p1	1.0	0.0
