	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Osmunda_japonica_C295089.p1__Osmunda_japonica_scaffold5030.p1	0.66879	0.86984	471.0	315.0	0.27724	GF_001925	0.139	0.1706	2.0	0.8144	315.0	Osmunda_japonica_C295089.p1	Osmunda_japonica_scaffold5030.p1	1.0	1.0
Osmunda_japonica_scaffold6462.p1__Osmunda_japonica_scaffold6942.p1	0.13048	0.70647	3081.0	279.0	0.43438	GF_000502	0.2342	0.642	6.0	0.3648	402.0	Osmunda_japonica_scaffold6462.p1	Osmunda_japonica_scaffold6942.p1	1.0	1.0
Osmunda_japonica_scaffold335.p1__Osmunda_japonica_scaffold336.p1	0.62512	1.0	3081.0	279.0	0.0	GF_000502	0.0	0.0	7.0	0.1221	1926.0	Osmunda_japonica_scaffold336.p1	Osmunda_japonica_scaffold335.p1	1.0	0.0
Osmunda_japonica_scaffold336.p1__Osmunda_japonica_scaffold9579.p1	0.59883	0.67642	3081.0	279.0	0.39371	GF_000502	0.5654	1.787	8.0	0.3164	1845.0	Osmunda_japonica_scaffold336.p1	Osmunda_japonica_scaffold9579.p1	0.5	0.5
Osmunda_japonica_scaffold335.p1__Osmunda_japonica_scaffold9579.p1	0.59883	0.67642	3081.0	279.0	0.39371	GF_000502	0.5654	1.787	8.0	0.3164	1845.0	Osmunda_japonica_scaffold335.p1	Osmunda_japonica_scaffold9579.p1	0.5	0.5
Osmunda_japonica_scaffold336.p1__Osmunda_japonica_scaffold6462.p1	0.55404	0.50674	3081.0	279.0	1.18224	GF_000502	0.8205	5.6729	9.0	0.1446	1707.0	Osmunda_japonica_scaffold6462.p1	Osmunda_japonica_scaffold336.p1	0.16667	0.0
Osmunda_japonica_scaffold335.p1__Osmunda_japonica_scaffold6462.p1	0.55404	0.50674	3081.0	279.0	1.18224	GF_000502	0.8205	5.6729	9.0	0.1446	1707.0	Osmunda_japonica_scaffold6462.p1	Osmunda_japonica_scaffold335.p1	0.16667	0.0
Osmunda_japonica_scaffold6462.p1__Osmunda_japonica_scaffold9579.p1	0.54917	0.47459	3081.0	279.0	1.28671	GF_000502	1.206	8.6889	9.0	0.1388	1692.0	Osmunda_japonica_scaffold6462.p1	Osmunda_japonica_scaffold9579.p1	0.16667	0.0
Osmunda_japonica_scaffold336.p1__Osmunda_japonica_scaffold6942.p1	0.13048	0.36318	3081.0	279.0	1.41006	GF_000502	0.9163	58.6966	9.0	0.0156	402.0	Osmunda_japonica_scaffold6942.p1	Osmunda_japonica_scaffold336.p1	0.16667	0.0
Osmunda_japonica_scaffold335.p1__Osmunda_japonica_scaffold6942.p1	0.13048	0.36318	3081.0	279.0	1.41006	GF_000502	0.9163	58.6964	9.0	0.0156	402.0	Osmunda_japonica_scaffold6942.p1	Osmunda_japonica_scaffold335.p1	0.16667	0.0
Osmunda_japonica_scaffold6942.p1__Osmunda_japonica_scaffold9579.p1	0.14606	0.33556	3081.0	279.0	1.51453	GF_000502	1.1731	16.6861	9.0	0.0703	450.0	Osmunda_japonica_scaffold6942.p1	Osmunda_japonica_scaffold9579.p1	0.16667	0.0
Osmunda_japonica_scaffold6462.p1__Osmunda_japonica_scaffold9061.p1	0.44206	0.39794	3081.0	279.0	1.88833	GF_000502	15.9709	18.8146	10.0	0.8489	1362.0	Osmunda_japonica_scaffold9061.p1	Osmunda_japonica_scaffold6462.p1	0.2	0.0
Osmunda_japonica_scaffold6942.p1__Osmunda_japonica_scaffold9061.p1	0.18111	0.33513	3081.0	279.0	2.11615	GF_000502	2.2034	7.7485	10.0	0.2844	558.0	Osmunda_japonica_scaffold9061.p1	Osmunda_japonica_scaffold6942.p1	0.2	0.0
