	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-FLTD-2004102-Pteris_ensigormis.p1__scaffold-FLTD-2004103-Pteris_ensigormis.p1	1.0	1.0	87.0	87.0	0.0	GF_001925	0.0	0.0	2.0	0.001	87.0	scaffold-FLTD-2004102-Pteris_ensigormis.p1	scaffold-FLTD-2004103-Pteris_ensigormis.p1	1.0	0.0
scaffold-FLTD-2001267-Pteris_ensigormis.p1__scaffold-FLTD-2001268-Pteris_ensigormis.p1	0.71033	0.99054	1191.0	387.0	0.01697	GF_000502	0.0	0.0	5.0	0.4708	846.0	scaffold-FLTD-2001267-Pteris_ensigormis.p1	scaffold-FLTD-2001268-Pteris_ensigormis.p1	1.0	0.0
scaffold-FLTD-2001267-Pteris_ensigormis.p1__scaffold-FLTD-2017380-Pteris_ensigormis.p1	0.45088	0.49348	1191.0	387.0	1.05796	GF_000502	0.4824	7.2045	6.0	0.067	537.0	scaffold-FLTD-2017380-Pteris_ensigormis.p1	scaffold-FLTD-2001267-Pteris_ensigormis.p1	0.5	0.0
scaffold-FLTD-2001268-Pteris_ensigormis.p1__scaffold-FLTD-2017380-Pteris_ensigormis.p1	0.45088	0.49348	1191.0	387.0	1.07387	GF_000502	0.4824	7.2044	6.0	0.067	537.0	scaffold-FLTD-2017380-Pteris_ensigormis.p1	scaffold-FLTD-2001268-Pteris_ensigormis.p1	0.5	0.0
scaffold-FLTD-2017818-Pteris_ensigormis.p1__scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.44081	0.58667	1191.0	387.0	0.72561	GF_000502	0.2899	3.0456	7.0	0.0952	525.0	scaffold-FLTD-2067805-Pteris_ensigormis.p1	scaffold-FLTD-2017818-Pteris_ensigormis.p1	1.0	1.0
scaffold-FLTD-2017380-Pteris_ensigormis.p1__scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.35013	0.51799	1191.0	387.0	1.14808	GF_000502	0.479	3.4415	8.0	0.1392	417.0	scaffold-FLTD-2017380-Pteris_ensigormis.p1	scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.16667	0.5
scaffold-FLTD-2017380-Pteris_ensigormis.p1__scaffold-FLTD-2017818-Pteris_ensigormis.p1	0.47607	0.43739	1191.0	387.0	1.53749	GF_000502	0.6778	3.9424	8.0	0.1719	567.0	scaffold-FLTD-2017380-Pteris_ensigormis.p1	scaffold-FLTD-2017818-Pteris_ensigormis.p1	0.16667	0.5
scaffold-FLTD-2001267-Pteris_ensigormis.p1__scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.4005	0.46751	1191.0	387.0	1.06308	GF_000502	0.4894	63.5612	8.0	0.0077	477.0	scaffold-FLTD-2001267-Pteris_ensigormis.p1	scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.16667	0.0
scaffold-FLTD-2001267-Pteris_ensigormis.p1__scaffold-FLTD-2017818-Pteris_ensigormis.p1	0.55416	0.44545	1191.0	387.0	1.45249	GF_000502	0.4985	9.5511	8.0	0.0522	660.0	scaffold-FLTD-2001267-Pteris_ensigormis.p1	scaffold-FLTD-2017818-Pteris_ensigormis.p1	0.16667	0.0
scaffold-FLTD-2001268-Pteris_ensigormis.p1__scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.4005	0.46751	1191.0	387.0	1.07899	GF_000502	0.4894	63.5609	8.0	0.0077	477.0	scaffold-FLTD-2001268-Pteris_ensigormis.p1	scaffold-FLTD-2067805-Pteris_ensigormis.p1	0.16667	0.0
