	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-YCKE-2004713-Notholaena_montieliae.p1__scaffold-YCKE-2004714-Notholaena_montieliae.p1	1.0	1.0	498.0	498.0	0.0	GF_001925	0.0	0.0	2.0	99.0	498.0	scaffold-YCKE-2004713-Notholaena_montieliae.p1	scaffold-YCKE-2004714-Notholaena_montieliae.p1	1.0	0.0
scaffold-YCKE-2011448-Notholaena_montieliae.p1__scaffold-YCKE-2059136-Notholaena_montieliae.p1	0.29963	0.72083	801.0	240.0	0.37667	GF_000502	0.1859	2.328	6.0	0.0798	240.0	scaffold-YCKE-2011448-Notholaena_montieliae.p1	scaffold-YCKE-2059136-Notholaena_montieliae.p1	1.0	1.0
scaffold-YCKE-2004014-Notholaena_montieliae.p1__scaffold-YCKE-2004015-Notholaena_montieliae.p1	0.96255	1.0	801.0	240.0	0.0	GF_000502	0.0	0.0	7.0	0.3769	771.0	scaffold-YCKE-2004014-Notholaena_montieliae.p1	scaffold-YCKE-2004015-Notholaena_montieliae.p1	1.0	0.0
scaffold-YCKE-2004014-Notholaena_montieliae.p1__scaffold-YCKE-2061905-Notholaena_montieliae.p1	0.85768	0.62591	801.0	240.0	0.48982	GF_000502	0.1183	2.4178	8.0	0.0489	687.0	scaffold-YCKE-2061905-Notholaena_montieliae.p1	scaffold-YCKE-2004014-Notholaena_montieliae.p1	0.5	0.5
scaffold-YCKE-2004015-Notholaena_montieliae.p1__scaffold-YCKE-2061905-Notholaena_montieliae.p1	0.85768	0.62591	801.0	240.0	0.48982	GF_000502	0.1183	2.4178	8.0	0.0489	687.0	scaffold-YCKE-2061905-Notholaena_montieliae.p1	scaffold-YCKE-2004015-Notholaena_montieliae.p1	0.5	0.5
scaffold-YCKE-2011448-Notholaena_montieliae.p1__scaffold-YCKE-2061905-Notholaena_montieliae.p1	0.31086	0.64257	801.0	240.0	0.65639	GF_000502	0.2624	22.9995	9.0	0.0114	249.0	scaffold-YCKE-2011448-Notholaena_montieliae.p1	scaffold-YCKE-2061905-Notholaena_montieliae.p1	0.16667	0.0
scaffold-YCKE-2004014-Notholaena_montieliae.p1__scaffold-YCKE-2011448-Notholaena_montieliae.p1	0.31086	0.64659	801.0	240.0	0.64427	GF_000502	0.2193	9.7149	9.0	0.0226	249.0	scaffold-YCKE-2011448-Notholaena_montieliae.p1	scaffold-YCKE-2004014-Notholaena_montieliae.p1	0.16667	0.0
scaffold-YCKE-2004015-Notholaena_montieliae.p1__scaffold-YCKE-2011448-Notholaena_montieliae.p1	0.31086	0.64659	801.0	240.0	0.64427	GF_000502	0.2193	9.7143	9.0	0.0226	249.0	scaffold-YCKE-2011448-Notholaena_montieliae.p1	scaffold-YCKE-2004015-Notholaena_montieliae.p1	0.16667	0.0
scaffold-YCKE-2059136-Notholaena_montieliae.p1__scaffold-YCKE-2061905-Notholaena_montieliae.p1	0.61423	0.6748	801.0	240.0	0.5867	GF_000502	0.1769	6.581	9.0	0.0269	492.0	scaffold-YCKE-2059136-Notholaena_montieliae.p1	scaffold-YCKE-2061905-Notholaena_montieliae.p1	0.16667	0.0
scaffold-YCKE-2004014-Notholaena_montieliae.p1__scaffold-YCKE-2059136-Notholaena_montieliae.p1	0.61423	0.67683	801.0	240.0	0.57458	GF_000502	0.1755	30.5545	9.0	0.0057	492.0	scaffold-YCKE-2059136-Notholaena_montieliae.p1	scaffold-YCKE-2004014-Notholaena_montieliae.p1	0.16667	0.0
scaffold-YCKE-2004015-Notholaena_montieliae.p1__scaffold-YCKE-2059136-Notholaena_montieliae.p1	0.61423	0.67683	801.0	240.0	0.57458	GF_000502	0.1755	31.0966	9.0	0.0056	492.0	scaffold-YCKE-2059136-Notholaena_montieliae.p1	scaffold-YCKE-2004015-Notholaena_montieliae.p1	0.16667	0.0
scaffold-YCKE-2011448-Notholaena_montieliae.p1__scaffold-YCKE-2063223-Notholaena_montieliae.p1	0.31086	0.61044	801.0	240.0	0.75046	GF_000502	0.274	3.4247	10.0	0.08	249.0	scaffold-YCKE-2063223-Notholaena_montieliae.p1	scaffold-YCKE-2011448-Notholaena_montieliae.p1	0.2	1.0
