	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Cheilanthes_nitidula_C337346.p1__Cheilanthes_nitidula_scaffold6481.p1	0.64527	0.56719	888.0	573.0	0.85792	GF_001925	0.4671	2.7012	2.0	0.1729	573.0	Cheilanthes_nitidula_C337346.p1	Cheilanthes_nitidula_scaffold6481.p1	1.0	1.0
Cheilanthes_nitidula_scaffold12919.p1__Cheilanthes_nitidula_scaffold15713.p1	0.07014	0.51351	3165.0	33.0	1.13418	GF_000502	2.0586	1.2937	6.0	1.5912	222.0	Cheilanthes_nitidula_scaffold12919.p1	Cheilanthes_nitidula_scaffold15713.p1	1.0	1.0
Cheilanthes_nitidula_scaffold5848.p1__Cheilanthes_nitidula_scaffold5849.p1	0.94787	1.0	3165.0	33.0	0.0	GF_000502	0.0	0.0	7.0	0.1095	3000.0	Cheilanthes_nitidula_scaffold5849.p1	Cheilanthes_nitidula_scaffold5848.p1	1.0	0.0
Cheilanthes_nitidula_scaffold10498.p1__Cheilanthes_nitidula_scaffold15107.p1	0.12227	0.81395	3165.0	33.0	0.16416	GF_000502	0.0049	4.9478	8.0	0.001	387.0	Cheilanthes_nitidula_scaffold10498.p1	Cheilanthes_nitidula_scaffold15107.p1	1.0	1.0
Cheilanthes_nitidula_scaffold10498.p1__Cheilanthes_nitidula_scaffold5849.p1	0.75261	0.60495	3165.0	33.0	0.62004	GF_000502	0.0917	65.9888	9.0	0.0014	2382.0	Cheilanthes_nitidula_scaffold5849.p1	Cheilanthes_nitidula_scaffold10498.p1	0.25	0.0
Cheilanthes_nitidula_scaffold15107.p1__Cheilanthes_nitidula_scaffold5849.p1	0.12227	0.71318	3165.0	33.0	0.57328	GF_000502	0.109	26.2338	9.0	0.0042	387.0	Cheilanthes_nitidula_scaffold5849.p1	Cheilanthes_nitidula_scaffold15107.p1	0.25	0.0
Cheilanthes_nitidula_scaffold10498.p1__Cheilanthes_nitidula_scaffold5848.p1	0.75261	0.60495	3165.0	33.0	0.62004	GF_000502	0.0826	67.9499	9.0	0.0012	2382.0	Cheilanthes_nitidula_scaffold5848.p1	Cheilanthes_nitidula_scaffold10498.p1	0.25	0.0
Cheilanthes_nitidula_scaffold15107.p1__Cheilanthes_nitidula_scaffold5848.p1	0.12227	0.71318	3165.0	33.0	0.57328	GF_000502	0.109	26.2392	9.0	0.0042	387.0	Cheilanthes_nitidula_scaffold5848.p1	Cheilanthes_nitidula_scaffold15107.p1	0.25	0.0
Cheilanthes_nitidula_scaffold12919.p1__Cheilanthes_nitidula_scaffold5849.p1	0.25972	0.53163	3165.0	33.0	1.12408	GF_000502	2.4663	66.8563	10.0	0.0369	822.0	Cheilanthes_nitidula_scaffold12919.p1	Cheilanthes_nitidula_scaffold5849.p1	0.125	0.0
Cheilanthes_nitidula_scaffold12919.p1__Cheilanthes_nitidula_scaffold5848.p1	0.25972	0.53163	3165.0	33.0	1.12408	GF_000502	2.4663	66.8563	10.0	0.0369	822.0	Cheilanthes_nitidula_scaffold12919.p1	Cheilanthes_nitidula_scaffold5848.p1	0.125	0.0
