	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-YQEC-2003046-Woodsia_ilvensis.p1__scaffold-YQEC-2068052-Woodsia_ilvensis.p1	0.70748	0.44551	441.0	312.0	1.52182	GF_001925	0.7341	74.1363	2.0	0.0099	312.0	scaffold-YQEC-2003046-Woodsia_ilvensis.p1	scaffold-YQEC-2068052-Woodsia_ilvensis.p1	1.0	0.0
scaffold-YQEC-2009181-Woodsia_ilvensis.p1__scaffold-YQEC-2075740-Woodsia_ilvensis.p1	0.67612	0.42541	1269.0	858.0	1.73764	GF_002318	0.8575	65.2151	2.0	0.0131	858.0	scaffold-YQEC-2009181-Woodsia_ilvensis.p1	scaffold-YQEC-2075740-Woodsia_ilvensis.p1	1.0	0.0
scaffold-YQEC-2010608-Woodsia_ilvensis.p1__scaffold-YQEC-2010685-Woodsia_ilvensis.p1	0.7485	0.69067	501.0	375.0	0.27946	GF_002403	0.2303	1.5365	2.0	0.1499	375.0	scaffold-YQEC-2010608-Woodsia_ilvensis.p1	scaffold-YQEC-2010685-Woodsia_ilvensis.p1	1.0	1.0
scaffold-YQEC-2012934-Woodsia_ilvensis.p1__scaffold-YQEC-2075382-Woodsia_ilvensis.p1	0.66811	0.40152	1383.0	924.0	1.97518	GF_002556	0.9907	67.1173	2.0	0.0148	924.0	scaffold-YQEC-2012934-Woodsia_ilvensis.p1	scaffold-YQEC-2075382-Woodsia_ilvensis.p1	1.0	0.0
scaffold-YQEC-2007449-Woodsia_ilvensis.p1__scaffold-YQEC-2007450-Woodsia_ilvensis.p1	0.82484	1.0	3237.0	1512.0	0.0	GF_000971	0.0	0.0	4.0	0.4882	2670.0	scaffold-YQEC-2007449-Woodsia_ilvensis.p1	scaffold-YQEC-2007450-Woodsia_ilvensis.p1	1.0	0.0
scaffold-YQEC-2012276-Woodsia_ilvensis.p1__scaffold-YQEC-2012332-Woodsia_ilvensis.p1	0.48285	0.389	3237.0	1512.0	2.08125	GF_000971	1.0377	62.9018	5.0	0.0165	1563.0	scaffold-YQEC-2012332-Woodsia_ilvensis.p1	scaffold-YQEC-2012276-Woodsia_ilvensis.p1	1.0	0.0
scaffold-YQEC-2007449-Woodsia_ilvensis.p1__scaffold-YQEC-2012332-Woodsia_ilvensis.p1	0.72011	0.37366	3237.0	1512.0	2.1693	GF_000971	1.0292	12.8452	6.0	0.0801	2331.0	scaffold-YQEC-2007449-Woodsia_ilvensis.p1	scaffold-YQEC-2012332-Woodsia_ilvensis.p1	0.25	0.0
scaffold-YQEC-2007449-Woodsia_ilvensis.p1__scaffold-YQEC-2012276-Woodsia_ilvensis.p1	0.49954	0.36611	3237.0	1512.0	2.73763	GF_000971	1.237	65.9641	6.0	0.0188	1617.0	scaffold-YQEC-2007449-Woodsia_ilvensis.p1	scaffold-YQEC-2012276-Woodsia_ilvensis.p1	0.25	0.0
scaffold-YQEC-2007450-Woodsia_ilvensis.p1__scaffold-YQEC-2012332-Woodsia_ilvensis.p1	0.72011	0.37366	3237.0	1512.0	2.1693	GF_000971	1.0292	12.8452	6.0	0.0801	2331.0	scaffold-YQEC-2007450-Woodsia_ilvensis.p1	scaffold-YQEC-2012332-Woodsia_ilvensis.p1	0.25	0.0
scaffold-YQEC-2007450-Woodsia_ilvensis.p1__scaffold-YQEC-2012276-Woodsia_ilvensis.p1	0.49954	0.36611	3237.0	1512.0	2.73763	GF_000971	1.237	65.9642	6.0	0.0188	1617.0	scaffold-YQEC-2007450-Woodsia_ilvensis.p1	scaffold-YQEC-2012276-Woodsia_ilvensis.p1	0.25	0.0
scaffold-YQEC-2058161-Woodsia_ilvensis.p1__scaffold-YQEC-2074284-Woodsia_ilvensis.p1	0.29254	0.57823	1005.0	294.0	0.83316	GF_002601	0.4311	65.36	2.0	0.0066	294.0	scaffold-YQEC-2058161-Woodsia_ilvensis.p1	scaffold-YQEC-2074284-Woodsia_ilvensis.p1	1.0	0.0
scaffold-YQEC-2006718-Woodsia_ilvensis.p1__scaffold-YQEC-2006719-Woodsia_ilvensis.p1	0.76543	0.96595	729.0	555.0	0.06723	GF_001253	0.0365	0.0325	3.0	1.1222	558.0	scaffold-YQEC-2006719-Woodsia_ilvensis.p1	scaffold-YQEC-2006718-Woodsia_ilvensis.p1	1.0	1.0
scaffold-YQEC-2003501-Woodsia_ilvensis.p2__scaffold-YQEC-2006719-Woodsia_ilvensis.p1	0.76132	0.51532	729.0	555.0	1.458	GF_001253	0.7286	1.5138	4.0	0.4813	555.0	scaffold-YQEC-2003501-Woodsia_ilvensis.p2	scaffold-YQEC-2006719-Woodsia_ilvensis.p1	0.5	0.5
scaffold-YQEC-2003501-Woodsia_ilvensis.p2__scaffold-YQEC-2006718-Woodsia_ilvensis.p1	0.76132	0.50811	729.0	555.0	1.49483	GF_001253	0.7222	1.7499	4.0	0.4127	555.0	scaffold-YQEC-2003501-Woodsia_ilvensis.p2	scaffold-YQEC-2006718-Woodsia_ilvensis.p1	0.5	0.5
