	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Alsophila_podophylla_C403358.p1__Alsophila_podophylla_scaffold15843.p1	0.15668	0.90145	2202.0	345.0	0.03548	GF_001925	0.0176	0.3835	2.0	0.0459	345.0	Alsophila_podophylla_C403358.p1	Alsophila_podophylla_scaffold15843.p1	1.0	1.0
Alsophila_podophylla_scaffold22122.p1__Alsophila_podophylla_scaffold22122.p3	0.00403	1.0	1488.0	6.0	0.03077	GF_000502	0.0	0.0	5.0	0.934	6.0	Alsophila_podophylla_scaffold22122.p3	Alsophila_podophylla_scaffold22122.p1	1.0	0.0
Alsophila_podophylla_C390006.p1__Alsophila_podophylla_scaffold22122.p3	0.14718	0.69863	1488.0	6.0	0.24913	GF_000502	20.9062	8.625	6.0	2.4239	219.0	Alsophila_podophylla_C390006.p1	Alsophila_podophylla_scaffold22122.p3	0.5	0.0
Alsophila_podophylla_C390006.p1__Alsophila_podophylla_scaffold22122.p1	0.05847	0.73563	1488.0	6.0	0.2788	GF_000502	17.8954	14.5026	6.0	1.2339	87.0	Alsophila_podophylla_C390006.p1	Alsophila_podophylla_scaffold22122.p1	0.5	0.0
Alsophila_podophylla_scaffold12311.p1__Alsophila_podophylla_scaffold9232.p1	0.5	0.77285	1488.0	6.0	0.3079	GF_000502	0.0		7.0	1.1935	744.0	Alsophila_podophylla_scaffold9232.p1	Alsophila_podophylla_scaffold12311.p1	inf	0.0
Alsophila_podophylla_C390006.p1__Alsophila_podophylla_scaffold9232.p1	0.20161	0.59	1488.0	6.0	1.06032	GF_000502	5.0704		8.0	1.8748	300.0	Alsophila_podophylla_C390006.p1	Alsophila_podophylla_scaffold9232.p1	0.25	0.0
Alsophila_podophylla_C390006.p1__Alsophila_podophylla_scaffold12311.p1	0.17944	0.56554	1488.0	6.0	0.98044	GF_000502	16.6667		8.0	0.6814	267.0	Alsophila_podophylla_C390006.p1	Alsophila_podophylla_scaffold12311.p1	0.25	0.0
Alsophila_podophylla_scaffold22122.p3__Alsophila_podophylla_scaffold9232.p1	0.2621	0.55641	1488.0	6.0	1.16013	GF_000502	15.956	18.5641	8.0	0.8595	390.0	Alsophila_podophylla_scaffold22122.p3	Alsophila_podophylla_scaffold9232.p1	0.25	0.0
Alsophila_podophylla_scaffold12311.p1__Alsophila_podophylla_scaffold22122.p3	0.2621	0.56667	1488.0	6.0	1.08025	GF_000502	18.0844	12.8773	8.0	1.4044	390.0	Alsophila_podophylla_scaffold22122.p3	Alsophila_podophylla_scaffold12311.p1	0.25	0.0
Alsophila_podophylla_scaffold22122.p1__Alsophila_podophylla_scaffold9232.p1	0.35282	0.48571	1488.0	6.0	1.1898	GF_000502	18.0264	13.0334	8.0	1.3831	525.0	Alsophila_podophylla_scaffold22122.p1	Alsophila_podophylla_scaffold9232.p1	0.25	0.0
