	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Psilotum_nudum_scaffold20644.p1__Psilotum_nudum_scaffold20644.p2	0.10979	0.60507	2514.0	276.0	0.74064	GF_001925	0.8133	1.2022	3.0	0.6765	276.0	Psilotum_nudum_scaffold20644.p1	Psilotum_nudum_scaffold20644.p2	1.0	1.0
Psilotum_nudum_C484024.p1__Psilotum_nudum_scaffold20644.p1	0.46539	0.6	2514.0	276.0	0.90798	GF_001925	9.9065	30.6111	4.0	0.3236	1170.0	Psilotum_nudum_C484024.p1	Psilotum_nudum_scaffold20644.p1	0.5	0.0
Psilotum_nudum_C484024.p1__Psilotum_nudum_scaffold20644.p2	0.24105	0.61056	2514.0	276.0	0.81106	GF_001925	0.7673	1.9025	4.0	0.4033	606.0	Psilotum_nudum_C484024.p1	Psilotum_nudum_scaffold20644.p2	0.5	1.0
Psilotum_nudum_scaffold11881.p1__Psilotum_nudum_scaffold12450.p1	0.69892	0.83248	837.0	381.0	0.24062	GF_000502	0.1119	0.7758	7.0	0.1442	585.0	Psilotum_nudum_scaffold11881.p1	Psilotum_nudum_scaffold12450.p1	1.0	1.0
Psilotum_nudum_scaffold11879.p1__Psilotum_nudum_scaffold11880.p1	0.94265	1.0	837.0	381.0	0.0	GF_000502	0.0	0.0	8.0	0.456	789.0	Psilotum_nudum_scaffold11879.p1	Psilotum_nudum_scaffold11880.p1	1.0	0.0
Psilotum_nudum_scaffold16769.p1__Psilotum_nudum_scaffold16770.p1	0.70251	1.0	837.0	381.0	0.0	GF_000502	0.0	0.0	9.0	0.1271	588.0	Psilotum_nudum_scaffold16770.p1	Psilotum_nudum_scaffold16769.p1	1.0	0.0
Psilotum_nudum_scaffold11879.p1__Psilotum_nudum_scaffold16770.p1	0.70251	0.81803	837.0	381.0	0.23759	GF_000502	0.119	0.7903	10.0	0.1506	588.0	Psilotum_nudum_scaffold11879.p1	Psilotum_nudum_scaffold16770.p1	0.25	0.25
Psilotum_nudum_scaffold11879.p1__Psilotum_nudum_scaffold16769.p1	0.70251	0.81803	837.0	381.0	0.23759	GF_000502	0.119	0.7903	10.0	0.1506	588.0	Psilotum_nudum_scaffold11879.p1	Psilotum_nudum_scaffold16769.p1	0.25	0.25
Psilotum_nudum_scaffold11880.p1__Psilotum_nudum_scaffold16770.p1	0.70251	0.81803	837.0	381.0	0.23759	GF_000502	0.119	0.7903	10.0	0.1506	588.0	Psilotum_nudum_scaffold11880.p1	Psilotum_nudum_scaffold16770.p1	0.25	0.25
Psilotum_nudum_scaffold11880.p1__Psilotum_nudum_scaffold16769.p1	0.70251	0.81803	837.0	381.0	0.23759	GF_000502	0.119	0.7903	10.0	0.1506	588.0	Psilotum_nudum_scaffold11880.p1	Psilotum_nudum_scaffold16769.p1	0.25	0.25
Psilotum_nudum_scaffold11879.p1__Psilotum_nudum_scaffold12449.p1	0.94265	0.89227	837.0	381.0	0.10959	GF_000502	0.0419	0.4478	11.0	0.0936	789.0	Psilotum_nudum_scaffold12449.p1	Psilotum_nudum_scaffold11879.p1	0.25	0.25
Psilotum_nudum_scaffold11880.p1__Psilotum_nudum_scaffold12449.p1	0.94265	0.89227	837.0	381.0	0.10959	GF_000502	0.0419	0.4478	11.0	0.0936	789.0	Psilotum_nudum_scaffold12449.p1	Psilotum_nudum_scaffold11880.p1	0.25	0.25
Psilotum_nudum_scaffold12449.p1__Psilotum_nudum_scaffold16770.p1	0.70251	0.80272	837.0	381.0	0.2126	GF_000502	0.1261	0.9562	11.0	0.1319	588.0	Psilotum_nudum_scaffold12449.p1	Psilotum_nudum_scaffold16770.p1	0.25	0.25
Psilotum_nudum_scaffold12449.p1__Psilotum_nudum_scaffold16769.p1	0.70251	0.80272	837.0	381.0	0.2126	GF_000502	0.1261	0.9562	11.0	0.1319	588.0	Psilotum_nudum_scaffold12449.p1	Psilotum_nudum_scaffold16769.p1	0.25	0.25
