	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Pteris_vittata_scaffold17191.p1__Pteris_vittata_scaffold30043.p1	0.45075	0.56667	1797.0	48.0	0.91577	GF_001925	0.7699	62.9091	3.0	0.0122	810.0	Pteris_vittata_scaffold17191.p1	Pteris_vittata_scaffold30043.p1	1.0	0.0
Pteris_vittata_scaffold17191.p1__Pteris_vittata_scaffold25621.p1	0.02671	0.39583	1797.0	48.0	1.08675	GF_001925	0.7435	81.2794	4.0	0.0091	48.0	Pteris_vittata_scaffold25621.p1	Pteris_vittata_scaffold17191.p1	0.5	0.0
Pteris_vittata_scaffold25621.p1__Pteris_vittata_scaffold30043.p1	0.38564	0.47042	1797.0	48.0	1.37204	GF_001925	0.8329	62.8537	4.0	0.0133	693.0	Pteris_vittata_scaffold25621.p1	Pteris_vittata_scaffold30043.p1	0.5	0.0
Pteris_vittata_scaffold1944.p1__Pteris_vittata_scaffold1946.p2	1.0	1.0	360.0	360.0	0.0	GF_003247	0.0	0.0	2.0	0.4884	360.0	Pteris_vittata_scaffold1944.p1	Pteris_vittata_scaffold1946.p2	1.0	0.0
Pteris_vittata_scaffold17278.p1__Pteris_vittata_scaffold17279.p1	1.0	1.0	405.0	405.0	0.0	GF_003125	0.0	0.0	2.0	0.3847	405.0	Pteris_vittata_scaffold17278.p1	Pteris_vittata_scaffold17279.p1	1.0	0.0
Pteris_vittata_C641889.p1__Pteris_vittata_C692074.p1	0.25157	0.79167	1431.0	360.0	0.35114	GF_002318	0.1716	0.7912	2.0	0.2169	360.0	Pteris_vittata_C641889.p1	Pteris_vittata_C692074.p1	1.0	1.0
Pteris_vittata_C665709.p1__Pteris_vittata_scaffold27207.p1	0.43182	0.47661	792.0	342.0	1.15338	GF_002403	0.6265	68.3471	2.0	0.0092	342.0	Pteris_vittata_C665709.p1	Pteris_vittata_scaffold27207.p1	1.0	0.0
Pteris_vittata_scaffold23102.p1__Pteris_vittata_scaffold23103.p1	0.65106	0.99782	705.0	459.0	0.00054	GF_003057	0.0	0.0061	2.0	0.001	459.0	Pteris_vittata_scaffold23102.p1	Pteris_vittata_scaffold23103.p1	1.0	1.0
Pteris_vittata_C688699.p1__Pteris_vittata_scaffold17670.p1	0.52809	0.81324	801.0	423.0	0.22794	GF_002556	0.1168	0.7141	2.0	0.1635	423.0	Pteris_vittata_C688699.p1	Pteris_vittata_scaffold17670.p1	1.0	1.0
Pteris_vittata_C663901.p2__Pteris_vittata_scaffold27877.p2	0.73077	0.69006	468.0	231.0	0.2768	GF_000549	0.1653	71.1929	6.0	0.0023	342.0	Pteris_vittata_C663901.p2	Pteris_vittata_scaffold27877.p2	1.0	0.0
Pteris_vittata_scaffold26780.p1__Pteris_vittata_scaffold26781.p1	0.49359	1.0	468.0	231.0	0.0	GF_000549	0.0	0.0	7.0	0.001	231.0	Pteris_vittata_scaffold26781.p1	Pteris_vittata_scaffold26780.p1	1.0	0.0
Pteris_vittata_scaffold1029.p1__Pteris_vittata_scaffold26781.p1	0.49359	0.72727	468.0	231.0	0.27243	GF_000549	0.1447	3.9293	8.0	0.0368	231.0	Pteris_vittata_scaffold1029.p1	Pteris_vittata_scaffold26781.p1	0.5	0.5
Pteris_vittata_scaffold1029.p1__Pteris_vittata_scaffold26780.p1	0.49359	0.72727	468.0	231.0	0.27243	GF_000549	0.1447	3.9293	8.0	0.0368	231.0	Pteris_vittata_scaffold1029.p1	Pteris_vittata_scaffold26780.p1	0.5	0.5
Pteris_vittata_scaffold1029.p1__Pteris_vittata_scaffold14401.p1	0.73077	0.73099	468.0	231.0	0.2789	GF_000549	0.1772	5.1625	9.0	0.0343	342.0	Pteris_vittata_scaffold1029.p1	Pteris_vittata_scaffold14401.p1	0.33333	0.0
Pteris_vittata_scaffold14401.p1__Pteris_vittata_scaffold26781.p1	0.49359	0.69264	468.0	231.0	0.29503	GF_000549	0.162	9.7356	9.0	0.0166	231.0	Pteris_vittata_scaffold26781.p1	Pteris_vittata_scaffold14401.p1	0.33333	0.0
Pteris_vittata_scaffold14401.p1__Pteris_vittata_scaffold26780.p1	0.49359	0.69264	468.0	231.0	0.29503	GF_000549	0.162	9.7358	9.0	0.0166	231.0	Pteris_vittata_scaffold26780.p1	Pteris_vittata_scaffold14401.p1	0.33333	0.0
Pteris_vittata_C663901.p2__Pteris_vittata_scaffold1029.p1	0.73077	0.6462	468.0	231.0	0.53653	GF_000549	0.2984	13.6189	10.0	0.0219	342.0	Pteris_vittata_C663901.p2	Pteris_vittata_scaffold1029.p1	0.125	0.0
Pteris_vittata_C663901.p2__Pteris_vittata_scaffold26781.p1	0.49359	0.63636	468.0	231.0	0.55266	GF_000549	0.2659	10.2632	10.0	0.0259	231.0	Pteris_vittata_C663901.p2	Pteris_vittata_scaffold26781.p1	0.125	0.0
Pteris_vittata_C663901.p2__Pteris_vittata_scaffold26780.p1	0.49359	0.63636	468.0	231.0	0.55266	GF_000549	0.2659	10.265	10.0	0.0259	231.0	Pteris_vittata_C663901.p2	Pteris_vittata_scaffold26780.p1	0.125	0.0
Pteris_vittata_C663901.p2__Pteris_vittata_scaffold14401.p1	0.73077	0.69883	468.0	231.0	0.32237	GF_000549	0.1707	72.8304	10.0	0.0023	342.0	Pteris_vittata_C663901.p2	Pteris_vittata_scaffold14401.p1	0.125	0.0
Pteris_vittata_scaffold1029.p1__Pteris_vittata_scaffold27877.p2	0.73077	0.74561	468.0	231.0	0.28227	GF_000549	0.1808	3.6266	10.0	0.0498	342.0	Pteris_vittata_scaffold27877.p2	Pteris_vittata_scaffold1029.p1	0.125	0.33333
Pteris_vittata_scaffold26781.p1__Pteris_vittata_scaffold27877.p2	0.49359	0.69697	468.0	231.0	0.2984	GF_000549	0.1637	3.4792	10.0	0.0471	231.0	Pteris_vittata_scaffold27877.p2	Pteris_vittata_scaffold26781.p1	0.125	0.33333
Pteris_vittata_scaffold26780.p1__Pteris_vittata_scaffold27877.p2	0.49359	0.69697	468.0	231.0	0.2984	GF_000549	0.1637	3.4792	10.0	0.0471	231.0	Pteris_vittata_scaffold27877.p2	Pteris_vittata_scaffold26780.p1	0.125	0.33333
