	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Pleurosoriopsis_makinoi_C637679.p1__Pleurosoriopsis_makinoi_C651182.p1	0.35714	0.6625	672.0	240.0	0.36436	GF_001925	0.2154	7.626	2.0	0.0282	240.0	Pleurosoriopsis_makinoi_C637679.p1	Pleurosoriopsis_makinoi_C651182.p1	1.0	0.0
Pleurosoriopsis_makinoi_C642805.p1__Pleurosoriopsis_makinoi_C667567.p1	0.34872	0.5049	585.0	204.0	1.4855	GF_000502	0.6626	9.0501	6.0	0.0732	204.0	Pleurosoriopsis_makinoi_C642805.p1	Pleurosoriopsis_makinoi_C667567.p1	1.0	0.0
Pleurosoriopsis_makinoi_C666899.p1__Pleurosoriopsis_makinoi_scaffold8967.p1	0.67692	0.67424	585.0	204.0	0.37679	GF_000502	0.1681	2.5331	7.0	0.0664	396.0	Pleurosoriopsis_makinoi_scaffold8967.p1	Pleurosoriopsis_makinoi_C666899.p1	1.0	1.0
Pleurosoriopsis_makinoi_C664905.p1__Pleurosoriopsis_makinoi_scaffold8967.p1	0.67692	0.68182	585.0	204.0	0.48948	GF_000502	0.1801	1.6265	8.0	0.1107	396.0	Pleurosoriopsis_makinoi_C664905.p1	Pleurosoriopsis_makinoi_scaffold8967.p1	0.5	1.0
Pleurosoriopsis_makinoi_C664905.p1__Pleurosoriopsis_makinoi_C666899.p1	0.67692	0.64646	585.0	204.0	0.42345	GF_000502	0.1476	67.6504	8.0	0.0022	396.0	Pleurosoriopsis_makinoi_C664905.p1	Pleurosoriopsis_makinoi_C666899.p1	0.5	0.0
Pleurosoriopsis_makinoi_C664905.p1__Pleurosoriopsis_makinoi_scaffold10070.p1	0.67692	0.70707	585.0	204.0	0.38657	GF_000502	0.0805	2.0461	9.0	0.0393	396.0	Pleurosoriopsis_makinoi_scaffold10070.p1	Pleurosoriopsis_makinoi_C664905.p1	0.33333	0.5
Pleurosoriopsis_makinoi_scaffold10070.p1__Pleurosoriopsis_makinoi_scaffold8967.p1	0.67692	0.65152	585.0	204.0	0.62085	GF_000502	0.2326	4.1206	9.0	0.0564	396.0	Pleurosoriopsis_makinoi_scaffold10070.p1	Pleurosoriopsis_makinoi_scaffold8967.p1	0.33333	0.5
Pleurosoriopsis_makinoi_C666899.p1__Pleurosoriopsis_makinoi_scaffold10070.p1	0.67692	0.66414	585.0	204.0	0.55482	GF_000502	0.1686	76.2295	9.0	0.0022	396.0	Pleurosoriopsis_makinoi_scaffold10070.p1	Pleurosoriopsis_makinoi_C666899.p1	0.33333	0.0
Pleurosoriopsis_makinoi_C642805.p1__Pleurosoriopsis_makinoi_scaffold10070.p1	0.59487	0.49425	585.0	204.0	1.4798	GF_000502	0.5254	63.1302	10.0	0.0083	348.0	Pleurosoriopsis_makinoi_C642805.p1	Pleurosoriopsis_makinoi_scaffold10070.p1	0.125	0.0
Pleurosoriopsis_makinoi_C642805.p1__Pleurosoriopsis_makinoi_C664905.p1	0.59487	0.44253	585.0	204.0	1.59635	GF_000502	0.5669	56.9427	10.0	0.01	348.0	Pleurosoriopsis_makinoi_C642805.p1	Pleurosoriopsis_makinoi_C664905.p1	0.125	0.0
Pleurosoriopsis_makinoi_C642805.p1__Pleurosoriopsis_makinoi_scaffold8967.p1	0.6	0.45869	585.0	204.0	1.83063	GF_000502	0.6179	57.0832	10.0	0.0108	351.0	Pleurosoriopsis_makinoi_C642805.p1	Pleurosoriopsis_makinoi_scaffold8967.p1	0.125	0.0
Pleurosoriopsis_makinoi_C642805.p1__Pleurosoriopsis_makinoi_C666899.p1	0.59487	0.46839	585.0	204.0	1.7646	GF_000502	0.5768	60.553	10.0	0.0095	348.0	Pleurosoriopsis_makinoi_C642805.p1	Pleurosoriopsis_makinoi_C666899.p1	0.125	0.0
