	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Sceptridium_japonicum_scaffold9695.p1__Sceptridium_japonicum_scaffold9696.p1	0.73086	1.0	2586.0	1716.0	0.0011	GF_001925	0.0	0.0	3.0	0.092	1890.0	Sceptridium_japonicum_scaffold9696.p1	Sceptridium_japonicum_scaffold9695.p1	1.0	0.0
Sceptridium_japonicum_C754017.p1__Sceptridium_japonicum_scaffold9696.p1	0.66357	0.39977	2586.0	1716.0	1.89679	GF_001925	1.048	32.7603	4.0	0.032	1716.0	Sceptridium_japonicum_C754017.p1	Sceptridium_japonicum_scaffold9696.p1	0.5	0.0
Sceptridium_japonicum_C754017.p1__Sceptridium_japonicum_scaffold9695.p1	0.71926	0.40108	2586.0	1716.0	1.89679	GF_001925	1.048	32.757	4.0	0.032	1860.0	Sceptridium_japonicum_C754017.p1	Sceptridium_japonicum_scaffold9695.p1	0.5	0.0
Sceptridium_japonicum_scaffold11424.p1__Sceptridium_japonicum_scaffold19352.p1	0.81778	0.80435	675.0	312.0	0.30386	GF_000502	0.093	0.8482	7.0	0.1096	552.0	Sceptridium_japonicum_scaffold19352.p1	Sceptridium_japonicum_scaffold11424.p1	1.0	1.0
Sceptridium_japonicum_scaffold19352.p1__Sceptridium_japonicum_scaffold27903.p1	0.46222	0.79167	675.0	312.0	0.32031	GF_000502	0.1392	0.8397	8.0	0.1658	312.0	Sceptridium_japonicum_scaffold27903.p1	Sceptridium_japonicum_scaffold19352.p1	0.5	0.5
Sceptridium_japonicum_scaffold11424.p1__Sceptridium_japonicum_scaffold27903.p1	0.46222	0.76282	675.0	312.0	0.44369	GF_000502	0.1568	1.1241	8.0	0.1395	312.0	Sceptridium_japonicum_scaffold27903.p1	Sceptridium_japonicum_scaffold11424.p1	0.5	0.5
Sceptridium_japonicum_C740195.p1__Sceptridium_japonicum_scaffold27903.p1	0.47111	0.59434	675.0	312.0	0.88235	GF_000502	0.4218	2.7591	9.0	0.1529	318.0	Sceptridium_japonicum_C740195.p1	Sceptridium_japonicum_scaffold27903.p1	0.33333	0.33333
Sceptridium_japonicum_C740195.p1__Sceptridium_japonicum_scaffold19352.p1	0.87111	0.60374	675.0	312.0	0.9503	GF_000502	0.421	2.156	9.0	0.1953	588.0	Sceptridium_japonicum_C740195.p1	Sceptridium_japonicum_scaffold19352.p1	0.33333	0.33333
Sceptridium_japonicum_C740195.p1__Sceptridium_japonicum_scaffold11424.p1	0.81333	0.58834	675.0	312.0	1.07368	GF_000502	0.4226	3.3271	9.0	0.127	549.0	Sceptridium_japonicum_C740195.p1	Sceptridium_japonicum_scaffold11424.p1	0.33333	0.33333
Sceptridium_japonicum_C723783.p1__Sceptridium_japonicum_scaffold18211.p1	0.68444	0.84632	675.0	312.0	0.27372	GF_000502	0.1263	0.5646	10.0	0.2236	462.0	Sceptridium_japonicum_C723783.p1	Sceptridium_japonicum_scaffold18211.p1	1.0	1.0
Sceptridium_japonicum_C723783.p1__Sceptridium_japonicum_scaffold21801.p1	0.68444	0.69697	675.0	312.0	0.5058	GF_000502	0.2109	1.7558	11.0	0.1201	462.0	Sceptridium_japonicum_scaffold21801.p1	Sceptridium_japonicum_C723783.p1	0.5	0.5
Sceptridium_japonicum_scaffold18211.p1__Sceptridium_japonicum_scaffold21801.p1	0.89333	0.733	675.0	312.0	0.30054	GF_000502	0.138	2.3366	11.0	0.0591	603.0	Sceptridium_japonicum_scaffold21801.p1	Sceptridium_japonicum_scaffold18211.p1	0.5	0.5
Sceptridium_japonicum_C740195.p1__Sceptridium_japonicum_scaffold21801.p1	0.87556	0.57868	675.0	312.0	0.99704	GF_000502	0.4906	65.3461	12.0	0.0075	591.0	Sceptridium_japonicum_C740195.p1	Sceptridium_japonicum_scaffold21801.p1	0.08333	0.0
Sceptridium_japonicum_C723783.p1__Sceptridium_japonicum_C740195.p1	0.67111	0.5585	675.0	312.0	1.30764	GF_000502	0.5378	77.6442	12.0	0.0069	453.0	Sceptridium_japonicum_C740195.p1	Sceptridium_japonicum_C723783.p1	0.08333	0.0
Sceptridium_japonicum_C740195.p1__Sceptridium_japonicum_scaffold18211.p1	0.88889	0.55833	675.0	312.0	1.10238	GF_000502	0.5182	68.3912	12.0	0.0076	600.0	Sceptridium_japonicum_C740195.p1	Sceptridium_japonicum_scaffold18211.p1	0.08333	0.0
Sceptridium_japonicum_scaffold21801.p1__Sceptridium_japonicum_scaffold27903.p1	0.48	0.55556	675.0	312.0	1.18527	GF_000502	0.4303	98.4373	12.0	0.0044	324.0	Sceptridium_japonicum_scaffold27903.p1	Sceptridium_japonicum_scaffold21801.p1	0.08333	0.0
Sceptridium_japonicum_C723783.p1__Sceptridium_japonicum_scaffold27903.p1	0.48	0.53704	675.0	312.0	1.49587	GF_000502	0.5597	99.0201	12.0	0.0057	324.0	Sceptridium_japonicum_scaffold27903.p1	Sceptridium_japonicum_C723783.p1	0.08333	0.0
