	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Cibotium_barometz_C472863.p1__Cibotium_barometz_C532312.p1	0.37809	0.68536	849.0	315.0	0.40295	GF_001925	0.1891	2.7088	3.0	0.0698	321.0	Cibotium_barometz_C472863.p1	Cibotium_barometz_C532312.p1	1.0	1.0
Cibotium_barometz_C472863.p1__Cibotium_barometz_C543101.p1	0.39929	0.61652	849.0	315.0	0.73258	GF_001925	0.3285	7.8253	4.0	0.042	339.0	Cibotium_barometz_C543101.p1	Cibotium_barometz_C472863.p1	0.5	0.0
Cibotium_barometz_C532312.p1__Cibotium_barometz_C543101.p1	0.59011	0.52295	849.0	315.0	0.89847	GF_001925	0.3621	67.7201	4.0	0.0053	501.0	Cibotium_barometz_C543101.p1	Cibotium_barometz_C532312.p1	0.5	0.0
Cibotium_barometz_C539733.p1__Cibotium_barometz_scaffold24453.p1	0.97688	0.85799	519.0	507.0	0.18488	GF_003247	0.0947	0.3608	2.0	0.2625	507.0	Cibotium_barometz_C539733.p1	Cibotium_barometz_scaffold24453.p1	1.0	1.0
Cibotium_barometz_C525838.p1__Cibotium_barometz_scaffold15131.p3	0.67568	0.78667	444.0	300.0	0.36432	GF_003125	0.2095	0.5195	2.0	0.4033	300.0	Cibotium_barometz_C525838.p1	Cibotium_barometz_scaffold15131.p3	1.0	1.0
Cibotium_barometz_scaffold8497.p1__Cibotium_barometz_scaffold8498.p1	0.20476	0.89147	630.0	129.0	0.08366	GF_004515	0.0406	0.4884	2.0	0.0832	129.0	Cibotium_barometz_scaffold8497.p1	Cibotium_barometz_scaffold8498.p1	1.0	1.0
Cibotium_barometz_C555129.p2__Cibotium_barometz_C556139.p1	0.23868	0.56448	1722.0	21.0	0.73942	GF_002318	5.1647	31.0159	3.0	0.1665	411.0	Cibotium_barometz_C556139.p1	Cibotium_barometz_C555129.p2	1.0	0.0
Cibotium_barometz_C555129.p1__Cibotium_barometz_C556139.p1	0.60627	0.53257	1722.0	21.0	0.87544	GF_002318	0.3647	54.1776	4.0	0.0067	1044.0	Cibotium_barometz_C555129.p1	Cibotium_barometz_C556139.p1	0.5	0.0
Cibotium_barometz_C555129.p1__Cibotium_barometz_C555129.p2	0.0122	0.42857	1722.0	21.0	1.50324	GF_002318	13.952	22.2114	4.0	0.6281	21.0	Cibotium_barometz_C555129.p1	Cibotium_barometz_C555129.p2	0.5	0.0
Cibotium_barometz_scaffold11067.p1__Cibotium_barometz_scaffold25370.p1	0.44848	0.88176	1980.0	840.0	0.09394	GF_002403	0.0438	0.4198	3.0	0.1043	888.0	Cibotium_barometz_scaffold25370.p1	Cibotium_barometz_scaffold11067.p1	1.0	1.0
