	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Lygodium_flexuosum_scaffold25471.p1__Lygodium_flexuosum_scaffold4239.p1	0.87679	0.66558	1047.0	918.0	0.55384	GF_001925	0.2759	1.6678	2.0	0.1654	918.0	Lygodium_flexuosum_scaffold25471.p1	Lygodium_flexuosum_scaffold4239.p1	1.0	1.0
Lygodium_flexuosum_scaffold41.p3__Lygodium_flexuosum_scaffold42.p3	1.0	1.0	300.0	300.0	0.0	GF_003247	0.0	0.0	2.0	0.001	300.0	Lygodium_flexuosum_scaffold41.p3	Lygodium_flexuosum_scaffold42.p3	1.0	0.0
Lygodium_flexuosum_scaffold24613.p1__Lygodium_flexuosum_scaffold26832.p1	0.32157	0.86992	765.0	246.0	0.27684	GF_003125	0.1486	0.1537	2.0	0.9671	246.0	Lygodium_flexuosum_scaffold24613.p1	Lygodium_flexuosum_scaffold26832.p1	1.0	1.0
Lygodium_flexuosum_scaffold10063.p1__Lygodium_flexuosum_scaffold8634.p1	0.4136	0.44521	1059.0	438.0	1.10706	GF_002318	0.7774	58.4098	2.0	0.0133	438.0	Lygodium_flexuosum_scaffold10063.p1	Lygodium_flexuosum_scaffold8634.p1	1.0	0.0
Lygodium_flexuosum_scaffold3681.p1__Lygodium_flexuosum_scaffold4154.p1	0.68834	0.69074	1569.0	1080.0	0.28456	GF_002403	0.1586	4.6759	2.0	0.0339	1080.0	Lygodium_flexuosum_scaffold4154.p1	Lygodium_flexuosum_scaffold3681.p1	1.0	1.0
Lygodium_flexuosum_scaffold22568.p1__Lygodium_flexuosum_scaffold5013.p1	0.84632	0.44196	1425.0	1206.0	1.68042	GF_003057	0.8926	2.5369	2.0	0.3518	1206.0	Lygodium_flexuosum_scaffold22568.p1	Lygodium_flexuosum_scaffold5013.p1	1.0	1.0
Lygodium_flexuosum_scaffold13136.p1__Lygodium_flexuosum_scaffold13137.p1	1.0	1.0	453.0	453.0	0.0	GF_002556	0.0	0.0	2.0	0.4269	453.0	Lygodium_flexuosum_scaffold13136.p1	Lygodium_flexuosum_scaffold13137.p1	1.0	0.0
Lygodium_flexuosum_scaffold7898.p1__Lygodium_flexuosum_scaffold7899.p1	1.0	1.0	546.0	546.0	0.0	GF_003393	0.0	0.0	2.0	99.0	546.0	Lygodium_flexuosum_scaffold7898.p1	Lygodium_flexuosum_scaffold7899.p1	1.0	0.0
Lygodium_flexuosum_scaffold26961.p1__Lygodium_flexuosum_scaffold26961.p2	0.05785	0.54286	1815.0	105.0	1.19339	GF_001680	0.5493	2.8778	3.0	0.1909	105.0	Lygodium_flexuosum_scaffold26961.p1	Lygodium_flexuosum_scaffold26961.p2	1.0	1.0
Lygodium_flexuosum_scaffold18256.p1__Lygodium_flexuosum_scaffold26961.p1	0.31736	0.47222	1815.0	105.0	1.19687	GF_001680	0.4769	2.0014	4.0	0.2383	576.0	Lygodium_flexuosum_scaffold18256.p1	Lygodium_flexuosum_scaffold26961.p1	0.5	0.5
Lygodium_flexuosum_scaffold18256.p1__Lygodium_flexuosum_scaffold26961.p2	0.2562	0.49892	1815.0	105.0	1.35096	GF_001680	0.7032	2.2596	4.0	0.3112	465.0	Lygodium_flexuosum_scaffold18256.p1	Lygodium_flexuosum_scaffold26961.p2	0.5	0.5
Lygodium_flexuosum_scaffold13815.p1__Lygodium_flexuosum_scaffold4560.p1	0.8	0.38374	1215.0	972.0	1.91574	GF_002601	1.0228	61.3459	2.0	0.0167	972.0	Lygodium_flexuosum_scaffold13815.p1	Lygodium_flexuosum_scaffold4560.p1	1.0	0.0
Lygodium_flexuosum_scaffold4374.p1__Lygodium_flexuosum_scaffold4375.p1	1.0	1.0	807.0	807.0	0.0	GF_003263	0.0	0.0	2.0	0.4567	807.0	Lygodium_flexuosum_scaffold4374.p1	Lygodium_flexuosum_scaffold4375.p1	1.0	0.0
Lygodium_flexuosum_scaffold18028.p1__Lygodium_flexuosum_scaffold25053.p1	0.50564	0.60967	1596.0	72.0	0.59109	GF_001253	0.3098	69.1235	3.0	0.0045	807.0	Lygodium_flexuosum_scaffold18028.p1	Lygodium_flexuosum_scaffold25053.p1	1.0	0.0
Lygodium_flexuosum_C621029.p1__Lygodium_flexuosum_scaffold18028.p1	0.24624	0.47074	1596.0	72.0	1.44662	GF_001253	0.9909	0.5668	4.0	1.7484	393.0	Lygodium_flexuosum_C621029.p1	Lygodium_flexuosum_scaffold18028.p1	0.5	0.5
Lygodium_flexuosum_C621029.p1__Lygodium_flexuosum_scaffold25053.p1	0.04511	0.48611	1596.0	72.0	1.24829	GF_001253	0.9189	1.4741	4.0	0.6234	72.0	Lygodium_flexuosum_C621029.p1	Lygodium_flexuosum_scaffold25053.p1	0.5	0.5
Lygodium_flexuosum_scaffold7171.p1__Lygodium_flexuosum_scaffold7172.p1	0.48208	1.0	921.0	396.0	0.00109	GF_001727	0.0	0.0	3.0	0.1846	444.0	Lygodium_flexuosum_scaffold7172.p1	Lygodium_flexuosum_scaffold7171.p1	1.0	0.0
