	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
C402531.p1__C404217.p1	0.77129	0.40168	1233.0	951.0	1.81228	GF_001925	1.0287	60.2959	2.0	0.0171	951.0	C402531.p1	C404217.p1	1.0	0.0
C357246.p1__C377311.p1	0.29412	0.72917	816.0	192.0	0.3094	GF_000502	0.112	2.3664	4.0	0.0473	240.0	C357246.p1	C377311.p1	1.0	1.0
C390087.p1__scaffold11008.p1	0.59926	0.72393	816.0	192.0	0.21853	GF_000502	0.0932	6.0135	5.0	0.0155	489.0	scaffold11008.p1	C390087.p1	1.0	0.0
C357246.p1__scaffold11008.p1	0.23529	0.41146	816.0	192.0	2.13643	GF_000502	1.1238	1.7863	6.0	0.6291	192.0	C357246.p1	scaffold11008.p1	0.25	0.25
C357246.p1__C390087.p1	0.23529	0.41146	816.0	192.0	2.03022	GF_000502	1.0951	1.9112	6.0	0.573	192.0	C357246.p1	C390087.p1	0.25	0.25
C377311.p1__scaffold11008.p1	0.56985	0.37419	816.0	192.0	2.07321	GF_000502	0.9974	3.1341	6.0	0.3182	465.0	C377311.p1	scaffold11008.p1	0.25	0.25
C377311.p1__C390087.p1	0.51838	0.40189	816.0	192.0	1.967	GF_000502	0.9249	3.1603	6.0	0.2927	423.0	C377311.p1	C390087.p1	0.25	0.25
scaffold6661.p1__scaffold6663.p1	1.0	1.0	669.0	669.0	0.0	GF_002318	0.0	0.0	2.0	0.4209	669.0	scaffold6661.p1	scaffold6663.p1	1.0	0.0
scaffold9604.p2__scaffold9605.p1	1.0	1.0	276.0	276.0	0.0	GF_002403	0.0	0.0	2.0	0.4361	276.0	scaffold9604.p2	scaffold9605.p1	1.0	0.0
C403103.p1__scaffold11586.p1	0.5	0.53608	1164.0	537.0	0.99217	GF_000549	0.5464	2.7573	4.0	0.1982	582.0	scaffold11586.p1	C403103.p1	1.0	1.0
scaffold11586.p1__scaffold9667.p1	0.47165	0.54281	1164.0	537.0	0.95224	GF_000549	0.4815	5.5142	5.0	0.0873	549.0	scaffold9667.p1	scaffold11586.p1	0.5	0.0
C403103.p1__scaffold9667.p1	0.78866	0.56863	1164.0	537.0	0.77195	GF_000549	0.4696	3.0584	5.0	0.1535	918.0	scaffold9667.p1	C403103.p1	0.5	1.0
scaffold9667.p1__scaffold9852.p1	0.78866	0.41068	1164.0	537.0	1.80845	GF_000549	1.0954	7.67	6.0	0.1428	918.0	scaffold9852.p1	scaffold9667.p1	0.33333	0.0
scaffold11586.p1__scaffold9852.p1	0.49485	0.37674	1164.0	537.0	2.20635	GF_000549	1.1339	60.2319	6.0	0.0188	576.0	scaffold9852.p1	scaffold11586.p1	0.33333	0.0
C403103.p1__scaffold9852.p1	0.84021	0.39877	1164.0	537.0	2.02606	GF_000549	1.2929	3.1577	6.0	0.4094	978.0	scaffold9852.p1	C403103.p1	0.33333	1.0
C393013.p1__C405451.p1	0.27022	0.43311	1632.0	441.0	1.71778	GF_001680	0.9147	6.8666	2.0	0.1332	441.0	C393013.p1	C405451.p1	1.0	0.0
C400221.p1__scaffold9077.p1	0.50301	0.62675	996.0	417.0	0.55271	GF_000971	0.2834	2.1997	3.0	0.1288	501.0	scaffold9077.p1	C400221.p1	1.0	1.0
C391611.p1__scaffold9077.p1	0.41867	0.46523	996.0	417.0	1.28604	GF_000971	0.6874	8.805	4.0	0.0781	417.0	C391611.p1	scaffold9077.p1	0.5	0.0
C391611.p1__C400221.p1	0.41867	0.50839	996.0	417.0	1.29799	GF_000971	0.6666	3.5497	4.0	0.1878	417.0	C391611.p1	C400221.p1	0.5	1.0
C350110.p1__C399547.p1	0.37879	0.50667	792.0	300.0	0.98734	GF_001253	0.5669	4.3145	2.0	0.1314	300.0	C350110.p1	C399547.p1	1.0	1.0
C395561.p1__C398457.p1	0.83256	0.473	645.0	537.0	1.31404	GF_001727	0.6735	60.8506	2.0	0.0111	537.0	C395561.p1	C398457.p1	1.0	0.0
C403255.p1__C403941.p1	0.69108	0.65591	942.0	651.0	0.5617	GF_001947	0.3377	3.1533	2.0	0.1071	651.0	C403255.p1	C403941.p1	1.0	1.0
C367808.p1__C397035.p1	0.04157	0.55556	1299.0	6.0	1.27464	GF_000349	1.5734	31.7851	5.0	0.0495	54.0	C397035.p1	C367808.p1	1.0	0.0
C357490.p1__C397035.p1	0.16166	0.52857	1299.0	6.0	1.31413	GF_000349	1.5734	31.7851	6.0	0.0495	210.0	C397035.p1	C357490.p1	1.0	0.0
C357490.p1__C367808.p1	0.00924	1.0	1299.0	6.0	0.18667	GF_000349	0.0		6.0	0.0446	12.0	C367808.p1	C357490.p1	1.0	0.0
C396975.p1__C397035.p1	0.16859	0.40183	1299.0	6.0	1.62189	GF_000349	2.0967	25.4232	7.0	0.0825	219.0	C396975.p1	C397035.p1	0.33333	0.0
C367808.p1__C396975.p1	0.33718	0.63927	1299.0	6.0	0.49443	GF_000349	0.0021	2.0967	7.0	0.001	438.0	C396975.p1	C367808.p1	0.33333	0.5
C357490.p1__C396975.p1	0.15012	0.69744	1299.0	6.0	0.30884	GF_000349	0.0021	2.0967	7.0	0.001	195.0	C396975.p1	C357490.p1	0.33333	0.5
C388275.p1__C396975.p1	0.44804	0.4055	1299.0	6.0	1.88687	GF_000349	0.7778	179.8214	8.0	0.0043	582.0	C388275.p1	C396975.p1	0.25	0.0
C388275.p1__C397035.p1	0.12933	0.31548	1299.0	6.0	3.27796	GF_000349	15.8285	8.0802	8.0	1.9589	168.0	C388275.p1	C397035.p1	0.25	0.0
C367808.p1__C388275.p1	0.22171	0.32986	1299.0	6.0	2.1505	GF_000349	3.4855	7.8459	8.0	0.4442	288.0	C388275.p1	C367808.p1	0.25	0.0
C357490.p1__C388275.p1	0.11547	0.38667	1299.0	6.0	1.96491	GF_000349	3.4334	7.8712	8.0	0.4362	150.0	C388275.p1	C357490.p1	0.25	0.0
scaffold11083.p1__scaffold4290.p1	0.06849	0.68889	657.0	45.0	0.28353	GF_000305	0.1911	11.5611	6.0	0.0165	45.0	scaffold11083.p1	scaffold4290.p1	1.0	0.0
scaffold11083.p1__scaffold8789.p1	0.45205	0.47475	657.0	45.0	0.92817	GF_000305	0.5935	10.2106	7.0	0.0581	297.0	scaffold8789.p1	scaffold11083.p1	0.5	0.0
scaffold4290.p1__scaffold8789.p1	0.44292	0.5189	657.0	45.0	1.21056	GF_000305	0.9069	3.1057	7.0	0.292	291.0	scaffold8789.p1	scaffold4290.p1	0.5	1.0
scaffold10113.p1__scaffold11439.p1	0.71689	0.61571	657.0	45.0	0.52979	GF_000305	0.3061	17.7184	8.0	0.0173	471.0	scaffold10113.p1	scaffold11439.p1	1.0	0.0
scaffold10113.p1__scaffold9151.p1	0.73973	0.56584	657.0	45.0	0.73419	GF_000305	0.5367	47.6382	9.0	0.0113	486.0	scaffold9151.p1	scaffold10113.p1	0.5	0.0
scaffold11439.p1__scaffold9151.p1	0.71233	0.57692	657.0	45.0	0.69702	GF_000305	0.212	60.6997	9.0	0.0035	468.0	scaffold9151.p1	scaffold11439.p1	0.5	0.0
scaffold8789.p1__scaffold9151.p1	0.79452	0.51916	657.0	45.0	1.07972	GF_000305	22.5908	4.9958	10.0	4.5219	522.0	scaffold8789.p1	scaffold9151.p1	0.11111	0.33333
scaffold10113.p1__scaffold8789.p1	0.77169	0.47337	657.0	45.0	1.32321	GF_000305	0.8897	6.6849	10.0	0.1331	507.0	scaffold8789.p1	scaffold10113.p1	0.11111	0.0
scaffold11439.p1__scaffold8789.p1	0.71689	0.49045	657.0	45.0	1.28604	GF_000305	0.5316	4.2653	10.0	0.1246	471.0	scaffold8789.p1	scaffold11439.p1	0.11111	0.33333
scaffold11083.p1__scaffold9151.p1	0.42009	0.53986	657.0	45.0	0.87309	GF_000305	0.2205	48.6337	10.0	0.0045	276.0	scaffold11083.p1	scaffold9151.p1	0.11111	0.0
scaffold10113.p1__scaffold11083.p1	0.45205	0.53199	657.0	45.0	1.11658	GF_000305	0.5521	7.313	10.0	0.0755	297.0	scaffold11083.p1	scaffold10113.p1	0.11111	0.0
scaffold11083.p1__scaffold11439.p1	0.42466	0.50538	657.0	45.0	1.07941	GF_000305	0.3251	61.9475	10.0	0.0052	279.0	scaffold11083.p1	scaffold11439.p1	0.11111	0.0
scaffold4290.p1__scaffold9151.p1	0.52055	0.51754	657.0	45.0	1.15548	GF_000305	0.5104	4.784	10.0	0.1067	342.0	scaffold4290.p1	scaffold9151.p1	0.11111	0.33333
scaffold10113.p1__scaffold4290.p1	0.38813	0.50196	657.0	45.0	1.39897	GF_000305	1.0556	44.8003	10.0	0.0236	255.0	scaffold4290.p1	scaffold10113.p1	0.11111	0.0
scaffold11439.p1__scaffold4290.p1	0.36073	0.48523	657.0	45.0	1.3618	GF_000305	0.5324	48.5186	10.0	0.011	237.0	scaffold4290.p1	scaffold11439.p1	0.11111	0.0
C384117.p1__scaffold6001.p1	0.73869	0.57143	597.0	399.0	0.67894	GF_000577	0.3587	54.5965	4.0	0.0066	441.0	C384117.p1	scaffold6001.p1	1.0	0.0
C384117.p1__C390819.p1	0.73869	0.56463	597.0	399.0	0.72887	GF_000577	0.4094	56.8394	5.0	0.0072	441.0	C390819.p1	C384117.p1	0.5	0.0
C390819.p1__scaffold6001.p1	0.74372	0.52703	597.0	399.0	0.89987	GF_000577	0.4644	59.2718	5.0	0.0078	444.0	C390819.p1	scaffold6001.p1	0.5	0.0
C386331.p1__C390819.p1	0.66834	0.47368	597.0	399.0	1.4523	GF_000577	0.9188	2.2601	6.0	0.4065	399.0	C386331.p1	C390819.p1	0.33333	1.0
C384117.p1__C386331.p1	0.66834	0.40602	597.0	399.0	2.18007	GF_000577	1.2362	53.6899	6.0	0.023	399.0	C386331.p1	C384117.p1	0.33333	0.0
C386331.p1__scaffold6001.p1	0.66834	0.38346	597.0	399.0	2.35107	GF_000577	1.1809	57.1389	6.0	0.0207	399.0	C386331.p1	scaffold6001.p1	0.33333	0.0
C367102.p1__C368964.p1	0.75342	0.8303	438.0	330.0	0.28592	GF_001381	0.1268	1.6718	2.0	0.0759	330.0	C367102.p1	C368964.p1	1.0	1.0
scaffold9411.p1__scaffold9412.p1	0.37681	1.0	828.0	312.0	0.00054	GF_002401	0.0	0.0	2.0	99.0	312.0	scaffold9411.p1	scaffold9412.p1	1.0	0.0
C370460.p1__C372379.p1	0.56716	0.76316	603.0	342.0	0.04566	GF_001414	0.0275	12.6122	2.0	0.0022	342.0	C370460.p1	C372379.p1	1.0	0.0
C372755.p1__C387489.p1	0.42333	0.50131	900.0	363.0	1.39446	GF_000870	0.6761	17.314	3.0	0.039	381.0	C372755.p1	C387489.p1	1.0	0.0
C372755.p1__C391609.p1	0.51333	0.46537	900.0	363.0	1.69851	GF_000870	0.7472	23.0522	4.0	0.0324	462.0	C391609.p1	C372755.p1	0.5	0.0
