	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Diplazium_esculentum_C273457.p1__Diplazium_esculentum_C296061.p1	0.81579	0.69355	456.0	372.0	0.10544	GF_001925	0.0563	56.2465	2.0	0.001	372.0	Diplazium_esculentum_C273457.p1	Diplazium_esculentum_C296061.p1	1.0	0.0
Diplazium_esculentum_C287861.p1__Diplazium_esculentum_scaffold7752.p1	0.08193	0.51961	1245.0	102.0	0.97361	GF_000502	0.476	67.001	6.0	0.0071	102.0	Diplazium_esculentum_scaffold7752.p1	Diplazium_esculentum_C287861.p1	1.0	0.0
Diplazium_esculentum_scaffold4601.p1__Diplazium_esculentum_scaffold4602.p1	0.80723	1.0	1245.0	102.0	0.0011	GF_000502	0.0	0.0	7.0	0.001	1005.0	Diplazium_esculentum_scaffold4601.p1	Diplazium_esculentum_scaffold4602.p1	1.0	0.0
Diplazium_esculentum_scaffold13720.p2__Diplazium_esculentum_scaffold8447.p1	0.36145	0.50667	1245.0	102.0	1.15731	GF_000502	0.5539	2.9577	8.0	0.1873	450.0	Diplazium_esculentum_scaffold8447.p1	Diplazium_esculentum_scaffold13720.p2	1.0	1.0
Diplazium_esculentum_scaffold4601.p1__Diplazium_esculentum_scaffold8447.p1	0.35904	0.566	1245.0	102.0	0.94968	GF_000502	0.2294	4.4715	9.0	0.0513	447.0	Diplazium_esculentum_scaffold4601.p1	Diplazium_esculentum_scaffold8447.p1	0.25	0.5
Diplazium_esculentum_scaffold13720.p2__Diplazium_esculentum_scaffold4601.p1	0.79277	0.5461	1245.0	102.0	1.04911	GF_000502	0.4316	61.3351	9.0	0.007	987.0	Diplazium_esculentum_scaffold4601.p1	Diplazium_esculentum_scaffold13720.p2	0.25	0.0
Diplazium_esculentum_scaffold4602.p1__Diplazium_esculentum_scaffold8447.p1	0.35904	0.566	1245.0	102.0	0.94968	GF_000502	0.2294	4.4715	9.0	0.0513	447.0	Diplazium_esculentum_scaffold4602.p1	Diplazium_esculentum_scaffold8447.p1	0.25	0.5
Diplazium_esculentum_scaffold13720.p2__Diplazium_esculentum_scaffold4602.p1	0.79277	0.5461	1245.0	102.0	1.04911	GF_000502	0.4316	61.3351	9.0	0.007	987.0	Diplazium_esculentum_scaffold4602.p1	Diplazium_esculentum_scaffold13720.p2	0.25	0.0
Diplazium_esculentum_scaffold4601.p1__Diplazium_esculentum_scaffold7752.p1	0.17349	0.58333	1245.0	102.0	1.05116	GF_000502	0.537	60.9726	10.0	0.0088	216.0	Diplazium_esculentum_scaffold7752.p1	Diplazium_esculentum_scaffold4601.p1	0.125	0.0
Diplazium_esculentum_scaffold4602.p1__Diplazium_esculentum_scaffold7752.p1	0.17349	0.58333	1245.0	102.0	1.05116	GF_000502	0.537	60.9726	10.0	0.0088	216.0	Diplazium_esculentum_scaffold7752.p1	Diplazium_esculentum_scaffold4602.p1	0.125	0.0
Diplazium_esculentum_scaffold7752.p1__Diplazium_esculentum_scaffold8447.p1	0.08193	0.53922	1245.0	102.0	1.43316	GF_000502	0.6101	5.3976	10.0	0.113	102.0	Diplazium_esculentum_scaffold7752.p1	Diplazium_esculentum_scaffold8447.p1	0.125	0.0
Diplazium_esculentum_scaffold13720.p2__Diplazium_esculentum_scaffold7752.p1	0.17349	0.46759	1245.0	102.0	1.53259	GF_000502	0.5077	70.9492	10.0	0.0072	216.0	Diplazium_esculentum_scaffold7752.p1	Diplazium_esculentum_scaffold13720.p2	0.125	0.0
Diplazium_esculentum_C287861.p1__Diplazium_esculentum_scaffold4601.p1	0.44578	0.55495	1245.0	102.0	0.81611	GF_000502	0.288	7.7722	10.0	0.0371	555.0	Diplazium_esculentum_C287861.p1	Diplazium_esculentum_scaffold4601.p1	0.125	0.0
Diplazium_esculentum_C287861.p1__Diplazium_esculentum_scaffold4602.p1	0.44578	0.55495	1245.0	102.0	0.81611	GF_000502	0.288	7.7721	10.0	0.0371	555.0	Diplazium_esculentum_C287861.p1	Diplazium_esculentum_scaffold4602.p1	0.125	0.0
Diplazium_esculentum_C287861.p1__Diplazium_esculentum_scaffold8447.p1	0.35904	0.51678	1245.0	102.0	1.19811	GF_000502	0.2809	5.683	10.0	0.0494	447.0	Diplazium_esculentum_C287861.p1	Diplazium_esculentum_scaffold8447.p1	0.125	0.0
Diplazium_esculentum_C287861.p1__Diplazium_esculentum_scaffold13720.p2	0.50843	0.50079	1245.0	102.0	1.29754	GF_000502	0.543	1.7904	10.0	0.3033	633.0	Diplazium_esculentum_C287861.p1	Diplazium_esculentum_scaffold13720.p2	0.125	1.0
Diplazium_esculentum_C299170.p1__Diplazium_esculentum_scaffold12899.p2	0.07036	0.39108	5415.0	3.0	3.45607	GF_000011	0.0	0.0	41.0		381.0	Diplazium_esculentum_scaffold12899.p2	Diplazium_esculentum_C299170.p1	1.0	0.0
Diplazium_esculentum_scaffold8369.p3__Diplazium_esculentum_scaffold9449.p1	0.05152	0.66667	5415.0	3.0	0.51073	GF_000011	0.0	0.0	42.0		279.0	Diplazium_esculentum_scaffold9449.p1	Diplazium_esculentum_scaffold8369.p3	1.0	0.0
Diplazium_esculentum_scaffold1156.p1__Diplazium_esculentum_scaffold9449.p1	0.24155	0.54434	5415.0	3.0	0.76292	GF_000011	0.0	0.0	43.0		1308.0	Diplazium_esculentum_scaffold1156.p1	Diplazium_esculentum_scaffold9449.p1	0.5	0.0
Diplazium_esculentum_scaffold1156.p1__Diplazium_esculentum_scaffold8369.p3	0.04986	0.69259	5415.0	3.0	0.46837	GF_000011	0.0	0.0	43.0		270.0	Diplazium_esculentum_scaffold1156.p1	Diplazium_esculentum_scaffold8369.p3	0.5	0.0
Diplazium_esculentum_scaffold1156.p1__Diplazium_esculentum_scaffold8369.p1	0.10859	0.46939	5415.0	3.0	1.37804	GF_000011	0.0	0.0	44.0		588.0	Diplazium_esculentum_scaffold8369.p1	Diplazium_esculentum_scaffold1156.p1	0.33333	0.0
Diplazium_esculentum_scaffold8369.p1__Diplazium_esculentum_scaffold9449.p1	0.11801	0.4507	5415.0	3.0	1.6689	GF_000011	0.0	0.0	44.0		639.0	Diplazium_esculentum_scaffold8369.p1	Diplazium_esculentum_scaffold9449.p1	0.33333	0.0
Diplazium_esculentum_scaffold8369.p1__Diplazium_esculentum_scaffold8369.p3	0.02659	0.51389	5415.0	3.0	1.37435	GF_000011	0.0	0.0	44.0		144.0	Diplazium_esculentum_scaffold8369.p1	Diplazium_esculentum_scaffold8369.p3	0.33333	0.0
Diplazium_esculentum_scaffold12311.p1__Diplazium_esculentum_scaffold12312.p1	0.25429	1.0	5415.0	3.0	0.0	GF_000011	0.0	0.0	45.0		1377.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_scaffold12311.p1	1.0	0.0
Diplazium_esculentum_C312712.p1__Diplazium_esculentum_scaffold11131.p1	0.24654	0.66592	5415.0	3.0	0.511	GF_000011	0.0	0.0	46.0		1335.0	Diplazium_esculentum_C312712.p1	Diplazium_esculentum_scaffold11131.p1	1.0	0.0
Diplazium_esculentum_C312712.p1__Diplazium_esculentum_scaffold12312.p1	0.23989	0.60354	5415.0	3.0	0.65438	GF_000011	0.0	0.0	47.0		1299.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_C312712.p1	0.25	0.0
Diplazium_esculentum_scaffold11131.p1__Diplazium_esculentum_scaffold12312.p1	0.24598	0.61862	5415.0	3.0	0.5638	GF_000011	0.0	0.0	47.0		1332.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_scaffold11131.p1	0.25	0.0
Diplazium_esculentum_C312712.p1__Diplazium_esculentum_scaffold12311.p1	0.23989	0.60354	5415.0	3.0	0.65438	GF_000011	0.0	0.0	47.0		1299.0	Diplazium_esculentum_scaffold12311.p1	Diplazium_esculentum_C312712.p1	0.25	0.0
Diplazium_esculentum_scaffold11131.p1__Diplazium_esculentum_scaffold12311.p1	0.24598	0.61862	5415.0	3.0	0.5638	GF_000011	0.0	0.0	47.0		1332.0	Diplazium_esculentum_scaffold12311.p1	Diplazium_esculentum_scaffold11131.p1	0.25	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_scaffold11888.p1	0.16787	0.63586	5415.0	3.0	0.51569	GF_000011	0.0	0.0	48.0		909.0	Diplazium_esculentum_scaffold11888.p1	Diplazium_esculentum_C311602.p1	1.0	0.0
Diplazium_esculentum_scaffold13629.p1__Diplazium_esculentum_scaffold6991.p1	0.23878	0.57927	5415.0	3.0	0.80337	GF_000011	0.0	0.0	49.0		1293.0	Diplazium_esculentum_scaffold13629.p1	Diplazium_esculentum_scaffold6991.p1	1.0	0.0
Diplazium_esculentum_scaffold11888.p1__Diplazium_esculentum_scaffold13629.p1	0.14958	0.58765	5415.0	3.0	0.91605	GF_000011	0.0	0.0	50.0		810.0	Diplazium_esculentum_scaffold11888.p1	Diplazium_esculentum_scaffold13629.p1	0.25	0.0
Diplazium_esculentum_scaffold11888.p1__Diplazium_esculentum_scaffold6991.p1	0.16953	0.60131	5415.0	3.0	0.85386	GF_000011	0.0	0.0	50.0		918.0	Diplazium_esculentum_scaffold11888.p1	Diplazium_esculentum_scaffold6991.p1	0.25	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_scaffold13629.p1	0.14404	0.59359	5415.0	3.0	0.88578	GF_000011	0.0	0.0	50.0		780.0	Diplazium_esculentum_C311602.p1	Diplazium_esculentum_scaffold13629.p1	0.25	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_scaffold6991.p1	0.16177	0.60046	5415.0	3.0	0.82359	GF_000011	0.0	0.0	50.0		876.0	Diplazium_esculentum_C311602.p1	Diplazium_esculentum_scaffold6991.p1	0.25	0.0
Diplazium_esculentum_scaffold11888.p1__Diplazium_esculentum_scaffold12312.p1	0.17341	0.52503	5415.0	3.0	1.13387	GF_000011	0.0	0.0	51.0		939.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_scaffold11888.p1	0.0625	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_scaffold12312.p1	0.17175	0.52366	5415.0	3.0	1.1036	GF_000011	0.0	0.0	51.0		930.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_C311602.p1	0.0625	0.0
Diplazium_esculentum_scaffold12312.p1__Diplazium_esculentum_scaffold13629.p1	0.14349	0.52252	5415.0	3.0	1.30138	GF_000011	0.0	0.0	51.0		777.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_scaffold13629.p1	0.0625	0.0
Diplazium_esculentum_scaffold12312.p1__Diplazium_esculentum_scaffold6991.p1	0.15956	0.55787	5415.0	3.0	1.23919	GF_000011	0.0	0.0	51.0		864.0	Diplazium_esculentum_scaffold12312.p1	Diplazium_esculentum_scaffold6991.p1	0.0625	0.0
Diplazium_esculentum_scaffold11888.p1__Diplazium_esculentum_scaffold12311.p1	0.17341	0.52503	5415.0	3.0	1.13387	GF_000011	0.0	0.0	51.0		939.0	Diplazium_esculentum_scaffold12311.p1	Diplazium_esculentum_scaffold11888.p1	0.0625	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_scaffold12311.p1	0.17175	0.52366	5415.0	3.0	1.1036	GF_000011	0.0	0.0	51.0		930.0	Diplazium_esculentum_scaffold12311.p1	Diplazium_esculentum_C311602.p1	0.0625	0.0
Diplazium_esculentum_scaffold12311.p1__Diplazium_esculentum_scaffold13629.p1	0.14349	0.52252	5415.0	3.0	1.30138	GF_000011	0.0	0.0	51.0		777.0	Diplazium_esculentum_scaffold12311.p1	Diplazium_esculentum_scaffold13629.p1	0.0625	0.0
Diplazium_esculentum_scaffold12311.p1__Diplazium_esculentum_scaffold6991.p1	0.15956	0.55787	5415.0	3.0	1.23919	GF_000011	0.0	0.0	51.0		864.0	Diplazium_esculentum_scaffold12311.p1	Diplazium_esculentum_scaffold6991.p1	0.0625	0.0
Diplazium_esculentum_C312712.p1__Diplazium_esculentum_scaffold11888.p1	0.16787	0.52695	5415.0	3.0	1.29695	GF_000011	0.0	0.0	51.0		909.0	Diplazium_esculentum_C312712.p1	Diplazium_esculentum_scaffold11888.p1	0.0625	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_C312712.p1	0.16343	0.51073	5415.0	3.0	1.26668	GF_000011	0.0	0.0	51.0		885.0	Diplazium_esculentum_C312712.p1	Diplazium_esculentum_C311602.p1	0.0625	0.0
Diplazium_esculentum_C312712.p1__Diplazium_esculentum_scaffold13629.p1	0.13906	0.50863	5415.0	3.0	1.46446	GF_000011	0.0	0.0	51.0		753.0	Diplazium_esculentum_C312712.p1	Diplazium_esculentum_scaffold13629.p1	0.0625	0.0
Diplazium_esculentum_C312712.p1__Diplazium_esculentum_scaffold6991.p1	0.15402	0.53357	5415.0	3.0	1.40227	GF_000011	0.0	0.0	51.0		834.0	Diplazium_esculentum_C312712.p1	Diplazium_esculentum_scaffold6991.p1	0.0625	0.0
Diplazium_esculentum_scaffold11131.p1__Diplazium_esculentum_scaffold11888.p1	0.17119	0.53074	5415.0	3.0	1.20637	GF_000011	0.0	0.0	51.0		927.0	Diplazium_esculentum_scaffold11131.p1	Diplazium_esculentum_scaffold11888.p1	0.0625	0.0
Diplazium_esculentum_C311602.p1__Diplazium_esculentum_scaffold11131.p1	0.16787	0.49615	5415.0	3.0	1.1761	GF_000011	0.0	0.0	51.0		909.0	Diplazium_esculentum_scaffold11131.p1	Diplazium_esculentum_C311602.p1	0.0625	0.0
Diplazium_esculentum_scaffold11131.p1__Diplazium_esculentum_scaffold13629.p1	0.14349	0.5251	5415.0	3.0	1.37388	GF_000011	0.0	0.0	51.0		777.0	Diplazium_esculentum_scaffold11131.p1	Diplazium_esculentum_scaffold13629.p1	0.0625	0.0
Diplazium_esculentum_scaffold11131.p1__Diplazium_esculentum_scaffold6991.p1	0.15845	0.52331	5415.0	3.0	1.31169	GF_000011	0.0	0.0	51.0		858.0	Diplazium_esculentum_scaffold11131.p1	Diplazium_esculentum_scaffold6991.p1	0.0625	0.0
Diplazium_esculentum_scaffold12312.p1__Diplazium_esculentum_scaffold8369.p1	0.11524	0.44872	5415.0	3.0	1.55072	GF_000011	0.0	0.0	52.0		624.0	Diplazium_esculentum_scaffold8369.p1	Diplazium_esculentum_scaffold12312.p1	0.03125	0.0
