	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Dicranopteris_pedata_scaffold11700.p1__Dicranopteris_pedata_scaffold12834.p1	0.60991	0.7225	1938.0	1053.0	0.49582	GF_001925	0.2335	0.9455	3.0	0.247	1182.0	Dicranopteris_pedata_scaffold11700.p1	Dicranopteris_pedata_scaffold12834.p1	1.0	1.0
Dicranopteris_pedata_scaffold11072.p1__Dicranopteris_pedata_scaffold11700.p1	0.85449	0.71075	1938.0	1053.0	0.53339	GF_001925	0.2444	0.8798	4.0	0.2778	1656.0	Dicranopteris_pedata_scaffold11072.p1	Dicranopteris_pedata_scaffold11700.p1	0.5	0.5
Dicranopteris_pedata_scaffold11072.p1__Dicranopteris_pedata_scaffold12834.p1	0.54489	0.70928	1938.0	1053.0	0.60155	GF_001925	0.2803	0.8057	4.0	0.3479	1056.0	Dicranopteris_pedata_scaffold11072.p1	Dicranopteris_pedata_scaffold12834.p1	0.5	0.5
Dicranopteris_pedata_scaffold3335.p1__Dicranopteris_pedata_scaffold3423.p1	0.90286	0.53165	525.0	474.0	0.99364	GF_003247	0.4988	4.0535	2.0	0.123	474.0	Dicranopteris_pedata_scaffold3335.p1	Dicranopteris_pedata_scaffold3423.p1	1.0	1.0
Dicranopteris_pedata_scaffold11717.p1__Dicranopteris_pedata_scaffold12286.p1	0.71618	0.7	1131.0	810.0	0.33784	GF_003125	0.1846	3.1341	2.0	0.0589	810.0	Dicranopteris_pedata_scaffold11717.p1	Dicranopteris_pedata_scaffold12286.p1	1.0	1.0
Dicranopteris_pedata_C444382.p1__Dicranopteris_pedata_C478600.p1	0.21439	0.48098	2085.0	447.0	1.22964	GF_002318	0.6683	4.8657	2.0	0.1373	447.0	Dicranopteris_pedata_C444382.p1	Dicranopteris_pedata_C478600.p1	1.0	1.0
Dicranopteris_pedata_C452408.p2__Dicranopteris_pedata_scaffold7881.p1	0.68421	0.62821	456.0	312.0	0.81218	GF_002403	0.4056	6.601	2.0	0.0614	312.0	Dicranopteris_pedata_C452408.p2	Dicranopteris_pedata_scaffold7881.p1	1.0	0.0
Dicranopteris_pedata_scaffold10290.p1__Dicranopteris_pedata_scaffold10291.p1	1.0	1.0	1182.0	1182.0	0.0	GF_003057	0.0	0.0	2.0	0.4738	1182.0	Dicranopteris_pedata_scaffold10290.p1	Dicranopteris_pedata_scaffold10291.p1	1.0	0.0
Dicranopteris_pedata_C472498.p1__Dicranopteris_pedata_scaffold12033.p1	0.93333	0.60406	1215.0	1134.0	0.58842	GF_002556	0.3217	4.641	2.0	0.0693	1134.0	Dicranopteris_pedata_C472498.p1	Dicranopteris_pedata_scaffold12033.p1	1.0	1.0
Dicranopteris_pedata_scaffold7666.p1__Dicranopteris_pedata_scaffold789.p2	0.63099	0.625	1065.0	672.0	1.1797	GF_003393	0.7817	0.3748	2.0	2.0853	672.0	Dicranopteris_pedata_scaffold7666.p1	Dicranopteris_pedata_scaffold789.p2	1.0	1.0
