	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Marsilea_quadrifolia_scaffold158.p1__Marsilea_quadrifolia_scaffold20405.p1	0.76173	0.73302	831.0	174.0	0.31652	GF_001925	0.3279	1.8731	3.0	0.1751	633.0	Marsilea_quadrifolia_scaffold158.p1	Marsilea_quadrifolia_scaffold20405.p1	1.0	1.0
Marsilea_quadrifolia_scaffold158.p1__Marsilea_quadrifolia_scaffold5740.p1	0.29603	0.56098	831.0	174.0	0.66137	GF_001925	0.4121	62.2715	4.0	0.0066	246.0	Marsilea_quadrifolia_scaffold5740.p1	Marsilea_quadrifolia_scaffold158.p1	0.5	0.0
Marsilea_quadrifolia_scaffold20405.p1__Marsilea_quadrifolia_scaffold5740.p1	0.20939	0.66092	831.0	174.0	0.42049	GF_001925	0.1679	10.889	4.0	0.0154	174.0	Marsilea_quadrifolia_scaffold5740.p1	Marsilea_quadrifolia_scaffold20405.p1	0.5	0.0
Marsilea_quadrifolia_scaffold20570.p1__Marsilea_quadrifolia_scaffold20571.p1	1.0	1.0	1593.0	1593.0	0.0	GF_003247	0.0	0.0	2.0	0.001	1593.0	Marsilea_quadrifolia_scaffold20570.p1	Marsilea_quadrifolia_scaffold20571.p1	1.0	0.0
Marsilea_quadrifolia_scaffold17484.p1__Marsilea_quadrifolia_scaffold17485.p1	0.45146	1.0	1236.0	558.0	0.00054	GF_003125	0.0	0.0	2.0	0.001	558.0	Marsilea_quadrifolia_scaffold17484.p1	Marsilea_quadrifolia_scaffold17485.p1	1.0	0.0
Marsilea_quadrifolia_scaffold8438.p1__Marsilea_quadrifolia_scaffold8439.p1	1.0	1.0	1587.0	1587.0	0.0	GF_002318	0.0	0.0	2.0	0.4164	1587.0	Marsilea_quadrifolia_scaffold8439.p1	Marsilea_quadrifolia_scaffold8438.p1	1.0	0.0
Marsilea_quadrifolia_C497210.p1__Marsilea_quadrifolia_scaffold5738.p1	0.80159	0.63696	378.0	303.0	0.58156	GF_002403	0.3096	2.664	2.0	0.1162	303.0	Marsilea_quadrifolia_C497210.p1	Marsilea_quadrifolia_scaffold5738.p1	1.0	1.0
Marsilea_quadrifolia_scaffold16194.p2__Marsilea_quadrifolia_scaffold22794.p1	0.72816	0.68444	309.0	225.0	0.43024	GF_003057	0.2065	2.6402	2.0	0.0782	225.0	Marsilea_quadrifolia_scaffold16194.p2	Marsilea_quadrifolia_scaffold22794.p1	1.0	1.0
Marsilea_quadrifolia_C511304.p1__Marsilea_quadrifolia_scaffold4154.p1	0.97842	0.80025	834.0	816.0	0.2402	GF_002556	0.1199	0.7484	2.0	0.1602	816.0	Marsilea_quadrifolia_C511304.p1	Marsilea_quadrifolia_scaffold4154.p1	1.0	1.0
Marsilea_quadrifolia_C454401.p1__Marsilea_quadrifolia_scaffold4847.p1	0.07295	0.87805	1686.0	63.0	0.12939	GF_000549	0.207	0.5859	6.0	0.3533	123.0	Marsilea_quadrifolia_C454401.p1	Marsilea_quadrifolia_scaffold4847.p1	1.0	1.0
