	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Arthropteris_palisotii_C637246.p1__Arthropteris_palisotii_scaffold3281.p2	0.8	0.6859	390.0	312.0	0.50982	GF_001925	0.3289	0.984	2.0	0.3343	312.0	Arthropteris_palisotii_C637246.p1	Arthropteris_palisotii_scaffold3281.p2	1.0	1.0
Arthropteris_palisotii_C712522.p1__Arthropteris_palisotii_scaffold15001.p1	0.4661	0.56162	1062.0	339.0	0.98703	GF_000502	0.3801	13.3883	6.0	0.0284	495.0	Arthropteris_palisotii_scaffold15001.p1	Arthropteris_palisotii_C712522.p1	1.0	0.0
Arthropteris_palisotii_C671635.p1__Arthropteris_palisotii_scaffold17432.p1	0.37288	0.65152	1062.0	339.0	0.46907	GF_000502	0.1973	3.2505	7.0	0.0607	396.0	Arthropteris_palisotii_C671635.p1	Arthropteris_palisotii_scaffold17432.p1	1.0	1.0
Arthropteris_palisotii_scaffold25173.p1__Arthropteris_palisotii_scaffold7054.p1	0.45763	0.61934	1062.0	339.0	0.61201	GF_000502	0.2512	17.6139	8.0	0.0143	486.0	Arthropteris_palisotii_scaffold7054.p1	Arthropteris_palisotii_scaffold25173.p1	1.0	0.0
Arthropteris_palisotii_C671635.p1__Arthropteris_palisotii_scaffold7054.p1	0.35876	0.56955	1062.0	339.0	0.78678	GF_000502	0.3368	59.4826	9.0	0.0057	381.0	Arthropteris_palisotii_C671635.p1	Arthropteris_palisotii_scaffold7054.p1	0.25	0.0
Arthropteris_palisotii_C671635.p1__Arthropteris_palisotii_scaffold25173.p1	0.35876	0.55643	1062.0	339.0	0.98589	GF_000502	0.398	28.9019	9.0	0.0138	381.0	Arthropteris_palisotii_C671635.p1	Arthropteris_palisotii_scaffold25173.p1	0.25	0.0
Arthropteris_palisotii_scaffold17432.p1__Arthropteris_palisotii_scaffold7054.p1	0.58757	0.56731	1062.0	339.0	0.89891	GF_000502	0.3405	58.5616	9.0	0.0058	624.0	Arthropteris_palisotii_scaffold17432.p1	Arthropteris_palisotii_scaffold7054.p1	0.25	0.0
Arthropteris_palisotii_scaffold17432.p1__Arthropteris_palisotii_scaffold25173.p1	0.38983	0.54831	1062.0	339.0	1.09802	GF_000502	0.3954	10.433	9.0	0.0379	414.0	Arthropteris_palisotii_scaffold17432.p1	Arthropteris_palisotii_scaffold25173.p1	0.25	0.0
Arthropteris_palisotii_C671635.p1__Arthropteris_palisotii_scaffold15001.p1	0.34181	0.53719	1062.0	339.0	1.02062	GF_000502	0.4178	65.1569	10.0	0.0064	363.0	Arthropteris_palisotii_scaffold15001.p1	Arthropteris_palisotii_C671635.p1	0.125	0.0
Arthropteris_palisotii_scaffold15001.p1__Arthropteris_palisotii_scaffold17432.p1	0.4435	0.54565	1062.0	339.0	1.13275	GF_000502	0.4181	62.8405	10.0	0.0067	471.0	Arthropteris_palisotii_scaffold15001.p1	Arthropteris_palisotii_scaffold17432.p1	0.125	0.0
