	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-ALVQ-2013765-Tmesipteris_parva.p1__scaffold-ALVQ-2013766-Tmesipteris_parva.p1	0.87006	0.96104	531.0	321.0	0.06066	GF_001925	0.0542	0.0729	3.0	0.7441	462.0	scaffold-ALVQ-2013765-Tmesipteris_parva.p1	scaffold-ALVQ-2013766-Tmesipteris_parva.p1	1.0	1.0
scaffold-ALVQ-2013765-Tmesipteris_parva.p1__scaffold-ALVQ-2013767-Tmesipteris_parva.p1	0.60452	0.90654	531.0	321.0	0.12297	GF_001925	0.099	0.1142	4.0	0.8673	321.0	scaffold-ALVQ-2013767-Tmesipteris_parva.p1	scaffold-ALVQ-2013765-Tmesipteris_parva.p1	0.5	0.5
scaffold-ALVQ-2013766-Tmesipteris_parva.p1__scaffold-ALVQ-2013767-Tmesipteris_parva.p1	0.73446	0.96923	531.0	321.0	0.06341	GF_001925	0.0405	0.0364	4.0	1.1142	390.0	scaffold-ALVQ-2013767-Tmesipteris_parva.p1	scaffold-ALVQ-2013766-Tmesipteris_parva.p1	0.5	0.5
scaffold-ALVQ-2016441-Tmesipteris_parva.p1__scaffold-ALVQ-2016540-Tmesipteris_parva.p1	0.24324	0.88148	1110.0	264.0	0.06931	GF_000502	0.0347	0.4611	6.0	0.0753	270.0	scaffold-ALVQ-2016441-Tmesipteris_parva.p1	scaffold-ALVQ-2016540-Tmesipteris_parva.p1	1.0	1.0
scaffold-ALVQ-2016441-Tmesipteris_parva.p1__scaffold-ALVQ-2098054-Tmesipteris_parva.p1	0.42162	0.71154	1110.0	264.0	0.33816	GF_000502	0.1135	3.165	7.0	0.0359	468.0	scaffold-ALVQ-2098054-Tmesipteris_parva.p1	scaffold-ALVQ-2016441-Tmesipteris_parva.p1	0.5	0.5
scaffold-ALVQ-2016540-Tmesipteris_parva.p1__scaffold-ALVQ-2098054-Tmesipteris_parva.p1	0.24054	0.73783	1110.0	264.0	0.36553	GF_000502	0.1428	2.7629	7.0	0.0517	267.0	scaffold-ALVQ-2098054-Tmesipteris_parva.p1	scaffold-ALVQ-2016540-Tmesipteris_parva.p1	0.5	0.5
scaffold-ALVQ-2098054-Tmesipteris_parva.p1__scaffold-ALVQ-2102853-Tmesipteris_parva.p1	0.41081	0.54605	1110.0	264.0	0.95099	GF_000502	0.4872	9.8105	8.0	0.0497	456.0	scaffold-ALVQ-2102853-Tmesipteris_parva.p1	scaffold-ALVQ-2098054-Tmesipteris_parva.p1	0.33333	0.0
scaffold-ALVQ-2016441-Tmesipteris_parva.p1__scaffold-ALVQ-2102853-Tmesipteris_parva.p1	0.76216	0.54019	1110.0	264.0	0.98039	GF_000502	0.4671	3.0807	8.0	0.1516	846.0	scaffold-ALVQ-2102853-Tmesipteris_parva.p1	scaffold-ALVQ-2016441-Tmesipteris_parva.p1	0.33333	0.5
scaffold-ALVQ-2016540-Tmesipteris_parva.p1__scaffold-ALVQ-2102853-Tmesipteris_parva.p1	0.24324	0.56667	1110.0	264.0	1.00776	GF_000502	0.4466	3.1993	8.0	0.1396	270.0	scaffold-ALVQ-2102853-Tmesipteris_parva.p1	scaffold-ALVQ-2016540-Tmesipteris_parva.p1	0.33333	0.5
scaffold-ALVQ-2102710-Tmesipteris_parva.p1__scaffold-ALVQ-2102853-Tmesipteris_parva.p1	0.7973	0.48023	1110.0	264.0	1.248	GF_000502	0.5101	4.1746	9.0	0.1222	885.0	scaffold-ALVQ-2102710-Tmesipteris_parva.p1	scaffold-ALVQ-2102853-Tmesipteris_parva.p1	0.25	1.0
scaffold-ALVQ-2098054-Tmesipteris_parva.p1__scaffold-ALVQ-2102710-Tmesipteris_parva.p1	0.41351	0.54902	1110.0	264.0	0.84127	GF_000502	0.4452	20.9937	9.0	0.0212	459.0	scaffold-ALVQ-2102710-Tmesipteris_parva.p1	scaffold-ALVQ-2098054-Tmesipteris_parva.p1	0.25	0.0
