	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Haplopteris_amboinensis_scaffold156.p1__Haplopteris_amboinensis_scaffold157.p1	0.58917	1.0	942.0	555.0	0.00109	GF_001925	0.0	0.0	3.0	0.001	555.0	Haplopteris_amboinensis_scaffold156.p1	Haplopteris_amboinensis_scaffold157.p1	1.0	0.0
Haplopteris_amboinensis_scaffold156.p1__Haplopteris_amboinensis_scaffold158.p1	0.81529	0.88542	942.0	555.0	0.12711	GF_001925	0.0359	0.3598	4.0	0.0998	768.0	Haplopteris_amboinensis_scaffold158.p1	Haplopteris_amboinensis_scaffold156.p1	0.5	0.5
Haplopteris_amboinensis_scaffold157.p1__Haplopteris_amboinensis_scaffold158.p1	0.58917	0.90811	942.0	555.0	0.12712	GF_001925	0.0359	0.3598	4.0	0.0998	555.0	Haplopteris_amboinensis_scaffold158.p1	Haplopteris_amboinensis_scaffold157.p1	0.5	0.5
Haplopteris_amboinensis_scaffold247.p1__Haplopteris_amboinensis_scaffold248.p1	0.51887	0.85758	636.0	330.0	0.0472	GF_003247	0.0367	0.8925	2.0	0.0411	330.0	Haplopteris_amboinensis_scaffold247.p1	Haplopteris_amboinensis_scaffold248.p1	1.0	1.0
Haplopteris_amboinensis_scaffold15856.p1__Haplopteris_amboinensis_scaffold5267.p1	0.99373	0.8654	957.0	951.0	0.17546	GF_003125	0.0914	0.3637	2.0	0.2513	951.0	Haplopteris_amboinensis_scaffold15856.p1	Haplopteris_amboinensis_scaffold5267.p1	1.0	1.0
Haplopteris_amboinensis_C308555.p1__Haplopteris_amboinensis_scaffold8139.p1	0.54312	0.51502	1287.0	699.0	1.25852	GF_002318	0.6315	3.7472	2.0	0.1685	699.0	Haplopteris_amboinensis_C308555.p1	Haplopteris_amboinensis_scaffold8139.p1	1.0	1.0
Haplopteris_amboinensis_C313331.p1__Haplopteris_amboinensis_scaffold5253.p1	0.48895	0.48394	2037.0	996.0	1.30046	GF_002403	0.6704	5.0489	2.0	0.1328	996.0	Haplopteris_amboinensis_C313331.p1	Haplopteris_amboinensis_scaffold5253.p1	1.0	0.0
Haplopteris_amboinensis_scaffold15308.p1__Haplopteris_amboinensis_scaffold4883.p1	0.9913	0.85526	690.0	684.0	0.13374	GF_003057	0.0653	0.547	2.0	0.1193	684.0	Haplopteris_amboinensis_scaffold4883.p1	Haplopteris_amboinensis_scaffold15308.p1	1.0	1.0
Haplopteris_amboinensis_scaffold21.p1__Haplopteris_amboinensis_scaffold22.p1	0.71111	0.89468	1215.0	864.0	0.19826	GF_002556	0.1013	0.1672	2.0	0.606	864.0	Haplopteris_amboinensis_scaffold21.p1	Haplopteris_amboinensis_scaffold22.p1	1.0	1.0
Haplopteris_amboinensis_C311617.p1__Haplopteris_amboinensis_C314749.p1	0.30032	0.46667	1848.0	228.0	1.37409	GF_000549	0.2773	3.5947	6.0	0.0771	555.0	Haplopteris_amboinensis_C314749.p1	Haplopteris_amboinensis_C311617.p1	1.0	1.0
Haplopteris_amboinensis_C309835.p1__Haplopteris_amboinensis_scaffold7033.p2	0.12338	0.57456	1848.0	228.0	0.95211	GF_000549	0.2603	62.0742	7.0	0.0042	228.0	Haplopteris_amboinensis_C309835.p1	Haplopteris_amboinensis_scaffold7033.p2	1.0	0.0
Haplopteris_amboinensis_scaffold12283.p1__Haplopteris_amboinensis_scaffold14235.p1	0.65584	0.78383	1848.0	228.0	0.33851	GF_000549	0.0501	0.6317	8.0	0.0793	1212.0	Haplopteris_amboinensis_scaffold14235.p1	Haplopteris_amboinensis_scaffold12283.p1	1.0	1.0
Haplopteris_amboinensis_C309835.p1__Haplopteris_amboinensis_scaffold14235.p1	0.3263	0.4461	1848.0	228.0	1.54774	GF_000549	0.2885	8.3718	9.0	0.0345	603.0	Haplopteris_amboinensis_C309835.p1	Haplopteris_amboinensis_scaffold14235.p1	0.25	0.0
Haplopteris_amboinensis_C309835.p1__Haplopteris_amboinensis_scaffold12283.p1	0.33929	0.44657	1848.0	228.0	1.69407	GF_000549	0.2865	5.7729	9.0	0.0496	627.0	Haplopteris_amboinensis_C309835.p1	Haplopteris_amboinensis_scaffold12283.p1	0.25	0.0
Haplopteris_amboinensis_scaffold14235.p1__Haplopteris_amboinensis_scaffold7033.p2	0.29221	0.4963	1848.0	228.0	1.47043	GF_000549	0.1931	4.9322	9.0	0.0392	540.0	Haplopteris_amboinensis_scaffold7033.p2	Haplopteris_amboinensis_scaffold14235.p1	0.25	1.0
Haplopteris_amboinensis_scaffold12283.p1__Haplopteris_amboinensis_scaffold7033.p2	0.30357	0.46702	1848.0	228.0	1.61676	GF_000549	0.2124	56.0578	9.0	0.0038	561.0	Haplopteris_amboinensis_scaffold7033.p2	Haplopteris_amboinensis_scaffold12283.p1	0.25	0.0
Haplopteris_amboinensis_C309835.p1__Haplopteris_amboinensis_C314749.p1	0.32792	0.42739	1848.0	228.0	1.93199	GF_000549	0.3653	67.8053	10.0	0.0054	606.0	Haplopteris_amboinensis_C314749.p1	Haplopteris_amboinensis_C309835.p1	0.125	0.0
Haplopteris_amboinensis_C314749.p1__Haplopteris_amboinensis_scaffold7033.p2	0.21266	0.50127	1848.0	228.0	1.85468	GF_000549	0.3398	63.0793	10.0	0.0054	393.0	Haplopteris_amboinensis_C314749.p1	Haplopteris_amboinensis_scaffold7033.p2	0.125	0.0
Haplopteris_amboinensis_C314749.p1__Haplopteris_amboinensis_scaffold14235.p1	0.41558	0.43099	1848.0	228.0	1.76541	GF_000549	0.2604	2.2026	10.0	0.1182	768.0	Haplopteris_amboinensis_C314749.p1	Haplopteris_amboinensis_scaffold14235.p1	0.125	0.33333
Haplopteris_amboinensis_C314749.p1__Haplopteris_amboinensis_scaffold12283.p1	0.42695	0.44233	1848.0	228.0	1.91174	GF_000549	0.2849	4.3883	10.0	0.0649	789.0	Haplopteris_amboinensis_C314749.p1	Haplopteris_amboinensis_scaffold12283.p1	0.125	0.33333
Haplopteris_amboinensis_C309835.p1__Haplopteris_amboinensis_C311617.p1	0.20292	0.44	1848.0	228.0	1.73666	GF_000549	0.3438	61.3304	10.0	0.0056	375.0	Haplopteris_amboinensis_C311617.p1	Haplopteris_amboinensis_C309835.p1	0.125	0.0
Haplopteris_amboinensis_C311617.p1__Haplopteris_amboinensis_scaffold7033.p2	0.33766	0.44231	1848.0	228.0	1.65935	GF_000549	0.2576	55.9737	10.0	0.0046	624.0	Haplopteris_amboinensis_C311617.p1	Haplopteris_amboinensis_scaffold7033.p2	0.125	0.0
Haplopteris_amboinensis_C311617.p1__Haplopteris_amboinensis_scaffold14235.p1	0.41234	0.46325	1848.0	228.0	1.57008	GF_000549	0.239	3.8799	10.0	0.0616	762.0	Haplopteris_amboinensis_C311617.p1	Haplopteris_amboinensis_scaffold14235.p1	0.125	0.33333
Haplopteris_amboinensis_C311617.p1__Haplopteris_amboinensis_scaffold12283.p1	0.44805	0.44565	1848.0	228.0	1.71641	GF_000549	0.2424	6.7158	10.0	0.0361	828.0	Haplopteris_amboinensis_C311617.p1	Haplopteris_amboinensis_scaffold12283.p1	0.125	0.0
Haplopteris_amboinensis_scaffold609.p1__Haplopteris_amboinensis_scaffold9484.p1	0.67791	0.89894	978.0	663.0	0.02274	GF_003393	0.0105	0.5397	2.0	0.0194	663.0	Haplopteris_amboinensis_scaffold609.p1	Haplopteris_amboinensis_scaffold9484.p1	1.0	1.0
