	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Acystopteris_japonica_C309909.p1__Acystopteris_japonica_scaffold13551.p1	0.27564	0.88372	1404.0	387.0	0.20764	GF_001925	0.1048	0.2393	2.0	0.4379	387.0	Acystopteris_japonica_C309909.p1	Acystopteris_japonica_scaffold13551.p1	1.0	1.0
Acystopteris_japonica_C317833.p1__Acystopteris_japonica_C362869.p1	0.07661	0.61438	5991.0	63.0	0.66587	GF_000502	0.0717	3.9643	6.0	0.0181	459.0	Acystopteris_japonica_C317833.p1	Acystopteris_japonica_C362869.p1	1.0	1.0
Acystopteris_japonica_C317833.p1__Acystopteris_japonica_scaffold11639.p1	0.01152	0.4058	5991.0	63.0	1.67834	GF_000502	0.6728	70.2844	7.0	0.0096	69.0	Acystopteris_japonica_scaffold11639.p1	Acystopteris_japonica_C317833.p1	0.5	0.0
Acystopteris_japonica_C362869.p1__Acystopteris_japonica_scaffold11639.p1	0.31948	0.4744	5991.0	63.0	1.29417	GF_000502	0.8365	6.3474	7.0	0.1318	1914.0	Acystopteris_japonica_scaffold11639.p1	Acystopteris_japonica_C362869.p1	0.5	0.0
Acystopteris_japonica_scaffold10555.p1__Acystopteris_japonica_scaffold10556.p1	0.42313	1.0	5991.0	63.0	0.0	GF_000502	0.0	0.0	8.0	0.105	2535.0	Acystopteris_japonica_scaffold10556.p1	Acystopteris_japonica_scaffold10555.p1	1.0	0.0
Acystopteris_japonica_scaffold10556.p1__Acystopteris_japonica_scaffold9235.p1	0.28393	0.40035	5991.0	63.0	1.82709	GF_000502	0.8198	104.5163	9.0	0.0078	1701.0	Acystopteris_japonica_scaffold10556.p1	Acystopteris_japonica_scaffold9235.p1	0.5	0.0
Acystopteris_japonica_scaffold10555.p1__Acystopteris_japonica_scaffold9235.p1	0.28393	0.40035	5991.0	63.0	1.82709	GF_000502	0.8198	104.5163	9.0	0.0078	1701.0	Acystopteris_japonica_scaffold10555.p1	Acystopteris_japonica_scaffold9235.p1	0.5	0.0
Acystopteris_japonica_scaffold10556.p1__Acystopteris_japonica_scaffold11639.p1	0.27291	0.38777	5991.0	63.0	2.06504	GF_000502	0.8285	23.9737	10.0	0.0346	1635.0	Acystopteris_japonica_scaffold11639.p1	Acystopteris_japonica_scaffold10556.p1	0.11111	0.0
Acystopteris_japonica_scaffold10555.p1__Acystopteris_japonica_scaffold11639.p1	0.27291	0.38777	5991.0	63.0	2.06504	GF_000502	0.8285	23.9707	10.0	0.0346	1635.0	Acystopteris_japonica_scaffold11639.p1	Acystopteris_japonica_scaffold10555.p1	0.11111	0.0
Acystopteris_japonica_scaffold11639.p1__Acystopteris_japonica_scaffold9235.p1	0.15874	0.33333	5991.0	63.0	2.88305	GF_000502	8.0064	47.7833	10.0	0.1676	951.0	Acystopteris_japonica_scaffold11639.p1	Acystopteris_japonica_scaffold9235.p1	0.11111	0.0
Acystopteris_japonica_C317833.p1__Acystopteris_japonica_scaffold10556.p1	0.07511	0.50222	5991.0	63.0	1.5008	GF_000502	0.1399	8.3288	10.0	0.0168	450.0	Acystopteris_japonica_C317833.p1	Acystopteris_japonica_scaffold10556.p1	0.11111	0.0
Acystopteris_japonica_C317833.p1__Acystopteris_japonica_scaffold10555.p1	0.07511	0.50222	5991.0	63.0	1.5008	GF_000502	0.1399	8.3285	10.0	0.0168	450.0	Acystopteris_japonica_C317833.p1	Acystopteris_japonica_scaffold10555.p1	0.11111	0.0
Acystopteris_japonica_C317833.p1__Acystopteris_japonica_scaffold9235.p1	0.07611	0.45395	5991.0	63.0	2.31881	GF_000502	0.8043	2.479	10.0	0.3244	456.0	Acystopteris_japonica_C317833.p1	Acystopteris_japonica_scaffold9235.p1	0.11111	0.33333
Acystopteris_japonica_C362869.p1__Acystopteris_japonica_scaffold10556.p1	0.38908	0.48649	5991.0	63.0	1.11663	GF_000502	0.1499	4.1761	10.0	0.0359	2331.0	Acystopteris_japonica_C362869.p1	Acystopteris_japonica_scaffold10556.p1	0.11111	0.33333
Acystopteris_japonica_C362869.p1__Acystopteris_japonica_scaffold10555.p1	0.38908	0.48649	5991.0	63.0	1.11663	GF_000502	0.1499	4.1761	10.0	0.0359	2331.0	Acystopteris_japonica_C362869.p1	Acystopteris_japonica_scaffold10555.p1	0.11111	0.33333
Acystopteris_japonica_C362869.p1__Acystopteris_japonica_scaffold9235.p1	0.29394	0.40261	5991.0	63.0	1.93464	GF_000502	0.7928	15.4587	10.0	0.0513	1761.0	Acystopteris_japonica_C362869.p1	Acystopteris_japonica_scaffold9235.p1	0.11111	0.0
Acystopteris_japonica_C350997.p1__Acystopteris_japonica_C355949.p1	0.91316	0.61383	1140.0	1041.0	0.75278	GF_002318	0.3535	2.1867	2.0	0.1617	1041.0	Acystopteris_japonica_C350997.p1	Acystopteris_japonica_C355949.p1	1.0	1.0
Acystopteris_japonica_C354949.p1__Acystopteris_japonica_scaffold9926.p1	0.94908	0.67954	1473.0	1398.0	0.29292	GF_002403	0.1489	16.7523	2.0	0.0089	1398.0	Acystopteris_japonica_C354949.p1	Acystopteris_japonica_scaffold9926.p1	1.0	0.0
Acystopteris_japonica_scaffold681.p1__Acystopteris_japonica_scaffold9776.p1	0.51075	0.52456	1116.0	570.0	1.03684	GF_003057	0.542	9.0123	2.0	0.0601	570.0	Acystopteris_japonica_scaffold681.p1	Acystopteris_japonica_scaffold9776.p1	1.0	0.0
Acystopteris_japonica_scaffold10179.p1__Acystopteris_japonica_scaffold1728.p1	0.96194	0.70144	1734.0	1668.0	0.35296	GF_002556	0.1875	2.4279	2.0	0.0772	1668.0	Acystopteris_japonica_scaffold10179.p1	Acystopteris_japonica_scaffold1728.p1	1.0	1.0
Acystopteris_japonica_scaffold5353.p1__Acystopteris_japonica_scaffold5354.p1	0.3878	1.0	1377.0	255.0	0.0	GF_000549	0.0	0.0	6.0	0.001	534.0	Acystopteris_japonica_scaffold5354.p1	Acystopteris_japonica_scaffold5353.p1	1.0	0.0
Acystopteris_japonica_scaffold12967.p1__Acystopteris_japonica_scaffold5354.p1	0.22658	0.64744	1377.0	255.0	0.70503	GF_000549	0.2382	2.9965	7.0	0.0795	312.0	Acystopteris_japonica_scaffold12967.p1	Acystopteris_japonica_scaffold5354.p1	0.5	0.5
Acystopteris_japonica_scaffold12967.p1__Acystopteris_japonica_scaffold5353.p1	0.22658	0.64744	1377.0	255.0	0.70503	GF_000549	0.2382	2.9965	7.0	0.0795	312.0	Acystopteris_japonica_scaffold12967.p1	Acystopteris_japonica_scaffold5353.p1	0.5	0.5
Acystopteris_japonica_C341925.p1__Acystopteris_japonica_scaffold12967.p1	0.4793	0.60152	1377.0	255.0	0.7602	GF_000549	0.2856	60.4469	8.0	0.0047	660.0	Acystopteris_japonica_C341925.p1	Acystopteris_japonica_scaffold12967.p1	0.33333	0.0
Acystopteris_japonica_C341925.p1__Acystopteris_japonica_scaffold5354.p1	0.18736	0.65116	1377.0	255.0	0.88373	GF_000549	0.3037	2.6286	8.0	0.1155	258.0	Acystopteris_japonica_C341925.p1	Acystopteris_japonica_scaffold5354.p1	0.33333	0.5
Acystopteris_japonica_C341925.p1__Acystopteris_japonica_scaffold5353.p1	0.18736	0.65116	1377.0	255.0	0.88373	GF_000549	0.3037	2.6286	8.0	0.1155	258.0	Acystopteris_japonica_C341925.p1	Acystopteris_japonica_scaffold5353.p1	0.33333	0.5
Acystopteris_japonica_C341925.p1__Acystopteris_japonica_C352901.p1	0.50327	0.46609	1377.0	255.0	1.7163	GF_000549	0.6656	4.1964	9.0	0.1586	693.0	Acystopteris_japonica_C352901.p1	Acystopteris_japonica_C341925.p1	0.25	1.0
Acystopteris_japonica_C352901.p1__Acystopteris_japonica_scaffold12967.p1	0.48802	0.44345	1377.0	255.0	1.76034	GF_000549	0.5893	77.4252	9.0	0.0076	672.0	Acystopteris_japonica_C352901.p1	Acystopteris_japonica_scaffold12967.p1	0.25	0.0
Acystopteris_japonica_C352901.p1__Acystopteris_japonica_scaffold5354.p1	0.20697	0.44211	1377.0	255.0	1.88387	GF_000549	0.6979	68.1422	9.0	0.0102	285.0	Acystopteris_japonica_C352901.p1	Acystopteris_japonica_scaffold5354.p1	0.25	0.0
Acystopteris_japonica_C352901.p1__Acystopteris_japonica_scaffold5353.p1	0.20697	0.44211	1377.0	255.0	1.88387	GF_000549	0.6979	68.1418	9.0	0.0102	285.0	Acystopteris_japonica_C352901.p1	Acystopteris_japonica_scaffold5353.p1	0.25	0.0
Acystopteris_japonica_C347385.p1__Acystopteris_japonica_C352901.p1	0.49891	0.44541	1377.0	255.0	1.91989	GF_000549	0.8366	4.1322	10.0	0.2024	687.0	Acystopteris_japonica_C347385.p1	Acystopteris_japonica_C352901.p1	0.2	0.5
Acystopteris_japonica_C341925.p1__Acystopteris_japonica_C347385.p1	0.42919	0.42978	1377.0	255.0	1.82597	GF_000549	0.6561	51.1415	10.0	0.0128	591.0	Acystopteris_japonica_C347385.p1	Acystopteris_japonica_C341925.p1	0.2	0.0
Acystopteris_japonica_C347385.p1__Acystopteris_japonica_scaffold12967.p1	0.45098	0.42995	1377.0	255.0	1.87001	GF_000549	0.6802	4.7151	10.0	0.1443	621.0	Acystopteris_japonica_C347385.p1	Acystopteris_japonica_scaffold12967.p1	0.2	0.5
Acystopteris_japonica_C347385.p1__Acystopteris_japonica_scaffold5354.p1	0.2244	0.45307	1377.0	255.0	1.99354	GF_000549	0.7025	76.1714	10.0	0.0092	309.0	Acystopteris_japonica_C347385.p1	Acystopteris_japonica_scaffold5354.p1	0.2	0.0
Acystopteris_japonica_C347385.p1__Acystopteris_japonica_scaffold5353.p1	0.2244	0.45307	1377.0	255.0	1.99354	GF_000549	0.7025	76.1714	10.0	0.0092	309.0	Acystopteris_japonica_C347385.p1	Acystopteris_japonica_scaffold5353.p1	0.2	0.0
Acystopteris_japonica_scaffold10571.p1__Acystopteris_japonica_scaffold12501.p1	0.44697	0.81356	792.0	354.0	0.07079	GF_001680	0.044	1.3596	3.0	0.0323	354.0	Acystopteris_japonica_scaffold10571.p1	Acystopteris_japonica_scaffold12501.p1	1.0	1.0
Acystopteris_japonica_scaffold10571.p1__Acystopteris_japonica_scaffold7300.p1	0.44697	0.71751	792.0	354.0	0.38136	GF_001680	0.1367	2.7922	4.0	0.049	354.0	Acystopteris_japonica_scaffold7300.p1	Acystopteris_japonica_scaffold10571.p1	0.5	0.5
Acystopteris_japonica_scaffold12501.p1__Acystopteris_japonica_scaffold7300.p1	0.92424	0.69536	792.0	354.0	0.31163	GF_001680	0.1235	3.1884	4.0	0.0387	732.0	Acystopteris_japonica_scaffold7300.p1	Acystopteris_japonica_scaffold12501.p1	0.5	0.5
Acystopteris_japonica_scaffold1792.p1__Acystopteris_japonica_scaffold1796.p1	0.9957	0.99568	1395.0	534.0	0.0053	GF_000971	0.0	0.0	4.0	0.0893	1389.0	Acystopteris_japonica_scaffold1796.p1	Acystopteris_japonica_scaffold1792.p1	1.0	0.0
Acystopteris_japonica_scaffold1795.p1__Acystopteris_japonica_scaffold1796.p1	0.95054	0.99246	1395.0	534.0	0.01092	GF_000971	0.0	0.0	5.0	0.0833	1326.0	Acystopteris_japonica_scaffold1795.p1	Acystopteris_japonica_scaffold1796.p1	0.5	0.0
Acystopteris_japonica_scaffold1792.p1__Acystopteris_japonica_scaffold1795.p1	0.95269	0.98947	1395.0	534.0	0.01512	GF_000971	0.0	0.0	5.0	0.106	1329.0	Acystopteris_japonica_scaffold1795.p1	Acystopteris_japonica_scaffold1792.p1	0.5	0.0
Acystopteris_japonica_scaffold1794.p1__Acystopteris_japonica_scaffold1795.p1	0.3828	0.89888	1395.0	534.0	0.15901	GF_000971	0.0852	0.1962	6.0	0.4345	534.0	Acystopteris_japonica_scaffold1794.p1	Acystopteris_japonica_scaffold1795.p1	0.33333	0.33333
Acystopteris_japonica_scaffold1794.p1__Acystopteris_japonica_scaffold1796.p1	0.3828	0.89888	1395.0	534.0	0.15431	GF_000971	0.0852	0.1962	6.0	0.4345	534.0	Acystopteris_japonica_scaffold1794.p1	Acystopteris_japonica_scaffold1796.p1	0.33333	0.33333
Acystopteris_japonica_scaffold1792.p1__Acystopteris_japonica_scaffold1794.p1	0.3828	0.89888	1395.0	534.0	0.15851	GF_000971	0.0852	0.1962	6.0	0.4345	534.0	Acystopteris_japonica_scaffold1794.p1	Acystopteris_japonica_scaffold1792.p1	0.33333	0.33333
Acystopteris_japonica_scaffold10847.p1__Acystopteris_japonica_scaffold7326.p1	0.76119	0.48758	2010.0	1530.0	1.44994	GF_002601	0.7447	10.6517	2.0	0.0699	1530.0	Acystopteris_japonica_scaffold10847.p1	Acystopteris_japonica_scaffold7326.p1	1.0	0.0
